#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPP_KO
#  DE genes: 4, up: 1, down: 3
ProbeName	GeneSymbols	down
1420621_a_at	App	7.51579114611282e-22
1427442_a_at	App	7.4472916366349e-18
1440153_at		1.48163909908754e-17
1444705_at		1.33336952776007e-05
1422010_at	Tlr7	3.38195389254952e-05
1439468_at		3.59002494353048e-05
1425652_s_at	Rbpms	4.29219268048357e-05
1424378_at	Ldlrap1	5.81658162579501e-05
1427007_at	Sash3	5.98449168438883e-05
1456883_at	Stox1	6.08937606190603e-05
1418726_a_at	Tnnt2	8.29712375686489e-05
1420873_at	Twf1	8.76949915348493e-05
1448130_at	Fdft1	0.000107984625979717
1430223_at		0.000129940258152034
1420022_s_at		0.000140656853059913
1437938_x_at	Dnm2	0.000143303358016365
1446985_at		0.000148979464492174
1420978_at	Nrf1	0.000156286721514446
1441337_at		0.00017314914447155
1454000_s_at	Ccdc173	0.000186321416997207
1434680_at	Plekhg3	0.000189776227110931
1451733_at	Gcnt2	0.000192294453799818
1453435_a_at	Fmo2	0.00019307337670853
1451895_a_at	Dhcr24	0.000198432355118197
1441182_at	Brwd3	0.00021010043343984
1419136_at	Akr1c18	0.00022556249407795
1426664_x_at	Slc45a3	0.000225923782565993
1421138_a_at	Pkib	0.00024272155898669
1452715_at	Haus5	0.000249025160624312
1458388_at	Ccdc110	0.000249547029712913
1457248_x_at		0.000250608544619525
1440383_at	Dclre1b	0.000266045692632466
1438953_at		0.000286281835327957
1428532_at	Ints7	0.000300658320190699
1438322_x_at	Fdft1	0.00030123962668989
1441485_at		0.000312759797014467
1459139_at		0.000340639192260136
1437399_at		0.00036072045306615
1449401_at	C1qc	0.000366852931319951
1452174_at	Srebf2	0.000380344194619448
1449585_at	Il1rap	0.000382075892265853
1417520_at	Nfe2l3	0.0003943156240063
1444511_at	Slc41a1	0.000405554919743434
1448046_at		0.000408580271162521
1429007_at		0.00043863526655303
1433796_at	Endod1	0.000453604109592022
1421896_at	Elk1	0.000480332940920788
1435037_at	Pgap3	0.000484139178602226
1452801_at	Pigk	0.000489227929412412
1441784_at		0.000491582432379924
1435515_at		0.000495493234831319
1434002_at		0.000495889913783887
1452705_at	Pdxdc1	0.000517018429403823
1444071_at	9630013A20Rik	0.000529367796003248
1438610_a_at	Cryz	0.000542737783848728
1436312_at	Ikzf1	0.000546732792366695
1435097_at	Mmab	0.000552876498262038
1452924_at	Fam83d	0.00058214010988687
1447493_at	Pirt	0.000583336438853539
1445894_at		0.000601607556928069
1451687_a_at	Hnf1b	0.000608926630419631
1418465_at	Ncf4	0.000658160679605059
1451523_a_at	Mif4gd	0.000667559355671793
1455966_s_at		0.000688297915884559
1454755_at	Itpkc	0.000692251357053956
1427711_a_at	Ceacam1	0.000696973673009529
1455277_at	Hhip	0.000721486597363442
1426809_at	Tprn	0.000751373540809526
1435552_at	Otud7b	0.000758400675783912
1434094_at	Tmem125	0.000769699704505263
1440531_at	Rbm11	0.00078546106726702
1426044_a_at	Prkcq	0.000787701756137656
1457373_at		0.000817647879337833
1415993_at	Sqle	0.000823903526792477
1430128_a_at	Reep6	0.000831338081178809
1456077_x_at	Cdc25c	0.000836076271017043
1449517_at	Qpctl	0.000845448310470934
1456665_at	Eya4	0.000864609758517955
1451331_at	Ppp1r1b	0.000878192199931595
1457323_at	Smco3	0.000884400049325904
1439785_at	9630013A20Rik	0.000901049335096999
1429655_at	Nudcd1	0.000911505342924739
1448839_at	Kank3	0.000913768975165252
AFFX-r2-Bs-dap-5_at		0.000916633701320517
1448273_at	Gss	0.000933547534692715
1423507_a_at	Sirt2	0.0009476370244991
1423955_a_at	Cers2	0.000960001024325905
1425257_at	Acot5	0.000966564801229413
1429364_at	4930579G24Rik	0.000981509104219444
1430229_at		0.00098315705861293
1420654_a_at	Gbe1	0.00100370848586781
1449373_at	Dnajc3	0.00100549526616646
1459608_at		0.00101563919055401
1447436_at		0.00103310855367357
1439247_at	Dock10	0.00105454367907473
1436987_at	Ism1	0.00105482246067472
1429672_at		0.00105566151791938
1451605_at	Dyx1c1	0.00106079283437532
1427154_at	Krt2	0.00106130980518764
1456641_at	Smim1	0.00106687807153025
1432417_a_at	Tspan2	0.00109082119609719
1437701_at	Smcr8	0.00109204623259423
1440422_at	Htr1f	0.00109858692593296
1420193_at		0.0011044669149842
1420930_s_at	Ctnnal1	0.0011046697245973
1459141_at	1810008I18Rik	0.0011049093003207
1455224_at	Angptl1	0.00110862162052619
1424910_at	Kif12	0.00111574037460153
1445656_at		0.00112938002225182
1437637_at	Phtf2	0.00113902236473534
1420083_at		0.00114738056915829
1419187_at		0.00114815095450242
1445253_at		0.00115948209179704
1441931_x_at		0.00116657435185097
1429830_a_at	Cd59a|Cd59b	0.00120784319206943
1447773_x_at	6330409D20Rik	0.00121443388132729
1446814_at		0.00123922792516596
1442517_a_at	9630013A20Rik	0.00125191901823634
1431359_a_at	1110007C09Rik	0.00126989237329355
1433104_at		0.00127428292695659
1444902_at		0.00128443401610822
1450875_at	Gpr37	0.00131549820888425
1455011_at		0.0013301255844135
1451338_at		0.0013417798897789
1452302_at	Arhgef10	0.00138138242174441
1447810_x_at		0.00140536521946507
1435005_at	Cenpe	0.00140646002703088
