ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
6789325	4.18252826103109e-14	7.00280706744435e-10	2.28554866944915	32.0656933126579	Cd68	CD68 antigen	2.09126413051554e-14	0.999999999999979	3.50140353372218e-10	0.999999999999979
6926167	9.40615621422868e-14	7.87436367474154e-10	1.83944501905269	30.1682129954528	C1qa	complement component 1, q subcomponent, alpha polypeptide	4.70307810711434e-14	0.999999999999953	3.93718183737077e-10	0.999999999999979
6959584	1.93480304150454e-13	8.96710808979083e-10	2.30476094847787	28.5718252313151	Tyrobp	TYRO protein tyrosine kinase binding protein	9.67401520752268e-14	0.999999999999903	4.48355404489541e-10	0.999999999999979
6926166	2.14229423395827e-13	8.96710808979083e-10	1.7040767272995	28.3530541454685	C1qc	complement component 1, q subcomponent, C chain	1.07114711697913e-13	0.999999999999893	4.48355404489541e-10	0.999999999999979
6784345	3.51774574024106e-13	1.17795233857712e-09	0.986585833010829	27.3109783191512	Grn	granulin	1.75887287012053e-13	0.999999999999824	5.8897616928856e-10	0.999999999999979
6850834	5.2314254201778e-13	1.45982926350061e-09	2.47089003692859	26.5038601597184	Trem2	triggering receptor expressed on myeloid cells 2	2.6157127100889e-13	0.999999999999738	7.29914631750307e-10	0.999999999999979
6957410	9.52371393628373e-13	2.27793632050284e-09	2.16156399623825	25.3288620600872	Clec7a	C-type lectin domain family 7, member a	4.76185696814187e-13	0.999999999999524	1.13896816025142e-09	0.999999999999979
6790294	2.21302969522568e-12	4.28363441623429e-09	3.7054865016351	23.7596768618906	Ccl3	chemokine (C-C motif) ligand 3	1.10651484761284e-12	0.999999999998893	2.14181720811714e-09	0.999999999999979
6899683	2.30261660073515e-12	4.28363441623429e-09	1.70995590581616	23.6881668280025	Ctss	cathepsin S	1.15130830036757e-12	0.999999999998849	2.14181720811714e-09	0.999999999999979
6893630	2.61956563110148e-12	4.3859387361532e-09	1.48690977473563	23.4571944287082	Ctsz	cathepsin Z	1.30978281555074e-12	0.99999999999869	2.1929693680766e-09	0.999999999999979
6850308	9.1366867329549e-12	1.39068678154422e-08	3.25960698450232	21.3280395467595	Olfr111|Olfr110	olfactory receptor 111|olfactory receptor 110	4.56834336647745e-12	0.999999999995432	6.95343390772108e-09	0.999999999999979
6917120	1.23440439402044e-11	1.66104786528415e-08	1.43466945074204	20.8433769422438	Csf3r	colony stimulating factor 3 receptor (granulocyte)	6.17202197010221e-12	0.999999999993828	8.30523932642075e-09	0.999999999999979
