#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6096.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760306588e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477814; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303352; Statistic: 1.78211733966325; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218863; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE50521
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
ProbeName	GeneSymbols	down
6775518	Glt8d2	3.27984734017713e-08
6898010	Mme	3.60392694752213e-07
6763247	Fam163a	1.04238723654033e-06
6900768	Lppr5	5.94972595370487e-06
6808279	Pcsk1	1.02064878663468e-05
6943974	Tac1	1.25763764487588e-05
6758223	Pantr1	1.51462716794734e-05
6963955	Vwa3a	1.5325643458358e-05
6970117	Olfr690	2.40959886383125e-05
6908528	Palmd	2.75198367115617e-05
6797747	Gskip	2.80838016307607e-05
6867859	Pygm	3.21321180895407e-05
6775502	Zfp938	3.95306071041383e-05
7001591	Tarm1	4.27980006720273e-05
6860576	Kcnn2	4.41110452727294e-05
6965088	Olfr523	5.38786683193838e-05
6790367	Znhit3	5.43047234445191e-05
6786979		5.43695140849457e-05
6846799		5.96236664922999e-05
6753546	Dennd1b	7.13547446806012e-05
6968842	Homer2	7.18244626291669e-05
7014268	Pak3	8.88156794556509e-05
6937986	Kcnip4	9.15987335071144e-05
6975566	Tusc3	9.63500414755718e-05
6970916	Dcun1d3	9.69938165615352e-05
6888016	Zfp385b	9.71299581544736e-05
6840981		0.000104202862256643
6906325	Gucy1b3	0.000105862984763408
6988256	Olfr888	0.000107391954160687
6864456	Nrep	0.000110102136765657
6815259	Crhbp	0.000118567092537957
6773147	Clvs2	0.000121158831828148
6976200	Vegfc	0.000132287694969803
6788283	Sowaha	0.000137466737774852
6955164	Gm11128|Cml5	0.000142888413485292
6815739	Rgs7bp	0.000149709662022235
6886117	Strbp	0.000161309676376816
6855898	Dazl	0.000168099094662684
6756763	Sntg1	0.000169873798569584
6955165	Nat8	0.000170888101310701
6836991	Cacng2	0.000175471459991719
7016808	Hs6st2	0.000180744751927943
6822729	Fezf2	0.000181037365555531
6955879	Foxp1	0.000182720498008835
6907255	Hist2h4	0.000185958799459424
6877924	Bbs5	0.000186083272427079
6974682	Zmat4	0.000192763679165902
7020772	Egfl6	0.000195823334735833
6944019	Umad1|Glcci1	0.000196679306859818
6958407	Tmtc1	0.000201384103352881
6898630	Fam198b	0.000213122509203731
6844649	Sst	0.000224517834868963
6872262	Pip5k1b	0.000230198338013431
6876740	Arhgap15	0.000239446526918275
6901119	Ndst4	0.000239851755152344
6808680	Ccnh	0.00024021103534216
6804900	Gng4	0.000245674880893846
6803030		0.000268300929867971
6835403	Tmem74	0.000277235331219322
6995736	Elmod1	0.000297638581773466
6908073	Gstm7	0.000298518275888432
6851177	St6gal2	0.000310677579548407
6860204	Pcdhb19	0.000321806749003079
6779588	Fancl	0.000334840545644013
6785283	Tnrc6c	0.000342100048672106
6811682	Hist1h2ae	0.000342781720796902
6863210	Mkx	0.000344132444572669
6844850	Gmnc	0.000348430966002392
6902875	Rpe65	0.000353863238680973
6765307	Sertad4	0.000355080221056069
6858344	Sod2	0.000362979035306714
6997037	Mlip	0.000365885679255527
6835045	Ncald	0.000370366334807731
6879567	Pamr1	0.000374049974745253
6796238	Fut8	0.000377367373052657
6869436	Hectd2	0.000380986958878688
6789531	Slc13a5	0.000396814206191767
6987866	Zbtb44	0.000401641025251465
6990530	Myo5c	0.000421654480296693
6846782	Cadm2	0.000431312871920398
6947211		0.000431591432846256
6827820	Dzip1	0.000443589277413055
6878296	Mtx2	0.000444161926541671
6877932	Klhl23	0.000445837669146414
6800020	Hdac9	0.00046526592323774
6981865	Cnot7	0.000467392876380192
6924235	Bsnd	0.000467924702784145
6796401	Exd2	0.000472998360300575
6766110	Hivep2	0.000486706237784064
6854320	Pdpk1	0.000490617085544907
6990177	9530091C08Rik	0.000491309122089813
6855659	Vegfa	0.000500217028496293
6932707	Fgf5	0.000503887155734351
6994624	Hyls1	0.000519046048282808
6951589	Ica1	0.000522696411914621
6750848	Sgpp2	0.000526110470364339
6821935	Gpc5	0.00052799100358344
7017277	Slitrk4	0.000530832967931931
6893018	Zmynd8	0.000565040762420562
6910648	St6galnac5	0.000568534410745291
6895790	Ralyl	0.000571903266660179
7012696	Heph	0.000576929604627354
6991531	Paqr9	0.00057744279972116
6963558	Arntl	0.000583370410685112
6824574	Rnase1	0.000586029991730023
7011124	Stk26	0.000592984076023515
6957632	Mansc1	0.000598261304728124
6797720	Tcl1b3	0.000598464736646923
6869015	Ppapdc2	0.000599270018131013
6969811		0.000599546988725088
6986030	Ccsap	0.00060201012461716
6885789	1700001O22Rik	0.000616121684145541
6853121	Adcyap1	0.000619245390699852
6899887	Wars2	0.000624071962760475
6780733	Olfr1391	0.000632614829441435
7014090	Mum1l1	0.000633144978209707
6794294	Gdap10	0.000644907979873284
6908551	Lppr4	0.000657839736802242
6998094	Pxylp1	0.000667208552577489
6887205	Kcnh7	0.000670687026637144
6834108	Cdh6	0.000675334968425335
6977073	Mrpl34	0.000676004580641603
6808876	Ssbp2	0.00068105971568291
7019652	Rab9b	0.000681439734217762
6798418	Rapgef5	0.000683942028965746
6755896	Dusp10	0.000686801720847087
6758003	Chst10	0.00069806920782744
6860188	Pcdhb14	0.000704414233880727
6871062	Npas4	0.000714404104783655
6901757	Eif4e	0.000717548469888315
6884754	Fam188a	0.000720834453709156
6957844	Lmo3	0.000728820466687445
6759997	Scg2	0.000734798555405731
6923159	Ifna2	0.000769505127825949
6761139	Rnf152	0.000788384079787043
6936140	Grm3	0.000819232392078124
6963418	Wee1	0.000821297378530082
6913348	Tmeff1	0.000823314252951455
6760620	Asb18	0.000826144751837525
6839502	Mkl2	0.000830105374109258
6966183	Ryr1	0.000833677235472837
6776873		0.000837581932396925
6989086	Arhgap20	0.000838632521472551
6861576	Nedd4l	0.000850254541372211
6772550	Pde7b	0.00086311080512417
6767631	Hace1	0.000864756122149429
6750600	Ankzf1	0.000867323885356705
6830480	Mal2	0.000867777837405907
6903129	Zfp704	0.000888003001086038
6861547	St8sia3	0.000889113097227817
6957474	Tas2r114	0.000904002025326422
7014113	Tbc1d8b	0.000911513102425407
6752884	R3hdm1	0.00091494215247042
6869724	Lcor	0.000918860458440608
6905912	Sptssb	0.000927911668207463
6875556	Thnsl1	0.000930218127342238
7013502	Pabpc5	0.000963329364976904
6908958	Ndst3	0.000976985100080013
6998020	Trpc1	0.00100227310859309
6833061	Ccdc184	0.00101833648545096
6995661	AI593442	0.00102773242083544
6935630	Mtus2	0.00104236597598625
6800314	Lrrn3	0.00104581905955957
7014633	Rragb	0.00107239523499421
6759021	Sumo1	0.00109136113324972
6903480	Armc1	0.00110310551146059
7020153	Apex2	0.0011072938315014
6922202	Zfp37	0.00113978033826221
6974040	Tex29	0.00114190398987468
6815248	Pde8b	0.00115376541478646
6944514	Kcnd2	0.0011553039409159
6901498	Ppa2	0.00116178390985866
6932601	Fras1	0.0011696523100532
