#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE52022_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 8
#Factor: Genotype (2 levels): 5xFAD: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Gender (1 levels): F: n=8
#Factor: Timepoint (2 levels): 4_months: n=4, 8_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.0359506647870742; Statistic: 20.1522227587848; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
### Model test for factor: Timepoint
#p-value: 0.240987287261645; Statistic: 16.6008840305949; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE52022
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE52022/results/GSE52022_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 4 samples. Original sample size: 8
#Factor: Genotype (2 levels): WT: n=2, 5xFAD: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 4_months: n=4
#
### Model test for factor: Genotype
#p-value: 0.161472888079735; Statistic: 41.1830949425611; Expected: 33.3333333333333; Std.dev: 9.73913713385386; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 45101 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 30, up: 11, down: 19
#GSE52022_5xFAD: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE52022_5xFAD	GeneSymbols
2.46436226864907e-07	Kcnj13
1.10949782471564e-06	1500015O10Rik
2.86835551173852e-06	Sulf1
4.76498285875332e-06	Cldn2
5.73325900193377e-06	Igfbp2
7.34904467582888e-06	Calml4
7.6532961470577e-06	Sostdc1
9.67991102919886e-06	Ttr
2.53603754480619e-05	Enpp2
2.55679203927391e-05	Clic6
2.7670126053717e-05	Col8a1
3.02885463172832e-05	Ctxn3
3.07688188663619e-05	Steap1
3.5482912411599e-05	Otx2
3.77535723888139e-05	F5
5.25781975266742e-05	Col8a2
5.68072153915767e-05	Bax
9.25867222057065e-05	Vat1l
0.000110033221626395	Mdfic
0.000115951128840315	Slc4a2
0.00011826341375671	Pi4k2a
0.000135127859199953	Pik3r3
0.000157403143481639	Dynlrb2
0.00017440124396649	Mia
0.000193492709173673	Tmem212
0.000195585350139672	Igfbp6
0.000205781913933925	Lbp
0.000217008018207489	Pcolce2
0.000224556167706341	Grm2
0.000239017013260393	Trappc3
0.000252551352594044	Wfs1
0.000271541655060448	Aqp1
0.000271739944689634	Rdh5
0.000284642657824668	Tmem98
0.000344121751327962	Folr1
0.00036967741448019	Sln
0.000372616441468277	Pcp4l1
0.000374081397378629	Ephx1
0.000398199561433833	4833427G06Rik
0.000430072549005682	Prr32
0.000454284302397761	Dbndd2
0.000454445453197892	Vma21
0.000454903342001944	Ppp1r14a
0.000458590182662232	2900092D14Rik
0.000459842175244211	Lamtor2
0.000471252901866891	Cox8b
0.000518517303124385	Dhdh
0.000521878107484842	Stk39
0.000523942409960621	Josd2
0.000599203921733664	Rbm47
0.000656166659870762	Kcne2
0.000686734509728319	Kl
0.000728624085042672	Krt18
0.000749576007137001	Mn1
0.000761025512654707	Car14
0.000797411931209513	Dhx9
0.00079877168121796	Vti1b
0.000798989616170868	Pcolce
0.000818075099566719	Pomc
0.000828478946810716	Rbp1
0.000836224246075103	Mapk4
0.0008868642558271	1110017D15Rik
0.000899648163447116	Spred3
0.000901104383060715	Slc23a2
0.000924089476648977	Rasd2
0.000926342078261357	Blmh
0.000934177272009045	Ap1s2
0.000957729803852273	Prmt1
0.000987308378558024	Ascc1
0.000992891157839968	Cdk16
0.00101786839398325	Slc31a1
0.00104170986932943	Ampd2
0.00104294378758137	Igf2
0.00107613940502524	5031434O11Rik
0.00108690993706904	Swi5
0.00109152334595847	Stmn4
