#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE52022_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 8
#Factor: Genotype (2 levels): 5xFAD: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Gender (1 levels): F: n=8
#Factor: Timepoint (2 levels): 4_months: n=4, 8_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.0359506647870742; Statistic: 20.1522227587848; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
### Model test for factor: Timepoint
#p-value: 0.240987287261645; Statistic: 16.6008840305949; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE52022
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE52022/results/GSE52022_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 4 samples. Original sample size: 8
#Factor: Genotype (2 levels): WT: n=2, 5xFAD: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 4_months: n=4
#
### Model test for factor: Genotype
#p-value: 0.161472888079735; Statistic: 41.1830949425611; Expected: 33.3333333333333; Std.dev: 9.73913713385386; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 45101 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 30, up: 11, down: 19
ProbeName	GeneSymbols	down
1456418_at	Kcnj13	2.46436226864907e-07
1460049_s_at	1500015O10Rik	3.69832608238548e-07
1417231_at	Cldn2	2.38249142937666e-06
1438200_at	Sulf1	2.86835551173852e-06
1459737_s_at	Ttr	3.08143992458081e-06
1449340_at	Sostdc1	3.82664807352885e-06
1451580_a_at	Ttr	4.83995551459943e-06
1454159_a_at	Igfbp2	5.73325900193377e-06
1424713_at	Calml4	7.34904467582888e-06
1423261_at	1500015O10Rik	7.55103273999855e-06
1455627_at	Col8a1	9.22337535123899e-06
1454608_x_at	Ttr	1.26734672768624e-05
1454866_s_at	Clic6	1.27839601963696e-05
1415894_at	Enpp2	1.46744528172675e-05
1451532_s_at	Steap1	1.5384409433181e-05
1449269_at	F5	1.8876786194407e-05
1455913_x_at	Ttr	2.03297888282318e-05
1448136_at	Enpp2	2.53603754480619e-05
1438059_at	Ctxn3	3.02885463172832e-05
1425926_a_at	Otx2	3.5482912411599e-05
1459770_at		3.9640807690488e-05
1418907_at	F5	4.67334087591486e-05
1434667_at	Col8a2	5.25781975266742e-05
1418440_at	Col8a1	5.34437308446276e-05
1416837_at	Bax	5.68072153915767e-05
1433462_a_at	Pi4k2a	5.91317068783549e-05
1436319_at		5.95180235183502e-05
1433551_at	Vat1l	9.25867222057065e-05
1448550_at	Lbp	0.000102890956966963
1427040_at	Mdfic	0.000110033221626395
1456943_a_at	Dbndd2	0.00011357107559944
1434233_at	Vma21	0.000113611363299473
1416637_at	Slc4a2	0.000115951128840315
1456482_at	Pik3r3	0.000135127859199953
1428987_at	Dynlrb2	0.000157403143481639
1419608_a_at	Mia	0.00017440124396649
1436111_at	Tmem212	0.000193492709173673
1417933_at	Igfbp6	0.000195585350139672
1451527_at	Pcolce2	0.000217008018207489
1435607_at	Grm2	0.000224556167706341
1419426_s_at	Gm1987|Ccl21a|Ccl21b|Gm21541|Gm13304|Ccl21c|Gm10591	0.000233890595216293
1416771_at	Trappc3	0.000239017013260393
1448411_at	Wfs1	0.000252551352594044
1419550_a_at	Stk39	0.000260939053742421
1460250_at	Sostdc1	0.00026700338343517
1416203_at	Aqp1	0.000271541655060448
1418808_at	Rdh5	0.000271739944689634
1424133_at	Tmem98	0.000284642657824668
1438021_at	Rbm47	0.000299601960866832
1460036_at	Ap1s2	0.000311392424003015
1434165_at	Clic6	0.000316799384618464
1449740_s_at	Dsg2	0.000318809469749493
1438625_s_at	Cdk16	0.000330963719279989
1450995_at	Folr1	0.000344121751327962
1420884_at	Sln	0.00036967741448019
1452913_at	Pcp4l1	0.000372616441468277
1422438_at	Ephx1	0.000374081397378629
1452308_a_at	Atp1a2	0.000391730045717488
1430762_at	4833427G06Rik	0.000398199561433833
1425617_at	Dhx9	0.000398705965604756
1437165_a_at	Pcolce	0.000399494808085434
1424768_at	Cald1	0.000423740294591458
1429135_at	Prr32	0.000430072549005682
1443824_s_at	Car7	0.00043901017131419
1450650_at	Myo10	0.000442121937467385
1455858_x_at	Pomc	0.00044623001463824
1417329_at	Slc23a2	0.000450552191530357
1418086_at	Ppp1r14a	0.000454903342001944
1429857_at	2900092D14Rik	0.000458590182662232
1422797_at	Lamtor2	0.000459842175244211
1427344_s_at	Rasd2	0.000462044738324488
1438961_s_at	Blmh	0.000463171039130678
1449218_at	Cox8b	0.000471252901866891
1424159_at	Fam134c	0.0004728863902498
1416790_a_at	Tdg|Gm9855	0.000508396485681024
1433750_at	Slc31a1	0.000508934196991627
1453487_at	Dhdh	0.000518517303124385
1438941_x_at	Ampd2	0.000520854934664713
1448152_at	Igf2	0.000521471893790683
1449046_a_at	Josd2	0.000523942409960621
1417325_at	Btrc	0.000557785550501514
1437386_at	Lingo1	0.000566351183350554
1435911_s_at	Slc2a12	0.000586096373546385
1435688_at		0.000611777724256591
1449421_a_at	Kcne2	0.000656166659870762
1423400_at	Kl	0.000686734509728319
1438968_x_at	Spint2	0.000695336824064904
1436921_at	Atp7a	0.000700382637255343
1426597_s_at	Iffo2	0.000724968992390934
1448169_at	Krt18	0.000728624085042672
1421425_a_at	Rcan2	0.000728990769923725
1454867_at	Mn1	0.000749576007137001
1441894_s_at	Grasp	0.000759932098191973
1450725_s_at	Car14	0.000761025512654707
1424098_at	Elovl7	0.000761876195963199
1419979_s_at	Creb3	0.000795574081023153
