#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE52022_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 8
#Factor: Genotype (2 levels): 5xFAD: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Gender (1 levels): F: n=8
#Factor: Timepoint (2 levels): 4_months: n=4, 8_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.0359506647870742; Statistic: 20.1522227587848; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
### Model test for factor: Timepoint
#p-value: 0.240987287261645; Statistic: 16.6008840305949; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE52022
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE52022/results/GSE52022_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 4 samples. Original sample size: 8
#Factor: Genotype (2 levels): WT: n=2, 5xFAD: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 4_months: n=4
#
### Model test for factor: Genotype
#p-value: 0.161472888079735; Statistic: 41.1830949425611; Expected: 33.3333333333333; Std.dev: 9.73913713385386; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 45101 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 30, up: 11, down: 19
ProbeName	GeneSymbols	up
1419202_at	Cst7	1.57003341928088e-06
1423135_at	Thy1	2.10835556731763e-06
1448591_at	Ctss	5.51850954403174e-06
1427076_at	Mpeg1	6.84497669129435e-06
1426508_at	Gfap	8.99359401506155e-06
1421792_s_at	Trem2	1.2614982421001e-05
1417381_at	C1qa	1.29310742971477e-05
1439122_at	Ddx6	1.30744152920407e-05
1417063_at	C1qb	1.61563067643053e-05
1436131_at	Siglech	2.4092662846346e-05
1460180_at	Hexb	2.67861009248234e-05
1422542_at	Gpr34	3.68470597639182e-05
1448617_at	Cd53	4.23001170260847e-05
1450792_at	Tyrobp	5.73998421783849e-05
1450678_at	Itgb2	6.79530073640274e-05
1417868_a_at	Ctsz	7.2735146547076e-05
1452428_a_at	B2m	7.72853514990181e-05
1418340_at	Fcer1g	7.86113048842174e-05
1419004_s_at	Bcl2a1d|Bcl2a1a|Bcl2a1b	8.70579918471139e-05
1460218_at	Cd52	9.89702554962126e-05
1417266_at	Ccl6	0.000102436892662917
1415824_at	Scd2	0.000106320452236426
1431056_a_at	Lpl	0.000108479956605776
1429184_at		0.000111092652871246
1420249_s_at	Ccl6	0.000113511187479201
1440142_s_at	Gfap	0.00013408394204207
1451941_a_at	Fcgr2b	0.000139145777227009
1448620_at	Fcgr3	0.000139525460963984
1428018_a_at	AF251705	0.000143622729760753
1449049_at	Tlr1	0.000152244847939173
1428085_at	Ldah	0.000157504131476832
1423547_at	Lyz1|Lyz2	0.000183015351879755
1449401_at	C1qc	0.000193997524387926
1422903_at	Ly86	0.00019417471922234
1436519_a_at	Ldah	0.000200840681278953
1448124_at	Gusb	0.000212863775789307
1449164_at	Cd68	0.000220976604289694
1440418_at		0.000233262869533815
1445837_at		0.000237840821246351
1441992_at		0.000265119755494845
1433935_at		0.000288313411708825
1452297_at		0.000315559516827228
1448118_a_at	Ctsd	0.000322479355559142
1432713_at		0.000324165008633864
1417870_x_at	Ctsz	0.000350944051062136
1459160_at		0.000363858486402396
1426509_s_at	Gfap	0.00036978911067211
1419185_a_at	Mlxipl	0.000386617125070667
1419636_at	4833420G17Rik	0.000396166919723371
1419561_at	Ccl3	0.000400690762488893
