#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE53480_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (2 levels): Tg4510: n=8, WT: n=8
#Factor: Treatment (2 levels): reference: n=8, TFEB: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (1 levels): batch1_2012-06-13: n=16
#Factor: Gender (2 levels): F: n=8, M: n=8
#Factor: Timepoint (1 levels): 4_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.000558845880720304; Statistic: 15.9423699299177; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.222007239530428; Statistic: 8.18568052608391; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.0040674399099489; Statistic: 14.1014919443624; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 8 samples. Original sample size: 16
#Factor: Genotype (2 levels): Tg4510: n=4, WT: n=4
#Factor: Treatment (1 levels): reference: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Batch (1 levels): batch1_2012-06-13: n=8
#Factor: Gender (2 levels): F: n=3, M: n=5
#Factor: Timepoint (1 levels): 4_months: n=8
#
### Model test for factor: Genotype
#p-value: 0.0123479410833401; Statistic: 26.2875498730228; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.0225675891116886; Statistic: 25.0672514177957; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE53480
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE53480/results/GSE53480_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#8 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg4510
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg4510
#  DE genes: 2051, up: 1396, down: 655
ProbeName	GeneSymbols	up
1420699_at	Clec7a	1.11416824050049e-09
1435036_at	Aspg	2.08675566718445e-09
1427076_at	Mpeg1	3.3181280080258e-09
1442082_at	C3ar1	4.20932870437103e-09
1419132_at	Tlr2	4.45486947246427e-09
1457666_s_at	Ifi202b	1.17923772634414e-08
1416340_a_at	Man2b1	1.60401989053194e-08
1416382_at	Ctsc	2.66907797205208e-08
1418674_at	Osmr	3.67771977627822e-08
1426808_at	Lgals3	4.57518390827735e-08
1456307_s_at	Adcy7	5.30911897725959e-08
1449164_at	Cd68	7.95511897132869e-08
1418021_at	C4b|C4a	8.14567994300757e-08
1416901_at	Npc2	9.6924377473788e-08
1418091_at	Tfcp2l1	9.96372454150838e-08
1448118_a_at	Ctsd	1.08588315306024e-07
1433935_at		1.12453129169459e-07
1422124_a_at	Ptprc	1.12644614938185e-07
1449401_at	C1qc	1.81463306230716e-07
1448513_a_at	Npc2	1.82328871803347e-07
1417063_at	C1qb	2.07387604027126e-07
1454268_a_at	Cyba	2.09937159363363e-07
1456567_x_at		2.14131623103272e-07
1443814_x_at	Ctsh	2.16266013372048e-07
1418365_at	Ctsh	2.2931361960211e-07
1438629_x_at	Grn	2.29609025778945e-07
1448392_at	Sparc	2.31273085682771e-07
1415983_at	Lcp1	2.36152058476314e-07
1428114_at	Slc14a1	2.49492908289403e-07
1448021_at		3.05807004669267e-07
1426246_at	Pros1	3.11475912525979e-07
1450792_at	Tyrobp	3.14724788957914e-07
1448620_at	Fcgr3	3.219753819631e-07
1420394_s_at	Gp49a|Lilrb4	3.32978745127813e-07
1448748_at	Plek	3.36681370483805e-07
1449893_a_at	Lrig1	3.54037400416576e-07
1420361_at	Slc11a1	3.61644402629135e-07
1417928_at	Pdlim4	3.66988770455826e-07
1417268_at	Cd14	3.85531897871466e-07
1417381_at	C1qa	3.89644252503464e-07
1429524_at	Myo1f	3.91119291005395e-07
1423909_at	Tmem176a	4.17469958017254e-07
1417291_at	Tnfrsf1a	4.38082860739806e-07
1448148_at	Grn	4.57359433839402e-07
1426454_at	Arhgdib	4.86091866275242e-07
1452352_at	Ctla2b	4.91367802015913e-07
1423547_at	Lyz1|Lyz2	5.08341884166259e-07
1417868_a_at	Ctsz	5.12565801121635e-07
1435777_at	Itpripl2	5.48926505119575e-07
1416226_at	Arpc1b	5.71959017919041e-07
1421375_a_at	S100a6	5.78551373179157e-07
1460218_at	Cd52	5.89956238512809e-07
1436996_x_at	Lyz1	5.90586293764789e-07
1448124_at	Gusb	5.98156018782676e-07
1416714_at	Irf8	6.12964159418271e-07
1456133_x_at	Itgb5	6.13557045475346e-07
1419872_at	Csf1r	6.47787391507002e-07
1417870_x_at	Ctsz	6.64814636180685e-07
