#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL7042.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41189
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0157179134404236; Statistic: 4.1149528560935; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
### Model test for factor: OrganismPart
#p-value: 2.74177487558571e-25; Statistic: 13.0450998610008; Expected: 2.08226861093095; Std.dev: 0.536247222755816; #Cov: 41189
### Model test for factor: Batch
#p-value: 1.58515128009048e-29; Statistic: 9.67522345071798; Expected: 2.08237292007648; Std.dev: 0.367862559956812; #Cov: 41189
### Model test for factor: Timepoint
#p-value: 5.13424070480717e-08; Statistic: 9.91578934259565; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE63617.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41189 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
#GSE63617.1_AD11: original input has 41189 probesets; mapped probesets: 28882; probes mapped to multiple genes to be removed (except for insulin): 1202; genes with multiple probesets are BH corrected. New data has 18356 genes.
GSE63617.1_AD11	GeneSymbols
1.9696977636733e-09	H2-Q5
3.91293721850394e-07	Pttg1
1.13398124285572e-06	Pop4
7.12422841746772e-06	BC023719
7.45655618612111e-06	Wbp11
1.54759807047544e-05	Itpr3
2.92710294980824e-05	Nomo1
4.40489197738061e-05	Rpgrip1
4.70181340198873e-05	Txnl4a
6.13620060892113e-05	Irgm2
6.43616561648997e-05	Gdf9
7.12823019869231e-05	Gemin5
9.60322955370979e-05	Pi4k2b
0.000119271905340257	Tmem114
0.000132608488125403	Eya1
0.000135917431141161	Tmem260
0.000164119306162027	Slc26a11
0.000164231581815498	Igtp
0.000166485530128985	Aurkaip1
0.000178149750642029	Lrp6
0.000209817024081372	Vars2
0.000215587836288719	Alad
0.000304169135742053	Rras
0.000309898128469371	Fat4
0.00031456463945797	Polm
0.000319855727497515	Ntn4
0.000344821420981882	Gcg
0.00039971549412701	Notch3
0.000435025172457895	Arhgef3
0.000448038140111932	Sorcs2
0.000473751934418368	Cep97
0.000496098169650243	Pan3
0.000498592822994715	Zfp672
0.000539201886370035	Slc15a2
0.000545034899714747	Lum
0.00056279859537948	Lpp
0.000592262234277343	Col25a1
0.000600146246741468	Dnajb4
0.000610794588377604	Bend4
0.000622085575851792	Myl1
0.000643009187520316	Pold3
0.000673202392008391	2810001G20Rik
0.000686098023164485	Myh11
0.00069852764020225	Pfas
0.000716500349613892	Aff1
0.00071816029197238	Pcdhb12
0.000725511431069014	Obscn
0.00074096682818381	Thbs2
0.000758621953188418	1600014C10Rik
0.000765397999738017	Irs1
0.000811104340807928	Ndufv3
0.000831214995111946	Tlr1
0.000877198329618919	Adnp
0.000885552119082921	Col2a1
0.000908634301993324	Tfpi
0.000966965983119128	Hdhd3
0.000967096054814804	Nudt19
0.000978039569481583	Fnip2
0.000993024462843052	Rnf169
0.00099509981863198	Gramd3
0.00106465386280415	Man2a1
0.00109506969872778	Wdhd1
0.00109624088826062	Npr3
0.001104604301243	Bcl2l11
0.00112359123013919	Pcdhb4
0.00113711188085115	Kctd12
0.00114820220439135	Arhgef12
0.00116011651899532	Zfp354c
0.00116337947898149	Atad3aos
0.00118162347042322	Cidec
0.00122050765344494	Coq2
0.00122409366641451	Gins4
0.00123015392728045	Tmem88
0.00124991217589462	Cnn1
0.00129871142713955	Perm1
0.00134357643688112	Nrros
0.00134424353919863	Cherp
0.00135453154443474	Sdc4
0.00143910868335877	Armcx2
0.00151856435634191	Eif2s2
0.00158514049441249	Ang4
0.00160510945360331	Coq6
0.00162117522758755	Car8
0.0017290574605707	Dennd1a
0.00172986450447134	Slc7a8
0.00176385996022394	Aff4
0.00179689762347082	Rcn3
0.00181744921918758	Prdm16
0.00184382120355388	Amfr
0.0018708985972413	Slc2a5
0.00192055302863952	Pus7
0.00197409749006842	Dera
0.00197923742312564	Acta2
0.00198544873383595	Rcsd1
0.00205503284187182	Zfp783
0.00214920401080229	Zcchc8
0.00216492272626596	Gaa
0.00220560209698925	Fasn
0.00225851507361291	Ankrd61
0.00230499212985095	Cpne8
0.00235661539532446	Utp14b
0.00237902455829776	Trip4
0.00239848914029098	Fkbp10
0.00243698467001919	Ecm2
0.0024972836683026	Slc45a2
0.00250473422654345	Coro7
0.00253665923485269	Myl9
0.00256252600252322	Rgs14
0.00256478665031749	Polk
0.00257322560618399	Adcy4
0.00260103427751984	AW112010
0.00274513496545821	Phf20
0.00278191315492105	Iigp1
0.00286763672698601	D3Ertd254e
0.00288505044365999	Colec11
0.00300893388039251	Wiz
0.003070639629244	Zfp236
0.00310668343471226	Rab9b
0.00311304520101104	Ddr2
0.00312398567690001	Zfp704
0.00314066592498095	Vars
0.00319323102862737	Nedd1
0.00323144269033516	Lmo1
0.00325443157369603	Snx30
0.0032615214663022	Rad51b
0.00327779458088836	Hsbp1l1
0.00340501363550143	Cyp2w1
0.0034282406798365	Cadps
0.00344222775742298	Psmb9
0.0034516462341118	Disc1
0.00348256891163462	Srr
0.00348338060161336	Cdc26
0.00353184665472585	4933408B17Rik
0.00359892676061505	Sapcd1
0.00361772342572194	Cldnd1
0.00363007802674019	Ppic
0.00367098109948183	Slc35a5
0.00369201731079755	Rhobtb1
0.0037571418234713	Nup62
0.00376442243271003	Alg9
0.00376670547529119	Gpr12
