#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL7042.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41189
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0157179134404236; Statistic: 4.1149528560935; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
### Model test for factor: OrganismPart
#p-value: 2.74177487558571e-25; Statistic: 13.0450998610008; Expected: 2.08226861093095; Std.dev: 0.536247222755816; #Cov: 41189
### Model test for factor: Batch
#p-value: 1.58515128009048e-29; Statistic: 9.67522345071798; Expected: 2.08237292007648; Std.dev: 0.367862559956812; #Cov: 41189
### Model test for factor: Timepoint
#p-value: 5.13424070480717e-08; Statistic: 9.91578934259565; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE63617.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41189 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
#GSE63617.1_AD11: original input has 41189 probesets; mapped probesets: 28882; probes mapped to multiple genes to be removed (except for insulin): 1202; genes with multiple probesets are BH corrected. New data has 18356 genes.
GSE63617.1_AD11	GeneSymbols
8.35062323166027e-09	Snhg3
1.90291472869442e-07	Mcemp1
5.72476196364757e-07	Cd300lf
1.05665896628513e-06	Itih5
1.22406531343662e-06	Rprd1b
1.29544753559578e-06	Slc15a2
2.46519007688782e-06	Aph1b
3.21071287913646e-06	Fam71e1
3.25858306784624e-06	Wdfy1
3.99340496665371e-06	Zfp414
4.3574515797853e-06	Zfp811
4.38049433905392e-06	Ap1s3
7.71676038789646e-06	Sox2ot
1.25124050580996e-05	Cdkn1b
2.16444103169195e-05	Gm5148
2.5839294828449e-05	Zyg11b
2.79660116320503e-05	Ppap2b
3.79973334407531e-05	Nsdhl
5.04355296046745e-05	Agpat5
5.6244439339381e-05	Klhl7
7.48504135840941e-05	Lrrtm4
8.42389176534412e-05	1700024P16Rik
9.57908729682603e-05	Kmt2e
0.000152329889984897	Atg4c
0.0001554686035076	Tbc1d9
0.000172068833441606	2010107G23Rik
0.000201454714760459	Strap
0.000240366934231218	Tbc1d1
0.000312255054485142	Ring1
0.000356097137162527	Cyp4f14
0.000360455068320631	H2afj
0.000362166843239476	C3
0.000366028858290952	Cyp4f15
0.000410828717298387	Hars
0.00048359615769407	Rps18
0.00050902940586358	Stk32c
0.000512932758332802	Klhdc10
0.00051496405429121	Dcun1d1
0.000542554164256698	Rad18
0.000562330585295621	Glyctk
0.00057489847543194	Rgs4
0.000645627788214216	Fabp7
0.000657571470688806	Gm13288
0.000724367282134787	Serinc2
0.000739934741291099	Ndufs6
0.000741317767477115	Gpr83
0.000783862773237875	Pip4k2a
0.000817715295820609	Arhgap4
0.000865906742225306	Scn2b
0.00109657256724789	Dpy19l3
0.00111167204704253	Rasl12
0.00125152226856469	Ncapd2
0.0012769251551062	Cpne1
0.0013045578529097	Atf7ip
0.00135738964223331	Pot1a
0.00136678603781703	Slc26a10
0.00143268770021737	Tspan14
0.00145354991718993	Crk
0.00152833518784964	Lrrc46
0.00162110612637017	Fam76a
0.00163589894338252	S1pr1
0.00170818139202292	Rpp14
0.00171563111051254	Pbp2
0.00182391858334728	Manba
0.00192470664532802	Riok1
0.00201575610908861	Adam18
0.00202220365182537	Col9a1
0.00202796768629037	Urgcp
0.00203782849026164	Map3k5
0.00214518867660462	Gdf15
0.00216601659635311	Pomp
0.00226599643391972	Usmg5
0.00237196473658784	Ankrd2
0.00237862595904185	Zfp422
0.00249171925624672	Cnih4
0.00250014109516112	Rbfox3
0.00255904962838613	Utp14a
0.00261645609890001	Pcyt2
0.00266858235830214	Nckap1
0.00269588072906172	Arl3
0.00276173484226168	Ndufc1
0.00276922132388809	Dis3l2
0.00279528206527674	Cebpg
0.00284216364928651	Ncam1
0.00285229713954885	Zbtb12
0.00285631691085857	Fam122b
0.00285719236093143	Zcwpw2
0.00288590785104218	5330426P16Rik
0.00308017124387596	Rint1
0.00315619868412229	Sh3bp5l
0.00316045390209692	Cml5
0.00323114106736398	Cdk5rap1
0.00326044196062202	Plcxd2
0.00334717820282216	Ppp1r12b
0.00336397445994643	Bcat2
0.00337516232137082	Uqcrq
0.00341376580738445	2810006K23Rik
0.00346401637800769	Nrd1
0.00348370804969175	Tnnt2
0.00349960772493239	Gdi2
0.00350925635758748	Snrpe
0.00351779694266366	Polr3g
0.00353714959608876	Comt
0.00356317426862662	Tbx1
0.0036233547055217	Mylk
0.00378559860305393	Pisd-ps3
0.00382175291336881	Adam19
0.0039656744093782	Gmppa
0.00400383933456497	Zc3h13
0.00401743737584712	Chn2
0.00401756176070587	Tmbim6
0.00403246207782177	Wipi1
0.00407329598742966	Adgrl3
0.00409702281137895	Ppp1r12a
0.004104542008337	Fcer2a
0.00418704568024418	Romo1
0.00423123502335003	Aftph
0.00426405070248049	Tfb1m
0.00433864013606268	Cacna1c
0.00435614084287486	Ppfia4
0.00438510190570825	Sergef
0.00441679042999741	Nlk
0.00442167151292469	Atp8a1
0.00452372413204466	Tspyl4
0.0045910442673316	Cdkn1a
0.00468066677397592	Lrrtm2
0.00472870242727259	Pcdhb2
0.00488192481110793	Nfic
0.00500937472348438	Cep250
0.00501541350121317	Lrrc55
0.0050888545445359	Tbc1d13
0.0051025873775723	Naa20
0.00511861403501614	Gadd45gip1
0.005135863066637	Lingo2
0.00514565585974231	Cfap221
