#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL7042.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41189
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0157179134404236; Statistic: 4.1149528560935; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
### Model test for factor: OrganismPart
#p-value: 2.74177487558571e-25; Statistic: 13.0450998610008; Expected: 2.08226861093095; Std.dev: 0.536247222755816; #Cov: 41189
### Model test for factor: Batch
#p-value: 1.58515128009048e-29; Statistic: 9.67522345071798; Expected: 2.08237292007648; Std.dev: 0.367862559956812; #Cov: 41189
### Model test for factor: Timepoint
#p-value: 5.13424070480717e-08; Statistic: 9.91578934259565; Expected: 2.04081632653061; Std.dev: 0.746286812669692; #Cov: 41189
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE63617.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376853702901385; Statistic: 11.3344670298505; Expected: 11.1111111111111; Std.dev: 4.54769949507731; #Cov: 41189
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41189 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
ProbeName	GeneSymbols	down
A_52_P152133	H2-Q5	1.9696977636733e-09
A_51_P371190	Pttg1	3.91293721850394e-07
A_52_P206492	Pop4	5.6699062142786e-07
A_52_P3865		6.69223950558906e-07
A_52_P355751		1.59127419121368e-06
A_52_P173453		6.31863949370248e-06
A_52_P564827	BC023719	7.12422841746772e-06
A_51_P448987	Wbp11	7.45655618612111e-06
A_52_P477836		1.26867274703226e-05
A_52_P507488	Rpgrip1	1.46829732579354e-05
A_51_P104897	Itpr3	1.54759807047544e-05
A_52_P407145	Txnl4a	1.56727113399624e-05
A_51_P125117	Pop4	1.71022426610403e-05
A_51_P105520	Nomo1	2.92710294980824e-05
A_52_P314923	Gemin5	3.56411509934615e-05
A_52_P1133481		4.68824983323965e-05
A_51_P360836	Txnl4a	4.72327043687812e-05
A_51_P230987	Pi4k2b	4.80161477685489e-05
A_52_P237440		5.28221600938675e-05
A_51_P416295	Irgm2	6.13620060892113e-05
A_51_P220806	Gdf9	6.43616561648997e-05
A_52_P36315	Eya1	6.63042440627015e-05
A_52_P54325	Tmem260	6.79587155705803e-05
A_51_P107039		7.39735044524197e-05
A_51_P306067	Lpp	9.379976589658e-05
A_52_P590235	Vars2	0.000104908512040686
A_51_P335702	Tmem114	0.000119271905340257
A_52_P675530	Fat4	0.000154949064234685
A_52_P357181	Cep97	0.000157917311472789
A_51_P113403	Slc26a11	0.000164119306162027
A_51_P112355	Igtp	0.000164231581815498
A_51_P192550	Aurkaip1	0.000166485530128985
A_51_P169401	Lrp6	0.000178149750642029
A_52_P876623	Col25a1	0.000197420744759114
A_52_P271244	Pold3	0.000214336395840105
A_51_P512072	Alad	0.000215587836288719
A_51_P380337	Arhgef3	0.000217512586228947
A_52_P130642		0.00022007744695609
A_51_P242634		0.000234756782139436
A_51_P293218	Pan3	0.000248049084825122
A_51_P155174	Zfp672	0.000249296411497357
A_52_P77093	1600014C10Rik	0.000252873984396139
A_51_P267278	Slc15a2	0.000269600943185017
A_51_P140211	Ndufv3	0.000270368113602643
A_52_P559808	Arhgef12	0.000287050551097839
A_52_P55717	Adnp	0.000292399443206306
A_52_P621617	Dnajb4	0.000300073123370734
A_52_P592007	Tfpi	0.000302878100664441
A_52_P635182	Rras	0.000304169135742053
A_51_P416858	Myl1	0.000311042787925896
A_51_P397493	Polm	0.00031456463945797
A_51_P497661	Ntn4	0.000319855727497515
A_52_P619738	Gramd3	0.000331699939543993
A_51_P406253	Gcg	0.000344821420981882
A_52_P599624	Pfas	0.000349263820101125
A_52_P381665	Aff1	0.000358250174806946
A_52_P642453	Obscn	0.000362755715534507
A_51_P247184	Npr3	0.000365413629420208
A_52_P158527	Bcl2l11	0.000368201433747666
A_52_P175242	Irs1	0.000382698999869009
A_51_P220162	Notch3	0.00039971549412701
A_52_P116192	Aff4	0.000440964990055986
A_51_P317141	Col2a1	0.00044277605954146
A_51_P230287	Sorcs2	0.000448038140111932
A_52_P174872		0.000454521683348084
A_51_P322531	Trip4	0.000475804911659552
A_51_P167527	Lum	0.000545034899714747
A_52_P76931	Wdhd1	0.00054753484936389
A_51_P271563		0.000562178079607538
A_51_P371912	Kctd12	0.000568555940425573
A_52_P597277		0.00057702777076156
A_52_P239556	Acta2	0.000580968838345111
A_52_P505038	Bend4	0.000610794588377604
A_51_P322473	Perm1	0.000649355713569777
A_52_P81630	2810001G20Rik	0.000673202392008391
A_52_P93467	Sdc4	0.000677265772217371
A_51_P362429	Myh11	0.000686098023164485
A_52_P500673		0.000713552475123552
A_51_P461761	Zcchc8	0.000716401336934096
A_52_P224485	Pcdhb12	0.00071816029197238
A_51_P461877	Thbs2	0.00074096682818381
A_51_P470724	Eif2s2	0.000759282178170956
A_51_P353056	Fat4	0.000797036178964958
A_51_P392005	Car8	0.000810587613793776
A_51_P495581	Tlr1	0.000831214995111946
A_51_P146449	Dennd1a	0.000864528730285352
A_52_P259258	Phf20	0.000915044988486071
A_51_P398683	Rcn3	0.000932369739580956
A_52_P328597	D3Ertd254e	0.000955878908995335
A_52_P439248	Pus7	0.000960276514319761
A_51_P465582	Hdhd3	0.000966965983119128
A_51_P111952	Nudt19	0.000967096054814804
A_52_P494930	Fnip2	0.000978039569481583
A_52_P210078	Acta2	0.000989618711562822
A_52_P577729	Rnf169	0.000993024462843052
A_52_P644210		0.00101381810497597
A_51_P417321	Zfp236	0.00102354654308134
A_51_P324923	Man2a1	0.00106465386280415
A_52_P353567	Pi4k2b	0.00108775596491851
A_52_P100252	Fasn	0.00110280104849463
A_52_P529195	Pcdhb4	0.00112359123013919
A_52_P195235		0.00113265071333696
A_51_P427563	Cpne8	0.00115249606492548
A_51_P273705	Zfp354c	0.00116011651899532
A_52_P16571	Srr	0.00116085630387821
A_51_P253426		0.00116310285595084
A_51_P167660	Atad3aos	0.00116337947898149
