#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL7202.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.2_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41267
#number of samples: 69
#Factor: Genotype (2 levels): AD11: n=35, WT: n=34
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=30
#Factor: Batch (4 levels): Batch_06_30_05_07: n=20, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=15, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=69
#Factor: Timepoint (3 levels): 1_month: n=30, 15_months: n=10, 6_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.00691161001186433; Statistic: 3.44810047875099; Expected: 1.47058823529412; Std.dev: 0.538343288131556; #Cov: 41267
### Model test for factor: OrganismPart
#p-value: 1.01676850356883e-26; Statistic: 12.9782482522694; Expected: 1.49216335642119; Std.dev: 0.382860984645629; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.09764164505852e-07; Statistic: 4.74078715959352; Expected: 1.49218061828742; Std.dev: 0.311673071552818; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.3901096534065e-10; Statistic: 8.534262692089; Expected: 1.49215644915162; Std.dev: 0.407880782027265; #Cov: 41267
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#2 sample(s) removed: 6m_ctx_VH_rep3, 1m_hp_AD11_rep5
#Reason for removal: sample correlation outlier; sample correlation outlier
#number of samples after removal: 67
#Factor: Genotype (2 levels): AD11: n=34, WT: n=33
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=19, Hippocampus: n=29
#Factor: Batch (4 levels): Batch_06_30_05_07: n=19, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=14, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=67
#Factor: Timepoint (3 levels): 1_month: n=29, 15_months: n=10, 6_months: n=28
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('6_months', '15_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 20 samples. Original sample size: 67
#Factor: Genotype (2 levels): AD11: n=10, WT: n=10
#Factor: OrganismPart (1 levels): Hippocampus: n=20
#Factor: Batch (2 levels): Batch_06_30_05_07: n=10, Batch_07_04_07_07: n=10
#Factor: Gender (1 levels): F: n=20
#Factor: Timepoint (2 levels): 15_months: n=10, 6_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0736929407089426; Statistic: 8.07034057854891; Expected: 5.26315789473684; Std.dev: 1.862831104056; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.28495972195886e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.28495972195886e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE63617.2
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.2/results/GSE63617.2_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('15_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 20
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_07_04_07_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 15_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0909067505259132; Statistic: 15.2179425492366; Expected: 11.1111111111111; Std.dev: 3.0981211608443; #Cov: 41267
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41267 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 316, up: 205, down: 111
#GSE63617.2_AD11: original input has 41267 probesets; mapped probesets: 28882; probes mapped to multiple genes to be removed (except for insulin): 1202; genes with multiple probesets are BH corrected. New data has 18356 genes.
GSE63617.2_AD11	GeneSymbols
1.47178763350192e-10	Gm5148
1.07920633571235e-08	Snhg3
1.10471753086838e-08	Mcemp1
2.10615338234001e-08	Wdfy1
5.40247612076518e-08	Slc15a2
1.47811500259172e-07	Lrrtm4
3.09958193003131e-07	Agpat5
3.57126961235025e-07	Srxn1
6.42758211394582e-07	Rac1
1.37440026786309e-06	Atg4c
2.15015224200004e-06	Naa20
2.18707960445366e-06	H2afj
2.96160265103592e-06	Cep250
2.96172967828302e-06	Soga1
3.89626370668711e-06	Nudt8
4.63524762801492e-06	Aktip
4.74360692714765e-06	Rnf41
5.03927539205799e-06	Zfp871
5.69473171122872e-06	Pde6h
9.06232533224831e-06	Cyp4f14
1.0952031348147e-05	Hbq1a
1.24143303623412e-05	Cdk5rap1
1.54344486792773e-05	Ppp1r11
1.63970759300999e-05	Sqstm1
1.70323495850744e-05	Rpl21
1.92592266844566e-05	Ehmt2
2.07362955897849e-05	1700109H08Rik
2.11035379082343e-05	Sdc4
2.11347270378199e-05	Asprv1
2.43598555914475e-05	Mrpl9
2.51805045054587e-05	Aspdh
2.55424833952026e-05	Cdkn1b
2.92922145251382e-05	Sox2ot
2.95340193449746e-05	2010012O05Rik
3.01724038236601e-05	Stam
3.15430416326628e-05	Stat3
3.54008402888407e-05	Sh3bp5l
3.63843380997044e-05	Apex1
3.63975548759733e-05	Lrrc46
3.64689066725228e-05	Pfn1
3.79254502884477e-05	Spsb3
3.82863217072758e-05	Zfp330
3.88080990208427e-05	Arhgap4
3.94332003045279e-05	3110002H16Rik
3.95380508101312e-05	Gsto1
4.0923578933615e-05	Sspn
4.88894199394402e-05	Fam71e1
5.27470028826578e-05	Arf5
5.4903472492354e-05	Scly
6.2170564902584e-05	Slc26a10
6.35245400088608e-05	Hars
6.58163537034665e-05	Pex26
8.35633556876302e-05	Klhl9
8.38547402604585e-05	Zfp811
9.26898217855688e-05	C87436
9.32912769766295e-05	1700024P16Rik
9.56097069534339e-05	Ttc5
9.7270931843847e-05	4930452B06Rik
9.87156107766198e-05	Enoph1
0.000112220722419931	Gosr1
0.000113743496274468	Vps33a
0.000118179012844435	Clcn7
0.000124239102279225	Nmnat3
0.000132798440769766	Etnk1
0.000132972128757791	Thg1l
0.000137699738640433	Nudt17
0.000139080734470707	Bbs1
0.000144179679009044	Rpp14
0.000149485149906594	Strap
0.000156730956171995	Dpy19l3
0.0001577789702611	Rad23a
0.000158844509918763	Fam155a
0.000160515700806785	Zmat5
0.000175851967384575	Ring1
0.000185828233611928	Eif5a2
0.000187638962104812	Gt(ROSA)26Sor
0.000192777642502669	Crk
0.000193076248992852	Rab12
0.000195699303535922	Ccdc80
0.000195835215757244	Pisd-ps3
0.000203143422869245	Zyg11b
0.000212924545189328	Lrrc73
0.000215749861128914	Cml5
0.000239676741950844	Zfp414
0.000240956757024571	Tbc1d20
0.000246731566693487	Dcbld1
0.000247731721363649	Gemin5
0.000254241337360242	Ppp2cb
0.000254734017230176	Ankrd35
0.000267169820156955	Pus1
0.000270278536663617	Mri1
0.000277981439185424	Iba57
0.000280366538098804	Mier1
0.000294722781526507	Kcnb1
0.000294886844923734	Ap1s3
0.000301626177400573	Neu1
0.000306578957944017	Zfp433
0.000313786913364019	Tchh
0.000314959654003966	Nudt10
0.000322101323904142	Manba
0.000325160873277548	Gadd45gip1
0.000343100605275615	March8
0.00038569130383485	Tsr1
0.000387094438308732	Msrb2
0.000388569406192487	D17Wsu92e
0.000408865628296767	Lst1
0.000409231374220035	Nosip
0.000432847068719108	Grm7
0.000441573351073774	Fbxo31
0.000455953022758229	Noa1
0.000481243934676487	Cryga
0.000483453854968976	Rprd1b
0.000483761840697833	Crlf2
0.000497333847917358	Psmc4
0.000501474980595793	Sec24a
0.000506623154651498	Slit3
0.000513348764942901	Serinc2
0.000523309273974385	Ptger4
0.000531950586629016	B3galt4
0.000547223296653514	6030419C18Rik
0.000550184184193024	Gtf2h4
0.000552885245811312	Scoc
0.000603019824937428	B4galnt1
0.000610372069196198	Dhx35
0.000636001122933857	Cpne1
0.000647625721270203	Epb4.1
0.000650947471433539	Rcan2
0.00065991622299218	Gdi2
0.00066936205117744	Thy1
0.000681533446452598	Hspa13
0.000685221226749659	Suv39h2
0.000708281985735313	Hagh
0.000728469223789083	Zfp944
0.000731767183499942	Actr6
0.0007382307500986	Lysmd4
0.000750473999155124	Wdr12
0.000757737384523041	Epas1
0.000768968468009899	Naa30
0.000770437951952896	Cdh15
0.000782832259108258	Cdh12
0.000794326388373285	Slc25a41
0.000794808818230435	Icam4
0.000797815127140293	Dkk2
0.000820862883979271	Prcc
0.000855170681555275	Gal
0.000875137718388671	Uhrf1
