#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL7202.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.2_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41267
#number of samples: 69
#Factor: Genotype (2 levels): AD11: n=35, WT: n=34
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=30
#Factor: Batch (4 levels): Batch_06_30_05_07: n=20, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=15, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=69
#Factor: Timepoint (3 levels): 1_month: n=30, 15_months: n=10, 6_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.00691161001186433; Statistic: 3.44810047875099; Expected: 1.47058823529412; Std.dev: 0.538343288131556; #Cov: 41267
### Model test for factor: OrganismPart
#p-value: 1.01676850356883e-26; Statistic: 12.9782482522694; Expected: 1.49216335642119; Std.dev: 0.382860984645629; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.09764164505852e-07; Statistic: 4.74078715959352; Expected: 1.49218061828742; Std.dev: 0.311673071552818; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.3901096534065e-10; Statistic: 8.534262692089; Expected: 1.49215644915162; Std.dev: 0.407880782027265; #Cov: 41267
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#2 sample(s) removed: 6m_ctx_VH_rep3, 1m_hp_AD11_rep5
#Reason for removal: sample correlation outlier; sample correlation outlier
#number of samples after removal: 67
#Factor: Genotype (2 levels): AD11: n=34, WT: n=33
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=19, Hippocampus: n=29
#Factor: Batch (4 levels): Batch_06_30_05_07: n=19, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=14, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=67
#Factor: Timepoint (3 levels): 1_month: n=29, 15_months: n=10, 6_months: n=28
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('6_months', '15_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 20 samples. Original sample size: 67
#Factor: Genotype (2 levels): AD11: n=10, WT: n=10
#Factor: OrganismPart (1 levels): Hippocampus: n=20
#Factor: Batch (2 levels): Batch_06_30_05_07: n=10, Batch_07_04_07_07: n=10
#Factor: Gender (1 levels): F: n=20
#Factor: Timepoint (2 levels): 15_months: n=10, 6_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0736929407089426; Statistic: 8.07034057854891; Expected: 5.26315789473684; Std.dev: 1.862831104056; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.28495972195886e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.28495972195886e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE63617.2
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.2/results/GSE63617.2_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('6_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 20
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_06_30_05_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 6_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0276771293615866; Statistic: 17.5097621997105; Expected: 11.1111111111111; Std.dev: 3.31274221466379; #Cov: 41267
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41267 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 437, up: 239, down: 198
#GSE63617.2_AD11: original input has 41267 probesets; mapped probesets: 28882; probes mapped to multiple genes to be removed (except for insulin): 1202; genes with multiple probesets are BH corrected. New data has 18356 genes.
GSE63617.2_AD11	GeneSymbols
2.32482026758235e-07	Nomo1
6.17329942526793e-07	Srbd1
1.23085324331816e-06	Aurkaip1
2.1378098571938e-06	Ntn4
2.92865710578479e-06	Kbtbd11
3.1950693704954e-06	6820431F20Rik
5.11651345760231e-06	Trank1
8.41711432279774e-06	Txnl4a
8.73446487454563e-06	Pop4
9.15140990536818e-06	Nnmt
9.17659413296562e-06	Gdf9
9.65274644886027e-06	Pttg1
1.16476237340811e-05	Wdhd1
1.18851460303186e-05	Ppp1r16b
1.2023482732363e-05	Ensa
1.20630318941903e-05	Trim16
1.58737906196718e-05	Eif2s2
1.61171586842182e-05	Fam133b
1.72001444725308e-05	Gadd45gip1
1.87037168917864e-05	Nudt19
2.10954474510817e-05	Fam114a2
2.15792464412162e-05	2810001G20Rik
2.41049193977019e-05	Vars2
2.48192060442388e-05	Pi4k2b
2.64545793317076e-05	2210015D19Rik
2.8723337003909e-05	Mrpl33
3.0315395777336e-05	Larp1
3.19720791154381e-05	Gemin5
3.19871049507995e-05	Tfpi
4.28991143461107e-05	Cd47
5.0995509706555e-05	Lrp6
5.27654519284007e-05	BC023719
6.08211012456889e-05	Ccr5
6.27599647364766e-05	Slc7a14
6.83603490163946e-05	Rab39
7.97764962450336e-05	Tmf1
8.02386927335435e-05	Vps36
8.450270268666e-05	Hpgds
8.50371085278511e-05	Syncrip
8.94659344690964e-05	Trnp1
9.80290432175515e-05	Tmem100
0.000118080461022842	Perm1
0.000118131595718637	Vhl
0.000130200868085519	Bcl2l2
0.000132142367002038	Faf2
0.00013400800024257	Ddx39b
0.000135184579444786	Vps18
0.00014030792920469	Nup62
0.000146968126719656	Bod1
0.000147889699389725	Vamp4
0.000156534674958398	Epb4.1l1
0.000158286973258023	Nkap
0.000163886266258177	Dpy19l3
0.00016588958890852	Ccl17
0.000171988900936936	Ube2b
0.000174591092864129	Kctd6
0.000178346719373138	Alad
0.000183864321149592	Slc35a5
0.000184225314623476	Elfn2
0.000190264358978418	Slmo1
0.000192478199025252	Fam192a
0.000196076896740355	Limch1
0.000205009502273178	Wdr45b
0.000207108238120677	Tmem260
0.0002132633738709	Parg
0.00021464258920853	Elac2
0.000215150643993016	Mphosph10
0.000226417350322187	Mogs
0.000240843094031695	Brd4
0.000243230754797718	Bdp1
0.000252804691386555	Hspa12a
0.000253487734373826	Bet1l
0.000257252175179437	Crot
0.000267165709012995	Cd79b
0.00026976965837883	Usp12
0.000269979130067195	Mars
0.000276912037000004	Pnkp
0.0002775652761726	Pvrl3
0.000282057322545604	Abhd6
0.00031436024968017	Hgf
0.0003197838740729	Dera
0.00032882582743642	Phf20
0.000331771812971458	Srr
0.000332045426358938	Kif3a
0.000333054372354355	Apba3
0.000333523283357099	Myl6
0.00033690681412753	Zdhhc18
0.000342575638145631	Kctd2
0.000349504688359805	Lrrc27
0.000355932437095132	Parp8
0.000376463382593001	Rwdd1
0.000387314520436775	Gpatch1
0.000393420512902543	Aoc2
0.00040460728377538	Stk19
0.000404643401319727	Ube2w
0.000405598618567377	Gfod2
0.000410815002250829	Ly6a
0.000425931193216021	Wbscr22
0.000446403786109514	Brat1
0.000458872678686748	Zfp426
0.000465533360198125	Pdia6
0.000466705323781473	Nolc1
0.000471042162282798	Fam111a
0.000489115146908675	Gdpd1
0.000489663075765718	Uso1
0.000499782115726636	Sult4a1
0.000507950113776787	P4ha1
0.000514918246870735	Wdr33
0.000539463602077649	Hpcal4
0.000540136717310301	Mapre1
0.00055647023348872	Gnl1
0.000559455782999744	Rcc1
0.000579634403924194	Pcbp3
0.000588495288931861	Masp2
0.000591387589300766	Dag1
0.000599431783586537	Nudc
0.000603722578346633	Mesdc2
0.000607128072716274	Tlr1
0.000628696640134882	Mettl17
0.000636883424423227	Sepw1
0.000637391239784287	Sapcd1
0.000656375501826539	Snrpa1
0.000672909171436708	Cecr5
0.000684543865670868	Ccdc149
0.000689068188365581	Tmem110
0.000701627918176715	Pnisr
0.000703116981481091	Diablo
0.000709665643866354	Las1l
0.000733870347440664	Sowaha
0.000740747134947857	Usp42
0.000742614256594659	Vmac
0.000744624015060516	Calr
0.000749648551948359	Cct6a
0.000752338099275471	Ang4
0.000756765041773545	Rab8b
0.00075684231905368	Mettl23
0.00076683548727984	Npr2
0.000784155913545507	Zfp236
0.000790367854206901	Eno2
0.000802588310646718	2700038G22Rik
0.000810843337345939	Acvr1c
0.000814153888189886	Klrg1
0.000815442631638164	Ptms
0.000837580730465338	Lrrc16b
0.000841026282051499	Sult2b1
0.000848512396482309	Gucy2c
0.000866183585999039	Psmd5
0.000874670267604747	Btbd1
0.000886058840312442	Ormdl3
0.00089855605231736	Ang
0.000900830872455454	Hes1
