#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.00037609327722983; Statistic: 8.98052590698181; Expected: 4.98810333807622; Std.dev: 0.859357275474184; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128954; Statistic: 9.14311222714263; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 15, up: 13, down: 2
#GSE64398.1_TAS10: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_TAS10	GeneSymbols
4.2189455052144e-06	Psme2
1.00208717659304e-05	Enox1
0.00013050667206828	Npy
0.000265799182625661	Abr
0.000353140717834477	Vsig8
0.000373234363805911	Hepacam
0.000390005128918156	Kcnj6
0.000423797798679468	Ypel4
0.000585649866471699	Wwc1
0.000624255203231955	Myo9b
0.000661032866816016	Hykk
0.000759555095179865	Batf3
0.000837378920085198	Tesc
0.00112374129855217	Zdhhc15
0.00112374601586852	Acot5
0.00126020131908168	Tmod1
0.00133172390922171	Mta1
0.00142847132590935	C1ql2
0.0015469899089311	Slc37a1
0.00166309624108704	Htra1
0.0018111386422618	Lime1
0.00181448196565432	Olfr497
0.00183319452890059	Creb5
0.00198056463678834	Cdk9
0.00200593356721418	Bcl7b
0.00201023094725564	Rmdn1
0.00205153331359078	Ankrd34a
0.00217551730604578	Bre
0.00220280025554329	Etv4
0.00228738992754036	Cyp2e1
0.00232470444108154	Slc30a3
0.00232817842021827	Crebl2
0.00248614173527301	Dzip1
0.00271571940647472	Fam163b
0.00300105857433397	Acvr1
0.00320423336103355	Cacng4
0.00321957321835253	Gpd1
0.00341362642842848	Crtc1
0.00350906757786298	Tnrc6c
0.003610206805988	Pon2
0.0037051218480706	Cyfip1
0.00372278198683351	Sebox
0.00375250720092511	Napa
0.00379148899070366	4930402H24Rik
0.00385843175162903	Crhbp
0.0040333084580624	Tmcc3
0.00406564140560009	Rasl10a
0.00406932577713712	Gm266
0.00410610963444975	Kcnab2
0.00417032573309969	Ndor1
0.0041769177422146	Doc2g
0.00428995471150878	Rgs3
0.00440872683847886	Spred3
0.0044621526270244	Bfsp2
0.0045979826343605	Iqcj
0.00478639239898448	Pdcd1lg2
0.00483615331616232	Arhgef19
0.00483911789937505	2010111I01Rik
0.00486945426333648	Arhgap28
0.00493082871246363	Synm
0.00501332797881284	Luzp2
0.00502543981952335	Pnmt
0.00505639492431504	Ecsit
0.00512359772332647	Pxdn
0.00515548542739571	Olfr315
0.0052027153569797	Eddm3b
0.00526021880671411	Gpr156
0.00526522719950775	Igfbp4
0.00528418166694751	Hbegf
0.0055818482041411	Sstr3
0.00578132577585831	Tfap4
0.00586603609968984	Hist1h3h
0.00604806812943922	Vgf
0.00626243511868043	Thsd1
0.00629097395880241	Rad54l2
0.00630012982953436	Zmynd11
0.00645113638156794	Atoh8
0.00657810757927803	Cdc123
0.00663538768402182	Treml2
0.00671106295447309	Dot1l
0.00680418268468213	Pcdhgb6
0.00682206876088543	Ahr
0.00687937302889037	Itpka
0.00696373168146217	Lipe
0.00699600290594559	Nrd1
0.00710227014806657	Grin1
0.00710819316313685	Ankrd53
0.00719734121102534	Pdcd6ip
0.00730887911503043	Sirt7
0.00734776069402703	Mbtps1
0.00744690939985616	Fbxl18
0.00745085650687462	D630003M21Rik
0.00747627174164614	Tnr
0.00766990181560875	Aars2
0.00771891449376906	Olfr934
0.00779497781909892	Wdr33
0.00781165685519671	Slc25a27
0.00786927880963985	Serpina6
0.0078905321838396	Hipk2
0.00801008595446116	Bsx
0.00803207728151842	Wipf2
0.00819579711137445	Doc2b
0.0082527638842201	Igf1r
0.00829490013507826	Shkbp1
0.00850127716598847	Zfand2b
0.00851642941275432	Bcl11b
0.00851969467297336	Fam53b
0.0086414959187733	Kremen1
0.00864234572732368	Fbxo27
0.00902693813088757	Cnih2
0.009056484007617	Fbxw4
0.00909803112487893	Rasd1
0.009142267878036	Exoc3l4
0.0091988339216829	Rwdd2b
0.00924455868855201	Alas2
0.00926884464015635	Olfr536
0.00929703953516218	Gigyf2
0.00929757274650531	Adgrb2
0.00929851151473474	Prpf38b
0.00929941547415211	Gng7
0.00939589619429061	Nrxn3
0.00947724228512943	Mbd6
0.00948915760084166	Sclt1
0.00960938247706197	Kcnq5
0.00963739393777175	Cdyl
0.00987651917728289	Srsf10
0.00989130633328363	Arhgef1
0.00996323991248461	Myo18a
0.0100804648558666	Zfp784
0.0102922986366005	Fhad1
0.0103387190415532	Phf2
0.0103587748242428	Pwwp2b
0.0103746690578862	Olfr1128
0.0107938346630788	Kif1b
0.0108121665233507	Zswim8
0.0108957560343521	Bms1
0.0110312077801148	Gab1
0.0110335809014251	B3galt5
0.0111089582555765	Rtn4rl1
0.0111313959714885	Poll
0.0111839474299777	Insc
0.011387988582533	Map4
0.0113915724741944	Sfpq
0.0114925525115515	Il21r
0.0115462943955576	Vcpkmt
0.0115783240226876	Gp1bb
0.0115832442401053	Klf13
0.0118904068732215	Tbpl2
0.0119741913143045	Bcor
0.0119962653370914	Plekhg5
0.0120811719175682	Setd2
0.0121193449219078	Shank2
0.0121274818110373	Fam193b
0.0122285359174729	Olfr1417
