#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.00037609327722983; Statistic: 8.98052590698181; Expected: 4.98810333807622; Std.dev: 0.859357275474184; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128954; Statistic: 9.14311222714263; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 2032, up: 1348, down: 684
#GSE64398.1_TAU: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_TAU	GeneSymbols
7.36008913637603e-09	Pou3f1
4.86869099572233e-08	Cacng3
7.30684252776449e-08	Sept6
1.85003144056207e-07	Ctxn1
2.45157763459178e-07	Cadps2
2.79374853798784e-07	E130012A19Rik
4.60272264150941e-07	Wfs1
5.48730737176638e-07	Chrm3
6.01151917016855e-07	Itpr1
8.58519474216332e-07	Gpr12
1.24537246429874e-06	Lppr5
1.38838229462743e-06	Mis18a
1.47492928136578e-06	Cdkl4
1.64374623587663e-06	Cdc25b
2.82213320614926e-06	Ppapdc2
3.07267130530072e-06	Csrnp3
3.77955493025034e-06	Lin7b
4.38598966868727e-06	Fam49b
4.40231351762825e-06	Slmo1
4.42898041696942e-06	Mpped1
5.74435824684554e-06	Cyp2s1
5.93828569990657e-06	Kcnk12
6.56172394123048e-06	Syt5
7.49521246729604e-06	Myt1l
7.50350552900138e-06	Jakmip1
7.59374464293616e-06	Epha5
7.83665954906518e-06	Myrip
9.12618180380208e-06	Bzw2
9.83285178242016e-06	Armc8
1.01425214848869e-05	Zfp365
1.052763498386e-05	Syt16
1.28426149630924e-05	Gprin1
1.30622729064087e-05	Morf4l1
1.39519116395534e-05	6430573F11Rik
1.44679032037559e-05	Ackr2
1.45188366624027e-05	Mb21d2
1.49223280247537e-05	Nphp4
1.56489635957379e-05	Ephx4
1.642940980515e-05	Cds1
1.66484748743733e-05	Ypel4
1.67635101746132e-05	Dclk1
1.96108068867938e-05	Phactr1
2.01502222867196e-05	Igfbp4
2.22574883304812e-05	Kcnj9
2.50916625741848e-05	Rtn4
2.55559016777274e-05	Actr3b
2.5910401511436e-05	Tbr1
2.62216771607103e-05	Itpka
2.84343432147015e-05	C1qtnf4
2.99242539222078e-05	Ypel1
3.54455456726294e-05	Gabrd
3.72760385276808e-05	Lefty1
3.88308209203793e-05	Car11
3.90704505135506e-05	Dcbld1
3.90750131346361e-05	Ltk
4.00465053865432e-05	Kcnh2
4.00918683586722e-05	Dact2
4.18658925876185e-05	Sh3glb2
4.21582886354034e-05	Crhbp
4.56111338243647e-05	Car7
4.58807916613355e-05	Kif5a
4.69030407136737e-05	Arhgap44
4.89144564790782e-05	Kcnh3
5.04167986542119e-05	Efcab6
5.08075791464167e-05	Cecr6
5.1535201417379e-05	Ccno
5.30227444704223e-05	Ciart
5.41628227970317e-05	Slc8a2
5.42045105230299e-05	Ckmt1
5.46986791690241e-05	Klhdc1
5.48644059325305e-05	Wrap73
5.60686607032185e-05	Tmem158
5.83382736438868e-05	Cacna2d3
6.65935379920432e-05	Fndc5
6.70363222274672e-05	Isyna1
6.85510005256761e-05	Rhbdl1
6.95822256268035e-05	Pnkd
7.05063893176194e-05	Ybx3
7.31457133255921e-05	Tiam2
7.39891659003832e-05	Dab1
7.54455667106548e-05	St8sia3
7.59658264495167e-05	Rbfox3
7.85017673125804e-05	Tecr
8.04761295627082e-05	Epor
8.07003200820572e-05	Prkcz
8.1177060836747e-05	Fam132a
8.67058216646405e-05	Ankrd34a
9.03324524168772e-05	Bcl11a
9.18935224244744e-05	Gipc1
9.19201166691657e-05	Ccdc92
9.43343425297288e-05	Faim2
9.68692497544565e-05	Dync1li1
9.76692231771153e-05	Lmtk2
9.79328285968799e-05	Sez6
0.000101419017918641	Ssx2ip
0.000113504335254587	Lmo3
0.000125177346804342	Chrna5
0.000128586231422471	Htr1a
0.000132670391378704	Tubg2
0.000134740145618446	Rapgef6
0.000136936403995466	Iqsec2
0.000137666203024011	Slc30a3
0.0001386027036638	Stard10
0.000143994600838896	Kifc2
0.000151602568216864	Drd5
0.000152016733319445	Fbxo34
0.000153209593675024	Usp2
0.000154872530664417	Tlk1
0.000155566868451064	Cdh6
0.000167716205158193	Icam4
0.000171923595423442	Brsk1
0.000173440679085661	Pcnxl2
0.000176023430608934	Tyro3
0.000183242448731466	Zranb3
0.000183665166337986	Ntsr1
0.000186573215664095	Hrasls
0.000187327531824106	Cck
0.000188068488455532	Kat7
0.000188335908385468	Prkcb
0.000188724705370438	Slc22a17
0.000190652460787889	Pcdhac2
0.000191405269456874	Cd276
0.000195324011373054	Jph4
0.000200198867172634	Fzr1
0.000202256955416838	Fam49a
0.000202999240158841	Slitrk1
0.000203775942858184	Pcif1
0.000209581780801209	Map1lc3a
0.00021271549803175	Grm8
0.000212960348508886	Rhot2
0.000222478758461423	Tarbp2
0.00022412125209619	Tmem97
0.000224246185207957	Doc2a
0.000225430029371831	Cnst
0.00023826173807871	Adamts16
0.000238606649445842	Lzts3
0.000251857987701264	Fabp3
0.000252246406803584	Ntmt1
0.000252300052305534	Fam98c
0.000258166480992457	Cyb561
0.000259709614590694	Jph1
