ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_1244891	5.45294773406282e-16	1.40124397922212e-11	4.12103059747049	25.6415163660648	Cst7	cystatin F (leukocystatin)	2.72647386703141e-16	1	7.00621989611062e-12	1
ILMN_1253919	3.36904145477733e-13	4.32871291317065e-09	3.21346954410868	17.9166583372343	Ccl3	chemokine (C-C motif) ligand 3	1.68452072738866e-13	0.999999999999832	2.16435645658533e-09	1
ILMN_2670690	1.15849153619249e-12	9.72464414474306e-09	1.20480974834017	16.7018235483187	H2-Ob	histocompatibility 2, O region beta locus	5.79245768096243e-13	0.999999999999421	4.86232207237153e-09	1
ILMN_2983516	1.51373999217699e-12	9.72464414474306e-09	1.48900285563102	16.4485589747591	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	7.56869996088497e-13	0.999999999999243	4.86232207237153e-09	1
ILMN_2689785	3.16251536234716e-12	1.6253431453247e-08	2.00585266583522	15.7681992878996	Cd68	CD68 antigen	1.58125768117358e-12	0.999999999998419	8.12671572662351e-09	1
ILMN_2715840	4.79357920357105e-12	2.05301007990275e-08	1.4756369485624	15.3950500870461	C1qc	complement component 1, q subcomponent, C chain	2.39678960178553e-12	0.999999999997603	1.02650503995138e-08	1
ILMN_2648669	6.73033928772102e-12	2.24698579527324e-08	1.76624368557974	15.0962550404708	Gpnmb	glycoprotein (transmembrane) nmb	3.36516964386051e-12	0.999999999996635	1.12349289763662e-08	1
ILMN_2619620	6.99532488702413e-12	2.24698579527324e-08	1.57611870185003	15.0625709024748	C1qb	complement component 1, q subcomponent, beta polypeptide	3.49766244351206e-12	0.999999999996502	1.12349289763662e-08	1
ILMN_2992709	8.34741250985541e-12	2.38337176961949e-08	2.14275860506002	14.9092507579616	Trem2	triggering receptor expressed on myeloid cells 2	4.1737062549277e-12	0.999999999995826	1.19168588480975e-08	1
ILMN_2733733	1.84068592427385e-11	4.73001061960652e-08	2.02225607269035	14.2392878364653	Tlr2	toll-like receptor 2	9.20342962136926e-12	0.999999999990797	2.36500530980326e-08	1
ILMN_1223257	2.72497814769391e-11	6.36579667829912e-08	2.80860714684695	13.9164342081919	Ccl4	chemokine (C-C motif) ligand 4	1.36248907384695e-11	0.999999999986375	3.18289833914956e-08	1
ILMN_2748875	3.24391831076557e-11	6.94658073597857e-08	1.58765433609945	13.7749538692742	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1.62195915538279e-11	0.99999999998378	3.47329036798929e-08	1
ILMN_2646322	3.62817663173262e-11	7.17178883889486e-08	1.67890505784787	13.6847278087065	Samsn1	SAM domain, SH3 domain and nuclear localization signals, 1	1.81408831586631e-11	0.999999999981859	3.58589441944743e-08	1
ILMN_2831436	3.91629157945966e-11	7.1883531940982e-08	1.11645416675182	13.6234219265397	Fcrls	Fc receptor-like S, scavenger receptor	1.95814578972983e-11	0.999999999980419	3.5941765970491e-08	1
ILMN_1243451	5.37959892453988e-11	9.21597023759342e-08	1.52489626946497	13.3711467326781	Hvcn1	hydrogen voltage-gated channel 1	2.68979946226994e-11	0.999999999973102	4.60798511879671e-08	1
ILMN_2754698	6.72929139093347e-11	9.50080146110366e-08	1.65486186342228	13.195578534195	Cd84	CD84 antigen	3.36464569546673e-11	0.999999999966354	4.75040073055183e-08	1
ILMN_1224472	7.26951890387755e-11	9.50080146110366e-08	2.00983615584792	13.1354545703366	Ccl4	chemokine (C-C motif) ligand 4	3.63475945193878e-11	0.999999999963652	4.75040073055183e-08	1
ILMN_2687403	7.41685747498959e-11	9.50080146110366e-08	1.5264704988613	13.1198682664815	Fcgr3	Fc receptor, IgG, low affinity III	3.70842873749479e-11	0.999999999962916	4.75040073055183e-08	1
ILMN_2867147	7.7013244023369e-11	9.50080146110366e-08	1.91016840978736	13.0906734280139	Tyrobp	TYRO protein tyrosine kinase binding protein	3.85066220116845e-11	0.999999999961493	4.75040073055183e-08	1
ILMN_1252076	7.75415874220344e-11	9.50080146110366e-08	2.20283504261597	13.0853756669155			3.87707937110172e-11	0.999999999961229	4.75040073055183e-08	1
ILMN_1214715	7.76420713247371e-11	9.50080146110366e-08	1.70070871420095	13.0843723862707	Gfap	glial fibrillary acidic protein	3.88210356623685e-11	0.999999999961179	4.75040073055183e-08	1
ILMN_2878071	9.82269960580499e-11	1.1473359625926e-07	2.11719572444992	12.9032146231124	Lyz1	lysozyme 1	4.9113498029025e-11	0.999999999950887	5.73667981296298e-08	1
ILMN_2644350	1.15136454009593e-10	1.23849428223605e-07	0.778437724823122	12.7820125088259	Thy1	thymus cell antigen 1, theta	5.75682270047964e-11	0.999999999942432	6.19247141118024e-08	1
ILMN_2615380	1.1567055599356e-10	1.23849428223605e-07	1.83173254261106	12.7784947917709	Aspg	asparaginase homolog (S. cerevisiae)	5.78352779967801e-11	0.999999999942165	6.19247141118024e-08	1
ILMN_1212695	1.25913840668952e-10	1.29424318546803e-07	1.66083558806374	12.7141393881115	Gpr84	G protein-coupled receptor 84	6.29569203344762e-11	0.999999999937043	6.47121592734014e-08	1
ILMN_1216386	1.45428744272936e-10	1.40378637638132e-07	0.977953523420704	12.6054532395016	Cd86	CD86 antigen	7.27143721364679e-11	0.999999999927286	7.01893188190661e-08	1
ILMN_2776431	1.4749672009299e-10	1.40378637638132e-07	1.58340328573582	12.5948429424743	C1qa	complement component 1, q subcomponent, alpha polypeptide	7.37483600464951e-11	0.999999999926252	7.01893188190661e-08	1
ILMN_1220996	2.3096609671184e-10	2.11969135257291e-07	1.33556352512961	12.2615311131532	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	1.1548304835592e-10	0.999999999884517	1.05984567628646e-07	1
ILMN_3028575	2.93327350067637e-10	2.54522038163954e-07	1.42940071863673	12.0867652588457	Syngr1	synaptogyrin 1	1.46663675033818e-10	0.999999999853336	1.27261019081977e-07	1
ILMN_2769089	2.97142123396452e-10	2.54522038163954e-07	1.78619840717811	12.0773736211945	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	1.48571061698226e-10	0.999999999851429	1.27261019081977e-07	1
ILMN_2623280	3.42217226974441e-10	2.76980435821169e-07	1.56489506239843	11.975092219913	Osmr	oncostatin M receptor	1.7110861348722e-10	0.999999999828891	1.38490217910585e-07	1
ILMN_2731760	3.44918626543076e-10	2.76980435821169e-07	1.62438440760963	11.9694180305505	Myo1f	myosin IF	1.72459313271538e-10	0.999999999827541	1.38490217910585e-07	1
ILMN_2882088	4.17887025885137e-10	3.25407360732435e-07	1.30932881752317	11.8315813929555	5430435G22Rik	RIKEN cDNA 5430435G22 gene	2.08943512942568e-10	0.999999999791056	1.62703680366218e-07	1
ILMN_2847115	4.69516462255575e-10	3.54857780311221e-07	2.10314514935385	11.7485138403829	Hcar2	hydroxycarboxylic acid receptor 2	2.34758231127788e-10	0.999999999765242	1.77428890155611e-07	1
ILMN_2806700	5.99931346867394e-10	4.40469594870041e-07	1.25267867329641	11.5752050740986	Cyba	cytochrome b-245, alpha polypeptide	2.99965673433697e-10	0.999999999700034	2.2023479743502e-07	1
ILMN_1228657	6.90871331686152e-10	4.85621207514808e-07	1.9994126547702	11.476308708328	Fcgr2b	Fc receptor, IgG, low affinity IIb	3.45435665843076e-10	0.999999999654564	2.42810603757404e-07	1
ILMN_2663258	7.03373558779972e-10	4.85621207514808e-07	2.10883304871736	11.463788425529	Clec7a	C-type lectin domain family 7, member a	3.51686779389986e-10	0.999999999648313	2.42810603757404e-07	1
ILMN_2692797	7.18122967099767e-10	4.85621207514808e-07	1.25181957142962	11.4493137991151	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	3.59061483549883e-10	0.999999999640939	2.42810603757404e-07	1
