#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.00037609327722983; Statistic: 8.98052590698181; Expected: 4.98810333807622; Std.dev: 0.859357275474184; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128954; Statistic: 9.14311222714263; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 2032, up: 1348, down: 684
ProbeName	GeneSymbols	up
ILMN_2648669	Gpnmb	9.89984597938806e-14
ILMN_2609813	Chil1	1.08303807693629e-13
ILMN_2983516	Slc11a1	3.10445319181936e-13
ILMN_1244891	Cst7	8.00570930458058e-13
ILMN_2451022	Vim	1.96214323840199e-12
ILMN_1241695	Ms4a6d	4.01448080674981e-12
ILMN_2769918	Timp1	4.54480688636486e-12
ILMN_2769089	Serpinf2	4.91018603824688e-12
ILMN_2733733	Tlr2	4.97684746025142e-12
ILMN_1216386	Cd86	8.34661690920101e-12
ILMN_2715840	C1qc	9.85844374072068e-12
ILMN_1252076		1.01152323566358e-11
ILMN_2619620	C1qb	1.54967880408103e-11
ILMN_2831436	Fcrls	2.14456502311107e-11
ILMN_2670690	H2-Ob	2.76628826062887e-11
ILMN_1214715	Gfap	3.51914176487326e-11
ILMN_2689785	Cd68	3.81833411471285e-11
ILMN_3159170	Cd22	5.66066894965783e-11
ILMN_2754698	Cd84	6.36531151851055e-11
ILMN_1243451	Hvcn1	6.51438565790327e-11
ILMN_3001824	Serpinf2	6.60856038228143e-11
ILMN_2469329	Tnfrsf1a	6.92204090190776e-11
ILMN_2623280	Osmr	6.93798220366055e-11
ILMN_2776431	C1qa	7.11829494779476e-11
ILMN_2878071	Lyz1	8.95823209867429e-11
ILMN_3103896	Timp1	1.05249781246414e-10
ILMN_1220996	Ptpn6	1.05701802690515e-10
ILMN_2644175	P4ha3	1.05709562244258e-10
ILMN_2614655	Gpnmb	1.05894036492239e-10
ILMN_2748875	Fcer1g	1.2564808826555e-10
ILMN_2680142	Anxa5	1.34000049634341e-10
ILMN_1241171	Anxa3	1.42705067291947e-10
ILMN_2964185	H2-M2	1.61419711628013e-10
ILMN_2615380	Aspg	1.62957114636099e-10
ILMN_2687586	Cxcl16	1.70248520735555e-10
ILMN_2770066	Cyp4f18	1.73101197313035e-10
ILMN_2731760	Myo1f	1.81517629110737e-10
ILMN_2662802	Ptx3	1.82117336794522e-10
ILMN_2692797	Slc11a1	1.94707315246856e-10
ILMN_1246800	Serpina3n	1.95801553577848e-10
ILMN_2837671	Fblim1	2.23164546475591e-10
ILMN_2753809	Mmp3	2.77221348199668e-10
ILMN_2956092	Rassf4	2.78024696363505e-10
ILMN_3090207	Cyp4f18	3.12665145362783e-10
ILMN_2806700	Cyba	3.65073989581649e-10
ILMN_2640849	Glycam1	4.34570596837077e-10
ILMN_2486906	Wisp2	4.38943438043739e-10
ILMN_2507286	Tnfsf13b	4.42262481315076e-10
ILMN_2997494	Lox	5.12880171143215e-10
ILMN_2902979	Fas	5.55986003709907e-10
ILMN_1253919	Ccl3	5.65901272380223e-10
ILMN_1224472	Ccl4	6.11296868066825e-10
ILMN_3114585	Cd44	6.24077076033989e-10
ILMN_3006790	Hpse	8.71964472749191e-10
ILMN_2806180	Csf3r	9.40109329700223e-10
ILMN_1223257	Ccl4	1.08794251004952e-09
ILMN_2735961	Tlr13	1.10369419053087e-09
ILMN_2611180	Ccdc3	1.10979175247816e-09
ILMN_2663258	Clec7a	1.18509058550678e-09
ILMN_2687403	Fcgr3	1.18725286337119e-09
ILMN_2743013	Ncf4	1.25035140604593e-09
ILMN_2674884	Slc11a1	1.28339785084887e-09
ILMN_1238346	Tmem106a	1.29268685231211e-09
ILMN_2872058	Ctsh	1.30276829218721e-09
ILMN_2692615	Tgm2	1.46501214158897e-09
ILMN_2867147	Tyrobp	1.5534015951031e-09
ILMN_2646322	Samsn1	1.62111760719032e-09
ILMN_2602711	Tgfbr1	1.65232534231202e-09
ILMN_1228657	Fcgr2b	1.65342071364461e-09
ILMN_2635197	Psapl1	1.8691444810094e-09
ILMN_3001827	Serpinf2	1.95430041186737e-09
ILMN_2962737	Aoah	2.09588456941281e-09
ILMN_2992709	Trem2	2.48727503298235e-09
ILMN_1253813	Nckap1l	2.4907920062033e-09
ILMN_2991255	Gpr84	2.54862032294304e-09
ILMN_2619408	Atf3	2.65826055981657e-09
ILMN_2705628	Clec4d	2.66794729181e-09
ILMN_2599692	Gldn	2.72827098746659e-09
ILMN_1212695	Gpr84	2.75575343836405e-09
ILMN_1239843	Clec7a	2.78331563286347e-09
ILMN_2744193	Phyhd1	2.91551396487569e-09
ILMN_2694960	Msn	2.975280250922e-09
ILMN_2718843	Fam111a	3.19260445722328e-09
ILMN_3135781	Anxa3	3.23439846921366e-09
ILMN_2841290	Tnfaip2	3.63739559777736e-09
ILMN_2602352	Ms4a6d	3.65215620720628e-09
