#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.00037609327722983; Statistic: 8.98052590698181; Expected: 4.98810333807622; Std.dev: 0.859357275474184; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128954; Statistic: 9.14311222714263; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 4, up: 1, down: 3
ProbeName	GeneSymbols	up
ILMN_1258292	Afap1	5.55988274917072e-06
ILMN_1222101		1.3980120597983e-05
ILMN_1235581	Samd14	3.73991901341885e-05
ILMN_1221469		3.74576620743697e-05
ILMN_2827780	Phf11b|Phf11c|Phf11d|Phf11a	5.62873225359419e-05
ILMN_2667300	Ing5	6.88418843406105e-05
ILMN_2844032	Itga11	7.61383836310844e-05
ILMN_1214150	Gng2	7.75694329512326e-05
ILMN_2632509	Gm14057|Ppp1r14c	8.57412317922694e-05
ILMN_1230281	Ophn1	0.000102355436217475
ILMN_1215466	Oscar	0.000104504336652293
ILMN_2785558	Zfp11	0.000110398277934511
ILMN_3069800	Kdm2b	0.000118298551737319
ILMN_2502798	Unc13d	0.000119870842045792
ILMN_2750035	Nrxn1	0.000127715059509559
ILMN_2705878	Limd2	0.000128309474207577
ILMN_1222637	Anp32a	0.000129249745413274
ILMN_1249142	Cpd	0.000130545069559853
ILMN_2705743	Ola1	0.000141096094894738
ILMN_1214459	Krt35	0.000147370572367937
ILMN_2816356	Ercc6l2	0.000150442406885796
ILMN_2634796	Socs1	0.000153260061729421
ILMN_2655804	Zfp790	0.000155783012208778
ILMN_2659119	Olfr1271|Olfr1273-ps	0.000170036638987321
ILMN_2960700		0.000172908722699439
ILMN_1237114	Tmem154	0.000198856733741306
ILMN_2611180	Ccdc3	0.000200796500107915
ILMN_1220530	Smc1a	0.000216619143040321
ILMN_1219223	Pou3f2	0.000217411839926841
ILMN_2460179	Tph2	0.000231078333708227
ILMN_2701778	Itga11	0.000234283234208303
ILMN_2693535	Nup107	0.000258423337846262
ILMN_2650289	Rin1	0.000264298993862695
ILMN_2863264	Ctdsp2	0.00027417193500724
ILMN_1238558	Arid3b	0.000276403658581772
ILMN_1216422	Tm9sf1	0.000277239293488466
ILMN_2671460	Dclre1c	0.000285510096937567
ILMN_2642806	Prpf40a	0.000313976487076207
ILMN_2644432	Drd5	0.00031635789509492
ILMN_2900980	Rasl10b	0.000323204073597761
ILMN_1240867	Frg1	0.000329629991211708
ILMN_2623983	Egr2	0.000332793457288157
ILMN_2607160	Pum2	0.000341535220283699
ILMN_3007728	Heatr3	0.000346064662997363
ILMN_2856946	Amer3	0.000346707728091203
ILMN_2988191	Arl5b	0.000365634155866092
ILMN_2952730	Fbxl18	0.00037110643654655
ILMN_3002095		0.000374770287111923
ILMN_2906855	Ky	0.000375054135773307
ILMN_1239027	Epn2	0.000381686038194753
ILMN_3120510	Gm4070|Gm1966|Gvin1	0.000382241168705666
ILMN_1226169	Srsf11	0.000399840046968449
ILMN_2456495	Zfp553	0.000411006803875895
ILMN_1223575		0.000413077812576195
ILMN_2424408	Zzz3	0.000420624692631301
ILMN_2757125	Prc1	0.000445826721557358
ILMN_2851710	Clk4	0.000452790595474018
ILMN_1254561	Csf1	0.000458244555512013
ILMN_1243011	Zfp108	0.000471299299849463
ILMN_3007813	Rif1	0.000474745378863461
ILMN_2751822	Dsg1a|Dsg1b	0.000506601123930219
ILMN_2911788	Tmprss13	0.000519788734137747
ILMN_2650468	Olfr53	0.000522322429498357
ILMN_2588521	Scyl3	0.000576305824440756
ILMN_2668260	Kcnh1	0.000593139490115894
ILMN_2978009	N4bp2	0.000593793730099232
ILMN_1224336	Spsb1	0.00060944518339205
ILMN_1244872	Acsl4	0.000610393735855467
ILMN_2447456	Kdm6a	0.000613918305060188
ILMN_1246459	Sash1	0.0006192820400354
ILMN_3154640	Aff1	0.000619879732495345
ILMN_3161495	Olfr804|Olfr782	0.000654632082738913
ILMN_2424555	Zkscan6	0.000663891068032351
ILMN_2639818	Acan	0.000681758073079819
ILMN_3061192	Spag9	0.000682652003401572
ILMN_1227839	Brwd1	0.000694721299546273
ILMN_2682307	Acbd5	0.000697823372675406
ILMN_2656211	Irgc1	0.000717532055857656
ILMN_2704372	Adar	0.000722954949566475
ILMN_1258136	Ccdc88a	0.000727342615612542
ILMN_2844040	Arsj	0.000736768315944191
ILMN_2764974	Ccdc121	0.000756252877352552
ILMN_1226950	Cdkn2a	0.000766454587232173
ILMN_2683613	Nlk	0.000769917363841751
ILMN_2673879	Itih2	0.000792488346956178
ILMN_2946541	Gja6	0.000796754950673024
ILMN_2804559	Tmem108	0.000839273384106723
ILMN_2747037	Dkk1	0.000844511010548029
ILMN_3155994	Mapk10	0.000845675821585767
ILMN_1235669	Nvl	0.000851213741516513
ILMN_1236009	Camk2b	0.000863654656610746
ILMN_2984828	Ly6e	0.000868919704698987
