#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.017890345790752; Statistic: 4.77253769445879; Expected: 3.56661490754679; Std.dev: 0.499279056171721; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649399; Statistic: 2.6517748139787; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 22, up: 16, down: 6
#GSE64398.1_het_TPM: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_het_TPM	GeneSymbols
2.41332006456973e-09	Tjp3
7.88206001349592e-07	Mapk15
7.60591854405577e-06	Ubxn11
1.14466249338342e-05	Cdk1
1.57889774690285e-05	Hexb
1.58060250027259e-05	Rassf2
2.26215175730275e-05	Dnaaf1
2.27201047363581e-05	Nmu
2.27774085514185e-05	Nfatc1
2.3902197266256e-05	Got1l1
2.58910735184573e-05	Mettl20
4.12686041606651e-05	Yy2
4.29830706999836e-05	Nt5e
4.86926995494631e-05	Zzz3
5.44099608836338e-05	Sap18
5.46496374225665e-05	Daw1
5.70872800683829e-05	Lrrc36
5.75743802295131e-05	Fgfr1
7.1592081318925e-05	Olfr951
8.29811816064917e-05	Akap14
9.09528728097319e-05	Klkb1
9.52931184602732e-05	Setd7
0.000105455434451263	Trmu
0.000117594579430634	Ano5
0.000122305007764459	Gnb2l1
0.000137929666760493	Col4a4
0.000140878631374871	Spag8
0.000169366753407616	Tnfrsf1a
0.00018794560118766	Slc5a1
0.00020688761389299	Olfr796
0.000219204612174505	Dkc1
0.000227931021605947	Osgin1
0.000231364752263323	Hnrnpr
0.000258549681846236	Speer8-ps1
0.000276298450269716	Olfr424
0.000277124349776386	Olfr180
0.000281342778655699	Map10
0.000310811566524252	Top3a
0.000311777442895146	Adora2b
0.000322628218015821	1700003M02Rik
0.000323402540244812	Trim30a
0.000338928961298486	Dmrt3
0.000341583755132948	Shcbp1l
0.000343192287170724	Csf3
0.000359427279607572	Ctsw
0.000366877629746718	Pla2g4a
0.000403063404341708	Acot1
0.00040643961388169	Morn3
0.000415222666010986	Mdh1b
0.000434084280891745	Ddx58
0.000436622763542434	Dera
0.00045245525429729	Spag6
0.000495891670340961	Lrrc23
0.000501414288074172	Lrrc34
0.000534290111181296	Slc30a5
0.000544669670614593	Reg3a
0.000549550987092948	Ssfa2
0.000578582392627171	Olfr713
0.000580814423750962	Pak1ip1
0.000601680295494829	Trpv4
0.000627599322303708	Notch2
0.000652640526011942	Rsg1
0.000667790432076034	Olfr299
0.000725698224592396	Gm1661
0.000729332590332543	Nono
0.000756104437088821	Clint1
0.000766497774526227	Svs1
0.000790234661676128	Gatm
0.000792039556439866	Myo7a
0.000792216480378209	Ace
0.000795988444574843	Nsmce2
0.000822324780853411	Serinc5
0.000846924426080177	Unc50
0.000860835772796671	Pbxip1
0.000860837662615386	Gsn
0.000866432098761036	Slc44a3
0.000873593739355242	Snap23
0.000876489464527533	Slc44a1
0.000903933060379404	Tmem59
0.000956916515229831	Hhip
0.000993718033535247	Phf6
0.000996376833571624	Ranbp3l
0.00103310850116375	4930550C14Rik
0.00103621459367925	Dnali1
0.00104160313462067	F2rl3
0.00105553242635295	Ttc29
0.00105721197664222	Phyhipl
0.00105950410385344	Tsnaxip1
0.001078889988677	1700025F22Rik
0.00109484768688664	Odf3b
0.00109677883824212	Zfp689
0.00112191570455533	Pex2
0.00113061462411789	Cnppd1
0.00116708905766077	Prl3a1
0.00117471215294466	Serpina10
0.00118108160315596	Zfyve16
0.00118394886080873	Tlr2
0.00122125053887724	Glce
0.00122328477818966	Ccdc114
0.00123421055005041	Vwa3a
0.00127309480134564	Acadl
0.00131608548286118	Cd200r1
0.00131765003125261	Ifitm3
0.00132051828174601	Adam5
0.00132591488155586	Cdhr3
0.00133017598074752	Slc44a2
0.00134626009086417	Anln
0.00136530213836034	Sytl3
0.00141920475644434	Stra6
0.00148721703820336	Rasgrf2
0.00152514103870149	Rnf38
0.00153269788016105	Mapkapk3
0.00153638061364053	4933425L06Rik
0.00156546203374575	Bcl2
0.00156744806291728	Fgr
0.00159378409114031	Pdlim4
0.00160007829322681	Myo1d
0.00163483930521946	Ddx52
0.00169322066067856	Adipor1
0.00169358265642204	Kcnj14
0.00169492436733137	Cacng5
0.00171919666358962	Casc1
0.00172639407386784	Pf4
0.00173315697732246	Nadsyn1
0.00176439716954725	Ccdc108
0.00185957492518762	Vcam1
0.00187490682258271	Pcdhga1
0.00189289497229813	Mlf1
0.0019315735401437	Dnah2
0.00195368900294792	Slpi
0.00196670694554641	Ces1d
0.0020261398949495	Kif9
0.00204777782297419	Zfp946
0.00206792403187946	Lsr
0.00211601328802786	Bbox1
0.00213675738220703	Nup98
0.00215772103647068	Kcnk5
0.00216630091769862	Foxf1
0.00221428185602468	1700007G11Rik
0.00225891795244047	Saa4
0.00228268425351829	T
0.00232835131481214	4931428L18Rik
0.0023305007566012	F8
0.00233088145391981	Tmem143
0.00240763412478539	Eno4
0.00241099517707848	Pmch
0.00243327481935014	Tekt1
0.00246781927364263	Rarres2
0.00248314093900464	Psd2
0.00248474534974766	Tmem33
0.00250968994481543	Slc38a5
