ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_2644350	3.65409928447988e-12	9.38993893132795e-08	0.708821055196241	11.9733973469647	Thy1	thymus cell antigen 1, theta	1.82704964223994e-12	0.999999999998173	4.69496946566397e-08	0.999999999998173
ILMN_2737163	3.08157434154481e-08	0.000395936079273385	0.596224186656071	7.7261435922029	Sqle	squalene epoxidase	1.5407871707724e-08	0.999999984592128	0.000197968039636692	0.999999999998173
ILMN_2606693	9.68031274650533e-07	0.00658869385758875	0.836200327377887	6.34033409209614	Insig1	insulin induced gene 1	4.84015637325266e-07	0.999999515984363	0.00414591661078246	0.999999999998173
ILMN_2731057	1.02559736274098e-06	0.00658869385758875	-0.737743187705096	-6.31783599286112	Psme2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	0.999999487201319	5.12798681370491e-07	0.999999487201319	0.0131773877151775
ILMN_2600348	2.67829968463083e-06	0.0137648533991917	0.948599420084692	5.94670608827871	Sqle	squalene epoxidase	1.33914984231542e-06	0.999998660850158	0.00860303337449482	0.999999999998173
ILMN_1256089	4.61727430324432e-06	0.0197750162950782	0.440024732750895	5.73816817041657	Rasgef1b	RasGEF domain family, member 1B	2.30863715162216e-06	0.999997691362848	0.0118650097770469	0.999999999998173
ILMN_1225730	6.01116163566676e-06	0.0220669743645327	0.495456558707275	5.6376022036361	Fdps	farnesyl diphosphate synthetase	3.00558081783338e-06	0.999996994419182	0.0128724017126441	0.999999999998173
ILMN_3159720	8.14285124893833e-06	0.026155856067996	-0.439007142753831	-5.52221884965969	Rin2	Ras and Rab interactor 2	0.999995928574376	4.07142562446917e-06	0.999999487201319	0.0523117121359921
ILMN_2749695	1.94145966171882e-05	0.0554329876968761	-0.411934091827539	-5.19345290598017	Enox1	ecto-NOX disulfide-thiol exchanger 1	0.999990292701691	9.7072983085941e-06	0.999999487201319	0.0831494815453142
ILMN_1238143	2.28210844833998e-05	0.0586433407969925	0.738521769883399	5.13247927129245	Ucn3	urocortin 3	1.14105422416999e-05	0.999988589457758	0.0418881005692804	0.999999999998173
ILMN_1224336	4.09309807616814e-05	0.0924989796194747	-0.592560891003786	-4.91244767950461	Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	0.999979534509619	2.04654903808407e-05	0.999999487201319	0.131475426579116
ILMN_3076625	4.59698219402988e-05	0.0924989796194747	0.550968942702855	4.86875854715787	Nr2f2	nuclear receptor subfamily 2, group F, member 2	2.29849109701494e-05	0.99997701508903	0.0660706997281962	0.999999999998173
ILMN_1218551	5.03360058507202e-05	0.0924989796194747	0.380437008641906	4.83461760035136	Mapk3	mitogen-activated protein kinase 3	2.51680029253601e-05	0.999974831997075	0.0660706997281962	0.999999999998173
ILMN_3115917	5.24690574538351e-05	0.0924989796194747	-0.55499086444971	-4.81900204711124	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	0.999973765471273	2.62345287269176e-05	0.999999487201319	0.13252016378733
ILMN_2721980	5.62099401198095e-05	0.0924989796194747	1.55794114877565	4.79309010340281	AW551984	expressed sequence AW551984	2.81049700599047e-05	0.99997189502994	0.0660706997281962	0.999999999998173
ILMN_3134844	6.16376450061979e-05	0.0924989796194747	0.641198688166429	4.75840815717163	Dysf	dysferlin	3.08188225030989e-05	0.999969181177497	0.0660706997281962	0.999999999998173
ILMN_2774160	6.18843431314146e-05	0.0924989796194747	-0.559806771782879	-4.75690525975207	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	0.999969057828434	3.09421715657073e-05	0.999999487201319	0.13252016378733
ILMN_2481799	6.65081735681809e-05	0.0924989796194747	0.449867828775277	4.72979288423323	Zfp317	zinc finger protein 317	3.32540867840904e-05	0.999966745913216	0.0660706997281962	0.999999999998173
ILMN_1254082	7.18770605717344e-05	0.0924989796194747	0.68038683649821	4.70058099062043	Chodl	chondrolectin	3.59385302858672e-05	0.999964061469714	0.0660706997281962	0.999999999998173
ILMN_2661650	7.19920454679338e-05	0.0924989796194747	0.44607735549065	4.69997948309056	Reep6	receptor accessory protein 6	3.59960227339669e-05	0.999964003977266	0.0660706997281962	0.999999999998173
ILMN_2743650	8.50647639245683e-05	0.0992280867601688	0.341095654031387	4.63718178573915	Setd5	SET domain containing 5	4.25323819622842e-05	0.999957467618038	0.0713201873588713	0.999999999998173
ILMN_2972292	8.81294749732133e-05	0.0992280867601688	-0.279789395324553	-4.62385822081438	Esrra	estrogen related receptor, alpha	0.999955935262513	4.40647374866066e-05	0.999999487201319	0.154517636251576
ILMN_2729458	8.88137134873285e-05	0.0992280867601688	0.42957880657626	4.62094671290075	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	4.44068567436643e-05	0.999955593143256	0.0713201873588713	0.999999999998173
