ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_2723524	2.41332006456973e-09	6.20150856992483e-05	0.741054501223709	8.81911491301796	Tjp3	tight junction protein 3	1.20666003228486e-09	0.99999999879334	3.10075428496241e-05	0.99999999879334
ILMN_1260161	5.25470667566395e-07	0.00675150987222682	0.788057927993335	6.57955194426377	Mapk15	mitogen-activated protein kinase 15	2.62735333783197e-07	0.999999737264666	0.00337575493611341	0.99999999879334
ILMN_2637052	1.63593485559559e-06	0.0140128726614133	-0.750257239287983	-6.13668425747024	Rad23a	RAD23a homolog (S. cerevisiae)	0.999999182032572	8.17967427797796e-07	0.999999182032572	0.02101930899212
ILMN_2648455	7.59246951713951e-06	0.0326826578805264	0.442445304475236	5.54879446503056	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	3.79623475856975e-06	0.999996203765241	0.0196095947283159	0.99999999879334
ILMN_2766809	7.60591854405577e-06	0.0326826578805264	0.692667452132528	5.54812219676954	Ubxn11	UBX domain protein 11	3.80295927202789e-06	0.999996197040728	0.0196095947283159	0.99999999879334
ILMN_2657844	7.63108328922281e-06	0.0326826578805264	0.365037926055907	5.54686751753841	Cdk1	cyclin-dependent kinase 1	3.81554164461141e-06	0.999996184458355	0.0196095947283159	0.99999999879334
ILMN_2629420	1.05373500018173e-05	0.0386826118566712	0.572663554211196	5.42446272677475	Rassf2	Ras association (RalGDS/AF-6) domain family member 2	5.26867500090864e-06	0.999994731324999	0.0225648569163916	0.99999999879334
ILMN_2736489	1.57889774690285e-05	0.0507161692527031	0.63374090457877	5.2714950086269	Hexb	hexosaminidase B	7.89448873451424e-06	0.999992105511265	0.0289806681444018	0.99999999879334
ILMN_2499888	1.94770798197852e-05	0.0556113911254468	0.350666503841643	5.19224050098174	Zzz3	zinc finger, ZZ domain containing 3	9.73853990989262e-06	0.99999026146009	0.0312814075080638	0.99999999879334
ILMN_2636285	4.29830706999836e-05	0.0821938249309888	0.586018938691774	4.89403793014267	Nt5e	5' nucleotidase, ecto	2.14915353499918e-05	0.99997850846465	0.0475230654431284	0.99999999879334
ILMN_2696418	4.52430351460549e-05	0.0821938249309888	1.02597246050173	4.8747552241606	Dnaaf1	dynein, axonemal assembly factor 1	2.26215175730275e-05	0.999977378482427	0.0475230654431284	0.99999999879334
ILMN_1240160	4.54402094727161e-05	0.0821938249309888	0.25153369702782	4.87311886980434	Nmu	neuromedin U	2.27201047363581e-05	0.999977279895264	0.0475230654431284	0.99999999879334
ILMN_1246289	4.78043945325121e-05	0.0821938249309888	1.32189745018368	4.85403390216872	Got1l1	glutamic-oxaloacetic transaminase 1-like 1	2.3902197266256e-05	0.999976097802734	0.0475230654431284	0.99999999879334
ILMN_1219722	5.1672349495484e-05	0.0821938249309888	0.315857688754548	4.82475895869254	Gm13769|Olfr1274-ps|Olfr1506	predicted gene 13769|olfactory receptor 1274, pseudogene|olfactory receptor 1506	2.5836174747742e-05	0.999974163825252	0.0475230654431284	0.99999999879334
ILMN_3160574	5.17821470369147e-05	0.0821938249309888	0.746539246589447	4.8239603205455	Mettl20	methyltransferase like 20	2.58910735184573e-05	0.999974108926482	0.0475230654431284	0.99999999879334
ILMN_2625867	5.43898972748963e-05	0.0821938249309888	-0.339413239693904	-4.80547420863479	Sept6	septin 6	0.999972805051363	2.71949486374482e-05	0.999999182032572	0.168183095668702
ILMN_2594165	5.56553327673001e-05	0.0821938249309888	-0.65344768295241	-4.79682081512372	Poc1a	POC1 centriolar protein homolog A (Chlamydomonas)	0.999972172333616	2.782766638365e-05	0.999999182032572	0.168183095668702
ILMN_2675581	5.75743802295131e-05	0.0821938249309888	0.524528494329853	4.78406627807864	Fgfr1	fibroblast growth factor receptor 1	2.87871901147566e-05	0.999971212809885	0.0493162949585933	0.99999999879334
ILMN_2860271	6.30199605731976e-05	0.0840915478343511	-0.52596746456688	-4.75006336577168	Fbxw2	F-box and WD-40 domain protein 2	0.999968490019713	3.15099802865988e-05	0.999999182032572	0.168183095668702
ILMN_2851889	6.54485331628993e-05	0.0840915478343511	-0.406274157044565	-4.73583602712706	Prkrip1	Prkr interacting protein 1 (IL11 inducible)	0.999967275733419	3.27242665814496e-05	0.999999182032572	0.168183095668702
ILMN_2594376	8.25372083213302e-05	0.0995702865936227	0.326715498254972	4.64853556471957	Yy2	Yy2 transcription factor	4.12686041606651e-05	0.999958731395839	0.0662799575697882	0.99999999879334
ILMN_2604263	8.52452155916916e-05	0.0995702865936227	-0.488705353441862	-4.63638411672794	Hmces	5-hydroxymethylcytosine (hmC) binding, ES cell specific	0.999957377392204	4.26226077958458e-05	0.999999182032572	0.182545525421642
