#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.017890345790752; Statistic: 4.77253769445879; Expected: 3.56661490754679; Std.dev: 0.499279056171721; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649399; Statistic: 2.6517748139787; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 23, up: 16, down: 7
ProbeName	GeneSymbols	up
ILMN_2644350	Thy1	1.82704964223994e-12
ILMN_2737163	Sqle	1.5407871707724e-08
ILMN_2606693	Insig1	4.84015637325266e-07
ILMN_2600348	Sqle	1.33914984231542e-06
ILMN_1256089	Rasgef1b	2.30863715162216e-06
ILMN_1225730	Fdps	3.00558081783338e-06
ILMN_1238143	Ucn3	1.14105422416999e-05
ILMN_3076625	Nr2f2	2.29849109701494e-05
ILMN_1218551	Mapk3	2.51680029253601e-05
ILMN_2721980	AW551984	2.81049700599047e-05
ILMN_3134844	Dysf	3.08188225030989e-05
ILMN_2481799	Zfp317	3.32540867840904e-05
ILMN_1254082	Chodl	3.59385302858672e-05
ILMN_2661650	Reep6	3.59960227339669e-05
ILMN_2743650	Setd5	4.25323819622842e-05
ILMN_2729458	Idh1	4.44068567436643e-05
ILMN_2594521	Nsdhl	4.99285939658922e-05
ILMN_3099741	Armc9	5.64177193245031e-05
ILMN_3155626		6.39948498529611e-05
ILMN_2675090	Dusp15	6.57635038241078e-05
ILMN_2967255	Rnf138rt1	6.8505970602997e-05
ILMN_1239134	Lypd1	6.88360636620726e-05
ILMN_2721975	AW551984	6.91258461848865e-05
ILMN_2671204	Psme1	7.1659669327187e-05
ILMN_1229529	Hsd17b7	7.5280149515838e-05
ILMN_2780125	Rasgef1c	8.09873193708822e-05
ILMN_2754067	Osbpl10	0.000100622695119725
ILMN_2654952	Hmgcs1	0.000104372767145624
ILMN_2645275	Mvd	0.000115254836312163
ILMN_3144535	Dmrtc1a	0.000117035284949042
ILMN_2738750	Hpcal1	0.000120715083738562
ILMN_2907721	Tmem17	0.000120909154579371
ILMN_2621021	Ptpn14	0.000124129610808465
ILMN_2972794	Tcfl5	0.000136188306115769
ILMN_2713285	Fhl1	0.000136339767213911
ILMN_1218573	Magi3	0.000147318016724007
ILMN_2594525	Nsdhl	0.000150599146361442
ILMN_2764301	Mmab	0.000152585401136364
ILMN_2841720	Ttc3	0.000165915749138233
ILMN_1239210	Scn11a	0.000171174097781568
ILMN_2639157	Cyp19a1	0.000182409864761898
ILMN_2846432	Vill	0.000187379940303467
ILMN_1232561	Rxrg	0.000187869448868693
ILMN_2839788	Tal1	0.000191295777391794
ILMN_1241465	Ly6h	0.000194135748172704
ILMN_2588051	Tubb5|Tubb2a|Tubb2b	0.000198636522546618
ILMN_3147584	Fads3	0.000212673825616217
ILMN_2651556	Otof	0.000219811584609906
ILMN_1228564	Gucy1a3	0.000226859298470489
ILMN_3132186	Pcyt1b	0.00022694662001412
ILMN_2662690	Ptprf	0.000231045516801761
ILMN_1240445	Stard4	0.000231764188565831
ILMN_1218602	G6pc3	0.000237407447541417
ILMN_1250582	Slc5a5	0.000241351084475469
ILMN_2655204	Apc	0.000254772735560606
ILMN_2768087	Col6a1	0.000266642731082455
ILMN_2594139	6330403K07Rik	0.000273481824883939
ILMN_2620406	Nptx2	0.00028005346895716
ILMN_1253008	Acat2	0.000293715592691477
ILMN_1253601	Aacs	0.000294124254767498
ILMN_2715744	Mapk3	0.00029745675341618
ILMN_2961282	Slitrk1	0.000297723491154654
ILMN_2676208	Hap1	0.000299381906115813
ILMN_1248130	Mgat5b	0.000335713289880616
ILMN_2985732	Grxcr2	0.000336284635818824
ILMN_2843019	Klhdc1	0.000353664250858894
ILMN_1222123	Camk2d	0.000367144786286464
ILMN_2426983	Ids	0.000369337538077912
ILMN_2689346	Negr1	0.000380939388375813
ILMN_2667144	Exog	0.000386448107396962
ILMN_1213692	Pcbp3	0.000388728572920071
ILMN_3093622	Adar	0.000404661153443515
ILMN_1217021	Sfxn3	0.000412197783360534
ILMN_2682811	Rnf14	0.000436670249393749
ILMN_2823778	Msmo1	0.000459568564230468
ILMN_2789089		0.000463118697599471
ILMN_1217341	Cryz	0.000465653315578469
ILMN_1220815	Syt5	0.000470508455360292
ILMN_1255629	Lppr1	0.000471217886628168
ILMN_3117381	Fhl1	0.00047275781824946
ILMN_1212902	Rab4a	0.000476769196406687
ILMN_2649636	Klhdc1	0.000477480161722103
ILMN_3115242	Negr1	0.000481865043350525
ILMN_2752064	Htr1d	0.000527499497645883
ILMN_1229662	Tmem132e	0.000532168128288704
ILMN_2942314	Dzip3	0.000535826590896763
ILMN_1241211	Gucy1a3	0.000540219630182296
ILMN_2725402	Nsdhl	0.00054087684383827
ILMN_1215120	Sema4a	0.000565522390812404
ILMN_1251234	Fancg	0.000567980491488992
ILMN_3093817	Shprh	0.000570071507497412
ILMN_2703286	Rnf38	0.000571811238738638
ILMN_2913989	Myzap	0.000581998957598317
ILMN_2731769	Plekhb2	0.000592625678565598
ILMN_2686745	Rgs12	0.000593603101943903
ILMN_3162354	Plxnd1	0.000601384521854767
ILMN_2686003	Spats2l	0.000609031930460003
ILMN_2761691	Kir3dl2|Kir3dl1	0.000612867507586657
ILMN_2619249	Snx14	0.000624649697285196
ILMN_1227463	Tsnax	0.000631312228271698
ILMN_1222870	Baalc	0.000635860064433583
ILMN_2691014	Klhl14	0.000636010902190377
ILMN_3120194	Arhgap6	0.00063668875273603
ILMN_2802244	Usp11	0.000637016489694909
ILMN_2458671	Vldlr	0.000644279532580281
ILMN_2726174		0.000644799719023
ILMN_2704467	Smarcd1	0.000645644068891841
ILMN_3078388	Cd209b	0.000647335176026855
ILMN_1245272	Insig1	0.000650839264300069
ILMN_2728889	Sdk1	0.000651515892070171
ILMN_1251000	Tac1	0.000652440891136128
ILMN_1213618	Chfr	0.000666904220669624
ILMN_1255939	Cdh4	0.000671958133368431
ILMN_2985788	Gpr150	0.000678361342971233
ILMN_2756023	Pcsk9	0.000680123071916557
ILMN_1259388	Col6a1	0.000686600284406421
ILMN_2729364	Glra2	0.000687620761159517
ILMN_2748897	Ly6h	0.000690516905951172
ILMN_1235149	Pcsk4	0.000704629086924889
ILMN_2703023	Fcho1	0.000725928687392296
ILMN_2693459		0.000727412429888454
ILMN_2648548	Casp7	0.000732685027374844
ILMN_1254497	Clcf1	0.000735427976147363
ILMN_2779913	Lnx2	0.000761436314422837
ILMN_2944939	Camk1	0.000765066195992516
ILMN_1216661	Col6a2	0.00079261573915119
ILMN_1256263	Camkk2	0.000794529566800808
ILMN_1240987	Scrn1	0.000797015671669136
ILMN_1245714	Fgf22	0.000811087083093117
ILMN_2697433	Tmem184b	0.000821490252458346
ILMN_1231901	Rasgef1c	0.000827893575425989
ILMN_3158509	Mup5	0.00083029484421481
ILMN_1256463	Tmem159	0.000840967606630541
ILMN_2608151	Fcrl1	0.000862863916769901
ILMN_2615081	C2cd4c	0.000865805823859138
ILMN_1227131	Ehbp1l1	0.000868837108162479
ILMN_2663114	Skp2	0.000878608728843565
ILMN_3088934	2700094K13Rik	0.000886553346595147
ILMN_1244829	Hap1	0.000886879233762279
ILMN_2735422	Ift81	0.000907218778928507
ILMN_1241857	Nap1l1	0.000920739377255187
ILMN_2686104	Plcz1	0.000938172299865515
ILMN_2676214	Hap1	0.000964137460213777
ILMN_2725286	Atp6ap2	0.000970177461521044
ILMN_1238823	Olfr161	0.000974819528404265
ILMN_2592321	Cdh13	0.000977001447320676
ILMN_1240103	Gapvd1	0.00098283145638526
ILMN_2697270	Scamp4	0.000994968607346551
ILMN_2659063	Add1	0.0010010351161249
ILMN_2755578	Nnat	0.0010117669877262
ILMN_1257965	Ldha	0.00102860366080137
ILMN_2834808	Ucn	0.00103524810733127
ILMN_1253982	Ly6h	0.00103586736225638
ILMN_1240566	Cep170	0.00103687824048941
ILMN_2677144	Izumo4	0.00104742375358467
ILMN_2589422	Col6a1	0.00105529898573837
ILMN_2676294	Dnph1	0.00105593970390965
ILMN_2651137	Lck	0.00105899423653075
ILMN_3162180	Zfp941	0.00106370137637891
ILMN_2615312	Ntn3	0.00108041521948482
ILMN_1218037	Tmie	0.00109157214046451
ILMN_2711356	Kiss1r	0.00111697934734215
ILMN_2872782	Grm7	0.00112106683306265
ILMN_1236611	Mark1	0.00113008138301781
ILMN_3124083	Edil3	0.00113249712274751
ILMN_1241561	Tctn3	0.00113516873431598
ILMN_2672778	Preb|Abhd1	0.00114935286146872
ILMN_2788836	Myh6|Myh7	0.00115401581169725
ILMN_2656748	Ackr1	0.00115906344048663
ILMN_2638850	Celf4	0.00115946164924413
ILMN_3163196	Nr2f2	0.00118376006672992
ILMN_2678547	Lypla1	0.00120681827981224
ILMN_1226114	Myh10	0.00120873325852391
ILMN_1218582	Mapk9	0.00121474634476186
ILMN_2721360	Galk1	0.00124544978624778
ILMN_3160107	Pik3r6	0.00125729776173292
ILMN_1243701	Grik1	0.00126279887996188
ILMN_2524189	Slitrk1	0.00129176438713732
ILMN_2717447	Qrfpr	0.00132555302389225
ILMN_1237934	Trh	0.00133108072870979
ILMN_2756900	Ecel1	0.00133259856727899
ILMN_1251096	Spock2	0.00133853554089932
ILMN_1225261	Uchl1	0.00134421399752287
ILMN_2831407	Brinp3	0.00134601425576248
ILMN_2420366	Zrsr2	0.00134928864738851
ILMN_2905040	Dip2b	0.00136806010308642
ILMN_1216337	Sla	0.00136931891065128
ILMN_3150724	Ppfibp1	0.00137426163591263
ILMN_2606579	Tecr	0.0013862021325282
ILMN_2627920	Lpcat2	0.0013896054488784
ILMN_3066821	Dmrtc1a	0.00139013202907042
ILMN_3142384	Gprasp1	0.00142272056154499
ILMN_3161612	Ireb2	0.00143265813597303
ILMN_3078870	Sema6b	0.00143898339705141
ILMN_2924041	Dos	0.00146383092773438
ILMN_2693461	Ssbp2	0.00146797424702548
ILMN_1233029	Npas3	0.00147969164698984
ILMN_2726412	Esr1	0.00149473566020628
ILMN_2901409	Tmem255a	0.00150287110090761
ILMN_2912872	Ndfip1	0.00150293977831885
ILMN_2628657	Atp6ap2	0.00152505187889535
ILMN_1221820	Faim3	0.00154359130147362
ILMN_2630536	Mllt10	0.00154395839613177
ILMN_1240125	Gnb4	0.00155581503010763
ILMN_2671411	Klc1	0.00161044645462198
ILMN_1257987	Slc7a3	0.00162112554539218
ILMN_1224770	Gprasp1	0.00162263614476237
ILMN_1247989	Gtf2ird2	0.00162786130282833
ILMN_1231836	Esyt3	0.00166361507679248
ILMN_2873131	Trp53i11	0.00166468071953113
ILMN_2965132	Tspyl3	0.00166626029890939
ILMN_2892650	Tmem35	0.00167273375400984
ILMN_1239592	Fam110b	0.00168383188812724
ILMN_2938973	Papl	0.00169674671859916
ILMN_2659168	Cib2	0.0016985212358181
ILMN_3147433	Nptxr|Npcd	0.00170754479792544
ILMN_1244364	Pnck	0.00171404055351047
ILMN_1216639	Pak3	0.00172914514449341
ILMN_1219106	Rrad	0.00173256200821095
ILMN_1237695	Pfkp	0.00173621515667909
ILMN_1225376	Smoc1	0.0017414324089197
ILMN_2724303	Dtl	0.00175526299666885
ILMN_3104094	Aida	0.0017577883613298
ILMN_2642148	Pbx3	0.00179651997444322
ILMN_2740965	Prss8	0.00180023135966783
ILMN_1246405	Ykt6	0.00180111833580255
ILMN_1239102	H2-Eb1	0.00181035895044663
ILMN_2867382	Psd4	0.00182413004674728
ILMN_2680673	Fign	0.0018257156244864
ILMN_1247078	Ogt	0.00185012145214901
ILMN_1230145	Acvr2b	0.00186157732379942
ILMN_2738638	Gjd2	0.00186164521176364
ILMN_1247861	Cdh2	0.00186994097365416
ILMN_3138674		0.00188460843882188
ILMN_2692306	Suv39h1	0.00189037746055313
ILMN_1228165	Tbc1d9	0.00190723917572822
ILMN_2659503	Cdh13	0.00193955623571555
ILMN_2671253	Gspt2	0.00194344350966393
ILMN_2684397	Lrrc24	0.00197979271730162
ILMN_1223916	Kir3dl1|Kir3dl2	0.00198186161556291
ILMN_1235354	Prkar1b	0.00198332756526852
ILMN_1221665	Mak	0.00198418721560844
ILMN_2719755	Cartpt	0.00198637572433101
ILMN_2712867	Timp2	0.00200848471920954
ILMN_1213958	Sec23a	0.00200874778859621
ILMN_2671128	Dnah1	0.00201795612077209
ILMN_2758878	Saraf	0.00202215214502373
ILMN_2798138	Gipc2	0.00203132843375402
ILMN_3007020	Snx32	0.00203517266338936
ILMN_1233549	Sgcz	0.00203906165298435
ILMN_2928320	Atp6v0d1	0.00204589789514608
ILMN_3102277	Musk	0.00204675814026032
ILMN_2756950	Trim54	0.00206516467479257
ILMN_2518412	Grb10	0.00206702900079598
ILMN_2612868		0.00207903449848393
ILMN_2615821	Ngb	0.00208268178207924
ILMN_2742626	Spin1	0.00209312537226488
ILMN_2596851	Lasp1	0.00210218129877205
ILMN_2959956	Mmab	0.00210445180973462
ILMN_3028493	Ppp2r2b	0.002109756294648
ILMN_2856187	Pcnxl4	0.00213120581257997
ILMN_3096933	Top1mt	0.00215107942195271
ILMN_1248672	Slc6a7	0.00215830945803871
ILMN_2998738	Gm5148	0.00218734297280385
ILMN_1231651	Lancl2	0.00220422573610932
ILMN_3043669	Sla	0.00221563060501809
ILMN_3156343	Wars	0.0022269271940643
ILMN_2637792	Cryz	0.00224251375279123
ILMN_2970788	Marc2	0.00225261230764069
ILMN_2605960	Rab19	0.00226535129817377
ILMN_2955937	Chia1	0.00227935130047738
ILMN_1227722	Tgfb1i1	0.00231231585482939
ILMN_1252063	Cdc25c	0.0023160269337255
ILMN_1217408	Prkacb	0.00233982833218771
ILMN_1257193	Ppm1a	0.00234147538552059
ILMN_2688075	Cyp51	0.00239276505875287
ILMN_2617194	Rarb	0.00240185776665122
ILMN_1250182	Cep164	0.0024252693865559
ILMN_2911307	Ppp1r26	0.0024292238555264
ILMN_3161105	Ahnak2	0.00243467100197749
ILMN_2741828	Doc2a	0.00244073991685642
ILMN_1253204	Hipk3	0.0024413081994394
ILMN_2828265	Sept5	0.00247579153692818
ILMN_1248099	Col16a1	0.00250256423656905
ILMN_2658108	Dgke	0.00252027432179989
ILMN_2623393	Apoa1	0.0025219513868084
ILMN_3101815	Calca	0.00255759339034297
ILMN_2821381	Megf11	0.00255991074345305
ILMN_1221102	Arl5a	0.00256979975619816
ILMN_2656871	Tmem97	0.00258206019615525
ILMN_2867696	Cdc42bpb	0.00259466650904378
ILMN_1251426	Klf7	0.00260347617905525
ILMN_2668020	Syt9	0.00260399820392317
ILMN_3152380	Flot2	0.00263531023451042
ILMN_2627081	Dkkl1	0.00264919973987567
ILMN_1248692	Cacng3	0.00265875770421997
ILMN_2701891	Marcksl1	0.00266756674346171
ILMN_1247080	Sptlc3	0.00267718180435402
ILMN_2418483	Zbtb8b	0.00268074859687954
ILMN_3119478	Camk2d	0.00268317937231531
ILMN_2827607	Afmid	0.00269310590168752
ILMN_2943972	Cxx1c	0.00269952165229684
ILMN_3147259	Prok2	0.0027161511421789
ILMN_2884728	Tcea2	0.00272102484810927
ILMN_2512663	Wnt4	0.00273350252532856
ILMN_1254554	Rmnd5a	0.00277282169905455
ILMN_1242170	Adra2a	0.00278340698075066
ILMN_1215599	AW551984	0.0027886104093323
ILMN_2941280	Artn	0.00282308361999145
ILMN_2848305	Pnma1	0.002827057143116
ILMN_2630772	Tceal5	0.00282805448802362
ILMN_2803334	Alg2	0.00284215678289063
ILMN_1241367	Gpx1	0.00288971981367456
ILMN_1250346	Cux1	0.00289308938015722
ILMN_1234902	Hnf1b	0.00290759803560843
ILMN_2619348	Trdmt1	0.00290992125837083
ILMN_2650447	Col23a1	0.00291165614107426
ILMN_1218474	Lppr1	0.00291666797115576
ILMN_2752580	Dkkl1	0.00291745543000159
ILMN_2895873	Ngb	0.00296533956537415
ILMN_1225704	Stmn3	0.0029779419173734
ILMN_2986393		0.00299110607245614
ILMN_1217298	2900011O08Rik	0.00299189162849163
ILMN_1248916	Lypd3	0.00300012186604028
ILMN_1214515	Usp8	0.00300227390188779
ILMN_2696199	Prosc	0.00300583956417954
ILMN_2616565	Slc2a3	0.00301316092836515
ILMN_2628658	Atp6ap2	0.003015252262818
ILMN_2918509	BC024139	0.00301921440011566
ILMN_1225859	Khnyn	0.00304758724515593
ILMN_2892480	Dpcd	0.00308078853435691
ILMN_1251876	Srpk2	0.00308109678934609
ILMN_2725902	Vstm2a	0.00309765490306876
ILMN_2608746	Ltbp3	0.00312295231855512
ILMN_2665411	Nnmt	0.00313358739409471
ILMN_3007271	Prmt6	0.0031342262757417
ILMN_2521340	Trhr	0.00314382903922806
ILMN_2859377	Mapk15	0.00317648290743203
ILMN_3129213	Tro	0.00317871172037969
ILMN_1228822	Cep41	0.00317993864300587
ILMN_2709166	Susd2	0.00318577315949429
ILMN_1238119	Itgav	0.00319213683052305
ILMN_2425569	Zan	0.00322387872216686
ILMN_2898578	Atp6v1c2	0.00325252810776889
ILMN_2843891	Cacng3	0.0032970915639015
ILMN_2445477	Wars	0.00330686380877626
ILMN_2650574		0.00331301101388627
ILMN_2613601	Mzb1	0.00332759544499005
ILMN_2732594	Atl1	0.00333836068250225
ILMN_2605703	Ufsp1	0.00335080660052951
ILMN_1240943	Rxfp3	0.00335996694863589
ILMN_2883952	Ydjc	0.00337145038328193
ILMN_2831283	Tmem43	0.00337945926682785
ILMN_1249313	Rabl3	0.00338005004305429
ILMN_2648687	Nxph4	0.00338982385069011
ILMN_3132588	Abi3bp	0.00339135084148762
ILMN_2727239	Pcdh10	0.00340038035425775
ILMN_2781557	Cyp46a1	0.00341229376212001
ILMN_1252464	Pcsk4	0.00341850564634975
ILMN_2697220	Figf	0.00342373561122623
ILMN_2637241	Dhps	0.00343146160817766
ILMN_2711523	Grm8	0.00343905388391997
ILMN_2865527	Krt12	0.00344604460273132
ILMN_2648397		0.00344619518631222
ILMN_1220654	Wdr66	0.00344989187727472
ILMN_1247017	Gigyf2	0.00345733812190195
ILMN_1250114	Mast1	0.00347255533450122
ILMN_2598074	Fbxo16	0.0034823249169488
ILMN_1219757	Vmn1r206|Vmn1r212|Vmn1r205	0.00349189757526582
ILMN_1221719	Bscl2	0.0034976937526385
ILMN_1213337	Zcchc12	0.00351927391582959
ILMN_2773879	Inpp4a	0.00352013454340985
ILMN_2773191	Gnao1	0.00352553840487582
ILMN_1231792	Tmem215	0.00353189877303551
ILMN_3094608	Nelfe	0.00357776308080499
ILMN_2591425	Gucy1a3	0.00358581890301686
ILMN_2746870	Nog	0.0035938704875732
ILMN_2630789	Ankrd6	0.00360467075631104
ILMN_2604179	Lrrc3	0.00360628537508542
ILMN_3015003	Nrxn2	0.00362915205617615
ILMN_2598883	Poldip3	0.00362947670769552
ILMN_1241271	Smarcd1	0.0036581118577626
ILMN_2704097	Serpina11	0.00368481213606083
ILMN_2643212	Rprm	0.00371045576440719
ILMN_2625148	Tmem132c	0.00371622013996109
ILMN_2870487	Cpne2	0.0037182383755349
