#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 0, up: 0, down: 0
#GSE64398.1_het_TPM: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_het_TPM	GeneSymbols
0.000125074687506084	Cebpg
0.000291197439441587	Olfr574
0.000436888967177482	Zbtb40
0.000667630648630628	Ubxn4
0.00102712306556	Olfr1437
0.0010633255869576	Adgrg1
0.0014265641921795	Mrs2
0.00161690038904442	Mark1
0.00166145616504774	Cep170b
0.00170793398136715	Chka
0.00183574495886307	Psg25
0.00207348297516938	Sipa1l3
0.00221609240115111	Rnf10
0.00223515503094004	Mib1
0.00291618892163001	Mepe
0.0029213483486782	Tgfbrap1
0.00295039400009386	Saa3
0.00318938347252626	Olfr1404
0.00324349742004118	Golga4
0.00327645856334659	Myo9a
0.00338522822366911	Tacc3
0.00341729631298106	Man1a2
0.00341742304592609	Rbm26
0.00342015556842383	Ank2
0.0037202200136568	Nlrp14
0.00378136304693526	Chd5
0.00378789725946567	Syp
0.00390619024417879	Cdyl2
0.00404065554307459	Vopp1
0.00411018120572423	Arhgap44
0.00412541300479084	Abcc5
0.00433769051950228	Acvr1b
0.00445542586070296	Lcor
0.00449717780530164	Rnf183
0.0045418466905902	Ncaph
0.00462042193901173	Ros1
0.00490666503319926	Ppargc1b
0.00508548046513843	Reep1
0.00517318825919755	Cdh6
0.00529533601960836	Dlc1
0.00560801130689144	Rusc2
0.00568260596004441	Hsf5
0.005742644342005	Foxb2
0.00588838558442597	Dync1li2
0.00590090429545366	Tarsl2
0.00597200187350847	Smad2
0.00610090071088236	Iffo2
0.00620041470234773	Serinc3
0.00635548569070816	Pitpnm3
0.0063705761631176	Fv1
0.00644464551868335	Rbm28
0.0065712086390171	Tmtc4
0.00662604549633828	Sfxn3
0.00666970408394505	Zfp677
0.00667298564725532	Spen
0.00680432987955516	4931440F15Rik
0.00684951094953448	Grin2b
0.00699865212094415	Srpk2
0.00701962283718543	Mcc
0.00714473774434128	Trpc5
0.00719861275978675	Trove2
0.00720685590111923	Fbxo28
0.00722417387268785	Ntn1
0.00724791204338301	Spink7
0.00727727278932554	Slc35e1
0.00745710783611879	Cyp2d10
0.00754241129120011	Scamp1
0.00773797064995344	Usp9x
0.00782865554800501	Ahdc1
0.007833906003983	Natd1
0.00783718983888196	Ckap4
0.00791461902317362	Gm14137
0.00796178425914069	Icmt
0.00800602006861212	Ska3
0.00801838722443304	Spink12
0.00802965723296731	Zswim2
0.00803407826070248	Zfp597
0.00812889163399392	Kif21a
0.00813389996950686	Olfr463
0.00820716778322299	Ldb2
0.00825028777276376	Utp6
0.00826743008205283	Gak
0.00828413526169066	Prex1
0.00830021138406923	Whrn
0.00834518870432399	Gm12185
0.00838506289316711	F3
0.00847862830361907	Csgalnact2
0.00853667939914986	Fbxl19
0.00855673858245904	Olfr270
0.00872224914355368	1110059G10Rik
0.00894681362458201	Gan
0.00899782708382606	Nlgn2
0.0090698527325748	Brd4
0.00911733112765461	Myh10
0.0091204800491488	Vgf
0.00919312069551557	Lcn10
0.00919356097458712	Lox
0.0092814543538567	Ppm1a
0.00931170306483123	Bbx
0.00950517290185318	Mesdc2
0.00957822358506132	Adgrl3
0.00965841922047322	Pank4
0.00978751005394701	Asprv1
0.00985085436705884	Scyl3
0.00994156976468628	Rassf5
0.00998327047600936	Stat6
0.00999141961706635	Rab11fip2
0.0100247157551201	Ttyh3
0.0101820894041163	Hoxa9
0.0101893902033406	Nln
0.0102659484544378	Kcna2
0.0102878127975642	Pcdhb8
0.010355585775103	Acvr2b
0.0104478070998631	Pde4dip
0.010494366882945	Prkacb
0.0105004636425201	Zfp655
0.0105110910832315	Ttc39b
0.0105495742441454	Cacng2
0.0105784590699874	Sowahb
0.0106287163466271	Slc36a1
0.0107235118390494	Dcaf5
0.0107268621291817	Nyap2
0.0108890562367948	Olfr228
0.0110703664634232	Tspyl3
0.0111377341041021	Pip4k2b
0.0111541485841848	AI846148
0.0111579193557918	Tenm4
0.011292659763251	Mapk8
0.0113518562766198	Tmem65
0.0115519282990219	Arnt
0.0116045176730345	Gm5113
0.0116382745366396	Phf21a
0.0116731228225502	Ksr2
0.0117028546448404	Rsad1
0.0117191183688697	Frs2
0.0117355615761963	Senp6
0.0118261296343972	Slc7a12
0.0118513860145353	Klf7
0.011890799339785	Tmem169
0.011934620739926	Helz
0.011957715265589	Slc25a44
0.0119907062288726	Brd8
0.012040790235864	Hamp2
0.012092939398126	Map6
0.0121182279350906	Ep400
0.0121344712634859	Ago3
0.0121450230783974	Zdhhc17
0.0121642787632058	Pou2f2
0.0121664029085612	Spock2
0.0121727759871772	Mst1r
0.012196894488562	Tob2
0.0122402142608639	Lrriq4
0.0123438976100192	Pgk2
0.0123957026222348	Dab2ip
0.0124281782393222	Bmpr2
0.0125626889175711	Frmpd3
0.0126327980068562	Nrxn3
0.0126349355194049	Shc3
0.012639329818232	Fam155a
0.0126569902644057	Lin54
