#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 13, up: 9, down: 4
#GSE64398.1_het_TASTPM: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_het_TASTPM	GeneSymbols
5.4047078360316e-14	Thy1
4.87782824049911e-07	Cxcl1
6.25390795921914e-06	Acat2
7.61891617365706e-06	Sqle
2.03089757743794e-05	Nsdhl
3.59475679249579e-05	Prtn3
3.81812277947563e-05	Map6
4.16763988497245e-05	Birc3
4.85170836882654e-05	Tecr
9.77694998947076e-05	Scaper
0.000116631102441805	Dusp1
0.000200055808711596	Trat1
0.000216837718457563	Cend1
0.000224472241844564	Hoxa6
0.0002375127543622	Qrfpr
0.000257154418478282	Idh1
0.000264719716637825	Pgam1
0.000269090703237846	BC048546
0.000292425349538216	Tmsb10
0.000318229091776497	Dnajc5b
0.000361490430952157	Sema4a
0.000369544701412093	Fstl1
0.000417826553380288	Wac
0.000439712345887915	Grem2
0.000441416221811718	Tm6sf1
0.00046442262687831	Tas2r114
0.000500435848394649	Exoc3l2
0.000501812124647735	Coq10b
0.000539895241761628	Sumo1
0.000594635907604489	Osgepl1
0.000625075831725263	Opn1mw
0.000629596190750939	Pip5kl1
0.000679233430361299	Itgb3bp
0.000708893439625286	Esr2
0.000746492858969366	1700019G17Rik
0.00075705501319391	Sec14l3
0.00078931814916829	Chrna4
0.000815902612100641	Abhd16a
0.000846344862007487	Fdps
0.000875153039102374	Cav2
0.000882634544100332	2310022A10Rik
0.000896083019965877	Tktl1
0.000909902167701765	Capn13
0.000967296244857323	Zfand6
0.000991487202118502	Taar7f
0.00100016869817221	Trim61
0.00102469357958203	Doc2a
0.00102578850383107	Prm3
0.00107490017578751	Afg3l2
0.00108048849954946	Atn1
0.00109162977280782	Aifm3
0.00110728283104824	Ddx1
0.00114731865664787	Satb2
0.00116642995848571	Msmo1
0.00127985991793829	Ufsp2
0.00133802129209987	Zfp811
0.00136405856100015	Tcl1b4
0.00140960968065244	Gimap7
0.00154614193527599	Tmem97
0.00157938675488769	Abi2
0.00158474277370332	Ssbp2
0.00163081099592357	Cd79a
0.0016387273807644	Lrrc3
0.00169059197431862	Fam214b
0.00179353666976566	Mid1ip1
0.00179791147737957	Supt20
0.00182952154672881	Fgf12
0.00185431739817431	Agbl4
0.00186146913792977	Crhr2
0.00188685335951618	Wnt5a
0.00196845765842926	Mmab
0.00199489228126453	Lamc2
0.00201076944200621	Slc5a5
0.00204878235210757	Calca
0.00205082922327587	Gm7120
0.00209070238554223	Fam221a
0.00213568919072328	Ifna12
0.0021767885198832	Cd2
0.00220464344960157	Olfr446
0.00227937398423837	Whrn
0.00232018922758491	Map3k6
0.00239122827830615	Rpia
0.00242543981332695	Mid1
0.0024892128647125	Camk2d
0.00250041529441602	4930539E08Rik
0.00254375494320975	Cyr61
0.00259078499610652	Suclg2
0.0026016618512045	Shisa5
0.00264855790167313	Rab4a
0.00273680822469204	Abhd10
0.00273691044332096	Olfr64
0.00275164763768684	Ift81
0.00276258841173905	Wap
0.00280486889929722	Teddm2
0.00281395429241315	Cd177
0.00290443223500666	Col26a1
0.00290626930080953	Ift22
0.00294162295881508	Olfr555
0.00298752990053887	Cux2
0.00299044513771552	Teddm1b
0.00306414491777939	Actl9
0.00309328430938047	Nup50
0.00309423825609172	Gm13177
0.00309454077735727	Kcnc4
0.0031011628818402	Fcgr4
0.00315022025729567	Slc6a7
0.00318944031571783	Qrfp
0.0032022676640066	Idh3g
0.00321708902496063	2410137M14Rik
0.00331920872296205	Hsd17b7
0.00332269145975978	Usp43
0.00333383257048769	Ryr2
0.00334128490639659	Stambpl1
0.00337110411011572	Lpgat1
0.00337324976032645	Tango2
0.00342231635729111	Aldh3a1
0.00345216519026223	Hcfc1r1
0.00346039922106888	Olfr553
0.00356183572696449	Fam159b
0.00367769940335458	Gadd45a
0.00371204263204566	Usp22
0.00375907972408599	Hmgcs1
0.00382475765951925	Cyp51
0.00389194201766164	Olfm2
0.00394345139845722	Il1b
0.00400611169589221	Gp1ba
0.00404037834757224	Lce3f
0.00404687847348711	Timp2
0.00405853156044427	Cbln4
0.00411507364924835	Rbm43
0.00412977562050132	Tti1
0.00416781611951337	Tpbg
0.0041680745845913	Fos
0.00418224112908627	Arl6
0.00425580537106508	Lrrc4c
0.00432479721578266	Kcnd1
0.00434971900782245	Uqcrc2
0.00443498214182897	Cplx1
0.00447803301318774	Pcdh10
0.00454157518247542	Rsad1
0.00454736572585038	Copg1
0.00459712056118066	Cd44
0.00461466620266749	Ttc23
0.00462107835124228	Agpat9
0.00466197971786064	Pla2g2d
0.00472845589869446	Zfp217
0.00476791922138603	Dpp10
0.00489400218988413	Tnpo1
0.00490519260246826	Cyb561
0.00493060057583555	Dyrk1b
0.00497345681139412	Pdk2
0.00499755033568835	Polr3f
0.00503649574694821	Hr
0.00503831642832183	Vamp5
