#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 1763, up: 917, down: 846
#GSE64398.1_ho_TASTPM: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_ho_TASTPM	GeneSymbols
7.00278589400786e-14	Thy1
2.44856694147934e-11	Fcgr4
1.61908280893335e-09	Ccl4
2.05409979439358e-09	Ccl3
4.73699180278478e-08	Oas2
5.19100193099427e-08	Tecr
8.05774121251358e-08	Lsp1
1.32427319535643e-07	Acat2
2.21064340494148e-07	Gusb
3.64956772016746e-07	Ifi27l2a
3.98366557260654e-07	Arsa
8.31499193054618e-07	Map6
1.13968120960801e-06	Cd52
1.15857481202406e-06	Rab37
1.16260817168294e-06	C1qb
1.34594433710547e-06	Dennd1c
1.3476881295624e-06	B2m
1.72276068457779e-06	Cst7
1.95388627925153e-06	Tlr2
2.06137653990075e-06	Lrrc3
2.25063352565444e-06	Sema4a
2.43813409628184e-06	Gpr84
2.4804070568361e-06	Clec7a
2.82306473822593e-06	Tac2
3.40888201805896e-06	Lgmn
3.55341175517515e-06	Rsad1
3.93008691141643e-06	Acaca
4.22235391052079e-06	Nppa
4.26598028872127e-06	Dbndd1
5.04077313751943e-06	Ccl12
5.24014453977651e-06	Cend1
5.37236847062742e-06	Slamf9
5.65806242002198e-06	Sgpp2
5.9095593515137e-06	Lgals3bp
6.32143135175746e-06	Lyz1
6.80993775359364e-06	Frmd3
6.82111337102241e-06	Cdt1
8.60434777548233e-06	Fcer1g
8.62012518536215e-06	Syndig1l
9.36227095738309e-06	Ptpn5
9.52393183990458e-06	Mx2
1.05322713377824e-05	Usp18
1.17167395015976e-05	Slc15a3
1.4034409001117e-05	Htr1d
1.40919732690779e-05	Ch25h
1.43831722621859e-05	C1qa
1.47476688413533e-05	Tmem41a
1.50948237670903e-05	C1qc
1.52978202581483e-05	1700037H04Rik
1.5460172800164e-05	Dis3l
1.58795526520283e-05	Hr
1.59159813728831e-05	Oasl2
1.643605556122e-05	Ecel1
1.66446996407044e-05	Fcgr2b
1.88769209768983e-05	Cplx1
1.88845125373364e-05	Trh
2.14044690531032e-05	Myo1f
2.64742937918601e-05	Slc11a1
2.8363588950704e-05	Vwa5b2
3.0084401104799e-05	Slc25a18
3.07873869442802e-05	Slc38a8
3.13597622961721e-05	Bscl2
3.17733651539491e-05	Pip5kl1
3.19010950670058e-05	Adcyap1
3.30014998487299e-05	Zfp612
3.34458192777563e-05	Plekhb2
3.36485743350718e-05	Resp18
3.42440117521635e-05	Cdh7
3.42562474303693e-05	Rora
3.51342569027009e-05	Hcar2
3.61485099078036e-05	Mid1ip1
3.85610934548738e-05	Necab3
4.05054078890783e-05	Rnd2
4.1011017187505e-05	H2-M3
4.14850528279455e-05	Prdx4
4.20679959080617e-05	Pgd
4.31616992229858e-05	Trpc3
4.45682994361971e-05	Ehd4
4.46934459073539e-05	Arl11
4.49830029548696e-05	Fbxo18
4.49879481795475e-05	6330403K07Rik
4.75174411031168e-05	Sun2
4.83271773302298e-05	Tbc1d2b
4.95138653754039e-05	Faim2
5.11348571725522e-05	Rtbdn
5.20561975482492e-05	Zfp385a
5.25561620203156e-05	Tlr1
5.29910317945952e-05	St14
5.35524967186915e-05	Slc25a37
5.35573216591837e-05	Capn2
5.45089352151171e-05	Igf1
5.53699472440165e-05	Medag
5.62278000956329e-05	Ptpn6
5.70368702812294e-05	Col26a1
5.77527014898405e-05	Trav9d-4
5.81060427185382e-05	Fndc9
5.90211838307646e-05	Bace2
5.94136159373695e-05	Ifitm3
6.0432805463157e-05	Tmsb10
6.11038918042183e-05	Gpx3
6.25048491891149e-05	Anxa5
6.28973762937561e-05	Tnfsf13b
6.32707357647398e-05	Rspo1
6.46709419105549e-05	Renbp
6.50108022485318e-05	Copg1
6.51381860900462e-05	Isg15
7.01218333877821e-05	Nsdhl
7.11384738601651e-05	Kcna5
7.4128157519345e-05	Gpx1
7.43535625744235e-05	Lig1
7.45479642852211e-05	Rcan2
7.54818222276777e-05	Rab4a
7.55787268180821e-05	Col16a1
7.67273881421542e-05	Hyi
7.89681057572895e-05	Tango2
7.92976849581434e-05	Cpne9
7.97222666093678e-05	Ppp1r3f
7.99983227760328e-05	Cdh13
8.21155240554263e-05	Ly86
8.66334332971834e-05	Krt17
8.82813225949807e-05	Pbx3
8.8432782859376e-05	Ptch1
9.22937673111408e-05	Asb2
9.3634946571766e-05	Isl1
9.44172323271525e-05	G6pc3
9.65919534031903e-05	Gstp2
9.90184384657008e-05	Camk1
0.000101482479976763	Glrx
0.000102253784568813	Aifm3
0.000103504381209262	Cxcl16
0.000105866059776483	Ptprm
0.000106870397958589	Ppp1r26
0.000107070980969429	Fam20c
0.000108534445878578	Eml1
0.000109611328181374	Ccdc65
0.000110195754483766	Lrig1
0.000110455052220476	Inpp5a
0.000111615817164831	Hsf4
0.000113335656735881	Cd14
