#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 3, up: 3, down: 0
ProbeName	GeneSymbols	down
ILMN_2920753	Arhgef1	0.000330457752147167
ILMN_2627296	Pvr	0.00069376399748921
ILMN_2653842	Fam118b	0.00071417463206885
ILMN_2719860	Gpc5	0.000732251206530952
ILMN_1228667	Pcdhga10	0.00103290334725851
ILMN_2862465	Ghdc	0.00108052680479956
ILMN_1256776	Vmn1r83	0.00155015485523348
ILMN_2650868	Ino80c	0.00179881609255929
ILMN_3076491	Rab27b	0.00204819265256876
ILMN_2731057	Psme2	0.00254876729191029
ILMN_1231649	Vipr1	0.00256393111323299
ILMN_1217725	Lnpep	0.00261817138614107
ILMN_2620871	Hrh1	0.00264484414825136
ILMN_2724530	Pmm2	0.00269569370073274
ILMN_2696977		0.00280285111339854
ILMN_1244431	Sel1l	0.00293177075244176
ILMN_2638349	Papss2	0.00328432741268553
ILMN_2835003	Olfr773|Olfr772	0.00329858295485124
ILMN_1242109	Aoc2	0.00411130909131301
ILMN_2789862	B4galnt4	0.00458818530336385
ILMN_2503651	Usp9x	0.00464359784062737
ILMN_2733335	Sec1	0.00502519429618025
ILMN_1220022	Paox	0.00509257226268954
ILMN_2698889	Akp3	0.00551054878710506
ILMN_2722268	Cngb3	0.00557156226961261
ILMN_1218525	Il18r1	0.0058040443926093
ILMN_2588597	A830080D01Rik	0.00603527944001873
ILMN_2741611	Smo	0.00627115416807897
ILMN_2969314	Mtrr	0.00627402415247133
ILMN_3139986		0.00629843295127535
ILMN_2763748	Twf1	0.00636269616062039
ILMN_3122864	Aatf	0.00653342211840659
ILMN_2776271	Pcid2	0.0065494038207592
ILMN_2737429	H2-M10.2	0.00713011231937365
ILMN_2703948	Jph3	0.00757326963101503
ILMN_2608638	1700055N04Rik	0.00773868312928816
ILMN_2737338	Sos1	0.00777159793539487
ILMN_2924419	H2-Q7|H2-Q9	0.00784570401918714
ILMN_3040759	Alg6	0.0078536558906204
ILMN_2607474	Abcd4	0.00802281717962017
ILMN_1239653	Clcc1	0.00882923658939128
ILMN_1235811	Fam198b	0.00891461753996018
ILMN_1257856	Vmn1r5	0.00894019170700884
ILMN_2631094	Mark4	0.00907698876497332
ILMN_2590923	Idi1	0.00942253714878658
ILMN_2658219	M6pr	0.00950854547953311
ILMN_1215884	Pde4dip	0.00975510855419777
ILMN_2799648	Srgap3	0.0101437794928746
ILMN_2662545	Pomt1	0.0101904016365846
ILMN_2670486	Bcan	0.0102147694546009
ILMN_1233670	Nr4a3	0.0103835664836648
ILMN_2856865	Camk1g	0.010572419612225
ILMN_2452957	Vmn1r80	0.010671023162806
ILMN_2685393	Ccr5	0.0107038030964142
ILMN_1214945	Ablim3	0.0107877193292061
ILMN_3044544		0.010827732883087
ILMN_2653725	Inhbb	0.0113157548984791
ILMN_2593034	C1qtnf3	0.0113182240578537
ILMN_2743236	Ins1	0.011868049888207
ILMN_2610944	Fpr1	0.012197373317094
ILMN_1246239	Vash1	0.0126275218317677
ILMN_2624469	Oas1g	0.0128377254113247
ILMN_2703704	Minpp1	0.0131904877997293
ILMN_2915893	Scgb2b2|Scgb2b27|Scgb2b26|Scgb2b24	0.0131939546193645
ILMN_2482722	Tmc7	0.0133060840502192
ILMN_3087593	Gtf2a1	0.0137232802383662
ILMN_1229426	Gzmn|Gzmf	0.0139647040918201
ILMN_2625085	Prss46	0.0141330125338279
ILMN_2992517	Sept6	0.014289276515407
ILMN_1229904	Vmn1r214	0.0146892158974521
ILMN_2835694	Btbd17	0.0147216186895645
ILMN_2746985	Rhpn1	0.0147688552165643
ILMN_2715466	Irgq	0.0149670103348791
ILMN_3106388	Med1	0.0150532035975764
ILMN_3042783	Setdb2	0.0151076080427587
ILMN_1226520	Angpt1	0.0151870466590472
ILMN_2856628	Fam50a	0.0152125080271845
ILMN_3117788	Zfp27	0.0154528552232986
ILMN_1238893	Lime1	0.0154636997316616
ILMN_2479024	Ubap2l	0.015555353850935
ILMN_3073318	Tom1l2	0.0155662234156065
ILMN_2747281	Mrpl1	0.0155984088680915
ILMN_2638171	Tcl1	0.0156592473054189
ILMN_2848214	Npsr1	0.0156890668915251
ILMN_2617162	Marcksl1	0.0157515323990529
ILMN_2802643	Cyp2d40	0.0157757728647759
ILMN_2933834	Mib1	0.0157871660382106
ILMN_2825817	Spry4	0.0159853615459972
ILMN_2704119	Cul4a	0.0161634900231835
ILMN_2970715	Klk5	0.0162892855015072
ILMN_2733269	Hdgfrp3	0.0163628305234616
ILMN_3059135	Phrf1	0.0164532409082557
