#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 1371, up: 622, down: 749
ProbeName	GeneSymbols	down
ILMN_3047030	Il20rb	3.14173908576762e-10
ILMN_2721357	Lhfpl2	1.53443849405586e-07
ILMN_2874491	Tnip2	2.59086149416313e-07
ILMN_2790113	Mrpl57	3.97832377825057e-07
ILMN_2598766	Prox1	5.74276726094485e-07
ILMN_2724339	Dtna	6.25138795468237e-07
ILMN_2920736	Bbc3	7.24622406870122e-07
ILMN_2648006	Gria1	7.85700717670286e-07
ILMN_2710665	Kctd4	1.69304574683179e-06
ILMN_2668289	N6amt1	1.73798397113369e-06
ILMN_2648669	Gpnmb	2.45510024391232e-06
ILMN_2667889	Atf6b	2.50754247477836e-06
ILMN_3163577	Scn3b	2.56150601071407e-06
ILMN_3151149	Cpne8	2.82165215416952e-06
ILMN_2698843	Dcakd	3.0459988084464e-06
ILMN_1248802	Gria1	3.16387516897199e-06
ILMN_2648012	Gria1	3.21400792171597e-06
ILMN_1233857	Mcm6	4.07794735185046e-06
ILMN_1237725	Arsj	4.4342334397179e-06
ILMN_2883907	Lsm8	4.91191428493224e-06
ILMN_2737302	Cxcl12	4.91639735137349e-06
ILMN_2922728	Rwdd3	5.36231397250103e-06
ILMN_1221750	Mycl	5.69986188581861e-06
ILMN_2698799	Lrrc58|Actb	6.41432602530741e-06
ILMN_2966386	Rcl1	6.43177342875128e-06
ILMN_2644432	Drd5	6.74730676229059e-06
ILMN_3160507	Pm20d2	6.90280529558487e-06
ILMN_1216322	Hmgcs2	7.17213799363642e-06
ILMN_2447456	Kdm6a	7.73288581881643e-06
ILMN_2960982	Pex11a	8.67232868261272e-06
ILMN_2825574	Tubb2b	8.75105228727622e-06
ILMN_2742145	Kif27	8.84616277548298e-06
ILMN_1243177	Atp2b3	9.20139255753038e-06
ILMN_1229407	Hrk	9.30143384961972e-06
ILMN_2757838	Ippk	9.4137895807941e-06
ILMN_1238583	Aagab	9.58186096371786e-06
ILMN_3145213		9.67527733519896e-06
ILMN_1236539	Pfkl	1.0810452275347e-05
ILMN_2671473	C1ql2	1.09722834789679e-05
ILMN_2648080	Kntc1	1.10193337525648e-05
ILMN_2595441	Fam163b	1.15581288155814e-05
ILMN_2843782	Tpst2	1.29042626285456e-05
ILMN_2886896	Sdr42e1	1.3324176287533e-05
ILMN_2830686	Nfrkb	1.41611709032811e-05
ILMN_1246800	Serpina3n	1.56154900304906e-05
ILMN_1237323	Lman2l	1.60508284897431e-05
ILMN_2844032	Itga11	1.66662401962932e-05
ILMN_2699307	Hebp1	1.72280238107846e-05
ILMN_2701778	Itga11	1.88055526555764e-05
ILMN_1245093	Nphp1	1.8982449756072e-05
ILMN_2592358	Ankrd49	1.93719987612095e-05
ILMN_2700265	Pex11a	1.96314564616378e-05
ILMN_1216742	Trp63	2.00622415982654e-05
ILMN_2776230	Sumo3	2.02254441959001e-05
ILMN_1254634	Pxylp1	2.088154543774e-05
ILMN_1214998	Hsd11b1	2.10757188886979e-05
ILMN_2601215	Cyp7b1	2.19562170564175e-05
ILMN_2598103	Emp2	2.21097301310656e-05
ILMN_2666764	Cstad	2.38738621671222e-05
ILMN_2856946	Amer3	2.42203962678458e-05
ILMN_2727481	Palmd	2.45176540340278e-05
ILMN_2641229	Cd109	2.47839957058017e-05
ILMN_2920309	Trit1	2.49028281776942e-05
ILMN_3102333	Dars	2.66725190683066e-05
ILMN_2918977	March1	2.74028496305704e-05
ILMN_3123889	Zfp277	2.85373318307354e-05
ILMN_1228560	Epha7	2.85550639761388e-05
ILMN_1214118	Plekha2	2.96050314796477e-05
ILMN_1254380	Dbr1	2.99001086525081e-05
ILMN_3158250	Cxcl12	3.051734251473e-05
ILMN_2714874	Mterf1a|Mterf1b	3.07867986581012e-05
ILMN_2679619	Rb1	3.33781151885752e-05
ILMN_1249941	Gdf10	3.41001147897244e-05
ILMN_2880467	Cers4	3.5530268719673e-05
ILMN_3049032	Zbtb18	3.59005850424534e-05
ILMN_2736497	Fgf10	3.59056270187924e-05
ILMN_1222637	Anp32a	3.59777780518567e-05
ILMN_2792485	Ube2e2	3.61386386802558e-05
ILMN_1244801	Mturn	3.63864994336342e-05
ILMN_2686593	Lix1	3.75746484684049e-05
ILMN_2827997	Scgn	3.79287112166207e-05
ILMN_1220680	Lpin2	3.81407085011996e-05
ILMN_2885590	Coq4	3.97126190766784e-05
ILMN_2424268	Wtip	4.1019775708865e-05
ILMN_2634644	Sprn	4.20434243475954e-05
ILMN_2673776	E2f2	4.36195578919541e-05
