#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 0, up: 0, down: 0
ProbeName	GeneSymbols	down
ILMN_2972026	Cebpg	0.000125074687506084
ILMN_2774654	Olfr574	0.000291197439441587
ILMN_2910194	Zbtb40	0.000436888967177482
ILMN_2422153	Ubxn4	0.000667630648630628
ILMN_3099242	Chka	0.000853966990683574
ILMN_2844418	Olfr1437	0.00102712306556
ILMN_2738618	Adgrg1	0.0010633255869576
ILMN_2601877	Brd4	0.00113373159157185
ILMN_1241339	Man1a2	0.00113909877099369
ILMN_3079138	Ank2	0.00114005185614128
ILMN_3163283		0.00128573918535285
ILMN_2868102	Mrs2	0.0014265641921795
ILMN_1236611	Mark1	0.00161690038904442
ILMN_2685769	Cep170b	0.00166145616504774
ILMN_2996933	Psg25	0.00183574495886307
ILMN_3159149	Rusc2	0.00186933710229715
ILMN_2702171	Abcc5	0.00206270650239542
ILMN_2936403	Sipa1l3	0.00207348297516938
ILMN_1237595	Fv1	0.00212352538770587
ILMN_2789888	Rnf10	0.00221609240115111
ILMN_2655183	Lcor	0.00222771293035148
ILMN_2933834	Mib1	0.00223515503094004
ILMN_2753932	Rnf183	0.00224858890265082
ILMN_2503651	Usp9x	0.00257932354998448
ILMN_1222230	Mepe	0.00291618892163001
ILMN_1214561	Tgfbrap1	0.0029213483486782
ILMN_2772632	Saa3	0.00295039400009386
ILMN_2749382	Tarsl2	0.00295045214772683
ILMN_2870191	Ago3	0.00303361781587149
ILMN_2732308	Ppm1a	0.00309381811795223
ILMN_2920318	Olfr1404	0.00318938347252626
ILMN_2987937	Golga4	0.00324349742004118
ILMN_1240806	Myo9a	0.00327645856334659
ILMN_1235616	Scyl3	0.00328361812235295
ILMN_2897110	Tmtc4	0.00328560431950855
ILMN_1217021	Sfxn3	0.00331302274816914
ILMN_1229322	Tacc3	0.00338522822366911
ILMN_2772762	Hoxa9	0.0033940298013721
ILMN_2789611	4931440F15Rik	0.00340216493977758
ILMN_2852756	Rbm26	0.00341742304592609
ILMN_1215884	Pde4dip	0.00348260236662102
ILMN_3151335		0.00349452695342318
ILMN_2526208	Hecw2	0.00358389850020577
ILMN_1244992	Sptbn1	0.00359790923087456
ILMN_2653143	Fbxo28	0.00360342795055962
ILMN_2809768	Nlrp14	0.0037202200136568
ILMN_3145636	Chd5	0.00378136304693526
ILMN_2630182	Syp	0.00378789725946567
ILMN_2728967	Cdyl2	0.00390619024417879
ILMN_1244231		0.0039244031546234
ILMN_2613303	Brd8	0.00399690207629086
ILMN_2735429	Vopp1	0.00404065554307459
ILMN_2754435	Ldb2	0.00410358389161149
ILMN_2702434	Arhgap44	0.00411018120572423
ILMN_3082031	Whrn	0.00415010569203462
ILMN_2746036	Acvr1b	0.00433769051950228
ILMN_2662545	Pomt1	0.00434099575476592
ILMN_3068179	Atmin	0.00435241362786284
ILMN_2432039	Zzz3	0.00440611764530459
ILMN_2797642	Ncaph	0.0045418466905902
ILMN_2621507	Ros1	0.00462042193901173
ILMN_2742576	Chrna4	0.00488020851716468
ILMN_2771709	Ppargc1b	0.00490666503319926
ILMN_2593254	Stat6	0.00499163523800468
ILMN_3120454	Creb1	0.00501366312800789
ILMN_2791644	Reep1	0.00508548046513843
ILMN_2746695	Nln	0.0050946951016703
ILMN_2736042	Cdh6	0.00517318825919755
ILMN_2648569	Dlc1	0.00529533601960836
ILMN_3143833	Kif5a	0.00530047747785889
ILMN_3028493	Ppp2r2b	0.00533390263069177
ILMN_2727239	Pcdh10	0.00537901727196471
ILMN_2755163	Pigk	0.00547705471357172
ILMN_2625680	Galnt1	0.00547866228409798
ILMN_2625867	Sept6	0.00549152787122104
ILMN_2646836	Lrif1	0.00553500048656792
ILMN_2623967	Pip4k2b	0.00556886705205105
ILMN_1222629		0.00560581812384614
ILMN_2984916	Hsf5	0.00568260596004441
ILMN_1241055	Foxb2	0.005742644342005
ILMN_2728802	Arnt	0.00577596414951094
ILMN_2759943	Ptpn12	0.00581397154658301
ILMN_2690621	Bbc3	0.00581408758895053
ILMN_1254100	Senp6	0.00586778078809815
ILMN_3161897	Dync1li2	0.00588838558442597
ILMN_1228414	Smad2	0.00597200187350847
ILMN_2850170	Zc3h3	0.00602924050573051
ILMN_1254808	Bcor	0.00602988530235319
ILMN_2744006	Map6	0.00604646969906298
ILMN_2680903	Iffo2	0.00610090071088236
ILMN_2787844	Serinc3	0.00620041470234773
ILMN_2614324	Bmpr2	0.0062140891196611
ILMN_2640909	Nrxn3	0.0063163990034281
ILMN_3112334	Pitpnm3	0.00635548569070816
