#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 27 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=9, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=2, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=27
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=3, Batch_02_2013-03-04: n=24
#Factor: Gender (1 levels): M: n=27
#Factor: Timepoint (1 levels): 4_months: n=27
#
### Model test for factor: Genotype
#p-value: 0.00341538448223604; Statistic: 6.07194921713168; Expected: 3.99267108315257; Std.dev: 0.65223979958718; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.525043772698314; Statistic: 3.46322745656526; Expected: 3.84615384615385; Std.dev: 1.52779625592619; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#27 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 13, up: 9, down: 4
ProbeName	GeneSymbols	up
ILMN_2644350	Thy1	5.4047078360316e-14
ILMN_2763245	Cxcl1	4.87782824049911e-07
ILMN_2737163	Sqle	3.80945808682853e-06
ILMN_1253008	Acat2	6.25390795921914e-06
ILMN_2594525	Nsdhl	7.44875970296196e-06
ILMN_2594521	Nsdhl	1.01544878871897e-05
ILMN_2606579	Tecr	1.61723612294218e-05
ILMN_2902928		1.8368831434335e-05
ILMN_2744006	Map6	1.90906138973781e-05
ILMN_2758029	Prtn3	3.59475679249579e-05
ILMN_1247999	Birc3	4.16763988497245e-05
ILMN_1222878	Scaper	4.88847499473538e-05
ILMN_2652867	Trat1	0.000100027904355798
ILMN_2622983	Dusp1	0.000116631102441805
ILMN_2531773	BC048546	0.000134545351618923
ILMN_3067068	Tmsb10	0.000146212674769108
ILMN_3031099	Coq10b	0.000167270708215912
ILMN_2632940	Sumo1	0.000179965080587209
ILMN_2899318		0.000184566106769004
ILMN_2478697	Wac	0.000208913276690144
ILMN_2753173	Cend1	0.000216837718457563
ILMN_2886981	Tm6sf1	0.000220708110905859
ILMN_2724039	Hoxa6	0.000224472241844564
ILMN_1236030	Esr2	0.000236297813208429
ILMN_2717447	Qrfpr	0.0002375127543622
ILMN_2631179	1700019G17Rik	0.000248830952989789
ILMN_2729458	Idh1	0.000257154418478282
ILMN_2742576	Chrna4	0.000263106049722763
ILMN_2856157	Pgam1	0.000264719716637825
ILMN_2619505	Dnajc5b	0.000318229091776497
ILMN_1246120	Zfand6	0.000322432081619108
ILMN_1213858	Itgb3bp	0.000339616715180649
ILMN_1215120	Sema4a	0.000361490430952157
ILMN_2638354		0.00036948045847518
ILMN_2734683	Fstl1	0.000369544701412093
ILMN_1241255	Sec14l3	0.000378527506596955
ILMN_2984219	BC048546	0.000409283341592243
ILMN_2632942	Sumo1	0.000420310947918672
ILMN_2717569	Ufsp2	0.000426619972646097
ILMN_2639018	Cav2	0.000437576519551187
ILMN_2610565	Grem2	0.000439712345887915
ILMN_1240934	Tktl1	0.000448041509982939
ILMN_1248846	Tas2r114	0.00046442262687831
ILMN_2600348	Sqle	0.000489071315711949
ILMN_2959956	Mmab	0.000492114414607314
ILMN_1226326	Exoc3l2	0.000500435848394649
ILMN_1225113	Abi2	0.00052646225162923
ILMN_2844316	Ddx1	0.000553641415524122
ILMN_1225723	Osgepl1	0.000594635907604489
ILMN_1222123	Camk2d	0.000622303216178124
ILMN_2706948	Opn1mw	0.000625075831725263
ILMN_1223829	Pip5kl1	0.000629596190750939
ILMN_2775307	Lamc2	0.000664964093754843
ILMN_3028637	Calca	0.000682927450702522
ILMN_3145331		0.00070329144192652
ILMN_2725402	Nsdhl	0.000710576209490961
ILMN_3114585	Cd44	0.000766186760196776
ILMN_2731523	Abhd16a	0.000815902612100641
ILMN_1225730	Fdps	0.000846344862007487
ILMN_2710253	Cyr61	0.000847918314403251
ILMN_3004931	2310022A10Rik	0.000882634544100332
ILMN_3160190	Capn13	0.000909902167701765
ILMN_1221164	Fgf12	0.000914760773364406
ILMN_2735422	Ift81	0.000917215879228947
ILMN_2472917	Wnt5a	0.00094342667975809
ILMN_2918353	Taar7f	0.000991487202118502
ILMN_1234471	Cux2	0.000995843300179623
ILMN_2685468	Trim61	0.00100016869817221
ILMN_2741828	Doc2a	0.00102469357958203
ILMN_1219477	Prm3	0.00102578850383107
ILMN_1253804	Nup50	0.00103109476979349
ILMN_2691982	Afg3l2	0.00107490017578751
ILMN_1255644	Atn1	0.00108048849954946
ILMN_2947901	Aifm3	0.00109162977280782
ILMN_3154007	Copg1	0.00113684143146259
ILMN_3082031	Whrn	0.00113968699211919
ILMN_2594550	Satb2	0.00114731865664787
ILMN_2823778	Msmo1	0.00116642995848571
ILMN_3159435	Mid1	0.00121271990666347
ILMN_2651076	Shisa5	0.00121587537176752
ILMN_2619452		0.00123969994681157
ILMN_3046836	Suclg2	0.00129539249805326
ILMN_1260451	Zfp811	0.00133802129209987
ILMN_3119478	Camk2d	0.0013507183459149
ILMN_2868480		0.00135904615637074
ILMN_2697817	Tcl1b4	0.00136405856100015
ILMN_1225233	Cd177	0.00140697714620657
ILMN_2595918	Gimap7	0.00140960968065244
ILMN_2727239	Pcdh10	0.00149267767106258
ILMN_3078696	Tcp10a|Tcp10c|Tcp10b	0.00149650449030878
ILMN_2656871	Tmem97	0.00154614193527599
ILMN_1242025	Kcnc4	0.00154727038867863
ILMN_2693461	Ssbp2	0.00158474277370332
ILMN_1224368	Idh3g	0.0016011338320033
ILMN_1252076		0.00160179412353181
ILMN_1246266	Cd79a	0.00163081099592357
ILMN_2604179	Lrrc3	0.0016387273807644
ILMN_2603662	Fam214b	0.00169059197431862
ILMN_2636360	Shisa5	0.00173444123413634
ILMN_3048751	Fam159b	0.00178091786348224
ILMN_2847332	Mid1ip1	0.00179353666976566
ILMN_1219063	Supt20	0.00179791147737957
ILMN_2947568	Gadd45a	0.00183884970167729
ILMN_3081260	Agbl4	0.00185431739817431
ILMN_2721406	Crhr2	0.00186146913792977
ILMN_2614970	Stat4	0.00195388464394672
ILMN_1243701	Grik1	0.00200955901993025
ILMN_1250582	Slc5a5	0.00201076944200621
ILMN_2710229	Ccng1	0.00202794042559876
ILMN_2977390	Gm7120	0.00205082922327587
ILMN_2763675	Olfr1250|Olfr1252	0.00206708793000364
ILMN_1217670	Fam221a	0.00209070238554223
ILMN_2689952	Pcdha7-g|Pcdha7	0.00209261107592661
ILMN_2831799	Bace2	0.00212256947063415
ILMN_2826687	Lrrc4c	0.00212790268553254
ILMN_1236929	Ifna12	0.00213568919072328
ILMN_2753697	Cd2	0.0021767885198832
