#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660727194; Statistic: 6.23054602234949; Expected: 3.69850082914401; Std.dev: 0.570240520404513; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 2953, up: 1476, down: 1477
#GSE64398.1_ho_TASTPM: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_ho_TASTPM	GeneSymbols
3.34727171376096e-12	Cort
3.71953010847041e-10	Plrg1
1.94759941889822e-09	Crhbp
3.25848226569112e-09	Cnot11
3.99044722724462e-09	Smarce1
1.14796268096674e-08	Ppp3r1
2.89430001541058e-08	Psme2
5.017118600666e-08	Vapb
9.01104287161933e-08	Entpd4
1.02169568911344e-07	Morf4l1
1.28361876644652e-07	Mkks
1.48005653135923e-07	Nyap1
1.69622378005436e-07	Snrpc
2.12095327055478e-07	Ggt7
2.18562001248511e-07	Krt222
3.14438247120404e-07	B230217C12Rik
3.70591317340384e-07	Map2
4.18357571279481e-07	Myadm
4.47895486705477e-07	Fbxo9
5.95007990110011e-07	Pigk
6.4392256581229e-07	Slc6a11
6.62416662247418e-07	Rgs7
6.63998682920912e-07	Gjd2
7.43323196021854e-07	Pik3r3
8.11451398911179e-07	Arl6ip5
8.70819897259456e-07	Ccdc149
9.4033100241366e-07	Ilf2
9.51209631352848e-07	Vamp1
1.08112870087433e-06	Csde1
1.11659328254401e-06	Bex2
1.15124101132315e-06	Snrpd1
1.17373568357454e-06	Ccdc184
1.31538769216139e-06	Nfrkb
1.31857979948595e-06	Vgf
1.4941224408172e-06	Kras
1.6878029694395e-06	Znhit3
1.70396582724987e-06	Vdac1
1.96131638612813e-06	Ralyl
2.11648782231702e-06	Pigt
2.17316988887302e-06	Vegfa
2.36399343019169e-06	Zfp316
2.81280283522301e-06	Syp
3.00657976191884e-06	Mrps31
3.33402279822937e-06	Igfbp4
3.35283115307393e-06	Tceal3
3.70595455113012e-06	Aldh18a1
4.04769098684077e-06	Eif2ak1
4.835285713497e-06	Moxd1
4.91762351646757e-06	Rab8a
4.93779930490013e-06	Rtn4
5.19677009745958e-06	Bax
5.22020113348168e-06	Slc17a6
5.34852789336933e-06	Elovl4
5.40045942173983e-06	Dph3
5.51128972675972e-06	Sorcs3
5.59748962941707e-06	Pfdn2
5.71188988764905e-06	Tceal6
5.91790840453953e-06	Nucks1
6.22267174572249e-06	Tatdn2
6.27549845261597e-06	Asns
6.34982371207966e-06	Pcbp3
6.39332900231997e-06	Prpf19
6.66524656973512e-06	Rita1
6.66571469999036e-06	BC004004
7.11651947046469e-06	Cdk16
7.18817605434438e-06	Pvalb
7.33520148408548e-06	Rbm3
8.14137685630111e-06	Slc25a44
8.77385251951072e-06	Nxph1
9.10320708865813e-06	Tmem17
1.00743607302515e-05	Khdrbs1
1.03305427044756e-05	Nrarp
1.14975464081335e-05	Psmd12
1.18928271610155e-05	Ccdc127
1.22069273086247e-05	Dlg4
1.24871684215494e-05	Trove2
1.27917984093467e-05	Tceal5
1.29424250516261e-05	Ube2n
1.3106889321747e-05	Adcyap1
1.32505161753737e-05	Stambpl1
1.32547420959449e-05	Fus
1.37446655878848e-05	Cdc14a
1.48839354216503e-05	Galnt9
1.51488327281796e-05	Xxylt1
1.52377941676703e-05	Cbx8
1.56078109581415e-05	Elfn1
1.58270423994457e-05	Ppm1l
1.62004781358352e-05	Crebl2
1.7182174317871e-05	Fgf9
1.76638603753996e-05	Prune
1.83906307616768e-05	Tceal1
1.84799416435003e-05	Oaz2
1.8706652062696e-05	Dnajc27
1.88069522435081e-05	Ccdc129
1.95920140912515e-05	Grin2b
1.9878233549239e-05	Vsnl1
2.08537752374096e-05	Tbp
2.10256691262069e-05	Uck2
2.13927242560729e-05	Sbds
2.24061846004838e-05	Bcat1
2.28047620171226e-05	Ggct
2.28090677811981e-05	Tceal8
2.30488681947257e-05	Gm7120
2.62240342371552e-05	Cbx5
2.65281520725241e-05	Nkrf
2.71678939213312e-05	Prim2
2.75715776352703e-05	Kdm5b
2.77440784154101e-05	Ndrg3
3.1428969491786e-05	Mrpl40
3.20379352665183e-05	Snx16
3.20927361329252e-05	Clec11a
3.25906748887472e-05	Cinp
3.37404039065796e-05	Sae1
3.40434626388458e-05	Mob4
3.41111908398626e-05	Kcna2
3.43989058666567e-05	Ing1
3.44372525125037e-05	Anp32a
3.44937443195286e-05	Wwc2
3.51152217249177e-05	2410016O06Rik
3.51307035112067e-05	Wbp5
3.5454009477007e-05	Brinp1
3.66717369435202e-05	Coa3
3.73247814150063e-05	Tusc2
3.74447044684829e-05	Gstt1
3.75852405719147e-05	Mfn2
3.81328905434897e-05	B3galnt1
3.84103663762593e-05	Srcin1
4.00956293653727e-05	Zmat4
4.07726374294936e-05	Wrap53
4.11999735330291e-05	9630028B13Rik
4.14364761978436e-05	Icam4
4.26999709218017e-05	Cops7a
4.34472664647169e-05	Rbm8a
4.38102590456384e-05	Hcrtr1
4.39071255993925e-05	3110070M22Rik
4.46267911690228e-05	Fancc
4.53954792771898e-05	Gpr135
4.56166270245781e-05	Wdr74
