#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660727194; Statistic: 6.23054602234949; Expected: 3.69850082914401; Std.dev: 0.570240520404513; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 8, up: 5, down: 3
#GSE64398.1_TAU: original input has 25697 probesets; mapped probesets: 24634; probes mapped to multiple genes to be removed (except for insulin): 1050; genes with multiple probesets are BH corrected. New data has 16364 genes.
GSE64398.1_TAU	GeneSymbols
2.385517550009e-13	Zbtb8a
1.11117555064835e-05	E2f3
1.11337882483986e-05	Hps5
1.29975134732044e-05	Add1
1.99597604771331e-05	Usp37
5.91333609065596e-05	Sult5a1
0.00010905350026317	Acot4
0.000136298927402915	Mpv17
0.000157596101828749	Olfr564
0.000330429072185508	Anks3
0.000362350019452156	Timp4
0.000382835661876679	Mrrf
0.000478601371021319	Pes1
0.000515332378568414	Tnfaip8l3
0.00067624904703192	Muc15
0.000709689846332693	Sap18
0.000766590294346786	Eif3c
0.000968869121199526	Vmn1r50
0.00104382780179272	Zap70
0.00108034841566724	Cebpz
0.00118568984076541	Skap2
0.00119591032107906	Pfkfb2
0.00124092156964568	Ccl4
0.00132158200455831	Snx12
0.00135841829259061	Kcnq2
0.00138127092916931	Hspa8
0.00158947184135688	Tmem9b
0.00159616785100264	Trim38
0.00164258118232824	Tbc1d14
0.00173076248646887	Ccl9
0.00180842628425049	Rpsa
0.00185755398232239	Ispd
0.00187430637549732	Phactr3
0.00192376811624839	Nrros
0.00195290481765253	Vit
0.00199650088209944	Prosc
0.00204662281851037	Enox1
0.00208988273881295	Lrfn5
0.00209330128054777	Stag3
0.00210995794258064	Lcn2
0.00233904516272609	Il22ra2
0.00235650478077669	Adss
0.00236672392699984	Nudt5
0.00238670823475436	Chchd2
0.00240815970698092	Zdhhc13
0.00242283467647754	Ppp1cc
0.00244472626171095	Bcat1
0.00247510542824143	M6pr
0.00255684469785825	Spink10
0.00257033863044792	Psd3
0.00260543290969126	Mllt10
0.00275503130660923	Ccnd1
0.00278503870759691	Gsto1
0.00280668940728221	Mtfmt
0.0028389702115482	Cd1d1
0.00284778298125762	Irf1
0.0028937181908242	Tfdp2
0.00293201886596466	Smu1
0.00297950370730112	Fam210b
0.00304524910635456	Apof
0.00304852058865562	Psmd7
0.00308400237247188	Alg5
0.00312983943327742	Pigx
0.00314091242940003	Kin
0.0032065392220377	Wdr18
0.00327713122926176	Uck1
0.00335797231812368	Ranbp1
0.00340781246687282	Heatr1
0.00344063629046887	Slc9a6
0.0035582872293616	Prkdc
0.00362852593561955	Myg1
0.00363622656520859	Clcn5
0.00366639820389997	Sap30
0.00370098757524682	Gpkow
0.00370512316326538	Yme1l1
0.00378054932318695	Oxr1
0.00378080881454277	Wnt8b
0.00391209324804683	Rbm22
0.00393054976874537	Slc38a5
0.00393400087840081	Trhr2
0.00396959732773859	Tigd2
0.00403267689201765	Chrdl1
0.0040430465103436	Olfr1140
0.00406061236011666	Gtpbp8
0.00409665522141464	Scn3b
0.0040985138647442	Asb3
0.00410981188687787	Galnt6
0.00416957879854898	Postn
0.0041753442039053	Cyp20a1
0.00421049811460704	Brap
0.00433321766062409	Xpnpep1
0.00440857704672782	Pde6h
0.00449050617658841	Gtf2e1
0.00454242749113416	Serpina3n
0.00458891513858655	Arrdc4
0.00465804964540833	9230104L09Rik
0.00468499704764799	Krt79
0.004704308371456	Map10
0.00480735635230417	As3mt
0.00486370748040584	Igfbp3
0.00502940159659228	Cyb5r1
0.00507758888956108	Ppp4r4
0.00513387194434433	Fam212a
0.00518449127283025	Zbtb8b
0.00526884337920449	Man1a
0.00529497755321639	Olfr976
0.0053275288275238	Hal
0.0053698648192501	Acss2
0.00538308548885176	AU022252
0.00539487287764501	Ptpro
0.00541765078125492	Kbtbd7
0.00561044230595837	Itgbl1
0.00563526221653779	Etv1
0.00564590274394466	Txndc17
0.00571189038583492	Capns1
0.00572797947684253	Dhrs4
0.00579941834352667	Aqp11
0.005838655830246	Pik3cg
0.00594176783339874	Tlr13
0.00595112074481189	Cct6b
0.00611394585311291	Lta4h
0.00612802028230932	Avpr2
0.00640100564773332	Prmt5
0.00640498214057713	Cops4
0.00642570553297146	H2-DMa
0.00645376242105743	Tspan3
0.0065577897435029	Rbm11
0.00661944553059809	Olfr1126
0.00665617542316533	Gfap
0.00668026425782118	Gpr85
0.00669610855803159	Cox18
0.00670141574886856	Psmd10
0.00676098124372458	Nuf2
0.00677193200519759	Ccdc116
0.00679097402132342	Shoc2
0.00680065793105183	Olfr1188
0.00693414672392209	Serpina3g
0.00700413173315041	Mrpl3
0.00705899668477863	Med26
0.00706121779531641	Ppa1
0.00707223503770763	Insl6
0.00707265658448425	Krt1
0.0071635731883821	Inhbb
0.00717877523851974	Inpp4a
0.00724479319581609	Rerg
0.00727457331041348	Mrps5
0.007282469331552	Fam105a
0.00740548133871009	Golt1b
0.00754156166692368	Rsg1
0.0075482987023158	Ggt1
0.00755668627056267	Tmem126b
0.00756686553912879	Plch2
0.0077105209989275	Gm5087
0.00780615917552572	Tiprl
0.00780810897717286	Cep63
