#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660727194; Statistic: 6.23054602234949; Expected: 3.69850082914401; Std.dev: 0.570240520404513; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 2953, up: 1476, down: 1477
ProbeName	GeneSymbols	down
ILMN_1226607	Cort	1.67363585688048e-12
ILMN_2955725	Cort	2.01239361318698e-11
ILMN_1244226	Plrg1	3.71953010847041e-10
ILMN_1231710	Crhbp	1.94759941889822e-09
ILMN_2610600	Smarce1	1.99522361362231e-09
ILMN_2616638	Cnot11	3.25848226569112e-09
ILMN_2953411	Ppp3r1	1.14796268096674e-08
ILMN_2436489	Vapb	2.508559300333e-08
ILMN_2731057	Psme2	2.89430001541058e-08
ILMN_1257332	Mkks	4.27872922148841e-08
ILMN_2589312	Entpd4	9.01104287161933e-08
ILMN_3038459	Morf4l1	1.02169568911344e-07
ILMN_1226553	Map2	1.23530439113461e-07
ILMN_2621130	Nyap1	1.48005653135923e-07
ILMN_3120797	Pigk	1.48751997527503e-07
ILMN_1251890	Snrpc	1.69622378005436e-07
ILMN_1213289	Ggt7	2.12095327055478e-07
ILMN_2728021	Krt222	2.18562001248511e-07
ILMN_2988743	Gjd2	2.21332894306971e-07
ILMN_2695306	Fbxo9	2.23947743352739e-07
ILMN_2480542	Vamp1	2.37802407838212e-07
ILMN_3040617	B230217C12Rik	3.14438247120404e-07
ILMN_1226468	Csde1	3.60376233624778e-07
ILMN_1252111	Arl6ip5	4.05725699455589e-07
ILMN_2851671	Myadm	4.18357571279481e-07
ILMN_3143078	Bex2	5.58296641272006e-07
ILMN_2752095	Slc6a11	6.4392256581229e-07
ILMN_1237219	Rgs7	6.62416662247418e-07
ILMN_3121255	Vegfa	7.24389962957674e-07
ILMN_1226157	Pik3r3	7.43323196021854e-07
ILMN_2829295	Mrps31	7.5164494047971e-07
ILMN_2606777	Nfrkb	8.11985131225856e-07
ILMN_2939517	Ccdc149	8.70819897259456e-07
ILMN_2775891	Ilf2	9.4033100241366e-07
ILMN_1225361	Snrpd1	9.89984241350151e-07
ILMN_2610105	Snrpd1	1.15124101132315e-06
ILMN_2732079	Ccdc184	1.17373568357454e-06
ILMN_2435891	Zfp316	1.18199671509585e-06
ILMN_1232107	Bex2	1.20361033946124e-06
ILMN_1239786	Rtn4	1.23444982622503e-06
ILMN_2830686	Nfrkb	1.31538769216139e-06
ILMN_2925923	Vgf	1.31857979948595e-06
ILMN_2773211	Kras	1.4941224408172e-06
ILMN_2694955	Igfbp4	1.66701139911469e-06
ILMN_2914957	Znhit3	1.6878029694395e-06
ILMN_2832808	Vdac1	1.70396582724987e-06
ILMN_3134412	Dph3	1.80015314057994e-06
ILMN_1236932	Ralyl	1.96131638612813e-06
ILMN_3006123	Asns	2.09183281753866e-06
ILMN_2868131	Pigt	2.11648782231702e-06
ILMN_2934532	Prpf19	2.13110966743999e-06
ILMN_2646001	Rita1	2.22174885657837e-06
ILMN_2810443	Fam103a1|Gm10767	2.25746563169776e-06
ILMN_3065164	Ngfrap1|Bex2	2.26331279802833e-06
ILMN_2748091	Snurf|Snrpn	2.31363828602518e-06
ILMN_2737390	Moxd1	2.4176428567485e-06
ILMN_1234453	Rbm3	2.44506716136183e-06
ILMN_2928051	Rab8a	2.45881175823378e-06
ILMN_3101483	Sorcs3	2.75564486337986e-06
ILMN_2630182	Syp	2.81280283522301e-06
ILMN_2960214	Nucks1	2.95895420226977e-06
ILMN_2907499	Tatdn2	3.11133587286125e-06
ILMN_3162895	Tceal3	3.35283115307393e-06
ILMN_3123473	Aldh18a1	3.70595455113012e-06
ILMN_1218057	Zfp316	3.81782675213458e-06
ILMN_1245467	Ccdc127	3.96427572033851e-06
ILMN_2709397	Eif2ak1	4.04769098684077e-06
ILMN_2706495	Prune	4.41596509384991e-06
ILMN_3150233	Abca3|D330041H03Rik	4.50698955138612e-06
ILMN_1231660	Tmem17	4.55160354432906e-06
ILMN_1256052	Khdrbs1	5.03718036512575e-06
ILMN_2907655	Bax	5.19677009745958e-06
ILMN_2922321	Slc17a6	5.22020113348168e-06
ILMN_1250507	Elovl4	5.34852789336933e-06
ILMN_1219667	Pfdn2	5.59748962941707e-06
ILMN_2623886	Ggct	5.70119050428066e-06
ILMN_1236300	Tceal6	5.71188988764905e-06
ILMN_2896805	Psmd12	5.74877320406675e-06
ILMN_1213692	Pcbp3	6.34982371207966e-06
ILMN_1227863	Ube2n	6.47121252581304e-06
ILMN_1252183	BC004004	6.66571469999036e-06
ILMN_1242013	Uck2	7.00855637540231e-06
ILMN_2757150	Cdk16	7.11651947046469e-06
ILMN_1218223	Pvalb	7.18817605434438e-06
ILMN_3131478	Bcat1	7.46872820016127e-06
