#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6885.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.024472285106581; Statistic: 1.44878723355278; Expected: 0.909000791576576; Std.dev: 0.221706554875584; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889314716674e-29; Statistic: 19.1481006227743; Expected: 0.908948626581023; Std.dev: 0.454022979505096; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149745114; Statistic: 1.82961689319901; Expected: 0.908992657887118; Std.dev: 0.271350267850977; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000908765e-06; Statistic: 1.93569837117999; Expected: 0.943298789165124; Std.dev: 0.134662287771277; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.2820138837641; Expected: 0.934579439252337; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146082471e-06; Statistic: 2.04317003911763; Expected: 0.943291613329555; Std.dev: 0.163668711600985; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE64398.1
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('8_months') are kept for analysis. 
#New dataset contains 29 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=10, het_TASTPM: n=4, het_TPM: n=4, ho_TASTPM: n=4, TAS10: n=3, TAU: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=29
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=10, Batch_02_2013-03-04: n=19
#Factor: Gender (1 levels): M: n=29
#Factor: Timepoint (1 levels): 8_months: n=29
#
### Model test for factor: Genotype
#p-value: 0.000469380660727194; Statistic: 6.23054602234949; Expected: 3.69850082914401; Std.dev: 0.570240520404513; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.995615533233913; Statistic: 1.69159592938222; Expected: 3.57142857142857; Std.dev: 1.24525749298558; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#29 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 2953, up: 1476, down: 1477
ProbeName	GeneSymbols	up
ILMN_1239843	Clec7a	1.49411393719129e-17
ILMN_2991255	Gpr84	5.22997728268014e-17
ILMN_2776431	C1qa	7.89650252391184e-17
ILMN_2663258	Clec7a	1.01126502093868e-16
ILMN_2715840	C1qc	2.62193643778697e-16
ILMN_2735961	Tlr13	4.15607004869398e-16
ILMN_1223257	Ccl4	6.74349241380052e-16
ILMN_2619620	C1qb	2.05587730796338e-15
ILMN_1244891	Cst7	2.23663793564937e-15
ILMN_2631161	Fcgr4	2.35562587877414e-15
ILMN_1212695	Gpr84	2.51669236530616e-15
ILMN_2689785	Cd68	3.18232176707143e-15
ILMN_2733733	Tlr2	3.69129500212318e-15
ILMN_2773624	Hexa	3.91768552092781e-15
ILMN_2721149	Arl11	3.97947273058812e-15
ILMN_2847115	Hcar2	4.67459912003825e-15
ILMN_2692797	Slc11a1	5.50964916430067e-15
ILMN_2707967	Man2b1	6.93023270460551e-15
ILMN_1220101	Gpr183	8.11545844171837e-15
ILMN_2742075	Cd14	8.33024220454838e-15
ILMN_2992709	Trem2	9.65191902432942e-15
ILMN_1253919	Ccl3	1.00090080614562e-14
ILMN_1224472	Ccl4	1.04941048241937e-14
ILMN_3161805	Ccl12	1.32855118083698e-14
ILMN_2748875	Fcer1g	1.37948801235797e-14
ILMN_2983516	Slc11a1	1.38726400683276e-14
ILMN_3103896	Timp1	1.65468115508438e-14
ILMN_2674884	Slc11a1	1.66825406417113e-14
ILMN_2840514	Klhl6	1.74833138772208e-14
ILMN_2619528	Klhl6	1.75247446437455e-14
ILMN_2794526	Cnr2	1.80429205343032e-14
ILMN_2754698	Cd84	2.27693221094819e-14
ILMN_1233455	Olfml3	2.69876723066034e-14
ILMN_2905717	Cd180	3.00845185728791e-14
ILMN_2855334	Gusb	3.12046471199886e-14
ILMN_2702303	Ch25h	3.13196141182205e-14
ILMN_2646322	Samsn1	4.97643418643941e-14
ILMN_3135781	Anxa3	6.57341007268947e-14
ILMN_1223041	Abi3	6.65512356746482e-14
ILMN_1220996	Ptpn6	6.94835983480969e-14
ILMN_2987709	Slc15a3	7.06537245900312e-14
ILMN_3142803	Cxcl10	7.21398422806513e-14
ILMN_2769918	Timp1	7.29780027236753e-14
ILMN_1228657	Fcgr2b	8.37828508631862e-14
ILMN_2670690	H2-Ob	1.12966985426653e-13
ILMN_1253813	Nckap1l	1.15991010204224e-13
ILMN_2687403	Fcgr3	1.16264854411681e-13
ILMN_3124528	Hvcn1	1.2078615753674e-13
ILMN_3161790	Nlrc5	1.47267631774483e-13
ILMN_2602711	Tgfbr1	1.57095730539617e-13
ILMN_2831436	Fcrls	1.68233706594855e-13
ILMN_2867147	Tyrobp	1.69880912536567e-13
ILMN_2731760	Myo1f	2.19948236562409e-13
ILMN_2663249	Slamf9	2.2516735235255e-13
ILMN_3143483	Lat2	2.36306336369498e-13
ILMN_1241171	Anxa3	2.38200023019253e-13
ILMN_1224077	Vav1	2.51109219456421e-13
ILMN_1214715	Gfap	2.55265549093379e-13
ILMN_1237817	Gpr34	2.73116972993007e-13
ILMN_2595973	Grn	2.93610335941181e-13
ILMN_3101732	Syngr1	2.9499242661967e-13
ILMN_3162337	Tlr6	2.95296995680425e-13
ILMN_1231309	Ly9	3.98998050900251e-13
ILMN_2671923	Ly86	4.23793008623683e-13
ILMN_2507286	Tnfsf13b	4.34081457031781e-13
ILMN_1245354	Tlr7	4.37190550121492e-13
ILMN_2660793	F9	4.55572916195628e-13
ILMN_2771766	Ccl12	4.90836510422385e-13
ILMN_1243451	Hvcn1	5.16195059272732e-13
ILMN_3053593	Glipr2	5.39337976864916e-13
ILMN_2712075	Lcn2	5.72948771598674e-13
ILMN_2670150	Oas2	7.10712564120709e-13
ILMN_2743244	Cd86	8.33725701932944e-13
ILMN_2820893	Selplg	9.97520088940986e-13
ILMN_2811737	Casp4	1.09246358558692e-12
ILMN_2768026	Gusb	1.12202218559506e-12
ILMN_2721929	Havcr2	1.22926778496145e-12
ILMN_3049559	C4a|C4b	1.25728303053877e-12
ILMN_3161676	Tmem253	1.70417714296323e-12
ILMN_2607951	Haao	2.06010143602308e-12
ILMN_1217849	Laptm5	2.08895610554815e-12
ILMN_3028575	Syngr1	2.27631057996993e-12
ILMN_1216871	Lcp1	2.30932314090062e-12
ILMN_1239219	Mx2	2.38521414071343e-12
ILMN_2625377	Rgs1	2.73430330413421e-12
ILMN_1246194	Ifit3|I830012O16Rik	2.82747516641548e-12
