#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE14499_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 26
#Factor: Genotype (2 levels): J20: n=16, WT: n=10
#Factor: Treatment (3 levels): BDNF: n=8, GFP: n=12, reference: n=6
#Factor: OrganismPart (2 levels): Entorhinal_cortex: n=13, Hippocampus: n=13
#Factor: Batch (2 levels): Batch_01_9_7_07: n=13, Batch_02_9_28_07: n=13
#Factor: Gender (2 levels): F: n=18, M: n=8
#Factor: Timepoint (1 levels): 7_months: n=26
#
#
### Model test for factor: Genotype
#p-value: 0.398847629633211; Statistic: 3.76787769694097; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.197222876077291; Statistic: 5.23053660455976; Expected: 4.15965971873797; Std.dev: 1.64553362018754; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.201932787828312; Statistic: 5.15725356394512; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP','reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 9 samples. Original sample size: 26
#Factor: Genotype (2 levels): J20: n=4, WT: n=5
#Factor: Treatment (2 levels): GFP: n=6, reference: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=9
#Factor: Batch (1 levels): Batch_02_9_28_07: n=9
#Factor: Gender (2 levels): F: n=7, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=9
#
### Model test for factor: Genotype
#p-value: 0.666940205369522; Statistic: 10.8520391352193; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.0124949791446431; Statistic: 21.8255730510677; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.551217336242001; Statistic: 11.6157720183703; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE14499
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE14499/results/GSE14499_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP') are kept for analysis. 
#New dataset contains 6 samples. Original sample size: 9
#Factor: Genotype (2 levels): WT: n=2, J20: n=4
#Factor: Treatment (1 levels): GFP: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=6
#Factor: Batch (1 levels): Batch_02_9_28_07: n=6
#Factor: Gender (2 levels): F: n=4, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=6
#
### Model test for factor: Genotype
#p-value: 0.782324492790912; Statistic: 17.3292942107809; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.595095997550613; Statistic: 19.2956590954633; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Gender
#Model: model.matrix( ~ Genotype + Gender, data = array_design)
#6 samples, 45101 probes
#coefficients: (Intercept), GenotypeJ20, GenderM
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeJ20
#  DE genes: 6, up: 2, down: 4
#GSE14499_J20: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE14499_J20	GeneSymbols
1.25601596185468e-05	Nr2c2
1.26732786396535e-05	Nell2
1.82822026540937e-05	Arhgap5
2.16248844704265e-05	Rock1
2.2537798896645e-05	Scaf11
2.57954232370278e-05	Pnmal2
3.1587442566304e-05	Rlf
4.96068388534659e-05	Plekha5
5.16386857254449e-05	Pank3
5.83160906450913e-05	Tiparp
8.47122373829285e-05	Baz1b
9.99991500496619e-05	St18
0.00010102937450893	Megf9
0.000112484097597006	Rapgef5
0.000113614008760194	Alkbh8
0.000124489753149581	Lhfpl3
0.000127803515520581	Scaper
0.000128530380070696	Ctcf
0.000132619608314702	Top2b
0.000136629152971492	Rorb
0.00013878635002059	Fst
0.000165222021244028	Gcc2
0.000167335468693626	St13
0.000169116148643532	Gad2
0.00018065848743698	Rab6b
0.000187875943533652	Pde4dip
0.000188512597302908	Dgkb
0.000234754729283659	Mpp5
0.000248387500956498	Dnm3
0.000255987472370002	Zfp941
0.000259956448257807	Taok1
0.000274189405311302	Arfgef1
0.000285623144357772	Tnrc18
0.000288988777587483	Mia3
0.000298932290767829	Gabrb2
0.000304033636487597	Dhx36
0.000321548155426621	Cdk14
0.000325080874327854	Gbf1
0.000330811150215994	Dclk1
0.000333174776242326	Smarcc1
0.000333958243781547	Ago3
0.000375102900712289	Baz2b
0.000375150598472972	Prpf40a
0.000380395118098035	Ildr2
0.000382999928163636	Tenm1
0.000403887048901289	A830010M20Rik
0.000419716425948911	Rn45s
0.000426358119881109	Nup214
0.00043573242366649	Syne1
0.000436340249727509	Kif5c
0.000443600835219351	Plcb1
0.000471936048926015	Slc12a2
0.000472015268472478	Map9
0.000474198949782271	Agap1
0.000482708986982615	Abcd2
0.000482765251393186	Peg3
0.000483229266415135	Xiap
0.000496899554887326	Casp3
0.000510376944979692	Kcnd2
0.000513326170520638	Pde1a
0.000531147822025794	Mctp1
0.000587964818182751	Rbm25
0.000607118894099026	Gria3
0.000644856544634421	Ttc3
0.000656961281329529	Kdm5a
0.000658102630488489	Fam102b
0.000691680141319747	Sbno1
0.000706191360659416	Slc43a2
0.00071517590797538	Peli2
0.000715368078443414	Haus2
0.000724683966544089	Rhou
0.000732349035257148	Camk1d
0.000740108633340888	Gpd2
0.000743207114727923	Pcdh9
0.000754471130374516	Sf3b2
0.000756696494101967	Prox1
0.000758215331684138	Esco1
0.000834302439854027	Nrip1
0.000854336308864543	U2surp
0.000861175121270786	Sobp
0.000869310238351934	Srrm1
0.000893110233422062	Pcmtd1
0.000942295399269904	D3Ertd254e
0.00094494930270259	Scn1a
0.000973548978085175	Flrt2
0.000976119806893245	5730455P16Rik
0.000977145455480439	Usp1
0.000986644986949146	Ino80d
0.00100339123996887	Aldoc
0.00101552092913583	BC005561
0.00101979709246014	Efcab14
0.00102132105155051	Kif3a
0.00102455323623933	Secisbp2l
0.00103205870940811	Tbc1d15
0.00103219343481167	Klf12
0.00111087228969387	Smc6
0.00111395199115804	Rif1
0.00114184469780514	Mpped2
0.00114694173752426	Atp2b2
0.00115654523099434	2610507B11Rik
0.0011657521191621	Ttc14
0.00123315127329526	Bclaf1
0.00131537600194285	Smc1a
0.00132119281742467	Cdh6
0.00135774387254458	Ptprg
0.00136563093239216	Add3
0.00137947108562477	Klf6
0.0013902545787427	Sec22c
0.00141132901345624	Igf2r
0.0014252287902108	Lin7a
0.00144492919153635	Sgtb
0.00148169409059534	Sec63
0.0015036836514678	Slk
0.0015188758966297	Zc3h13
0.0015401776837337	R3hdm1
0.001545753678417	Dtna
0.00155166786882522	Fam13c
0.00155631515511998	Gmfb
0.00155895304988728	Mga
0.00160313711408896	Zfp551
0.00161263167580366	Clip1
0.00163482747144663	Malat1
0.00164497942746151	Trpc5
0.00164798888276974	Tmem87b
0.00167617696262286	Polr3f
0.00167959574325015	Bbx
0.00177584255932902	Scai
0.00178581354089622	Plvap
0.00181545783967491	Cpeb3
0.0018245848351746	Dlgap2
0.00187327061556664	Nlk
0.00188791432244593	Snx13
0.00190185382733655	Klf9
0.00191728372826307	Camk4
0.00192339430069565	Mfsd6
0.00193206419347359	Atp8a1
0.00194143135588434	Cacna2d1
0.00195052709071402	Slc38a1
0.00195468475648555	Evi5
0.00196641881887646	Smc2
0.0020011292259881	Eif3a
0.00200574058353823	Zc3h11a
0.00201544103428842	Lrp1b
0.00212899765461165	Rb1cc1
0.00214000427434894	Tulp4
0.0021947047439318	Wdr35
0.00220622224161514	Ppip5k1
0.00223513375147185	Gda
0.00224968841484312	Ppp1r9a
0.00226483869205754	Chst15
0.00230321777889867	Kif5b
0.00231239550818061	Kpna4
0.00231533353428114	Arl5b
0.00231965189331943	Tmx4
0.00233854099010752	Nhsl2
0.00233979049571234	Cnksr2
0.00234922664294498	2810474O19Rik
0.00236024280369334	Dzip3
0.00236153809366913	Casc4
0.00239052026961784	Ppig
0.00239457057671329	Far1
0.00243088115515535	Mertk
0.00248275441373505	Vldlr
0.00255285599336157	Zfp800
0.00255311782924134	B3galt1
0.00257102143216384	Cep57
0.0026116227030213	Pum1
0.00266391200094185	Nedd4
0.00266631005873121	Ago2
0.00268774711872821	Ppp2r5e
0.00272854038970884	Miga1
0.00276628426027514	Esf1
0.00276802210746358	Rgs4
0.00279040061772045	Gpr26
0.00280142196251457	Irs2
0.00280332646625744	Dbt
0.00281370915710162	Pcdh17
0.00285234871086234	Kbtbd11
0.00288848676024219	Lrp4
0.00292137284190692	Nsd1
0.00303345159006023	Purb
0.00303616988542921	Snw1
0.00308843758677531	Usp34
0.00309501930621806	Gprin3
0.00310530984432086	Gabra4
0.00312977366215756	Adam23
0.00316578292114672	Ptpre
0.00316694013480841	Pnn
0.00318542548414512	Pgm2l1
0.00322247617679828	Atm
0.00323048228782997	Lpgat1
0.00323813949087548	Ednrb
0.00325164033659115	Cep350
0.0032525593145406	Ppm1l
0.00327938077869056	Prkaa2
0.0033015133148371	Vps35
0.00341993912379634	Tpp2
0.0035235386921141	Palm2
0.0035363705484264	Ddx3x
0.00357375024988579	Cpne3
0.00357620623476199	Iqgap2
0.00358002734081224	Abcf1
0.00358374011077182	Sdc2
0.00361871621714189	Ltn1
0.00362877252586665	Csnk1g1
0.00363603689207866	Bod1l
0.00365075495733478	Scn2a
0.00367594616119819	Nipbl
0.00374731161919348	C77370
0.00375921343955037	Zfp617
0.00377425675221962	Atrx
0.00379063365381346	Rnf130
0.00379467780813122	Cfap97
0.00380971039821452	Galnt1
0.00385745570564895	Map1b
0.00388600949917182	Atxn1
0.00390970284484261	Hcn1
0.003914840435102	Gnal
0.00417165417067576	Frrs1l
0.00418893430495685	Prg4
0.0042462142209158	Ubxn4
0.00426013529289125	Trip11
0.00429851200363161	Tra2b
0.00436802083581384	Fam168a
0.00442204909956332	Eprs
0.00451903042093213	Nol8
0.00452650109952233	4632415L05Rik
0.00452713447463829	Rbm5
0.00457222663372994	Topors
0.00458590661576936	Gclc
0.00458666972015366	Pdpk1
0.00458783870991049	Cdh1
0.00463504743337463	Zfand5
0.00464608606742031	Ablim1
0.00466262254410989	Ganc
0.0046627705647518	Cpeb4
0.00468555832139192	Ppargc1a
0.00469305510855593	Aff3
0.00477025298913754	Dph6
0.00482136236160865	Mgea5
0.00486030049276683	Grm3
0.00488006691749089	Smc4
0.00490768615081099	Srpk2
0.00495914219453107	Slc4a4
0.00498196232364468	Baz2a
0.00499766530377826	Traf6
0.00503538387405995	Cacnb4
0.00505856877576948	Vpreb3
0.00507284934470791	Ncald
0.00511355976269829	Dusp18
0.00511766673148062	Abl2
0.00512774019410382	Senp7
0.00514265963881293	Rexo1
0.00516151749857235	Nop58
0.00523063441148185	Cd44
0.0052392329453746	Slc47a1
0.0053329786064848	Plppr5
0.00534188241439532	Ttc9c
0.00547257941260977	Lims1
0.00548006924872189	6820431F20Rik
0.00552800135326703	Tbcel
0.00557451483822772	Mchr1
0.00562432217314677	Dab2ip
0.00562965585042966	Jak1
0.0057134899366925	Ctdspl2
0.00574601781878515	Nceh1
0.00579263275126592	Gpc6
0.00593679437137386	Luc7l3
0.00595655191993543	Nek7
0.00608819785506619	Sult1a1
0.00610532839803277	Sez6l
0.00612613832156522	Gpbp1
0.00613320765924682	Tgfb2
0.00620692040117265	Vps13a
0.00620920001245506	Ddx46
0.00621068172698714	Ddx6
0.00627276435637823	Rspry1
0.0062844187315227	Rufy3
0.00633892220761869	Acsl4
0.0063464426689533	Cflar
0.00636002358843661	Kdm5b
0.00641328988796365	Cep83os
0.00641543999718863	Taf1
0.00641751659116775	Pak3
0.00642375991333241	Wnt9a
0.00645106510898903	Chd4
0.00647362606897091	Xrn1
0.00648787561402561	Hdgfrp3
0.00650538189185825	Slc39a6
0.00656813782601649	Abca1
0.00666172830749074	Cacna1b
0.00672296504352919	Trp53bp1
0.00678653452331888	Cdkl2
0.00679029990903387	Zfp664
0.00683916807560763	Npr3
0.00684622975034407	Ube2l3
0.00690996773632819	2500004C02Rik
0.00693500889221214	Grm5
0.00701486254381847	Mbnl2
0.00706699956543622	Daam1
0.00708116353579631	Rnf170
0.00710727296828328	Jmy
0.00713719134301157	Fam171b
0.00732167443090756	Btbd3
0.00737824628443896	Prkca
0.00744580323692516	Rasa1
0.00752387357589261	Ankhd1
0.00753685146051814	Calb1
0.00757712078923179	Lrrtm2
0.00768877150553278	Sltm
0.00770144913329804	Cd2ap
0.00774461061963171	Nemf
0.00776919825440851	Ccdc77
0.00782482855970654	Cdh8
0.00783853981914234	C330007P06Rik
0.00785509224375831	Reep3
0.00786158453176683	Tgs1
0.00789046166116095	Klhl24
