#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE14499_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 26
#Factor: Genotype (2 levels): J20: n=16, WT: n=10
#Factor: Treatment (3 levels): BDNF: n=8, GFP: n=12, reference: n=6
#Factor: OrganismPart (2 levels): Entorhinal_cortex: n=13, Hippocampus: n=13
#Factor: Batch (2 levels): Batch_01_9_7_07: n=13, Batch_02_9_28_07: n=13
#Factor: Gender (2 levels): F: n=18, M: n=8
#Factor: Timepoint (1 levels): 7_months: n=26
#
#
### Model test for factor: Genotype
#p-value: 0.398847629633211; Statistic: 3.76787769694097; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.197222876077291; Statistic: 5.23053660455976; Expected: 4.15965971873797; Std.dev: 1.64553362018754; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.201932787828312; Statistic: 5.15725356394512; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP','reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 9 samples. Original sample size: 26
#Factor: Genotype (2 levels): J20: n=4, WT: n=5
#Factor: Treatment (2 levels): GFP: n=6, reference: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=9
#Factor: Batch (1 levels): Batch_02_9_28_07: n=9
#Factor: Gender (2 levels): F: n=7, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=9
#
### Model test for factor: Genotype
#p-value: 0.666940205369522; Statistic: 10.8520391352193; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.0124949791446431; Statistic: 21.8255730510677; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.551217336242001; Statistic: 11.6157720183703; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE14499
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE14499/results/GSE14499_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP') are kept for analysis. 
#New dataset contains 6 samples. Original sample size: 9
#Factor: Genotype (2 levels): WT: n=2, J20: n=4
#Factor: Treatment (1 levels): GFP: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=6
#Factor: Batch (1 levels): Batch_02_9_28_07: n=6
#Factor: Gender (2 levels): F: n=4, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=6
#
### Model test for factor: Genotype
#p-value: 0.782324492790912; Statistic: 17.3292942107809; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.595095997550613; Statistic: 19.2956590954633; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Gender
#Model: model.matrix( ~ Genotype + Gender, data = array_design)
#6 samples, 45101 probes
#coefficients: (Intercept), GenotypeJ20, GenderM
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeJ20
#  DE genes: 6, up: 2, down: 4
#GSE14499_J20: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE14499_J20	GeneSymbols
1.02144110416273e-07	Tmem87a
3.76975368769956e-06	Thy1
0.000197417731491207	Bloc1s6
0.000321459161998245	Scg5
0.000465950906477199	2700081O15Rik
0.00069327164183517	Foxp4
0.000717246870569214	Osbpl5
0.00100056115968778	Rasl10a
0.00147207264545123	Rhov
0.00163027385027429	Sln
0.00210379410814364	Serinc2
0.0021130949709407	Nsdhl
0.00252913943843357	Crhr1
0.0025742853160532	Card10
0.0026307480993909	Stk35
0.00270283182640283	Stard4
0.00283325850905576	2610035D17Rik
0.00288015605720747	Rassf6
0.00305120783106164	Clec4a2
0.003417609832308	Mapk6
0.00359667140730007	Lrrc4c
0.00377655203877316	Armcx6
0.0039250715988772	Sirt4
0.00434465392060837	Tmem138
0.00441277041790128	Pla2g4e
0.00489648793714105	Lsm2
0.00496169098534546	Il34
0.00522981932194708	4930554H23Rik
0.00549321502072153	Ddit4l
0.00570482050092424	Zbtb40
0.00570660986604452	Serpina3c
0.0059881320148216	St8sia1
0.00606794353185745	Hspa1a
0.00622068058682442	Dhcr7
0.00628726189322479	Epx
0.00651503009952061	Sqle
0.00684320766547893	Ehd3
0.00701274574001386	Lipa
0.00725540944883366	Caskin1
0.0075677085989083	Hmgcr
0.00791274000594988	Zfp579
0.00795965968544238	Tac2
0.00802086828611657	Lin37
0.00821701189042815	Pkd1
0.00844063942474795	Prpf19
0.00875448747242872	Rac3
0.00878515308468562	Shb
0.00883555682522529	Ldlr
0.00886711182305925	Ndc1
0.00889011920413431	Fam83h
0.0089467938560115	Onecut2
0.00928411695760179	Depdc7
0.0094105733127829	Tmsb10
0.00941105839486209	Upf1
0.00945020211474584	Stra6
0.00951897344359649	Dapk3
0.009531940541992	Acat2
0.00959714745472393	Fdps
0.00974604787156348	Fdft1
0.00991674231648221	Rbp3
0.00994377544849705	Vwa1
0.00997774020139159	Dnaic1
0.009982819734018	Ssh3
0.010006432343979	Kcne1l
0.0102479325965992	Atg13
0.010288930760697	Fancg
0.0105617862327498	Zdhhc9
0.0106580523084283	Ephb3
0.0106718377127095	Frmpd3
0.010839953097032	Igsf9b
0.0108544853983792	Vps37c
0.0108892539429555	Calcoco1
0.010893461119999	Thop1
0.0109325377104386	Eif1ad
0.0109478565797466	Homer3
0.0109593150064963	9030612E09Rik
0.0110196899053698	Etnppl
0.0110261792917379	4930483J18Rik
0.0111368065858293	Taok3
0.0114016369144721	Fam227b
0.0116146488489693	Lrfn4
0.0116393200271257	Duoxa1
0.0116528565684478	Scrt2
0.0116585186385066	Cnmd
0.0119530461207442	Cdc25b
0.0121732440042015	Krt86
0.0121750625857874	Pigt
0.0124594798098703	Zfp961
0.0124628869913499	Fzd7
0.013032852817646	BC030500
0.013034568253125	Ache
0.0131275769309987	Map4k2
0.0131347736289408	Ankrd34a
0.0133652889796724	4833423E24Rik
0.0133732619134587	Zic3
0.0133808236874324	Trmt61b
0.0134764800354156	Adat2
0.0137368794139131	Hes1
0.0138833793452926	Galnt14
0.0140131056911242	Nat8f5
0.0140505648745504	Lpar3
0.0140544816784388	Cbfa2t3
0.0140559596731604	Fpr-rs4
0.0141143540241894	Dtx4
0.0141261548509624	Kcne4
0.014366936133078	Fam126a
0.0143695066965452	Icam2
0.014382391143864	Pygm
0.0144744692540508	Ccdc87
0.0145654746136599	Bean1
0.0145895061129062	Agpat4
0.0146153906413257	Lzic
0.0147602359506481	Aldh18a1
0.0148701613198276	Mesdc1
0.0149441747618998	Mcub
0.0149986914943283	Klk6
0.015124372421171	Alad
0.0151335079213128	Zfpm1
0.0151535888084323	Pcdhb2
0.0151613381729159	Lipg
0.015346267976833	Chka
0.0154747763948814	Dpp6
0.0157716374202854	Fbxl8
0.0157860694680198	Dusp23
0.0158517085717403	Rpap1
0.0158529236172877	Gnb3
0.0158620372256059	D17Wsu92e
0.0160113655764843	Kcnc4
0.0161380295468363	Leng8
0.0162516979413883	Fam196b
0.0163712452283295	Sult1e1
0.0164260850179952	Dcakd
0.0165059279976733	Prune1
0.0165101875268216	Ceacam20
0.0169192365152106	Plxdc1
0.0171166300018644	4831407H17Rik
0.0171533159660536	Atxn7l1
0.0171770702192862	Bid
0.0172640145846406	Slc7a9
0.0172697775453424	Nabp2
0.0173471148421755	Ccdc126
0.0173583674102973	Ankrd35
0.0174623180565229	Irak1
0.017527381441742	Calcb
