#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE14499_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 26
#Factor: Genotype (2 levels): J20: n=16, WT: n=10
#Factor: Treatment (3 levels): BDNF: n=8, GFP: n=12, reference: n=6
#Factor: OrganismPart (2 levels): Entorhinal_cortex: n=13, Hippocampus: n=13
#Factor: Batch (2 levels): Batch_01_9_7_07: n=13, Batch_02_9_28_07: n=13
#Factor: Gender (2 levels): F: n=18, M: n=8
#Factor: Timepoint (1 levels): 7_months: n=26
#
#
### Model test for factor: Genotype
#p-value: 0.398847629633211; Statistic: 3.76787769694097; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.197222876077291; Statistic: 5.23053660455976; Expected: 4.15965971873797; Std.dev: 1.64553362018754; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.38431991188446e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.201932787828312; Statistic: 5.15725356394512; Expected: 4; Std.dev: 2.21219254458863; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP','reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 9 samples. Original sample size: 26
#Factor: Genotype (2 levels): J20: n=4, WT: n=5
#Factor: Treatment (2 levels): GFP: n=6, reference: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=9
#Factor: Batch (1 levels): Batch_02_9_28_07: n=9
#Factor: Gender (2 levels): F: n=7, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=9
#
### Model test for factor: Genotype
#p-value: 0.666940205369522; Statistic: 10.8520391352193; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.0124949791446431; Statistic: 21.8255730510677; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.551217336242001; Statistic: 11.6157720183703; Expected: 12.5; Std.dev: 3.55901499450276; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE14499
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE14499/results/GSE14499_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP') are kept for analysis. 
#New dataset contains 6 samples. Original sample size: 9
#Factor: Genotype (2 levels): WT: n=2, J20: n=4
#Factor: Treatment (1 levels): GFP: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=6
#Factor: Batch (1 levels): Batch_02_9_28_07: n=6
#Factor: Gender (2 levels): F: n=4, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=6
#
### Model test for factor: Genotype
#p-value: 0.782324492790912; Statistic: 17.3292942107809; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.595095997550613; Statistic: 19.2956590954633; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Gender
#Model: model.matrix( ~ Genotype + Gender, data = array_design)
#6 samples, 45101 probes
#coefficients: (Intercept), GenotypeJ20, GenderM
#q value threshold:0.1
#Factor: Gender; baseline: F, coefficient: GenderM
#  DE genes: 45, up: 40, down: 5
ProbeName	GeneSymbols	down
1436936_s_at	Xist	1.71430546836726e-10
1427262_at	Xist	5.94392159472911e-10
1427263_at	Xist	3.92387373968613e-07
1436670_x_at	Nat8f4	4.70767020911294e-06
1436669_at	Nat8f4	1.03300932051562e-05
1452799_at	Fggy	8.8516325010142e-05
1436780_at		0.000176700547571384
1441445_at		0.000299108774576836
1419380_at	Zfp423	0.000395541617495575
1421144_at	Rpgrip1	0.000551107495922251
1437638_at		0.000623196402017863
1419839_x_at	Prpf19	0.000788695654596811
1449635_at	Prpf19	0.000799107904864499
1455883_a_at	Lrrtm1	0.000812003097459933
1438803_s_at	Snx16	0.00088868876948099
1435152_at	Leng8	0.000902672639100819
1419070_at	Cys1	0.000928272571937153
1418174_at	Dbp	0.00108788446304133
1426231_at	Vit	0.00127916838189105
1421551_s_at	Ifi202b	0.00128874481103595
1417235_at	Ehd3	0.00131453525636057
1448019_at	Taok3	0.0013676346036493
1435426_s_at		0.00138934928477508
1437291_at	2700081O15Rik	0.00141010781194913
1420884_at	Sln	0.00141461374075176
1431236_at	Stk32b	0.00142524116280729
1428279_a_at	Atxn7l1	0.00155034246407311
1457390_at		0.00160111343160088
1451632_a_at		0.00165709336145348
1435425_at		0.00192494879990631
1427154_at	Krt2	0.00198628626549915
1433909_at		0.00200884940898711
1459014_at		0.00210586857430684
1419169_at	Mapk6	0.00224952284073107
1437564_at		0.00240532041156978
1422601_at	Serpinb9	0.00245991833544325
1423140_at	Lipa	0.00262200209976067
1447234_s_at	Snx6	0.0027157421651618
1455187_at	Zbtb40	0.00272615903692014
1447537_at		0.00276133906422015
1435744_at	Firre	0.00277153591517432
1421262_at	Lipg	0.00289849280306129
1457666_s_at	Ifi202b	0.0029778722360343
1448602_at	Pygm	0.00301841064662902
1429452_x_at		0.00303999776228644
1428513_at	Calcoco1	0.00309020787892321
1440423_at		0.00311802513175962
1450260_at	Grpr	0.00328108350381555
1444705_at		0.00335773191734393
1430383_at	Ceacam20	0.00336783823047342
1443163_at	Slc39a2	0.0034209104535733
1437615_s_at		0.0034730371589353
1428372_at	St5	0.00350733331707022
1450429_at	Capn6	0.00366798059215201
1418582_at	Cbfa2t3	0.00375253238974158
1442205_at		0.00394180841499534
1427975_at	Rasl10a	0.00396332724604515
1420096_at		0.00399799787663882
1416871_at	Adam8	0.0040888157142129
1422718_at	Ap3s2	0.00416404581219549
1431844_at	Kcnmb2	0.00417059996692342
1425391_a_at	Osbpl5	0.00433798014467277
1429905_at		0.0043851545943988
1455387_at	Nufip2	0.00440289411338363
1423856_at	Popdc3	0.00449634619198481
1437491_at	Bicd2	0.00454373109493313
1447486_at		0.00454966357325598
1421595_at		0.00458873192519624
1459548_at	Spire1	0.00459932870634877
1454791_a_at	Rbbp4	0.00464553339729251
1435353_a_at	Pisd-ps2|Pisd|Pisd-ps1	0.00467680162116915
1417378_at	Cadm1	0.00468148702910507
1417732_at	Anxa8	0.00477630591731783
1419324_at	Lhx9	0.0049872865810756
1449254_at	Spp1	0.00504966558518922
1450152_at	Zfp316	0.00506682837381215
1430006_x_at		0.00506696616323429
1446079_at		0.00513017472892274
1442887_at	Lypd1	0.00515354938290873
1419060_at	Gzmb	0.00523380347145511
1421556_at	Serpina3a	0.00523602994905083
1447929_at	Ssh3	0.00524139054755814
1459866_x_at	Cyfip1	0.00541584201496926
1426947_x_at	Col6a2	0.00553018506550725
1422728_at	Inha	0.00553953008921427
1431088_at	Foxp4	0.0056925943571373
1433482_a_at	Fubp1	0.00581866939560841
1444069_at		0.00586065176597159
1426412_at	Neurod1	0.00587624871996434
1454020_at	4930554H23Rik	0.00593901383294439
1435419_at	Rgag4	0.00607774568835707
1426099_at	Hrh4	0.00614829390711134
1443281_at		0.00623618583755503
1450059_at	Fancg	0.0062514505396931
1428259_at	Pxdn	0.00636368643593614
1440341_at		0.00640140554201249
1455723_at		0.00640668591660141
1437481_at	Trmt61b	0.00642930306157991
1441363_at	Frmpd3	0.00644324914300306
1420048_at		0.00654742378254836
1435041_at	Myl6	0.00670849799391435
1452827_at	1500009C09Rik	0.00672655797062022
1456264_at	Commd7	0.00674867179436749
1437552_at		0.00676140854279878
