#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7202
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE15056_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41267
#number of samples: 4
#Factor: Genotype (2 levels): Tg2576: n=2, WT: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 17_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.36912159047211; Statistic: 36.9590874832353; Expected: 33.3333333333333; Std.dev: 9.29459195436456; #Cov: 41267
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE15056
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE15056/results/GSE15056_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 41267 probes
#coefficients: (Intercept), GenotypeTg2576
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 0, up: 0, down: 0
#GSE15056_Tg2576: original input has 41267 probesets; mapped probesets: 29116; probes mapped to multiple genes to be removed (except for insulin): 1248; genes with multiple probesets are BH corrected. New data has 18406 genes.
GSE15056_Tg2576	GeneSymbols
4.27384219235347e-05	Gm5148
0.00033012296232953	Zhx2
0.000353849562520412	Syt4
0.000525852416178447	Pcdhb4
0.000682263245047915	Sox2ot
0.000744719860206843	Ralgapa2
0.00088094099132655	Fam83c
0.000926597731074639	Lipk
0.000977878936257852	Mcemp1
0.00116528179409156	Ctxn3
0.00119463890732273	Olfr561
0.0013828322641155	Bpi
0.00141123754965134	Angpt4
0.0014295540590552	Hsd3b1
0.00143918631554701	Mgat4c
0.00150094535357765	Chst13
0.00157107800911103	Glipr1l1
0.00165215196563888	Il17re
0.00173365421475231	Smr3a
0.00176534791187554	D16Ertd519e
0.00185160362566763	Dbx1
0.00193158433930141	Lama1
0.00197751704973147	Cep44
0.001988454806306	Eps8l3
0.00203454215884514	Gm5893
0.00203552050929295	Gfra2
0.00207188601545569	Gatad2a
0.00211308748109003	Igbp1b
0.00212622014821508	Trak1
0.00213717872248834	Cntnap5a
0.00215518035587039	Trpc7
0.00223944970126609	A530072M11Rik
0.00231614874020331	Cypt12
0.00233660986161974	Gbp7
0.00242833031524755	Gm17359
0.00245830222220622	Glyat
0.00247756706503311	Bhlhe23
0.00253126494914477	Otop1
0.00254028270493873	Dgkk
0.00255549724253814	Olfr1436
0.00263295444856364	Mrpl41
0.00266836256523943	Trpv4
0.00274551779328696	Fam65c
0.00280071864661008	Sowahd
0.0028676962244993	Ccdc105
0.00290107031521539	Lamb3
0.00301347782969746	Serinc5
0.00307017988950149	Itgav
0.00310496951865607	Olfr1253
0.00315159336102791	Ifi203
0.00316944226382284	Cdk1
0.00319579781773473	Hsf3
0.00321578117653095	Hes3
0.00322074994681568	4933430I17Rik
0.00322990693569345	Gdf15
0.0032734815790607	Slc26a10
0.00332531792883823	Ptprv
0.0033317812114682	Dusp11
0.00333950090137177	Chodl
0.00336137577863076	Slc25a2
0.00350487065378634	4930579F01Rik
0.00352515293908955	Prss29
0.00352662347490575	Chrna9
0.003537319799952	Cd200r3
0.00359050467156935	4933408B17Rik
0.00362059252200492	Spire2
0.00363318697273971	AI182371
0.00364202118931329	Dapl1
0.00377654404980338	Hist2h2be
0.00380884582761185	1700019M22Rik
0.00397369812874105	BC048679
0.00397896548802627	Dgkeos
0.00405069050111394	Prap1
0.00407137724371387	4930548H24Rik
0.00408194477041622	Ube2j1
0.00412367735970224	Olfr960
0.00429627475870294	1700011B04Rik
0.00430647377177284	Csprs
0.00432562370516424	Rbm38
0.00433105230584986	Hfe2
0.00437947714759479	Olfr1055
0.00440153801623325	BC016579
0.00448627067522459	Ces2e
0.00450503125570589	C1qtnf2
0.0045323178885408	Olfr558
0.00457829511259221	Git2
0.00458030418914823	Gli2
0.00460578974824159	Gckr
0.00461863642846624	Olfr263
0.0046210946414943	Wnt3
0.00465262765723378	Il1rl2
0.00473913547638604	4931406B18Rik
0.00478266685676844	Lilra5
0.00485527762249856	Pcdhb16
0.00496421777234919	Muc13
0.00505696041982837	Gykl1
0.00509708060822062	Supt20
0.00514819279722169	Sept2
0.00523792014127048	Olfr77
0.00529674276691107	Bbs1
0.0053110040685593	Chst5
0.00532636654884354	Gm597
0.00543523656987053	Edar
0.00546125793048948	Tas2r140
0.00557786667423622	Fhl5
0.00559101174409321	Polh
0.00559697397981517	Ttbk2
0.00560926787120793	Nfatc2
0.00570423822946886	Shank1
0.00575255939417124	Sun5
0.0057712171739715	Kmt2d
0.00582684310860463	4930473A02Rik
0.00585117050448508	Cort
0.00586352922853563	Csmd2
0.00588482818226924	Tmod3
0.0058875924545761	Fsd2
0.00590178714139186	Robo1
0.00594923421437794	Olfr701
0.00619353812742387	Slc28a3
0.00620172976159529	Wnt8a
0.00621202416140515	Mdfi
0.00623643263054178	Tbcel
0.00637871522300295	Il1rapl1
0.00643884655046924	1700016G22Rik
0.00649163881996535	Irx5
0.00650362797097125	Kat6b
0.00650952602227345	P2ry1
0.00662671398388578	4930415O20Rik
0.00665380608724252	Tpk1
0.00666827319275012	Megf10
0.00668523005901119	Dpysl5
0.00673476435521354	Slco1a5
0.00674887406682682	Aif1l
0.00676620750735957	Sectm1b
0.00680160904146462	Pcdhb15
0.00681523667260052	Pax9
0.00694682861060352	Fam26f
0.00695996671775849	Cma1
0.00698396569471502	Rictor
0.00703382220604422	Wbscr28
0.007064984801864	Klra1
0.00706943538759634	Ankk1
0.00707514929114816	Grp
0.00709575122506946	Ngly1
0.00716437391180259	Cryba1
0.00720350003890041	Map3k2
0.00722730232767545	Pcdhb14
0.00724491759572495	Gm5577
0.00726491182192332	Nlrp9a
0.00727064418128752	Setd5
0.00727652282355177	Lrp2
0.00727667564144957	Gpbar1
0.00728598945312858	4930522O17Rik
0.00729005849568732	Mttp
0.00730326274065698	Pcdhga4
0.00735623310545924	Lrrc15
0.00739600095866508	Insm2
0.00742985522170003	Adgrl4
0.00747933642153546	Olfr338
0.00750765915246466	Gm5087
0.00751729195312721	Cdh17
0.00754604983649003	Hhat
0.00760292612846519	2010109A12Rik
0.00773639439084321	Vmn1r82
0.00784165418056142	F2
0.00791409351648892	Stk-ps2
0.00795552673102067	Lsm11
0.0080150208292749	Abcg8
0.00801744203222835	Bgn
0.00803966487486017	Fgf17
0.00809157787689031	9430007A20Rik
0.00812749946993713	Prrg1
0.00812818708164557	Retn
0.00812918370201962	Prl7c1
0.00822031618610114	Vmn1r227
0.00822134939654458	Myo19
0.00827971566146243	Pisd-ps3
0.00840387752136172	Il1f9
0.0084403992407893	Saxo2
0.0084523274045696	Myo1d
0.0085613155542138	Grm3
0.00863449257795905	Psors1c2
0.00870813952481531	Olfr478
0.00883434894912282	Kiss1r
0.00885852488071315	Arhgap6
0.00891443580240356	Ecm1
0.00908090176243106	Catsper4
0.0091460561235863	Mkrn2os
0.00914869496338906	Angptl4
0.00917131073145564	Dnah2
0.00925016838692201	Nat8f5
0.00930518055846145	2310034C09Rik
0.00934117010902921	Iglon5
0.00945053893172778	Olfr1349
0.00955219581408798	Cpt1a
0.0096043936920723	Arsj
0.00968059899267685	Wscd2
0.00969055829273104	Nlrp4a
0.00970803529334115	Tnfrsf9
0.00972326970205159	Ppef1
0.00993337009146534	Ldlrad1
0.00996367973520102	Iqcf4
0.00998054941912089	Olfr643
0.00998309321915086	Lkaaear1
0.010014636293501	Nr0b1
0.0100447022971874	Olfr791
0.0100479600691003	Zc3hav1
0.0100533099064259	Olfr1106
0.0100584530429946	Ccdc185
0.0101475136329359	Nmur1
0.0101658118372573	Olfr435
0.0102318878770043	Tet3
0.0102344919182492	B4galnt2
0.0102509003124984	Abca8a
0.0102545644467151	Kcng3
0.0102634720152511	Gdf10
0.0102813871058736	E2f8
0.0103298337129876	4932415M13Rik
0.0104090824257631	Xpnpep3
0.010435425227435	4930542D17Rik
0.0104493022561476	Olfr1367
0.0104695957975071	Rpl39l
0.010489977073489	Fam60a
0.0104980631778611	Sult2a7
0.0106136674732218	Pde3b
0.0106465874799281	A1cf
0.0106973042348038	Slc26a1
0.0107535091870558	Olfr705
0.0108525510514067	Atp6v1g3
0.0108985924817705	Foxe3
0.010939845685484	Cep72
0.0109501996727361	Fbxl17
0.010972800988752	Mdm1
0.0109827696511184	Serpinb1a
0.0110012516151922	Vmn1r230
0.0110104139116416	Oaz3
0.0110657649940464	Plagl1
0.0110766395892896	Hps3
0.0111616467565154	Gm9
0.0111663914578446	Enthd1
0.0111835743401091	Csn1s2b
0.0112127986526213	Mamld1
0.0112462369012282	Nepro
0.0112600492356194	Lats2
0.0112917390283137	Pabpc4
0.0113219624868167	Chia1
0.011374366493657	Pikfyve
0.0114051974236318	Ces1c
0.0114592483282342	Ap4e1
0.0115501051750576	Fam186b
0.0115956081841406	Map4k2
0.0116066756382939	Plp1
0.0116590173639062	Pot1b
0.0118217367655539	Fmn2
0.0118325400098605	Cntn5
0.0118514783221284	Camk2d
0.0118619301082273	Ror2
0.011877282630072	Tm4sf20
0.0119309503504109	Gm12018
0.0119459716963178	Abcc9
0.0119633481908385	Olfr1313
0.011994955037009	Olfr615
0.0119971669660495	Asah2
0.0120125220110293	Lrriq3
0.0120233816538397	Gm14634
0.0120427025662755	Abi2
0.0120657578000008	Coq8a
0.0121143303109302	Srbd1
0.0121286084612235	Idua
0.0121300852851168	Olfr394
0.0121328831642203	4933436I01Rik
0.0121428098564071	Gc
0.0121654722048744	Cga
0.0121783257458502	Hsd17b12
0.0123002418201185	Col9a3
0.0123035246389272	Atf7
0.0123302781192185	Chrng
0.0123559845832329	Obp2a
0.0123629711905493	Lect2
0.0123757140139586	Obscn
