#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7202
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE15056_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41267
#number of samples: 4
#Factor: Genotype (2 levels): Tg2576: n=2, WT: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 17_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.36912159047211; Statistic: 36.9590874832353; Expected: 33.3333333333333; Std.dev: 9.29459195436456; #Cov: 41267
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE15056
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE15056/results/GSE15056_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 41267 probes
#coefficients: (Intercept), GenotypeTg2576
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 0, up: 0, down: 0
ProbeName	GeneSymbols	up
A_52_P137500	Fam199x	7.15598650406248e-06
A_51_P292368	Tmco6	4.9077538191982e-05
A_51_P411917	Gata6	5.47784887642547e-05
A_51_P408881	Pdlim5	0.000147326092613925
A_52_P662600	Pdlim5	0.000191449958897911
A_52_P676492	Brd8	0.000291798192387548
A_51_P282837	St14	0.000302912024951303
A_51_P140710	Ccl3	0.000312309769861263
A_52_P1004481	Gm2109	0.000392854384174551
A_51_P110301	C3	0.00045826190236557
A_52_P844462		0.000575624166868251
A_51_P264444		0.000606105954184186
A_52_P940162		0.000612333823436341
A_51_P414813	Erbb3	0.000629966310727914
A_51_P485312	Ccl5	0.000659333887031741
A_52_P1027460		0.000678095407242427
A_52_P544274		0.000687038464823543
A_52_P354785	Gspt1	0.000690301354964673
A_51_P477019		0.000726535237523766
A_51_P160787	Art5	0.000730261634148791
A_52_P630780		0.000739331104753557
A_51_P431364	Cd247	0.000754756668943491
A_51_P165185	Cldn7	0.000800154393129897
A_52_P481302	Cyp4a30b	0.000812458515121502
A_51_P478098	Epb41l5	0.000819392451539934
A_51_P263953	Olfr1170|Olfr1167	0.000862888842008983
A_51_P154818		0.000889454193572247
A_51_P125368	Hars	0.00090699374980329
A_51_P305600	Olfr155	0.000910819934300244
A_52_P612499		0.00091323788097754
A_52_P13921		0.000943492740051362
A_51_P117015		0.000952015857595608
A_51_P376445	Rhox5	0.00095503518830258
A_52_P199643	Eddm3b	0.000956940779442296
A_52_P474089	Capn6	0.000959630367035552
A_52_P160397	2410137M14Rik	0.000962158138198168
A_52_P218894		0.000963445255724018
A_52_P17918	Defb38	0.000973788535272377
A_52_P316199		0.000978682792389043
A_52_P69228		0.000990036720292325
A_52_P203368		0.000999130080579895
A_52_P42175		0.00100396264262295
A_52_P628369	Klhdc7a	0.00100690705861367
A_52_P69558	Apol7c|Apol7a	0.00100745217314626
A_51_P509573	Ccl4	0.00102125178991388
A_52_P1100610		0.00104993653210615
A_52_P669128	Slc5a1	0.00105605617847569
A_52_P654646	Lyg1	0.00107799968579261
A_51_P297195	Iba57	0.00108948675891684
A_51_P128186	Olfr883|Olfr890	0.00113407675185684
A_52_P680908	Ireb2	0.0011439512083119
A_51_P468482	Entpd8	0.00114402083329644
A_52_P156372		0.0011637993155452
A_51_P399277		0.00116449381115323
A_52_P215219		0.00116561442754645
A_51_P183446	Ceacam2|Ceacam1	0.00116652974271812
A_52_P371494	Trim30d	0.00117339610346396
A_52_P109378	Fpr2|Fpr3	0.00118239722402024
A_52_P445858		0.00118320052807022
A_52_P346244		0.00120405885716376
A_52_P470506	Cntnap5c	0.0012163516918898
A_51_P409637	4930505A04Rik	0.00122396821058082
A_52_P535619		0.00123099485444633
A_51_P457724	Olfr589	0.00123274494640815
A_52_P101501		0.00124039202916087
A_52_P572830		0.0012771985445343
A_51_P352981		0.00128127365773834
A_52_P546200		0.00128561661780045
A_52_P1108501		0.00134851450557374
A_52_P1031		0.00134971005592011
A_51_P255875	Padi4	0.00136081583736431
A_52_P636214		0.00136838458888283
A_51_P210591	Fcer2a	0.00139355010991468
A_52_P265861		0.00139803987979337
A_52_P679367		0.00140172558028313
A_52_P1044190		0.00140216359374552
A_51_P306486		0.001403947418262
A_51_P504879	Olfr1183|Olfr1186	0.001407166207904
A_52_P119962	Six3os1	0.00142736091162712
A_52_P333097		0.00144470090620789
A_52_P200610	C1qtnf9	0.00147354467971453
A_52_P435394		0.00150068732538192
A_52_P389753		0.00150126494471303
A_52_P147644		0.00150278064514472
A_52_P265785	1700100I10Rik	0.00153404338179034
A_51_P225105		0.00154708702694327
A_52_P614320	Gm128	0.00154815388943852
A_52_P779445		0.00155331927845185
A_52_P508750	Grn	0.00156582139893962
A_52_P1114640	2410003L11Rik	0.00156810362800644
A_52_P479435	Gfpt1	0.00157058284750828
A_51_P414249		0.00157968922991801
A_52_P686043	Cpne5	0.00158997313398775
A_52_P724497		0.0016130788097568
A_52_P195589		0.00165705570370809
A_52_P308669	Cpn1	0.00167637618688326
A_52_P348667		0.00167860668583112
A_52_P91658	A930001C03Rik	0.00168959248541116
A_52_P662752	Xrcc2	0.0016918298898222
A_52_P851490		0.00170472216510573
A_52_P541353	Il2	0.00171399659577335
A_51_P183723	Dsel	0.0017148754011979
A_52_P126394		0.00172149022722923
A_51_P302346	Olfr985	0.00173710466963161
A_52_P654080	Zfp395	0.0017639799556104
A_52_P677423		0.00176832678007985
A_52_P499395		0.00178055218778687
A_52_P66520	Clec12a	0.00178990299551764
A_51_P122100		0.0018027647359439
A_51_P230634		0.00181147879986443
A_51_P136390	Zfp352	0.00181234327909845
A_52_P6994	Helb	0.00181510801760242
A_51_P137419	Cst7	0.00182457803268876
A_52_P659290	Il22ra2	0.00182564551876166
A_52_P1187915		0.00182956311086156
A_51_P172853	Cd14	0.00185145982964592
A_51_P365351		0.00185544143094165
A_52_P81571	Rad51b	0.00186212741587492
A_51_P319470	Olfr951|Olfr27|Olfr954|Olfr1537|Olfr242|Olfr947-ps1	0.00188357813291429
A_51_P204196		0.0018879528272256
A_52_P577992	Trim30b	0.00189756416550736
A_51_P456208	Tff3	0.001930382454178
A_52_P523946	Ddx58	0.00194161562938896
A_52_P755756		0.00195656233589705
A_52_P182987		0.00196297125247636
A_51_P221256	Slc34a2	0.00198171867202606
A_52_P700030	Slfn14	0.00199300252228564
A_52_P330577		0.00200015553625296
A_52_P639122		0.00201357370918122
A_52_P778999		0.00201732510785684
A_51_P278606	Vmn1r11	0.0020177617584349
A_51_P325281	Ifi207	0.00202302721212547
A_51_P339179		0.00202390624091191
A_52_P1099463		0.00202559843015375
A_51_P277756	Tas1r2	0.00202820590071044
A_52_P331389	Olfm2	0.00208914454856636
A_52_P795628		0.00209405433216438
A_51_P193686	1700012B09Rik	0.0021172633501491
A_51_P120470	Cd68	0.0021273871471576
A_52_P1069274		0.00214710015663684
A_52_P142827		0.00215294641494678
A_52_P148212	Mis18bp1	0.00216998677291433
A_51_P301336	Olfr1453	0.00218740576114939
A_51_P112308	1810011O10Rik	0.00219914637897638
A_52_P446816	Ccdc78	0.00225775039123744
A_52_P310511	Car6	0.00226022047430594
A_52_P1124356		0.00226026690931977
A_52_P601177	1700031L13Rik	0.00226173250588954
A_51_P469777	Olfr1324	0.0022669853827046
A_52_P146711	Tshb	0.00227763518889568
A_51_P434227	Olfr700	0.00229140339016012
A_52_P226302	Gm2447	0.00231935715513464
A_52_P393669	Cma2|Mcpt9	0.00233498900621828
A_52_P627816	Tgm1	0.00235037951299416
A_51_P106900	Rax	0.00235466286775231
A_51_P441120	Olfr351	0.00236130112135023
A_52_P590154	Hsd17b6	0.00236551617332892
A_52_P1123789		0.00240749482416978
A_52_P437820		0.00241473534071365
A_51_P493437		0.00242376180077826
A_52_P130185	Bag6	0.00242541736840077
A_51_P249848	Dsg2	0.00245087254339527
A_51_P449185	Vmn1r19	0.00246550720215951
A_51_P412468	Slc4a11	0.00246721015361094
A_52_P39533		0.00247306531466119
A_51_P468319	5530401A14Rik	0.00251064280688752
A_51_P418711		0.0025223910246472
A_51_P427624	Pgc	0.00253223713004772
A_51_P234956	Xcl1	0.00255054342695408
A_52_P859627		0.00258076004236565
A_52_P655570	3110099E03Rik	0.00260274363983369
A_51_P463003	Tslp	0.00260629071967032
A_52_P529790	Ppip5k1	0.00261728961678911
A_51_P497756	Olfr45|Olfr541|Olfr61|Olfr46|Olfr539|Olfr53	0.00263488972178798
A_52_P1004997	Il22ra2	0.00263914901709169
A_51_P298991		0.00265868119511599
A_52_P181943	Cdh4	0.00266119881207096
A_52_P351310		0.00266373841656793
A_52_P565847	AU018091	0.00267187233155574
A_51_P372050		0.00267375657733895
A_51_P517051	Gatsl3	0.00274989207223886
A_52_P771712		0.00275137285079831
A_51_P417906		0.00276248008069775
A_51_P342286		0.00279892881187338
A_52_P480431	Skap1	0.00283830801165147
A_52_P605122	Rin2	0.00284453932634115
A_51_P474029	Rhox13	0.00287934006361751
A_52_P852833		0.0028902665609281
A_52_P443715		0.00291552120764087
A_52_P73423		0.00291676635319395
A_51_P423981	Ctss	0.0029752000262167
A_52_P216548		0.0029850006080516
A_52_P476731	Fam110c	0.00302494143973106
A_51_P211978	Olfr716	0.00303163633950939
A_51_P166728	Pou2f2	0.00304040458899792
A_51_P386376		0.00305377164744604
A_52_P283211		0.0030550725443289
A_52_P730813		0.00305748327158146
A_51_P512439	Vmn1r51	0.00306525279918373
A_51_P441914	Hsd17b2	0.00306558205243911
A_52_P516878	Clcn1	0.00307237542741026
A_52_P277477		0.00309144073270396
A_51_P390538	Mpeg1	0.00310846326589817
A_52_P225822		0.00311130589331263
A_51_P230734	Slc34a3	0.00311294173040355
A_52_P585764		0.00311758342699798
A_52_P14778		0.00312829535633779
A_52_P680002	Armc4	0.00314774404456806
A_52_P155739	Pear1	0.00316629749753053
A_51_P270213	Ceacam11	0.00318427706833387
A_52_P652671	Hps1	0.0031961629689394
A_51_P289640		0.00319906433869954
A_52_P216267		0.0032068873577957
A_52_P565015		0.00321267777167712
A_51_P370140	Olfr142|Olfr1271	0.00322353000289359
A_52_P423238	Pet2	0.00322470801323441
A_52_P875343		0.00323846888625715
A_52_P763331		0.00324520123436962
A_52_P32353	1700054M17Rik	0.00325203436023486
A_52_P1188835		0.00326057661352325
A_52_P319715		0.00327220507295724
A_52_P485686	4930543E12Rik	0.00327599856036465
A_51_P327539	Olfr341	0.0032787965821419
A_52_P780667		0.00331744313678143
A_52_P262338	4931406H21Rik	0.00331786973953812
A_52_P522882		0.00332910423330743
A_52_P419455	Adora2b	0.00337370022821975
A_52_P338618	Prr11	0.00338102588665529
A_52_P249385	Wwp2	0.00338245789107738
A_51_P378789	Cxcl13	0.00338418812153667
A_51_P151126	Cd52	0.00338446095143829
A_51_P513653	Olfr494|Olfr507|Olfr497|Olfr487|Olfr486|Olfr485	0.00340325649248315
A_52_P392833		0.00341311169785283
A_52_P565507	Ear2|Ear10|Ear1|Ear3|Ear12	0.00343561952560373
A_52_P18720	Efhc2	0.00346207650423186
A_51_P484671	Adcy3	0.00347066128204392
A_52_P779936		0.00347656225659338
A_52_P422297		0.00349514853956032
A_52_P278928		0.00355604070072722
A_52_P388780	Pom121l12	0.00356081449392817
A_52_P891666		0.00358810604242196
A_52_P683598	H2-Ab1	0.00359368524159458
A_52_P97595		0.00362164592592648
A_51_P128422		0.00362371120147833
A_51_P496511	4930401C15Rik	0.00363260209477357
A_52_P237973	Olfr169|Olfr170|Olfr171	0.00365105522808298
A_51_P426533		0.00367204487975664
A_52_P672368	Zmat4	0.00367332278761535
A_51_P337675	Cd53	0.00367757287348225
A_51_P310780	Pilra	0.00369305587871939
A_51_P177274	Slc6a20b	0.00371601207945574
A_51_P511927	Slc47a1	0.00372222425913693
A_52_P420234		0.0037227540167659
A_51_P269546	Trem2	0.00373640227237064
A_51_P329091	4930550L24Rik	0.00375043795282292
A_51_P365992	Agbl5	0.00375058539070689
A_51_P390804	Wisp2	0.00376580200744237
A_52_P727235	Trabd2b	0.00376828375381877
A_51_P310676	Galr2	0.00377312978203762
A_51_P376207	Olfr342	0.00380035451453609
A_51_P372762	Pou6f1	0.00381006260500249
A_51_P326685	Lrtm1	0.00382170888858795
A_52_P253015		0.00383761121237958
A_51_P341443		0.00384726603535244
A_52_P144871		0.00385758931810037
A_52_P529289		0.00386230745506898
A_52_P379234		0.00386400542197225
A_52_P98614	Slc6a2	0.00388049508771196
A_52_P122154		0.00388190634670747
A_51_P413866	Cfb	0.00388835482149616
A_52_P331382		0.00391161420930332
A_51_P147064	1600014C23Rik	0.0039389102946983
A_52_P643415	Scyl2	0.0039433834728449
A_51_P253652		0.00395101114105689
A_51_P494241	Bcl2a1d|Bcl2a1b|Bcl2a1a	0.00395749927494875
A_51_P352027		0.00396161295400744
A_51_P180773	Olfr1087	0.00396814239235654
A_52_P494020	Il1bos	0.00398012425633677
A_52_P1083741		0.00399317857879802
A_51_P163428		0.00400076102847562
A_52_P566055	Nup43	0.00401141023273732
A_52_P579531	Pdlim3	0.00401554006087935
A_52_P9425		0.00403930321896575
A_52_P301579	Tppp2	0.00404594211379549
A_51_P451409	Ttll13	0.00405201749553299
A_52_P412394		0.00409805544582194
A_51_P246653	Clec7a	0.00410119789483549
A_52_P20988		0.0041092191226563
A_52_P106620	Tnfrsf11b	0.0041324254712047
A_52_P5855		0.00416862211066748
A_52_P117510	Myh6|Myh7	0.00417584521893978
A_52_P617272		0.00426491260364196
