#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL81
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///AD_mouse_model_project/data_and_QC/gemma_data/unfiltered_exp_data//27_GSE1556_expmat.unfilt.data.txt.gz
#No probes removed due to missing value.
#
#number of rows: 12488
#number of samples: 4
#Factor: Genotype (2 levels): Tg2576: n=2, WT: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 12_months: n=4
#
#Log2 tranformation performed
#Before transformation range: 0.8 to 230476
#After log2 transformation: -0.321928094887362 to 17.8142570017348
### Model test for factor: Genotype
#p-value: 0.0126279687734396; Statistic: 36.3576506079683; Expected: 33.3333333333333; Std.dev: 2.04295163058703; #Cov: 12488
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE1556
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE1556/results/GSE1556_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 12488 probes
#coefficients: (Intercept), GenotypeTg2576
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 0, up: 0, down: 0
#GSE1556_Tg2576: original input has 12488 probesets; mapped probesets: 9783; probes mapped to multiple genes to be removed (except for insulin): 356; genes with multiple probesets are BH corrected. New data has 7926 genes.
GSE1556_Tg2576	GeneSymbols
0.000108870659529494	Ifi207
0.000221095754900026	Tuba3a
0.000221434412505608	Ckmt2
0.000248285114790959	Sprr1a
0.000279528178707176	Fancm
0.000298808061738686	Cd7
0.000445645391360556	Pvt1
0.000447556463640091	Diablo
0.000481969857692163	Phxr1
0.000574013124006414	Insrr
0.000719261572269876	Lgals9
0.00077988556035384	Vsx2
0.000798306731064905	Nr5a2
0.000839786208970896	Pparg
0.000872773070036489	Xcl1
0.00102356474215783	Icam2
0.00110918371717652	Slpi
0.00111651852186246	Gpx5
0.001138386036509	Cd36
0.00114594942190017	Brca1
0.0011761517965671	Hoxa4
0.00121795353857201	Slc22a1
0.00133661124871665	Prph
0.00140711667805471	Fancc
0.00154441081408657	Tnfrsf9
0.00158480211996981	Kcnc1
0.0016242122821848	Slc1a5
0.00164071823945625	Nfic
0.00167987692872595	Nkx3-1
0.00168364817165621	Sertad1
0.00179646807603328	Cyba
0.00196485108271035	Cd70
0.00218147719146904	Pgk2
0.0023058090637724	Pgr
0.00245534744955207	Fst
0.0024724234688897	Adamts1
0.00249526853317313	Lect2
0.00255148310413891	Fabp9
0.00269930716008237	Dlx3
0.00273739466124772	Foxk1
0.00291519503998398	Mis18bp1
0.00303223123993986	Adam7
0.00307147843266005	Hdc
0.00307386838671951	Col4a5
0.00328963018450936	Sema4b
0.00335115449441783	Ccl12
0.00335532462203039	Hpn
0.00336598060438369	S100a9
0.00341925879485597	Ptx3
0.00356300534583036	Ifitm6
0.00370060057011395	Kcna1
0.00375922830025172	Ctla2b
0.00389504319983625	Pqlc3
0.00393482042302	Prol1
0.00400242847411812	Tcl1
0.00410832944010752	Cxcl2
0.00421441305625679	Fasl
0.00421523586412361	Crem
0.00424361403847932	Il7
0.00450343862231155	Prf1
0.00456242194914649	Arg1
0.0046003810992116	Mip
0.00461117882898301	Epx
0.0046253547587214	Tlr6
0.00468276444917399	Svs2
0.00491401358516382	1110032A03Rik
0.00494368617989601	Dsg2
0.00495569655151038	Slc6a12
0.00499625218392206	Ptgdr
0.00501939874969049	Ccl17
0.00512914397254058	Fbp1
0.00527806756797694	Mtnr1a
0.00531455664605826	Wdr46
0.00546173555629725	Ifnar2
0.00557048017275335	Klf12
0.00563785400727764	Tirap
0.0056806991369238	Emp2
0.00573595231223166	Mpo
0.00594707105477735	Trap1a
0.00596289970496044	Zfp865
0.00599987173368573	Xrn1
0.00605524719443087	Neurod4
0.00607449684354114	Dpep1
0.00608137228221366	Casp3
0.0061016359605949	Ccdc47
0.00618449614029259	Ago2
0.00625991559968249	Svs6
0.00646153857253479	Mau2
0.00647869553649631	Myoz1
0.00656877930278135	Esr2
0.00674266819892249	R74862
0.0067795539807327	Fgf17
0.00685518644075689	Cd40lg
0.00688101827238685	Fezf2
0.0069179827614922	Rag2
0.0069571763054832	E2f3
0.00703362585064177	Sprr1b
0.00713527042598086	Pim1
0.0071647293305739	Muc13
0.00729199393465904	Tyrp1
0.00736811000440491	Vpreb3
0.00752084196419349	Med1
0.00756049656676795	Obp1a
0.00759226507024994	Pspn
0.00762557188928393	Capn6
0.00764073216011077	Gla
