#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208903; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.492745857901269; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.73903874768802e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949548466383e-22; Statistic: 22.4131032873212; Expected: 1.61246726828211; Std.dev: 0.683145090849827; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666666; Std.dev: 1.96835364539471; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276305899e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.96835364539471; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE36237
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
#GSE36237_Tg2576: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE36237_Tg2576	GeneSymbols
1.66803971011136e-06	Mcm6
8.88440760203916e-06	Smo
2.21898970686118e-05	Abca8a
2.8072260634949e-05	Npnt
4.44867229481345e-05	Rnf122
8.27613488675189e-05	Spata13
0.000125792263460617	Ogn
0.00014173716372572	Frmd4b
0.000159848107372802	Slc4a4
0.000162755591770575	Chsy1
0.000170917177021699	Vgll1
0.000185640895268125	Dio2
0.000198653114842308	Stk4
0.000218807067733764	Pla2g7
0.000226173116374608	4933408J17Rik
0.000280094512977	Atrnl1
0.000292755310395619	Cirbp
0.000308492039828427	Pgk2
0.000309477756351599	D16Ertd472e
0.000314937778619421	Slc38a10
0.000320592995644769	Efnb3
0.000321277699823145	Tshz1
0.000322444533305507	Nrarp
0.000325511645331064	Sipa1l2
0.000343696810762892	Lamp2
0.000351224033553514	Snx31
0.000385649584089119	Gpr62
0.000427613726185807	Tm9sf2
0.000430910182750194	Nkain2
0.000476350947908789	Reep3
0.000476541501255214	6030445D17Rik
0.000480051081131319	Fam117a
0.000482783515401836	Lrig1
0.000491819613942412	Fam181b
0.000584704258146056	Bbox1
0.0005891111935842	Fat4
0.00061166423118001	Thsd7a
0.000616646874179699	Plekhg3
0.000619689552160123	Gpkow
0.000631940569387729	Pdpn
0.000632441924956996	Cbfb
0.000658803611320641	Kdm5a
0.00066177335217522	Map3k4
0.000680504164468233	Yy2
0.000705662856562271	Pdgfra
0.000726637763476101	Pltp
0.000731930668952459	Atp1a2
0.000734829616122164	Slc7a2
0.000745981809698189	Tmem229a
0.000755329262593315	Pigt
0.00081464288684286	Ppat
0.000862887571452588	Spry1
0.000881990690175947	Grk4
0.000886412399758561	Lrrn4
0.000897104397504802	Sdpr
0.000897393919635469	Gpc5
0.000897587418209603	Serpina1c
0.000901132549731653	Brip1os
0.000917104035693814	Erbin
0.000973229213891394	Magt1
0.00101391156043495	Bpifb3
0.0010456836802583	Fermt2
0.00105825456326539	Tmem109
0.00106654611145323	Tjp2
0.00110344322221579	Arsg
0.00113479217022371	Sprr1b
0.00118127424713664	Btbd17
0.00119750687128669	Pxdc1
0.00120764794415259	Npat
0.00126452204235101	Cdc42ep4
0.00129591965273966	Marcksl1
0.00131250658189706	Cyp20a1
0.00132106877692794	Rrs1
0.00133407596930513	Smad6
0.00133536463137124	BC006965
0.00135117397972269	Ciapin1
0.00139920909368811	Timm29
0.00142906598295593	Isg20l2
0.00143453299415413	Rgs13
0.00144140019129701	Fam46a
0.00144445724241294	Rfx3
0.00146854298974301	Arl14
0.00148986505406726	Ahcyl2
0.00149024911566454	Yes1
0.00150612687166124	Dock1
0.00151001312048645	Il33
0.00154832619995599	Patl1
0.00158616325144263	Ide
0.00159261728922832	Fabp5
0.00161249341258661	Vcam1
0.00162932845263874	Casp8ap2
0.00169765490669367	Bcl9
0.00171254676786809	Emp2
0.00171759189607318	Cyth4
0.00175954605992344	Fam134c
0.00179028825316481	4930597G03Rik
0.00179909976710667	Snhg8
0.00183890295918611	Lhfpl2
0.00184778298332278	Unc5b
0.00192267647069459	Synpo
0.00192547555865779	Klhl4
0.00194738356393749	Atp13a3
0.00194913486495532	Tlcd1
0.00197488148556949	Car14
0.00198910336194975	Soga1
0.00204259957722973	Mgmt
0.00204350703528243	Pdlim2
0.00205009975141275	Platr22
0.00208928412057178	Rom1
0.00208976970330988	Tmed10
0.00210349138308336	Elmsan1
0.00212330426852141	Dbp
0.00216185162461703	Aqp4
0.00218074216443294	Ppp1r3d
0.00218240281353118	Hadhb
0.00226930687301044	Auts2
0.00228525797883372	Trem1
0.00228913506098547	Abhd17b
0.0023131278947428	Egfl6
0.00231697950118346	F3
0.00231854656289677	Gab1
0.00236606316318476	Pnrc2
0.00237691804911908	Aga
0.00239730861155481	Zadh2
0.00245767475301936	Ldlrad3
0.0024678693847852	Cpz
0.00249185158953666	Tmem38b
0.00250704360043931	Mcam
0.00252182551253825	Agpat2
0.00253969813465243	1700086L19Rik
0.00257152280420418	Pola2
0.00258762464504946	E330012B07Rik
0.0026060317693136	Tgfbr1
0.00264704247581608	Znrf3
0.00274949591241457	Bcan
0.00280588827819359	Btg4
0.00287416040528367	Bnipl
0.00289760240423221	Cnksr3
0.0029276178324756	Tril
0.0029496683303105	Impad1
0.00297260943295646	Slc6a11
0.00300627139633007	Hsd11b1
0.00307546843630557	Lypd6
0.00307561344641606	Eif2ak2
0.00308028261985492	Fat3
0.00311064847981329	Usp18
0.00311375273928167	Snord22
0.00312298502272976	Hbegf
0.00316157652799391	Slc12a2
0.00316847157903671	Sema6d
0.0031743395256377	Il17rd
0.00317523201398401	Mfge8
0.00321617590258719	Calb1
0.00322331575688248	Car5b
0.0032566097418577	Nufip2
0.00326432396660637	Src
0.00328433178367429	Colec12
0.00328850434756888	Nek7
0.0032963552391405	Pak4
0.00332342155675096	Smim4
0.00332728629419802	Cort
0.00333554692830477	Prss54
0.0033520136032409	Nell1
0.00336978758518079	Fubp3
0.00340011883400612	Abhd3
0.00344991761403561	Ednrb
0.00345087040126478	Scgb1a1
0.00347320820433849	Tlr9
0.0034825140704383	Mex3c
0.00350987798608384	Fjx1
0.00355684395416935	Rab31
0.00359056753137194	Snhg5
0.00360159488045532	Rfx5
0.0036070331583759	Dtna
0.00369038850192132	Cpeb4
0.00371937569885282	Trp53i11
0.00372546913089808	Pdyn
0.00375498607723759	Golga7
0.00380658940090668	Pla2g4d
0.00382336647234673	Xrn1
0.00382961146690135	Tob2
0.00384999405328312	Cyp2c50
0.00386446960321563	Plk1
0.00393382594366747	Rxrb
0.00395369281006073	Zhx2
0.00397263330297896	Ddit4
0.00401509719662922	Ptn
0.00401668873800084	Efemp1
0.00401745012730328	Aebp1
0.00404120998160079	Caps2
0.00407823169438655	Prr5l
0.00409142219086743	Fst
0.0040997479355584	Pls1
0.00411267843419966	Fgfrl1
0.00412721358680308	Cemip
0.00418315691885341	Ranbp3l
0.00419031340358677	Rbm7
0.00422479136122722	Bhlhe22
0.00422766688331194	Phldb1
0.00423491652446878	Hcfc2
0.00431308602411537	Cln8
0.00433706403561221	Tdo2
0.00436356863522102	Gja1
0.0043812949827824	Ggt6
0.00438403994430566	Trap1
0.00438701718645782	Mt4
0.00439758950536137	Adra2b
0.00444975543942239	Kdelr3
0.00446532247954487	Fabp1
0.00447359007589282	Pcdh18
0.00447847977891911	Flot2
0.00452607034303651	Foxn2
0.00459490782120146	Gas1
0.00461381163276332	Mettl7a1
0.00463240082631405	Gulp1
0.00466131389561865	Dek
0.00466506528742159	Arsj
0.00467438155954182	Gna13
0.00468945999925807	Slc25a34
0.00470662022375057	Foxo1
0.00471146046741181	Npr1
0.00472027439862323	Ceacam15
0.00472836648937712	Fgfr3
0.00473786046687114	Fut10
0.00476142725129439	Pcbp2
0.00478669616382597	Fam19a2
0.00480559006795358	Cygb
0.00482582781212488	Ccdc28b
0.00487441250186858	Taar1
0.00488876865506094	Dpyd
0.00491982943718239	Rhbdd1
0.00494451930701169	Ifit1
0.00496529218690865	Pcdhb17
0.00496577101665902	Tubgcp3
0.0049883875646659	Metap2
0.00500708812399379	Six5
0.00502243234946408	Qdpr
0.00507511772146241	Pdgfb
0.00512710880102768	Slc38a3
0.00513048871573771	Nfya
0.00524012996592312	Gtf2a1
0.00525053021636835	Igfbp2
0.00526904175471324	Ip6k3
0.005296174234621	Slc9a3r1
0.0053139942922214	Slc30a2
0.00532330754234788	BC017158
0.00535685374141715	Foxn3
0.00537636698818368	Ackr3
0.00539271778439117	Sbspon
0.00541702747403581	Emx2os
0.00542308353560264	Poln
0.00543636340395062	A4gnt
0.00547391499303249	Hmgn1
0.00548054131147455	Slc1a3
0.00548996100205272	Hnrnpf
0.00549909771411555	Degs1
0.00556407982464052	Ddx19a
0.00559612006719454	Itpr2
0.00561411234760478	Tmem114
0.00563251499740723	Sst
0.00563701774711433	Myrfl
0.00564558547014775	Kbtbd7
0.00564715277948553	Elovl3
0.00568859785685193	Matn4
0.00572351124322663	Cd209c
0.00573325151740542	Slc26a7
0.00574139888421472	Lgr4
0.00583369095378175	Ptgr2
0.00583694355825461	Lpar1
