#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208903; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.492745857901269; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.73903874768802e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949548466383e-22; Statistic: 22.4131032873212; Expected: 1.61246726828211; Std.dev: 0.683145090849827; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666666; Std.dev: 1.96835364539471; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276305899e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.96835364539471; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE36237
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
#GSE36237_Tg2576: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE36237_Tg2576	GeneSymbols
2.86836672187824e-07	Fdft1
7.17844733544797e-07	Ldlr
8.81273898986349e-06	Stard4
3.25389565639832e-05	Hmgcs1
4.81974557541986e-05	Sqle
6.07124319982433e-05	1700056E22Rik
0.000102320279650656	Ghrl
0.000114026885801082	Zfp81
0.000153604614776603	Ocstamp
0.00017727062594701	Srebf2
0.000220398370761112	P4ha3
0.000247587064705682	Rprm
0.000281277610788802	Trim14
0.000284169822583168	Fdps
0.000328355607242162	Mapk11
0.000328783722014269	Polr3g
0.000338325232830755	Reep6
0.000379553675995174	Pign
0.000387002087628018	Dpysl5
0.000398230127079372	Soga3
0.000423315429538557	Msmo1
0.000533222279011744	Tatdn3
0.000759113412140089	Ints7
0.000882588746022262	Zfp385b
0.000916721454011154	Golga7b
0.000948897555479656	Zc2hc1a
0.000968331471910018	Setd4
0.000976037521154972	Nsdhl
0.000988913429945176	Npas3
0.00100200488478342	Disp1
0.00101508394783291	Sh3rf3
0.00110775484452305	Gm5485
0.00112879891374755	Kat8
0.00113440449669391	Htatip2
0.00117746777349162	Syne3
0.00118576983694218	Ddx47
0.00120298346642633	Prkch
0.00121801762469986	Sfxn4
0.00123370476037508	Bbs12
0.00125707174530129	Drd1
0.00135065044334919	Lce1m
0.00144179532937031	Kif22
0.00146531872203247	C1qa
0.0015221763905672	Dhcr24
0.00161069627445212	Tspan17
0.00164086206859219	Rexo4
0.00164311111734168	Cntn6
0.00165258498784645	3110035E14Rik
0.00165486565881488	Angptl3
0.0016562081690872	Cemip
0.00167541909663028	Tubd1
0.00171245616425924	Fahd1
0.00173296565443255	Slc35d3
0.0017330691567493	Slc18a2
0.00175915704266983	Plcz1
0.00179159794943677	Mcm8
0.0019176901108201	Slc7a1
0.00201224634696747	Kyat1
0.00206120569669197	Nav2
0.00208025285288773	Ptpn5
0.00211294140575276	Esrrb
0.00216317205146496	Ahsg
0.002172551624208	Vsnl1
0.00228354877122443	Slc39a8
0.00231474507629779	Ddx43
0.0023376484217574	Actl9
0.00234709209735979	Tm7sf2
0.00235504947754074	Actl11
0.00241905788935753	Igfbp6
0.00243264068662957	Tmem126b
0.00247215877365363	Pigc
0.00249760283251692	Thsd1
0.00251761182512736	Csf3r
0.0025182891660125	Fam71a
0.00252627191485819	Satl1
0.00254162987425336	Fam189a1
0.00254184745751782	Strbp
0.00257430003371995	Acat2
0.00264351651551357	Fbxw7
0.00269431851558975	Gramd1c
0.00278268938348976	Gtpbp2
0.00278350302282647	Slc29a1
0.00282977506164988	Pbsn
0.00291693415367245	Ipp
0.00294370533143871	Comt
0.00297707381876491	Ank1
0.00301521459129841	Bend5
0.00304009954935641	Rpl18
0.00308805131792636	Exoc6b
0.00310360681604875	Rpap1
0.00310717070269347	Csrnp3
0.00310864141403939	Uggt2
0.00311349809674463	Slc7a3
0.00313582708138868	Tmem91
0.00318975965391315	Gfap
0.00320598991865127	Hsph1
0.00329393146617337	1700113H08Rik
0.0034543759337787	D630045J12Rik
0.00346161500219516	Esd
0.00349270108438393	Slc7a4
0.00352014497411664	Fkbp5
0.00354626593569158	Cftr
0.00358023817201052	Tmem143
0.00362218472983604	Lmtk3
0.00364708982534634	Jade2
0.00367096565977839	Kcnj11
0.00367251209460664	Tspan13
0.00368331974722675	Mnt
0.00373349329624954	Hcrtr2
0.00383094995685222	Pck1
0.00384335556543479	Cyp4f18
0.00397583288611985	A630095E13Rik
0.00399352405436752	Mical2
0.00402993786639624	Rgs4
0.0040607631532006	Tbl2
0.00413028203302203	Unc5c
0.0041469361102431	Thoc5
0.00414880141182797	Gzmc
0.00425975686371046	Ciao1
0.00426118289326809	Tfrc
0.00427708458371775	Stk16
0.00442320020250994	Zfp637
0.00443965413716548	Rdh1
0.00446010905049663	Nhej1
0.00446445762268549	Vwf
0.00463140443915227	Trpm2
0.00466705744191266	Isg15
0.00468519528496585	Acly
0.00470214245735226	Glra1
0.0047133666750237	Pik3r1
0.00472653908104403	D130043K22Rik
0.00472808408600218	Pknox1
0.00476305441162715	Dpy19l3
0.00478405767120781	Nudt2
0.0049612949988349	Lats2
0.00501149816355332	Zranb3
0.00508117863309619	Efcab7
0.00516776089355119	Golph3l
0.00520743488445527	Insig1
0.00531339849752397	Amh
0.0053162307992639	Tnks
0.00533124196272766	Tubb3
0.00543362916045305	Aicda
0.00546571354257028	Vps36
0.00548534836271074	Tekt5
0.00550254625776394	Cx3cl1
0.00553059220246941	Lect2
0.00554734738145	Arhgef16
0.0055641387426924	Adam15
0.00558562910681562	Tubb2a-ps2
0.00559579525146355	Rdh14
0.00559838876190475	H2afj
0.00560970670558461	Gngt1
0.00566719109123802	Grin2a
0.00569668201466362	Ankrd45
0.00570153020019069	Srgap2
0.00571223910661967	Lysmd2
0.00575223837647339	Blnk
0.00575644935840013	Vti1a
0.00579740758517326	L1cam
0.00584754629592161	Ahsa1
0.00585086822162706	Rasal2
0.00585344513949205	Hagh
0.00586471021576027	Mki67
0.00594283116501968	Zbtb8os
0.0059711604286284	4931428F04Rik
0.00598803152437903	Rbm45
0.00600731172616448	Glce
0.0060523109868037	Ackr2
0.00617398926842261	Cdhr4
0.00618856903978671	Pfkp
0.0062331230677261	Irx4
0.00633133347789676	Mmaa
0.00635177499091874	Hils1
0.00649042011388077	Bcl2
0.00649367742545187	Sult5a1
0.00650612478371181	Slc2a6
0.00653383369967538	A330102I10Rik
0.00659370002827802	Atp13a5
0.00668838906684058	Bcat1
0.00674215041254168	Clec4a2
0.00674533381424029	Aff3
0.00678132129188471	Fam13c
0.00679719264923482	Trnp1
0.00684199822587138	Tox
0.00687565547087586	Siglech
0.00690399544688855	Arntl2
0.0069167596676655	Panct2
0.00692301173289248	Adat2
0.00692881350937285	Tac2
0.00694667622817674	Kcna4
0.00698310677699687	Tecr
0.00698960665893713	Atp6v1e2
0.00701857679119669	Fam120c
0.00703203458297751	Tomm34
0.00704710591371021	Plpp6
0.00705970902659578	Prss2
0.00713237957383619	Asl
0.00716249826712494	Kif26a
0.00727509674899482	Cap1
0.00734165590735896	Ccl25
0.00736195977156936	C1qb
0.00737507625166952	Cfap46
0.00738465393150445	2700099C18Rik
0.007389359087072	Rcn3
0.00749625082404058	Rptor
0.00750244708541752	Rlf
0.00753419256603019	Kcnn2
0.00758051232029321	Klf12
0.00758766512365575	Ier5
0.00760262693844827	Serac1
0.00766748996589209	Mvd
0.00769509436401284	Stat2
0.0076989009713071	Tmem216
0.00771905062258457	Dennd5b
0.00772676445749723	Dmtn
0.00775003428967969	Frmpd3
0.00781847486513435	Kcnmb2
0.00794167118437414	Tuba4a
