#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208903; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.492745857901269; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.73903874768802e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949548466383e-22; Statistic: 22.4131032873212; Expected: 1.61246726828211; Std.dev: 0.683145090849827; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666666; Std.dev: 1.96835364539471; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276305899e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.96835364539471; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE36237
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161415; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442668; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
ProbeName	GeneSymbols	down
1416251_at	Mcm6	8.34019855055679e-07
1427048_at	Smo	4.44220380101958e-06
1452107_s_at	Npnt	5.61445212698979e-06
1454481_at		6.87185714521439e-06
1440968_at		1.8800824481226e-05
1452106_at	Npnt	2.1089696570782e-05
1427371_at	Abca8a	2.21898970686118e-05
1438852_x_at	Mcm6	3.19158873165786e-05
1438169_a_at	Frmd4b	3.54342909314301e-05
1454656_at	Spata13	4.13806744337595e-05
1454857_at	Rnf122	4.44867229481345e-05
1456241_a_at	Slc38a10	5.24896297699035e-05
1420921_at		5.91941406949164e-05
1418937_at	Dio2	6.18802984227083e-05
1451466_at	D16Ertd472e	6.18955512703198e-05
1419663_at	Ogn	6.28961317303083e-05
1436015_s_at	Stk4	6.62177049474362e-05
1426432_a_at	Slc4a4	6.84547050652923e-05
1427700_x_at		6.87238087643782e-05
1434096_at	Slc4a4	7.99240536864011e-05
1434503_s_at	Lamp2	8.59242026907229e-05
1457139_at		0.000113474536158403
1426594_at	Frmd4b	0.000133686103457471
1455875_x_at	Tm9sf2	0.000142537908728602
1434893_at	Atp1a2	0.000146386133790492
1427233_at	Tshz1	0.000160638849911573
1417985_at	Nrarp	0.000161222266652753
1434316_at	Chsy1	0.000162755591770575
1437106_at	Kdm5a	0.00016470090283016
1447667_x_at	Map3k4	0.000165443338043805
1421607_at	Vgll1	0.000170917177021699
1443405_at		0.000171333142512668
1424780_a_at	Reep3	0.000183036505430798
1436555_at	Slc7a2	0.000183707404030541
1424781_at	Reep3	0.000190540379163516
1444307_at		0.000193889960266174
1435719_at		0.000199622757566205
1444423_at		0.000204692109971684
1453329_s_at	Nkain2	0.000215455091375097
1430700_a_at	Pla2g7	0.000218807067733764
1431908_at	4933408J17Rik	0.000226173116374608
1421917_at	Pdgfra	0.000235220952187424
1449893_a_at	Lrig1	0.000241391757700918
1442800_x_at	Fam181b	0.000245909806971206
1434599_a_at	Tjp2	0.000266636527863307
1419922_s_at	Atrnl1	0.000280094512977
1452071_at	Slc4a4	0.000281550674177985
1416332_at	Cirbp	0.000292755310395619
1416779_at	Sdpr	0.000299034799168267
1456130_at	Thsd7a	0.000305832115590005
1416784_at	Pgk2	0.000308492039828427
1423120_at	Ide	0.000317232650288526
1423085_at	Efnb3	0.000320592995644769
1434261_at	Sipa1l2	0.000325511645331064
1426561_a_at	Npnt	0.000332894986354191
1439399_a_at		0.000333501275682863
1441943_x_at	Ciapin1	0.000337793494930673
1453177_at	Snx31	0.000351224033553514
1443749_x_at		0.000351830437928653
1419662_at	Ogn	0.000353225312485659
1456424_s_at	Pltp	0.00036331888173805
1434136_at	Tmem229a	0.000372990904849094
1456057_x_at	Tmem109	0.000374235991473095
1437594_x_at	Pigt	0.000377664631296658
1436330_x_at	Zfp947|Zfp820	0.000379165807276189
1442138_at	Gpr62	0.000385649584089119
1452831_s_at	Ppat	0.00040732144342143
1435616_at	Cyp20a1	0.000437502193965688
1420355_at	Grk4	0.000440995345087974
1433252_at		0.000445138433263794
1430548_at	Brip1os	0.000450566274865826
1460301_at	Vmn1r62|Vmn1r186|Vmn1r61	0.000454897977725124
1460574_at	Fat4	0.000468957136405952
1441512_at	6030445D17Rik	0.000476541501255214
1433639_at	Fam117a	0.000480051081131319
1434180_at	Fermt2	0.000522841840129151
1437008_x_at	Tmem109	0.000529127281632694
1448162_at	Vcam1	0.000537497804195538
1427002_s_at	Arsg	0.000551721611107895
1433670_at	Emp2	0.000570848922622696
1419618_at	Bbox1	0.000584704258146056
1419459_a_at	Magt1	0.000585149419580571
1424159_at	Fam134c	0.000586515353307812
1459749_s_at	Fat4	0.0005891111935842
1434129_s_at	Lhfpl2	0.000612967653062037
1434680_at	Plekhg3	0.000616646874179699
1434344_at	Gpkow	0.000619689552160123
1419309_at	Pdpn	0.000631940569387729
1436801_x_at	Cdc42ep4	0.000632261021175505
1460716_a_at	Cbfb	0.000632441924956996
1434513_at	Atp13a3	0.000649127854645831
1415922_s_at	Marcksl1	0.000650990498041864
1437914_at		0.000653916391864771
1456865_x_at	Rrs1	0.00066053438846397
1443882_at		0.000669715568604552
1437495_at	Yy2	0.000680504164468233
1426746_at	Timm29	0.000699604546844056
1444107_at	Elmsan1	0.00070116379436112
1434449_at	Aqp4	0.000720617208205676
1429768_at	Dtna	0.000721406631675181
1437375_at	Rfx3	0.000722228621206471
1445833_at		0.000728934844748742
1459447_at		0.000741075976706682
1429897_a_at	D16Ertd472e	0.000744512900279433
1439462_x_at	Tmed10	0.000744642883984563
1452703_at	Ahcyl2	0.000744932527033632
1449090_a_at	Yes1	0.000745124557832269
1452220_at	Dock1	0.00075306343583062
1438680_at	Auts2	0.000756435624336812
1417693_a_at	Gab1	0.000772848854298924
1422555_s_at	Gna13	0.000779063593256969
1438793_x_at		0.000779630081662536
1459725_s_at	Dcpp1|Dcpp2|Dcpp3	0.000784088511150707
1454552_at		0.000786407342060298
1456544_at	Tmem38b	0.000830617196512219
1439444_x_at	Tmed10	0.000835907881323952
1437992_x_at	Gja1	0.000839107095523511
1415874_at	Spry1	0.000862887571452588
1437226_x_at	Marcksl1	0.000863946435159776
1420895_at	Tgfbr1	0.000868677256437868
1435648_at	Lrrn4	0.000886412399758561
