#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
#GSE48622_APLP2_KO: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE48622_APLP2_KO	GeneSymbols
2.66111347758613e-19	Aplp2
2.05495917237537e-08	Thyn1
1.57301377340496e-07	Cd52
4.80338649828822e-07	Mpeg1
1.02244755807753e-06	Htr3a
4.2276367116164e-06	Irgm2
6.3062912756001e-06	Exosc9
8.88659507962462e-06	Dyx1c1
1.08978420769395e-05	Itgb2
1.22949362163059e-05	Rabl2
1.28762553342199e-05	Selplg
1.70106757880649e-05	Gm5148
2.55536082321151e-05	Rpp25
3.32659975423838e-05	Nudt6
4.66381292493291e-05	Smcr8
4.95282081211177e-05	Rnase6
5.49202904815005e-05	Mlxipl
6.05891820030741e-05	Nlrx1
7.91009691302414e-05	Coro2b
8.80333244757144e-05	Stox1
0.000106347405920768	Zfp874a
0.000133759401363305	Ctss
0.000156486729858519	9430065F17Rik
0.000201202753543847	Nxpe4
0.000228763882667929	Cetn4
0.000263968084750754	Ltc4s
0.000279485108163169	Pirt
0.000309078360421634	Ly86
0.000312751345344476	Pygo1
0.000334106290647909	Serhl
0.000358978380236636	Ift27
0.00036403502482286	C2cd2l
0.000410165904046215	Gm5089
0.000426369681352218	Rps4l
0.000456555438833888	Twf1
0.000473445974075322	Iqub
0.000508405581961859	Mccc1
0.000516102606961111	Etnppl
0.000519236863294022	Ppp1r1b
0.000600742417388843	Fcer1g
0.000611045708257954	Fam214a
0.000611570216718202	Fhad1
0.000624296735522927	Mto1
0.000624348230732167	5730508B09Rik
0.000641412638056864	Arsj
0.000649835432937158	Glt8d2
0.000663390803834341	Evc2
0.000679136827104182	6720489N17Rik
0.000690965886946485	Bco2
0.000702842077109082	Tor3a
0.000717372783850824	Rnf26
0.000737225260271667	Ly96
0.000739479284993005	Ppcdc
0.000779435770741397	Gtf3c2
0.000783730652446622	Ctsl
0.000791137177936095	Pcolce2
0.000860835012617086	Krt18
0.000863880087260846	Tmem25
0.000864074200708162	Dnaja4
0.000887711916715818	Shisa6
