#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
ProbeName	GeneSymbols	down
1423739_x_at	Aplp2	5.32222695517225e-20
1421889_a_at	Aplp2	2.44658255319567e-18
1432344_a_at	Aplp2	1.85892406907872e-17
1421888_x_at	Aplp2	8.95769189614766e-12
1421887_a_at	Aplp2	7.17748818881519e-11
1438769_a_at	Thyn1	1.02747958618769e-08
1460218_at	Cd52	1.57301377340496e-07
1430153_at		2.21892850952032e-07
1427076_at	Mpeg1	4.80338649828822e-07
1456532_at		7.89472703553285e-07
1418268_at	Htr3a	1.02244755807753e-06
1453044_at		2.25363866222328e-06
1417793_at	Irgm2	4.2276367116164e-06
1451605_at	Dyx1c1	4.44329753981231e-06
1418462_at	Exosc9	6.3062912756001e-06
1430648_at		1.08035164110229e-05
1450678_at	Itgb2	1.08978420769395e-05
1431931_a_at	Rabl2	1.22949362163059e-05
1449127_at	Selplg	1.28762553342199e-05
1457847_at		1.41216749756954e-05
1442139_at		1.65438847364115e-05
1443541_at	Gm5148	1.70106757880649e-05
1443915_at		1.7675046750429e-05
1455632_at		2.25227940335221e-05
1437701_at	Smcr8	2.33190646246646e-05
1448845_at	Rpp25	2.55536082321151e-05
1424510_at	Nudt6	3.32659975423838e-05
1430978_at		3.64375698910804e-05
1434326_x_at	Coro2b	3.95504845651207e-05
1419004_s_at	Bcl2a1a|Bcl2a1d|Bcl2a1b	4.30567944467712e-05
1430534_at	Rnase6	4.95282081211177e-05
1419185_a_at	Mlxipl	5.49202904815005e-05
1433661_at	Nlrx1	6.05891820030741e-05
1440068_at		8.75399177345054e-05
1456883_at	Stox1	8.80333244757144e-05
1434171_at	Zfp874a	0.000106347405920768
1433104_at		0.000125413022463807
1448591_at	Ctss	0.000133759401363305
1447493_at	Pirt	0.000139742554081584
