#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
ProbeName	GeneSymbols	up
1452907_at	Galc	7.10650530043774e-11
1457913_at		1.36279288241044e-08
1427271_at	Zbtb44	1.88534627022655e-08
1443285_at		3.01186037921103e-07
1450820_a_at	Ntng2	1.02064799380722e-06
1456601_x_at	Fxyd2	1.93216942449496e-06
1457495_at	2900052N01Rik	3.57420613640421e-06
1446540_at		5.06365788243184e-06
1419378_a_at	Fxyd2	9.62761163606484e-06
1426258_at	Sorl1	1.23034767216019e-05
1421955_a_at	Nedd4	1.70463614192634e-05
1443611_at		1.82008538625014e-05
1423889_at	Gm5617	1.82561354471028e-05
1436231_at		2.03962914402583e-05
1457650_x_at	Atg4a	2.64263913890986e-05
1454999_at	Phf21b	2.70361745784413e-05
1440386_at		2.75243610725676e-05
1423290_at	Hyou1	2.82780724232176e-05
1447693_s_at	Neo1	2.94691330972161e-05
1419379_x_at	Fxyd2	3.48357625713088e-05
1424611_x_at	Trub2	4.29345452100758e-05
1423513_at	Neo1	4.44366887834946e-05
1426850_a_at	Map2k6	4.73799299934188e-05
1424610_at	Trub2	4.8711183157622e-05
1418766_s_at	Timd2	4.90720768632518e-05
1420655_at	Pnpla3	8.20523685332809e-05
1451109_a_at	Nedd4	8.72731639412783e-05
1436650_at	Filip1	0.000101514303328191
1417343_at	Fxyd6	0.000104185441765761
1445673_at		0.000110545490222845
1449491_at	Card10	0.000134726863572947
1451930_at		0.000139932167064201
1454445_at		0.000149147867984479
1421736_at	Vmn1r56	0.000154757794755838
1457218_at	Strbp	0.000159361009411014
1453991_at		0.000167945629523367
1456023_at	Zfp846	0.000171055035779101
1431569_a_at	Lypd1	0.000176437770873258
1456164_at	AW011738	0.000188186934777584
1448916_at	Mafg	0.000191336091175411
