#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6096
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760319381e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477877; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914815; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303353; Statistic: 1.78211733966326; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218865; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE50521
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
#GSE50521_5xFAD: original input has 16743 probesets; mapped probesets: 16366; probes mapped to multiple genes to be removed (except for insulin): 264; genes with multiple probesets are BH corrected. New data has 15986 genes.
GSE50521_5xFAD	GeneSymbols
3.27984734017692e-08	Glt8d2
3.60392694752219e-07	Mme
1.04238723654034e-06	Fam163a
5.94972595370499e-06	Plppr5
1.02064878663466e-05	Pcsk1
1.25763764487587e-05	Tac1
1.51462716794736e-05	Pantr1
1.5325643458357e-05	Vwa3a
2.4095988638312e-05	Olfr690
2.75198367115618e-05	Palmd
2.8083801630766e-05	Gskip
3.21321180895436e-05	Pygm
3.95306071041385e-05	Zfp938
4.2798000672028e-05	Tarm1
4.41110452727293e-05	Kcnn2
5.38786683193827e-05	Olfr523
5.43047234445196e-05	Znhit3
7.1354744680607e-05	Dennd1b
8.88156794556478e-05	Pak3
9.15987335071056e-05	Kcnip4
9.63500414755782e-05	Tusc3
9.69938165615342e-05	Dcun1d3
9.71299581544768e-05	Zfp385b
0.0001058629847634	Gucy1b3
0.000107391954160686	Olfr888
0.000110102136765656	Nrep
0.000118567092537955	Crhbp
0.000121158831828142	Clvs2
0.000132287694969804	Vegfc
0.00013746673777485	Sowaha
0.000143648925258327	Homer2
0.000149709662022233	Rgs7bp
0.00016809909466268	Dazl
0.000169873798569583	Sntg1
0.000170888101310703	Nat8
0.000175471459991723	Cacng2
0.000180744751927942	Hs6st2
0.000181037365555526	Fezf2
0.000182720498008829	Foxp1
0.000185958799459429	Hist2h4
0.000186083272427081	Bbs5
0.000192763679165899	Zmat4
0.00019582333473583	Egfl6
0.000201384103352879	Tmtc1
0.00021312250920374	Fam198b
0.000224517834868961	Sst
0.000230198338013432	Pip5k1b
0.000239446526918277	Arhgap15
0.000239851755152343	Ndst4
0.000240211035342159	Ccnh
0.000245674880893871	Gng4
0.000277235331219321	Tmem74
0.000297638581773511	Elmod1
0.000298518275888417	Gstm7
0.000310677579548397	St6gal2
0.000321806749003063	Pcdhb19
0.000322619352753622	Strbp
0.000334840545644008	Fancl
0.000342100048672104	Tnrc6c
0.000342781720796914	Hist1h2ae
0.000344132444572662	Mkx
0.000348430966002396	Gmnc
0.000353863238680972	Rpe65
0.000355080221056072	Sertad4
0.000362979035306688	Sod2
0.000365885679255524	Mlip
0.000370366334807736	Ncald
0.000374049974745261	Pamr1
0.000377367373052674	Fut8
0.00038098695887868	Hectd2
0.000396814206191767	Slc13a5
0.000421654480296699	Myo5c
0.0004313128719204	Cadm2
0.000443589277413092	Dzip1
0.000444161926541686	Mtx2
0.000445837669146415	Klhl23
0.00046526592323774	Hdac9
0.0004673928763802	Cnot7
0.000467924702784159	Bsnd
0.00047299836030059	Exd2
0.000486706237784096	Hivep2
0.000490617085544946	Pdpk1
0.000491309122089886	9530091C08Rik
0.000500217028496292	Vegfa
0.000503887155734352	Fgf5
0.000519046048282826	Hyls1
0.000522696411914644	Ica1
0.00052611047036437	Sgpp2
0.000527991003583435	Gpc5
0.000530832967931962	Slitrk4
0.000568534410745268	St6galnac5
0.000571903266660192	Ralyl
0.000576929604627369	Heph
0.000577442799721129	Paqr9
0.000583370410685134	Arntl
0.000586029991730027	Rnase1
0.000592984076023522	Stk26
0.00059826130472815	Mansc1
0.00059846473664693	Tcl1b3
0.000599270018130997	Plpp6
0.000602010124617184	Ccsap
0.000616121684145546	1700001O22Rik
0.000619245390699861	Adcyap1
0.000624071962760496	Wars2
0.000632614829441429	Olfr1391
0.00063314497820975	Mum1l1
0.000644907979873271	Gdap10
0.000657839736802231	Plppr4
0.000667208552577472	Pxylp1
0.000670687026637136	Kcnh7
0.000675334968425336	Cdh6
0.000676004580641607	Mrpl34
0.000681059715682943	Ssbp2
0.000681439734217637	Rab9b
0.000683942028965745	Rapgef5
0.000686801720847102	Dusp10
0.000698069207827462	Chst10
0.000704414233880721	Pcdhb14
0.000714404104783656	Npas4
0.000717548469888298	Eif4e
0.000720834453709157	Fam188a
0.00072882046668749	Lmo3
0.000734798555405762	Scg2
0.000769505127825965	Ifna2
0.000788384079787042	Rnf152
0.000803282050502901	Zbtb44
0.000819232392078115	Grm3
0.000821297378530095	Wee1
0.000823314252951441	Tmeff1
0.00082614475183752	Asb18
0.000833677235472835	Ryr1
0.000838632521472596	Arhgap20
0.00085025454137226	Nedd4l
0.000863110805124153	Pde7b
0.000864756122149448	Hace1
0.000867777837405979	Mal2
0.000888003001086049	Zfp704
0.000889113097227807	St8sia3
0.000904002025326399	Tas2r114
0.000911513102425379	Tbc1d8b
0.000914942152470552	R3hdm1
0.00091886045844067	Lcor
0.000927911668207486	Sptssb
0.000930218127342217	Thnsl1
0.00096332936497691	Pabpc5
0.00097698510008004	Ndst3
0.00100227310859311	Trpc1
0.00101833648545098	Ccdc184
0.00102773242083543	AI593442
0.00104236597598627	Mtus2
0.0010458190595596	Lrrn3
0.00107239523499414	Rragb
0.00109136113324972	Sumo1
0.0011031055114606	Armc1
0.00110729383150141	Apex2
0.00113008152484112	Zmynd8
0.00113978033826219	Zfp37
0.00114190398987472	Tex29
0.00115376541478648	Pde8b
0.00115530394091586	Kcnd2
0.00116178390985872	Ppa2
0.00116965231005319	Fras1
0.00117498946643234	Trank1
0.00119256300262374	6430573F11Rik
0.00120328532672949	Efhc2
0.00123248688345106	Slc17a6
0.00123832098892317	Zfhx4
0.00125309572791994	Khdrbs2
0.00126460627245783	Kcna4
0.00127629311565989	BC065397
0.00128771037478308	Spink8
0.00129090298428877	Dlg2
0.00129973290274002	Cadps2
0.00130188655329235	Ccne2
0.00132323710889994	Csrnp3
0.00132790278430997	Ttc14
0.00134278967552427	Rab28
0.00134734387290305	Spag5
0.00134807168433096	Pank1
0.00135034825304127	Cisd1
0.00135420065093742	Lgi1
0.00137359261515326	Dennd5b
0.00137436322246505	Kcnh5
0.00138015197458179	Rras2
0.00138469709124727	Gria2
0.00141733933355504	Cdh8
0.00143687546525581	Cyp2c54
0.00144419600085887	Kcnj11
0.00145158439920626	Plag1
0.00145279288333988	Lrp4
0.00146186167184996	Enah
0.00146585521990977	Moxd1
0.00147400312408434	Fam49a
0.00148169251513063	Cacnb4
0.00148331284429419	Tdo2
0.00149422691225656	Eloc
0.00150721449992587	Auh
0.00152883971166475	Ubxn2b
0.00154112934427335	Mrpl3
0.00154671850782492	Tmem114
0.0015485943190467	Clvs1
0.00156947699590352	0610037L13Rik
0.00158283976695017	Actr3b
0.00159009530126865	Tas2r138
0.0016085764914861	Crhr1
0.00161070936659704	Aqp11
0.00161464959846418	C230004F18Rik
0.00161737545928817	Tmem68
0.00163260713026193	H3f3a
0.0016340022030805	Far2
0.00166021074821847	Mkl2
0.00166561043797171	C130026L21Rik
0.00166584027837467	Olfr486
0.00168559138531609	Grhl1
0.00169131140153985	Lsm14b
0.00169136939323178	Ankrd45
0.00170822068852517	Gm839
0.00170904665729396	Olfr107
0.00171694258336253	Gbas
0.00172348963306808	Gpc6
0.00173023720452925	Klhdc1
0.00173464777071339	Ankzf1
0.00174415927948373	Spry2
0.00174782076326839	Tsen2
0.00176676568806769	Galnt13
0.00177283418961645	Bckdhb
0.00178827394341552	Trim66
0.0018071424625739	Olfr706
0.0018101225919879	Senp5
0.00181257141420262	Ppm1k
0.00182996446067109	B230118H07Rik
0.00183216384787951	Fbxo27
0.00183261029490867	Pyurf
0.00184762321193099	Cap2
0.00185128386766924	Rab11a
0.00187681154178808	Omg
0.00187971265689595	Flt3
0.00189337537311689	Kcnq3
0.00190815958249047	Ecm2
0.0019090526325635	Ntrk3
0.00192556051423085	Pde4d
0.00192822407179986	Ube2v2
0.00193505746085729	Il3
0.00193621411395064	Lin7c
0.00194276076728793	Jph1
0.00194878515315506	Kcna2
0.00196583432225428	Grpr
0.00196642771976645	Ephx4
0.00201345355191698	Trpc4
0.00201704823874743	Zfp286
0.00201934107691519	Hspa4l
0.0020394677991231	Fam210a
0.00205062056499	Atp5o
0.00205155130437519	Fbxw7
0.00205208288165474	Tsc22d3
0.00208916136841821	Acp1
0.00209502551909837	Fh1
0.00209853081329468	Lrrk2
0.00209946117974114	Kcnj6
0.00210473572669256	Kyat1
0.00213529052592232	Ccnj
