#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6096
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760319381e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477877; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914815; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303353; Statistic: 1.78211733966326; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218865; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE50521
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
6789325	4.18252826103107e-14	7.00280706744432e-10	2.28554866944915	32.065693312658	Cd68	CD68 antigen	2.09126413051554e-14	0.999999999999979	3.50140353372216e-10	0.999999999999979
6926167	9.40615621422864e-14	7.8743636747415e-10	1.83944501905269	30.1682129954529	C1qa	complement component 1, q subcomponent, alpha polypeptide	4.70307810711432e-14	0.999999999999953	3.93718183737075e-10	0.999999999999979
6959584	1.93480304150475e-13	8.96710808979082e-10	2.30476094847786	28.5718252313149	Tyrobp	TYRO protein tyrosine kinase binding protein	9.67401520752374e-14	0.999999999999903	4.48355404489541e-10	0.999999999999979
6926166	2.14229423395827e-13	8.96710808979082e-10	1.7040767272995	28.3530541454685	C1qc	complement component 1, q subcomponent, C chain	1.07114711697913e-13	0.999999999999893	4.48355404489541e-10	0.999999999999979
6784345	3.51774574024114e-13	1.17795233857715e-09	0.986585833010831	27.3109783191512	Grn	granulin	1.75887287012057e-13	0.999999999999824	5.88976169288575e-10	0.999999999999979
6850834	5.23142542017742e-13	1.45982926350051e-09	2.47089003692859	26.5038601597185	Trem2	triggering receptor expressed on myeloid cells 2	2.61571271008871e-13	0.999999999999738	7.29914631750255e-10	0.999999999999979
6957410	9.52371393628355e-13	2.27793632050279e-09	2.16156399623825	25.3288620600873	Clec7a	C-type lectin domain family 7, member a	4.76185696814178e-13	0.999999999999524	1.1389681602514e-09	0.999999999999979
6790294	2.21302969522553e-12	4.28363441623444e-09	3.7054865016351	23.7596768618908	Ccl3	chemokine (C-C motif) ligand 3	1.10651484761276e-12	0.999999999998893	2.14181720811722e-09	0.999999999999979
6899683	2.30261660073523e-12	4.28363441623444e-09	1.70995590581616	23.6881668280025	Ctss	cathepsin S	1.15130830036761e-12	0.999999999998849	2.14181720811722e-09	0.999999999999979
6893630	2.61956563110163e-12	4.38593873615345e-09	1.48690977473563	23.4571944287081	Ctsz	cathepsin Z	1.30978281555081e-12	0.99999999999869	2.19296936807673e-09	0.999999999999979
6850308	9.13668673295476e-12	1.3906867815442e-08	3.25960698450232	21.3280395467595	Olfr111|Olfr110	olfactory receptor 111|olfactory receptor 110	4.56834336647738e-12	0.999999999995432	6.95343390772098e-09	0.999999999999979
6917120	1.23440439402038e-11	1.66104786528414e-08	1.43466945074204	20.8433769422439	Csf3r	colony stimulating factor 3 receptor (granulocyte)	6.17202197010192e-12	0.999999999993828	8.30523932642069e-09	0.999999999999979
6850135	1.2897104610102e-11	1.66104786528414e-08	1.90198513400792	20.7736494723594	H2-L|H2-D1	histocompatibility 2, D region locus L|histocompatibility 2, D region locus 1	6.448552305051e-12	0.999999999993551	8.30523932642069e-09	0.999999999999979
6917393	1.95351714340002e-11	2.26953193869588e-08	1.50548490291673	20.1239067554155	Laptm5	lysosomal-associated protein transmembrane 5	9.76758571700011e-12	0.999999999990232	1.13476596934794e-08	0.999999999999979
6833513	2.03326638478398e-11	2.26953193869588e-08	1.16576461683643	20.0623148109421	Nckap1l	NCK associated protein 1 like	1.01663319239199e-11	0.999999999989834	1.13476596934794e-08	0.999999999999979
6797579	2.28933360086132e-11	2.39564452995132e-08	1.97805251585112	19.8807625654822	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N	1.14466680043066e-11	0.999999999988553	1.19782226497566e-08	0.999999999999979
6791641	2.5840389744091e-11	2.54497438520774e-08	2.00867580540185	19.6970124005272	Gfap	glial fibrillary acidic protein	1.29201948720455e-11	0.99999999998708	1.27248719260387e-08	0.999999999999979
6767782	2.99603047258211e-11	2.78680767791346e-08	3.67953921910381	19.4746920387728	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	1.49801523629105e-11	0.99999999998502	1.39340383895673e-08	0.999999999999979
6969753	3.6149525577595e-11	3.13358755888351e-08	0.899035223532124	19.1958571818728	Slco2b1	solute carrier organic anion transporter family, member 2b1	1.80747627887975e-11	0.999999999981925	1.56679377944175e-08	0.999999999999979
6755210	3.7431613914872e-11	3.13358755888351e-08	1.80286483332714	19.144520868754	Cd84	CD84 antigen	1.8715806957436e-11	0.999999999981284	1.56679377944175e-08	0.999999999999979
6751344	4.19909362107579e-11	3.347877357032e-08	1.03734296481017	18.9761252494304	Inpp5d	inositol polyphosphate-5-phosphatase D	2.0995468105379e-11	0.999999999979005	1.673938678516e-08	0.999999999999979
6877990	4.88248889769776e-11	3.71579598246152e-08	1.35946989372405	18.7573028399506	Cybrd1	cytochrome b reductase 1	2.44124444884888e-11	0.999999999975588	1.85789799123076e-08	0.999999999999979
6815345	6.27227169856498e-11	4.51873297380354e-08	1.48840415478262	18.3989838541645	Hexb	hexosaminidase B	3.13613584928249e-11	0.999999999968639	2.25936648690177e-08	0.999999999999979
6977797	6.47730940520127e-11	4.51873297380354e-08	1.02881268948892	18.3534329842777	Man2b1	mannosidase 2, alpha B1	3.23865470260063e-11	0.999999999967613	2.25936648690177e-08	0.999999999999979
6750546	6.79948318192211e-11	4.55374987659688e-08	1.54010311809694	18.2848920402165	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	3.39974159096105e-11	0.999999999966003	2.27687493829844e-08	0.999999999999979
6926165	7.7096721888308e-11	4.96473236375362e-08	1.77685548682336	18.1086032594563	C1qb	complement component 1, q subcomponent, beta polypeptide	3.8548360944154e-11	0.999999999961452	2.48236618187681e-08	0.999999999999979
6934119	1.05297911458623e-10	6.37220712666642e-08	1.43998272628403	17.6779378535954	Hvcn1	hydrogen voltage-gated channel 1	5.26489557293117e-11	0.999999999947351	3.18610356333321e-08	0.999999999999979
6979559	1.09343268219066e-10	6.37220712666642e-08	1.21612663825926	17.6265028732139	Irf8	interferon regulatory factor 8	5.46716341095331e-11	0.999999999945328	3.18610356333321e-08	0.999999999999979
6831821	1.13027580731455e-10	6.37220712666642e-08	0.832329728659853	17.5814020185841	Cyth4	cytohesin 4	5.65137903657273e-11	0.999999999943486	3.18610356333321e-08	0.999999999999979
6972294	1.1417679854267e-10	6.37220712666642e-08	1.38635383502299	17.5676557131281	Ctsd	cathepsin D	5.70883992713350e-11	0.999999999942912	3.18610356333321e-08	0.999999999999979
6957059	1.1992580762194e-10	6.47009910175126e-08	2.15564441484223	17.5010434908256	C3ar1	complement component 3a receptor 1	5.99629038109701e-11	0.999999999940037	3.23504955087563e-08	0.999999999999979
6783040	1.2365954205103e-10	6.47009910175126e-08	1.70736834852265	17.4595890317329	Wfdc17	WAP four-disulfide core domain 17	6.18297710255152e-11	0.99999999993817	3.23504955087563e-08	0.999999999999979
6777309	1.42601087146059e-10	7.04629403860664e-08	2.29172176978763	17.2680705721648	Lyz2	lysozyme 2	7.13005435730296e-11	0.999999999928699	3.52314701930332e-08	0.999999999999979
6768985	1.4308905053612e-10	7.04629403860664e-08	0.873060010375231	17.263503877248	Itgb2	integrin beta 2	7.154452526806e-11	0.999999999928455	3.52314701930332e-08	0.999999999999979
