#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6096
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760319381e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477877; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914815; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303353; Statistic: 1.78211733966326; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218865; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE50521
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
ProbeName	GeneSymbols	down
6775518	Glt8d2	3.27984734017692e-08
6898010	Mme	3.60392694752219e-07
6763247	Fam163a	1.04238723654034e-06
6900768	Plppr5	5.94972595370499e-06
6808279	Pcsk1	1.02064878663466e-05
6943974	Tac1	1.25763764487587e-05
6758223	Pantr1	1.51462716794736e-05
6963955	Vwa3a	1.5325643458357e-05
6970117	Olfr690	2.4095988638312e-05
6908528	Palmd	2.75198367115618e-05
6797747	Gskip	2.8083801630766e-05
6867859	Pygm	3.21321180895436e-05
6775502	Zfp938	3.95306071041385e-05
7001591	Tarm1	4.2798000672028e-05
6860576	Kcnn2	4.41110452727293e-05
6965088	Olfr523	5.38786683193827e-05
6790367	Znhit3	5.43047234445196e-05
6786979		5.43695140849401e-05
6846799		5.96236664923003e-05
6753546	Dennd1b	7.1354744680607e-05
6968842	Homer2	7.18244626291637e-05
7014268	Pak3	8.88156794556478e-05
6937986	Kcnip4	9.15987335071056e-05
6975566	Tusc3	9.63500414755782e-05
6970916	Dcun1d3	9.69938165615342e-05
6888016	Zfp385b	9.71299581544768e-05
6840981		0.000104202862256631
6906325	Gucy1b3	0.0001058629847634
6988256	Olfr888	0.000107391954160686
6864456	Nrep	0.000110102136765656
6815259	Crhbp	0.000118567092537955
6773147	Clvs2	0.000121158831828142
6976200	Vegfc	0.000132287694969804
6788283	Sowaha	0.00013746673777485
6955164	Nat8f5|Nat8f6	0.000142888413485295
6815739	Rgs7bp	0.000149709662022233
6886117	Strbp	0.000161309676376811
6855898	Dazl	0.00016809909466268
6756763	Sntg1	0.000169873798569583
6955165	Nat8	0.000170888101310703
6836991	Cacng2	0.000175471459991723
7016808	Hs6st2	0.000180744751927942
6822729	Fezf2	0.000181037365555526
6955879	Foxp1	0.000182720498008829
6907255	Hist2h4	0.000185958799459429
6877924	Bbs5	0.000186083272427081
6974682	Zmat4	0.000192763679165899
7020772	Egfl6	0.00019582333473583
6944019	Glcci1|Umad1	0.000196679306859831
6958407	Tmtc1	0.000201384103352879
6898630	Fam198b	0.00021312250920374
6844649	Sst	0.000224517834868961
6872262	Pip5k1b	0.000230198338013432
6876740	Arhgap15	0.000239446526918277
6901119	Ndst4	0.000239851755152343
6808680	Ccnh	0.000240211035342159
6804900	Gng4	0.000245674880893871
6803030		0.000268300929867973
6835403	Tmem74	0.000277235331219321
6995736	Elmod1	0.000297638581773511
6908073	Gstm7	0.000298518275888417
6851177	St6gal2	0.000310677579548397
6860204	Pcdhb19	0.000321806749003063
6779588	Fancl	0.000334840545644008
6785283	Tnrc6c	0.000342100048672104
6811682	Hist1h2ae	0.000342781720796914
6863210	Mkx	0.000344132444572662
6844850	Gmnc	0.000348430966002396
6902875	Rpe65	0.000353863238680972
6765307	Sertad4	0.000355080221056072
6858344	Sod2	0.000362979035306688
6997037	Mlip	0.000365885679255524
6835045	Ncald	0.000370366334807736
6879567	Pamr1	0.000374049974745261
6796238	Fut8	0.000377367373052674
6869436	Hectd2	0.00038098695887868
6789531	Slc13a5	0.000396814206191767
6987866	Zbtb44	0.000401641025251451
6990530	Myo5c	0.000421654480296699
6846782	Cadm2	0.0004313128719204
6947211		0.000431591432846265
6827820	Dzip1	0.000443589277413092
6878296	Mtx2	0.000444161926541686
6877932	Klhl23	0.000445837669146415
6800020	Hdac9	0.00046526592323774
6981865	Cnot7	0.0004673928763802
6924235	Bsnd	0.000467924702784159
6796401	Exd2	0.00047299836030059
6766110	Hivep2	0.000486706237784096
6854320	Pdpk1	0.000490617085544946
6990177	9530091C08Rik	0.000491309122089886
6855659	Vegfa	0.000500217028496292
6932707	Fgf5	0.000503887155734352
6994624	Hyls1	0.000519046048282826
6951589	Ica1	0.000522696411914644
6750848	Sgpp2	0.00052611047036437
6821935	Gpc5	0.000527991003583435
7017277	Slitrk4	0.000530832967931962
6893018	Zmynd8	0.000565040762420559
6910648	St6galnac5	0.000568534410745268
6895790	Ralyl	0.000571903266660192
7012696	Heph	0.000576929604627369
6991531	Paqr9	0.000577442799721129
6963558	Arntl	0.000583370410685134
6824574	Rnase1	0.000586029991730027
7011124	Stk26	0.000592984076023522
6957632	Mansc1	0.00059826130472815
6797720	Tcl1b3	0.00059846473664693
6869015	Plpp6	0.000599270018130997
6969811		0.000599546988725081
6986030	Ccsap	0.000602010124617184
6885789	1700001O22Rik	0.000616121684145546
6853121	Adcyap1	0.000619245390699861
6899887	Wars2	0.000624071962760496
6780733	Olfr1391	0.000632614829441429
7014090	Mum1l1	0.00063314497820975
6794294	Gdap10	0.000644907979873271
6908551	Plppr4	0.000657839736802231
6998094	Pxylp1	0.000667208552577472
6887205	Kcnh7	0.000670687026637136
6834108	Cdh6	0.000675334968425336
6977073	Mrpl34	0.000676004580641607
6808876	Ssbp2	0.000681059715682943
7019652	Rab9b	0.000681439734217637
6798418	Rapgef5	0.000683942028965745
6755896	Dusp10	0.000686801720847102
6758003	Chst10	0.000698069207827462
6860188	Pcdhb14	0.000704414233880721
6871062	Npas4	0.000714404104783656
6901757	Eif4e	0.000717548469888298
6884754	Fam188a	0.000720834453709157
6957844	Lmo3	0.00072882046668749
6759997	Scg2	0.000734798555405762
6923159	Ifna2	0.000769505127825965
6761139	Rnf152	0.000788384079787042
6936140	Grm3	0.000819232392078115
6963418	Wee1	0.000821297378530095
6913348	Tmeff1	0.000823314252951441
6760620	Asb18	0.00082614475183752
6839502	Mkl2	0.000830105374109236
6966183	Ryr1	0.000833677235472835
6776873		0.000837581932396904
6989086	Arhgap20	0.000838632521472596
6861576	Nedd4l	0.00085025454137226
6772550	Pde7b	0.000863110805124153
6767631	Hace1	0.000864756122149448
6750600	Ankzf1	0.000867323885356695
6830480	Mal2	0.000867777837405979
6903129	Zfp704	0.000888003001086049
6861547	St8sia3	0.000889113097227807
6957474	Tas2r114	0.000904002025326399
7014113	Tbc1d8b	0.000911513102425379
6752884	R3hdm1	0.000914942152470552
6869724	Lcor	0.00091886045844067
6905912	Sptssb	0.000927911668207486
6875556	Thnsl1	0.000930218127342217
7013502	Pabpc5	0.00096332936497691
6908958	Ndst3	0.00097698510008004
6998020	Trpc1	0.00100227310859311
6833061	Ccdc184	0.00101833648545098
6995661	AI593442	0.00102773242083543
6935630	Mtus2	0.00104236597598627
6800314	Lrrn3	0.0010458190595596
7014633	Rragb	0.00107239523499414
6759021	Sumo1	0.00109136113324972
6903480	Armc1	0.0011031055114606
7020153	Apex2	0.00110729383150141
6922202	Zfp37	0.00113978033826219
6974040	Tex29	0.00114190398987472
6815248	Pde8b	0.00115376541478648
6944514	Kcnd2	0.00115530394091586
6901498	Ppa2	0.00116178390985872
6932601	Fras1	0.00116965231005319
6992492	Trank1	0.00117498946643234
6975443	6430573F11Rik	0.00119256300262374
7015841	Efhc2	0.00120328532672949
6976218		0.00122738318407726
6960692	Slc17a6	0.00123248688345106
6895460	Zfhx4	0.00123832098892317
6748437	Khdrbs2	0.00125309572791994
6879833	Kcna4	0.00126460627245783
7014034	BC065397	0.00127629311565989
6992408	Spink8	0.00128771037478308
6962502	Dlg2	0.00129090298428877
6952137	Cadps2	0.00129973290274002
6911682	Ccne2	0.00130188655329235
6877740	Csrnp3	0.00132323710889994
6896655	Ttc14	0.00132790278430997
6937711	Rab28	0.00134278967552427
6782691	Spag5	0.00134734387290305
6872797	Pank1	0.00134807168433096
6774947	Cisd1	0.00135034825304127
6869547	Lgi1	0.00135420065093742
6958439	Dennd5b	0.00137359261515326
6801807	Kcnh5	0.00137436322246505
6970635	Rras2	0.00138015197458179
6906261	Gria2	0.00138469709124727
6857645	Slc8a1	0.00139750263838281
6984684	Cdh8	0.00141733933355504
6755569	Kif26b	0.0014270167861876
6873064	Cyp2c54	0.00143687546525581
6967026	Kcnj11	0.00144419600085887
6919304	Plag1	0.00145158439920626
6879054	Lrp4	0.00145279288333988
6764694	Enah	0.00146186167184996
6766605	Moxd1	0.00146585521990977
6793416	Fam49a	0.00147400312408434
6886732	Cacnb4	0.00148169251513063
6906324	Tdo2	0.00148331284429419
6757129	Eloc	0.00149422691225656
6813242	Auh	0.00150721449992587
6911421	Ubxn2b	0.00152883971166475
6992093	Mrpl3	0.00154112934427335
6843811	Tmem114	0.00154671850782492
6911575	Clvs1	0.0015485943190467
6916148	0610037L13Rik	0.00156947699590352
6929407	Actr3b	0.00158283976695017
6953060	Tas2r138	0.00159009530126865
6784494	Crhr1	0.0016085764914861
6969631	Aqp11	0.00161070936659704
7011581	C230004F18Rik	0.00161464959846418
6919267	Tmem68	0.00161737545928817
6764625	H3f3a	0.00163260713026193
6951180	Far2	0.0016340022030805
6983058	Psd3	0.00164465487099268
6933491	C130026L21Rik	0.00166561043797171
6970305	Olfr486	0.00166584027837467
6804405	Grhl1	0.00168559138531609
6884126	Lsm14b	0.00169131140153985
6754526	Ankrd45	0.00169136939323178
6964377		0.00170076422450979
6955415	Gm839	0.00170822068852517
6850299	Olfr107	0.00170904665729396
6934634	Gbas	0.00171694258336253
6821985	Gpc6	0.00172348963306808
6795779	Klhdc1	0.00173023720452925
6827284	Spry2	0.00174415927948373
6949206	Tsen2	0.00174782076326839
6877215	Galnt13	0.00176676568806769
6990952	Bckdhb	0.00177283418961645
6970370	Trim66	0.00178827394341552
6970211	Olfr706	0.0018071424625739
6845141	Senp5	0.0018101225919879
6953920	Ppm1k	0.00181257141420262
6822139		0.00181415402331161
6889191	B230118H07Rik	0.00182996446067109
6959442	Fbxo27	0.00183216384787951
6953923	Pyurf	0.00183261029490867
6806791	Cap2	0.00184762321193099
6996297	Rab11a	0.00185128386766924
6790045	Omg	0.00187681154178808
6943142	Flt3	0.00187971265689595
6836305	Kcnq3	0.00189337537311689
6806956	Ecm2	0.00190815958249047
6968643	Ntrk3	0.0019090526325635
6810067	Pde4d	0.00192556051423085
6844176	Ube2v2	0.00192822407179986
6788333	Il3	0.00193505746085729
6879935	Lin7c	0.00193621411395064
6757157	Jph1	0.00194276076728793
6900287	Kcna2	0.00194878515315506
6835429	Sybu	0.00196431006358171
7020664	Grpr	0.00196583432225428
6933252	Ephx4	0.00196642771976645
6897556	Trpc4	0.00201345355191698
6788930	Zfp286	0.00201704823874743
6896997	Hspa4l	0.00201934107691519
6964039	Prkcb	0.00202848422336151
6866354	Fam210a	0.0020394677991231
6847928	Atp5o	0.00205062056499
6898873	Fbxw7	0.00205155130437519
7019818	Tsc22d3	0.00205208288165474
6799800	Acp1	0.00208916136841821
6764351	Fh1	0.00209502551909837
6832713	Lrrk2	0.00209853081329468
6848102	Kcnj6	0.00209946117974114
6885751	Kyat1	0.00210473572669256
6869656	Ccnj	0.00213529052592232
6806039	Serpinb1b	0.00213771642924091
6801823	Ppp2r5e	0.00213848576939117
6796567	Acot3	0.00215494974167229
6799879	Prkar2b	0.00217152097448118
6822792	Olfr720	0.00217560155387226
6959557	Zfp260	0.00219016371866263
6988252	Olfr883	0.002194840119399
6775412	Gng7	0.00220366984934998
6988707	Mpzl3	0.00220614208889347
6773485	Cdc40	0.00221273322790398
6887972	Ttc30b	0.00221642154672214
6860035		0.00225997211812969
6971656	Chst15	0.00226727956253181
6808997	Homer1	0.00230237825367686
6857523	Srsf7	0.00231683780791356
7020425	Cnksr2	0.00232278774751691
6941837	Rsrc2	0.00233733439767373
6947131	Lrrtm1	0.00234154339881753
6839744	Aifm3	0.00234430613378222
6772864	Tmem200a	0.00236924531369167
6780443	Ebf1	0.00237164327288007
6914934	Ccdc171	0.0024277394547318
6846576	Epha6	0.00243592633434578
6906042	Slitrk3	0.0024619494189685
6863857	Nol4	0.00246762765635882
6843099	Hunk	0.00246842637524555
6869414	Pcgf5	0.00247745939214613
6872616	Prkg1	0.00249247036727943
7018634	Nap1l2	0.00249470240096646
6945950	Zfp398	0.00249776463782057
6907141	Gabpb2	0.00249895441707285
6916540	Pik3r3	0.00250263864637087
6958933	Psg16	0.00250375307378739
6773080	Tpd52l1	0.00250904330457683
6747577	A830018L16Rik	0.00254461790052811
6957217	Ntf3	0.00254785122212444
6978761	Car7	0.00257053715916127
6826611	Pcdh20	0.0025887188019504
7020286	Mageh1	0.00259599648333474
6891454	Tasp1	0.00261264880330599
6908569	Snx7	0.00262970335832435
6990526	Arpp19	0.00263191028412167
6776577	Nts	0.00263404628119374
6922237	Hdhd3	0.00263719959006755
6912371	Epha7	0.00265124190856582
6803780	Cinp	0.00265824361044859
6835372	Rspo2	0.0026622047246542
6819250	Fitm1	0.00271014773628895
6854579		0.00271070260401191
7010378	Gm5124	0.00272563820117135
6750412	Tmem169	0.00273665327490947
6838979	Zfp263	0.00275335964200567
6915231	Ifna4	0.0027589004999013
6911576		0.00278030079095869
6922241	Alad	0.00278667817793465
6898954	Lrba	0.00279089687600021
6940146	Cnot6l	0.00281070889793068
6945034	Ahcyl2	0.00281649112866273
6940333	Tmem150c	0.00283635725089447
6748691	Vwa3b	0.00284700796511527
6911833	Runx1t1	0.00285646804957793
6921561	Aldob	0.00287276319702297
6828016	Nalcn	0.00287522251350464
6784004	Pnmt	0.00291424395018241
6796339	Rdh12	0.00292085542272546
6870880	Nanos1	0.00292243113987608
6816018	Rab3c	0.00292390215967534
6881438	Plcb1	0.00292404445806882
6935073	Actl6b	0.00293023325931603
6829123	Cdh12	0.00295205819336446
6966453	Chst8	0.00295268594142977
6990427	Ccpg1	0.00299851662374519
6900407	Wdr47	0.00302100197911266
6855567	Runx2	0.00302766720793617
6818249	Grid1	0.00303329242950347
6860199	Pcdhb17	0.00304848649020164
6996992	Hcrtr2	0.0030515665162534
6794572	Etv1	0.00309319598898613
6955169	Nat8f4	0.00312801026706511
6881114	Ttl	0.0031728348936987
6940878	Fam69a	0.0031758351765437
6808892	Acot12	0.00321331924978756
6915801	Ror1	0.00322151137040467
6846543	Olfr197	0.00322291484799619
6964553	Pstk	0.00323303428701106
6844362	Mrpl40	0.00323530765982488
6767828	Dcbld1	0.00324671647482486
6854680	Cpne5	0.00324990151529289
6801491	Cdkl1	0.00326332415995524
7011937	Atp2b3	0.00328036043360298
6899429	Sprr2e	0.00331006079894785
6771757	Olfr799	0.00333013041434094
6763059	1700025G04Rik	0.00333702531189275
7018857	2610002M06Rik	0.00334336457069652
6926933	Cort	0.00334367408367833
6898309	Nmd3	0.00336186249096148
6910938	Cth	0.00337589775270554
6991112	Prss35	0.00339545866312187
6791236	Stac2	0.00340714564843971
6922471	Brinp1	0.00341220238812229
7015064	Trappc2	0.00342422544665693
6837412	Tcf20	0.00344007518274594
6859419	Zfp35	0.00345586382087149
6977048		0.00347061284256598
6783296	Ska2	0.00347720997913315
6828705	Rad1	0.0034813826711348
6795522	Lrfn5	0.00350494724196827
6956592	Atp2b2	0.00351588377039303
6781989	Alox12b	0.00352526863218353
6819156	Rem2	0.00354633383341321
6999097	Fbxl2	0.00356353853903563
6789785	Doc2b	0.00356978205305146
6810563	Hcn1	0.00358090555037086
6954565	Rmnd5a	0.00358947187143786
6904303	Trpc3	0.0036101803486356
6766409	Ahi1	0.00362632090061271
6983056	Psd3	0.00363345976106882
6935235	Elfn1	0.00364641328765338
6926225	Alpl	0.00366675472575805
6864326	Rit2	0.00366896756725142
6830697	Trmt12	0.00371362294510873
6898477	Serpini1	0.00373805368421741
6788375	Lyrm7	0.00376447937586745
6789268	Alox8	0.0037812286029725
6911914	Calb1	0.00378245204434493
6886118	Strbp	0.00378626211957122
6984908	Cmtm4	0.00379492149019846
6963120	Olfr628	0.00379610489452378
6783144	Car4	0.00381278135914538
6856710	Mtcl1	0.00381447586939104
6946759	Prdm5	0.00381460175500627
6946489	Vmn1r6	0.00382803928862204
6778128	Olfr810	0.00386838303511817
