#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE52022_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 8
#Factor: Genotype (2 levels): 5xFAD: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Gender (1 levels): F: n=8
#Factor: Timepoint (2 levels): 4_months: n=4, 8_months: n=4
#
#
### Model test for factor: Genotype
#p-value: 0.0359506647601684; Statistic: 20.1522227587848; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
### Model test for factor: Timepoint
#p-value: 0.240987287261644; Statistic: 16.6008840305949; Expected: 14.2857142857143; Std.dev: 3.51018230115482; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE52022
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE52022/results/GSE52022_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('4_months') are kept for analysis. 
#New dataset contains 4 samples. Original sample size: 8
#Factor: Genotype (2 levels): WT: n=2, 5xFAD: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 4_months: n=4
#
### Model test for factor: Genotype
#p-value: 0.197102811402761; Statistic: 41.1830949425611; Expected: 33.3333333333333; Std.dev: 9.73913713385374; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 45101 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 30, up: 11, down: 19
#GSE52022_5xFAD: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE52022_5xFAD	GeneSymbols
1.57003341928088e-06	Cst7
2.10835556731763e-06	Thy1
5.51850954403173e-06	Ctss
6.84497669129434e-06	Mpeg1
1.2614982421001e-05	Trem2
1.29310742971477e-05	C1qa
2.69807820451847e-05	Gfap
3.23126135286105e-05	C1qb
3.68470597639182e-05	Gpr34
3.92232458761221e-05	Ddx6
4.81853256926921e-05	Siglech
5.35722018496468e-05	Hexb
5.73998421783849e-05	Tyrobp
6.79530073640275e-05	Itgb2
7.86113048842175e-05	Fcer1g
8.46002340521695e-05	Cd53
9.89702554962125e-05	Cd52
0.000113511187479201	Ccl6
0.000139525460963984	Fcgr3
0.000143622729760754	Cd300c2
0.000152244847939173	Tlr1
0.000154570702998036	B2m
0.000193997524387926	C1qc
0.00019417471922234	Ly86
0.000200840681278952	Ldah
0.000216959913211552	Lpl
0.000218205439641228	Ctsz
0.000220976604289694	Cd68
0.000318961356709279	Scd2
0.000322479355559142	Ctsd
0.000386617125070667	Mlxipl
0.000400690762488892	Ccl3
0.000425727551578614	Gusb
0.000427508706747676	Clec7a
0.000556583108908038	Fcgr2b
0.000586756919861678	Aif1
0.000677031722904609	Nsdhl
0.000698716145791565	Irgm1
0.00084180197834192	Sgk1
0.000853950326890938	Ncf2
0.00086769060712447	Cd48
0.000883941315505678	Cd9
0.000905517483688069	Slc11a1
0.000932077168726452	Exosc9
0.00117743721137514	P2ry12
0.00118850075917011	4833420G17Rik
0.00119274981443377	Csf1r
0.00129315358710512	Syngr1
0.00136202580849409	Ptprc
0.00146942396028768	Sox2ot
0.00158533961105382	Tgfbr2
0.00170994795777787	Parp8
0.0017873854741959	Stard4
0.00180334462137229	Ptpn18
0.00182464677956716	Axl
0.00191308373092106	Invs
0.001976944807298	Sqle
0.00199609345398243	Irf8
0.00203790792439235	Lrig1
0.00205374297175906	Anxa3
0.00208924464120673	Plek
0.00226571190606949	Plxdc2
0.00226976340253231	Klhl6
0.00227980037666891	Myo1f
0.00228834141672513	Olfml3
0.00232271791420224	Grn
0.00233827420050652	Syt16
0.00236612438095835	Hexa
0.00237610307797156	Rerg
0.00239388247613379	Cxcl10
0.00240333354498476	Zc2hc1a
0.00243137128182672	Lyn
0.00254682641798094	Nrcam
0.00256241960633209	Opcml
0.00265444450929207	Lsp1
0.00267011199234127	Vsir
0.00284739780500721	Hapln4
0.00292812417038379	Rad21
0.00305532677434936	Man2b1
0.00323572106121919	Msmo1
0.00327008375127021	Gid8
0.00328164304454988	Cd14
0.00342013036350806	Fdps
0.00344429956719005	Hpgd
0.00352208755760908	Klhl28
0.00352964115568735	Fyb
0.00354709132493095	Ncf4
0.00357212206640695	Cx3cr1
0.00379701062274883	3110021A11Rik
0.00380604578399668	Wsb1
0.0039041876013061	Itgb5
0.00399563823548219	Atp6v1b2
0.00404077194741689	BC048562
0.0040508768313568	Laptm5
0.00407722350803157	Ggps1
0.00415983870725398	Amph
0.00420963025664255	Hmgcr
0.00423812909219497	Osmr
0.00430546904010402	Fam208b
0.0044371186387043	9530059O14Rik
0.00445543356419426	Cd86
0.00445688774247667	Capn7
0.00447800110582161	Pus10
0.0045021716115475	Sirpa
0.00461609803420851	Naglu
0.00468375723863912	Tnfaip8l2
0.00470989945289522	Gt(ROSA)26Sor
0.00489144570945555	Lancl2
0.0049743546765244	Nup133
0.00512655236126124	Hmgcs1
0.00519276399516816	Cldn22
0.00526114778604582	Ncf1
0.00548415564445004	Guf1
0.00550400761893176	Hook2
0.00559553571906007	Rpl7l1
0.00570228729920494	Ch25h
0.00570967592320183	Hip1
0.0057574654109119	Slc14a1
0.00577356038189546	Serpinf2
0.0057908001466006	4930550L24Rik
0.00595341303870232	Nab1
0.00598946851147657	Fcgr1
0.00600360914144209	Rab26
0.00607228051034523	AI846148
0.00628416138812612	E030024N20Rik
0.00633540673633884	Cdk7
0.00635813589097076	Dcun1d1
0.00643746186160027	Tbce
0.0064383035235147	Rnase4
0.00649162949774715	C3ar1
0.00661997099686135	Rida
0.00668211626566091	Dr1
0.00678034893403214	Prr16
0.00700739797775937	Wipf1
0.00737170894087968	Gm10336
0.0074028343506003	Cpeb2
0.00740829288704522	Zik1
0.00745289979468434	Lyz1
0.00747361030912159	Pcdh19
0.00751818515459843	Parp12
0.00766073424112531	Dmbx1
0.00767247456692757	Trim30a
0.00783327831973648	Cpne7
0.00804282184430204	Tmem106b
0.00808693359104393	Slc9a2
0.00835139403692809	Slc25a51
0.0083939810859414	Skap2
0.00843691567344519	Robo1
0.00844384258473557	Ppp1r12b
0.00859944340316939	Mafb
0.00862990921654689	Mki67
0.00863478628081712	Lair1
0.00872320945864237	Alcam
0.0087845003471407	Efr3a
0.00880663199376433	Mybphl
0.00882070161737226	Cxcl17
0.00892828681351801	Neurog2
0.00899418673040493	Lrrn3
0.00913753640754068	Tgfbr1
0.00916044451789455	Fdft1
0.00916927802190162	4930474N05Rik
0.00917404685309549	Gnl3l
0.00918010048495146	Tmem216
0.00927960442002055	Sumf2
0.00929907704130794	Hcst
0.00929984129150615	Uvssa
0.00931178225777154	Ccrl2
0.00939955068182441	Alg6
0.00946453837447869	Dnajb4
0.0094768369208005	Nipsnap3b
0.00954787591040755	Rin2
0.00971829892934669	Msh6
0.00973134784658478	Zfp248
0.00978327462992883	Hhex
0.0100980548542803	Ccna2
0.0102499872449483	Tmem168
0.0102919259924527	Nckap1l
0.0103653708168639	Taf1b
0.0103688520125593	Tsks
0.0104522912405478	Slco2b1
0.0105203511075917	Lpcat2
0.0105886726311159	Ftx
0.0105903135118416	Hmgn5
0.0106819127262895	Hps3
0.0107718405435643	C030023E24Rik
0.0107876627950951	Braf
0.0109095482274521	Pop1
0.010915747250298	Ikzf1
0.0110457834588267	Slc24a2
0.0111216470124313	Stt3b
0.0111607069524063	Cep70
0.0112401348370481	Ckmt2
0.0113001576869963	Rap2c
0.0113866783578119	Psmd7
0.0115161158078486	Sipa1
0.0115323631269343	Pnpla8
0.0115544516552665	Nit2
0.0116779308470457	Pkia
0.0117517644793801	Clip1
0.0117689994899893	Clk4
0.0117802057970754	Cpd
0.0118748887413983	Toe1
0.0118761067606382	Gsdmd
0.0118930523791141	Ppfia1
0.0121143842825995	Mpst
0.012229870485835	Rnf114
0.0122465251976652	Vamp3
0.0123284109196946	Apoe
0.0123700648395555	Zscan20
0.0124446997799001	Tmod3
0.0124524858223749	Creg1
0.0124582219642958	Ccl5
0.0125295573724716	Rpe
0.0126469834456738	Ets1
0.0126742575649778	Crb1
0.0126887468466409	Wdfy1
0.0128789652330058	Sla
0.0129029338487968	Ms4a6c
0.012912790682591	Fam76b
0.0130183521607455	Rrm1
0.0130777140018646	5730422E09Rik
0.0130937545851588	Sct
0.0131595334197695	Amigo2
0.0132180596880327	Prdx6
0.0132984696701726	Gpr101
0.0133551379214374	Enox2
0.0136108051322711	Cep78
0.0137608460672969	Sctr
0.0137857419634533	Kcnk6
0.0137951198104677	Tnni2
0.0137968710171432	Ggta1
0.0138694707613405	Golm1
0.013930051034167	Cfl2
0.0140402825468299	Atxn7
0.0141276753182964	Gcdh
0.0142418626238375	Tifa
0.0143723271640653	Cadm1
0.0143913126083898	Selenok
0.014519034656624	Ang
0.0146368027041804	Col11a1
0.0148560020604518	Snap25
0.0148977591167866	Zfp260
0.0150423521168657	Slamf9
0.0151265260579182	Mfsd13a
0.0152077814768976	Csf3r
0.0152912805373793	Acsl3
0.0154155743556559	Ikbkg
0.0155000018187438	Gpr84
0.0155192869203708	Stat1
0.0155331876570087	Snca
0.0156557007067504	Adam10
0.0156779785952996	Olfml2b
0.0157061684976675	4930524C18Rik
0.0158502438808544	Mgat4c
0.0159264778205365	Cdc37l1
0.0159318638697961	Gabra2
0.0161181125232629	Kitl
0.0161500611098327	E230029C05Rik
0.0161767094859343	Kcnip4
0.0162053776388127	Klhl33
0.0162194730210094	Cachd1
0.0163300704738746	Lnpk
0.0163392326544191	Usp22
0.0164024572862582	Aqp4
0.016409431906388	Kcnq5
0.0164949563048214	Ctsh
0.0164968648283711	1500004A13Rik
0.0165987257503439	Slf1
0.0167789748104848	Lpxn
0.0169395646470919	Syt1
0.017254325329458	Snx10
0.0173696289646517	Kbtbd13
0.0174092364545616	Stat4
0.0174145592408291	Eps8
0.0174181858861701	Npy2r
0.0174424984081419	Zfp446
0.0174891700674159	Tlk1
0.0175104704802324	Csf3
0.0175606767256312	Rbm25
0.0176269177764215	Adrb3
0.0176296602978883	Itih1
0.0177634842265026	Bmt2
0.0177871295743296	B230219D22Rik
