#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE53480_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (2 levels): Tg4510: n=8, WT: n=8
#Factor: Treatment (2 levels): reference: n=8, TFEB: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (1 levels): batch1_2012-06-13: n=16
#Factor: Gender (2 levels): F: n=8, M: n=8
#Factor: Timepoint (1 levels): 4_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.000558845880720304; Statistic: 15.9423699299177; Expected: 6.66666666666666; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.222007239530428; Statistic: 8.18568052608392; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.00406743990994901; Statistic: 14.1014919443624; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 8 samples. Original sample size: 16
#Factor: Genotype (2 levels): Tg4510: n=4, WT: n=4
#Factor: Treatment (1 levels): reference: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Batch (1 levels): batch1_2012-06-13: n=8
#Factor: Gender (2 levels): F: n=3, M: n=5
#Factor: Timepoint (1 levels): 4_months: n=8
#
### Model test for factor: Genotype
#p-value: 0.0123479410833419; Statistic: 26.2875498730228; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.0225675891116936; Statistic: 25.0672514177958; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE53480
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE53480/results/GSE53480_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#8 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg4510
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg4510
#  DE genes: 2051, up: 1396, down: 655
#GSE53480_Tg4510: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE53480_Tg4510	GeneSymbols
9.02122790484518e-07	Gng7
1.12053343658203e-06	Rgs14
1.57443462161862e-06	Jph4
2.04601274109341e-06	Lmo1
2.41137520855174e-06	Arhgap12
3.71601157222158e-06	Pou3f1
5.93866126167303e-06	Fgf14
8.38986025410974e-06	Rasgef1a
1.13414457725037e-05	Sertm1
1.15850206522139e-05	Cecr6
1.25773927132165e-05	Homer2
1.46075393160404e-05	C630043F03Rik
1.49062363056909e-05	Rbm24
1.63966643759486e-05	Fam131a
1.89325130087555e-05	Mlip
1.96980472137687e-05	Syt16
2.01457852075471e-05	Cadps2
2.23170057053694e-05	Tmem200a
2.33087063252084e-05	1190002N15Rik
2.48567962219247e-05	Grm5
2.65625009256734e-05	2900092D14Rik
2.65679442573966e-05	St6gal2
2.66702629187695e-05	Foxp1
2.92981936222318e-05	Phyhip
3.20833657773855e-05	Ctxn1
3.49172236749985e-05	Jph1
3.81204151494592e-05	Prkcg
3.81627608641153e-05	Cacnb1
3.98277406573507e-05	Kcna4
4.07111684727682e-05	Itpka
4.07891676904461e-05	Fibcd1
4.31424885956812e-05	Gpr161
4.46077497280903e-05	Atp2b1
4.61047152983441e-05	Brd9
4.62791002302534e-05	Galnt9
4.6287531680972e-05	Elmod1
5.03364715204476e-05	Nr4a2
5.30303205636262e-05	Dcakd
5.55981714583684e-05	Adgrb2
5.80024736302148e-05	Plk2
6.19205296635895e-05	Kalrn
6.60720141595999e-05	Insm1
6.60780933886392e-05	Ddn
6.98977262965523e-05	Fam65a
7.24193685433218e-05	R3hdm1
7.28117727554124e-05	Dab1
7.47119183424033e-05	Dnah9
7.56135441892462e-05	Bcl11b
7.67352925413766e-05	Fxyd7
7.88906671164642e-05	Bhlhe40
8.00676009162705e-05	Mpped1
8.18962896431842e-05	Wfs1
8.24691595360033e-05	Adgrl2
8.37725026287906e-05	Itpr1
8.56025342735979e-05	Cttnbp2
8.94382864727026e-05	Gm20754
9.12325535084946e-05	Tub
9.17496944968692e-05	Galntl6
9.31495879473768e-05	Mal2
9.6744436552006e-05	Bcl11a
9.83582505954253e-05	Iqsec2
0.00010232428457564	Trerf1
0.000105958447955925	Cys1
0.000106169956686772	Echdc2
0.000106385866009272	Htr5b
0.000107378345949226	Slit3
0.000111797063716029	Ar
0.000119922165412724	Cap2
0.000121401157628678	1110032F04Rik
0.000124462073120413	Gm2115
0.000126367827254158	Tmem150c
0.00012649025358189	Chd3
0.000133412746882336	Egfl6
0.000133683696894731	Adcy1
0.000136182582362327	Baiap2
0.000138259500590179	Chrm1
0.000143097305029104	Kcnd2
0.000145465919473555	Rhbdl1
0.000145950183347695	Ror1
0.000146092960517445	Ankrd33b
0.000153220444323951	Foxg1
0.000159324382040319	Kif5a
0.000161063835116906	St6galnac5
0.000167515216158375	Pdzph1
0.000172610370942096	Lrrtm1
0.000174589017375692	Kcnh3
0.000175650786123657	Panx2
0.000177694845090817	Mis18a
0.000180637302965522	Epop
0.000185335483868614	Ppp3ca
0.000186113868957235	Hivep2
0.000187448389967991	Klf16
