#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE53480_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (2 levels): Tg4510: n=8, WT: n=8
#Factor: Treatment (2 levels): reference: n=8, TFEB: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (1 levels): batch1_2012-06-13: n=16
#Factor: Gender (2 levels): F: n=8, M: n=8
#Factor: Timepoint (1 levels): 4_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.000558845880720304; Statistic: 15.9423699299177; Expected: 6.66666666666666; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.222007239530428; Statistic: 8.18568052608392; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.00406743990994901; Statistic: 14.1014919443624; Expected: 6.66666666666667; Std.dev: 2.33741165707064; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 8 samples. Original sample size: 16
#Factor: Genotype (2 levels): Tg4510: n=4, WT: n=4
#Factor: Treatment (1 levels): reference: n=8
#Factor: OrganismPart (1 levels): Hippocampus: n=8
#Factor: Batch (1 levels): batch1_2012-06-13: n=8
#Factor: Gender (2 levels): F: n=3, M: n=5
#Factor: Timepoint (1 levels): 4_months: n=8
#
### Model test for factor: Genotype
#p-value: 0.0123479410833419; Statistic: 26.2875498730228; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.0225675891116936; Statistic: 25.0672514177958; Expected: 14.2857142857143; Std.dev: 5.70273119089526; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE53480
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE53480/results/GSE53480_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#8 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg4510
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg4510
#  DE genes: 2051, up: 1396, down: 655
#GSE53480_Tg4510: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE53480_Tg4510	GeneSymbols
1.11416824050049e-09	Clec7a
2.08675566718445e-09	Aspg
3.3181280080258e-09	Mpeg1
4.45486947246427e-09	Tlr2
1.26279861131131e-08	C3ar1
1.60401989053194e-08	Man2b1
2.35847545268828e-08	Ifi202b
4.57518390827735e-08	Lgals3
7.95511897132869e-08	Cd68
8.00723391615623e-08	Ctsc
9.96372454150838e-08	Tfcp2l1
1.08588315306024e-07	Ctsd
1.10331593288347e-07	Osmr
1.12644614938185e-07	Ptprc
1.59273569317788e-07	Adcy7
1.81463306230716e-07	C1qc
2.09937159363363e-07	Cyba
2.2931361960211e-07	Ctsh
2.7349330770502e-07	Npc2
3.11475912525979e-07	Pros1
3.14724788957914e-07	Tyrobp
3.219753819631e-07	Fcgr3
3.61644402629135e-07	Slc11a1
3.66988770455826e-07	Pdlim4
3.85531897871466e-07	Cd14
3.89644252503464e-07	C1qa
4.14775208054253e-07	C1qb
4.38082860739806e-07	Tnfrsf1a
4.57359433839402e-07	Grn
4.62546171365541e-07	Sparc
4.72304116952628e-07	Lcp1
4.86091866275242e-07	Arhgdib
4.91367802015913e-07	Ctla2b
4.98985816578805e-07	Slc14a1
5.48926505119575e-07	Itpripl2
5.71959017919041e-07	Arpc1b
5.78551373179157e-07	S100a6
5.89956238512809e-07	Cd52
7.00324298923805e-07	Axl
7.08074800833153e-07	Lrig1
7.17522054393066e-07	Col16a1
7.251097039745e-07	Fcer1g
8.34939916034508e-07	Tmem176a
8.41889689297537e-07	Plce1
8.81404310045227e-07	Igsf6
9.37105765176075e-07	Ly86
9.97221954271028e-07	Ctsz
1.01004411145141e-06	Plek
1.14539095008076e-06	Cd300c2
1.17335787301619e-06	Myo1f
1.19631203756535e-06	Gusb
1.22592831883654e-06	Irf8
1.25695220671867e-06	Tmem176b
1.26146686272437e-06	Ctse
1.29103237333647e-06	S100a4
1.38313956364259e-06	Trem2
1.39066937344151e-06	Itgb5
1.46327593285434e-06	Msn
1.47948925588961e-06	Pld4
1.56935669597481e-06	Adgre1
1.63435726617645e-06	Csf1r
1.77175888129437e-06	Lyz1
1.79563549389914e-06	Adamts1
1.90313060652372e-06	Ccl6
1.99724485714721e-06	A2m
2.01323932197739e-06	Sdc4
2.07461315424911e-06	Csf2rb
2.1150233870929e-06	Ctss
2.12740643791095e-06	Slamf9
2.14829735884304e-06	Itgb2
2.26808808274156e-06	Lyn
2.33223661695368e-06	B2m
2.47379631545287e-06	Ncf4
2.50721391445284e-06	Srgn
2.64096921631492e-06	Gem
2.69673230958956e-06	Hpgd
2.76393760633027e-06	Trim47
2.76700257674775e-06	Cd48
2.78620843988187e-06	Fyb
2.82194665404135e-06	Fxyd1
2.83009699672961e-06	Klhl6
2.95595736599764e-06	Apoe
3.05853987215582e-06	Anxa5
3.09038226129512e-06	Creg1
3.10796646382412e-06	Laptm5
3.16843719475221e-06	Abhd4
3.26451074298675e-06	Lag3
3.46654701399495e-06	Pmp22
3.47138734171608e-06	Lair1
3.51270719461175e-06	Cd9
3.55291158729022e-06	Tgfbr2
3.59532693403654e-06	Serpinf1
3.61298974241302e-06	Rnase4
3.80985150244788e-06	Pdpn
4.19413500351446e-06	Gng5
4.34124681178902e-06	Elk3
4.47243975496126e-06	Cd53
4.62247194171071e-06	Ccl3
4.64422627274465e-06	Kcnk6
4.65146098480972e-06	Cd274
4.8639598141758e-06	Pbxip1
4.87858311308784e-06	Clec4a3
5.06575417355911e-06	Nfkbia
5.19136968201308e-06	Pon3
5.20447391906179e-06	Hsd3b7
5.41192105125501e-06	Frrs1
5.62482881992101e-06	Irgm1
5.75553211528175e-06	Hexa
5.80504764019093e-06	Vwa5a
6.15211633376116e-06	Naprt
6.52037195448301e-06	Fermt3
6.54918641012995e-06	Rrbp1
6.58104174596318e-06	Ltbr
6.65728820624281e-06	Ly9
6.71807995351615e-06	Atf3
6.77328290906365e-06	Edem1
7.15943044561956e-06	E230029C05Rik
7.3220053245062e-06	Hexb
7.3570192295473e-06	Tubb6
7.76528386632092e-06	Slc15a3
8.03521725836737e-06	Gfap
8.57138362384163e-06	Apoc1
8.75908601833023e-06	Arhgap25
8.88843606300588e-06	Aif1
9.05670788607389e-06	Vim
9.19324120085551e-06	Ctsa
9.33879539390182e-06	Cybb
9.41671120981532e-06	Tbc1d4
9.61853119992313e-06	Ssfa2
9.6472736924343e-06	H2-K1
9.8129339914474e-06	Tlr1
9.94700931695642e-06	Mlc1
1.02745272522233e-05	Rassf4
1.0421975423555e-05	Clic1
1.04230739080444e-05	S1pr3
1.0481182298306e-05	Naalad2
1.11133071516326e-05	Cnn3
1.12969780837387e-05	Psmb8
1.31684312016177e-05	Cyp4v3
1.32255724465716e-05	Fcgr2b
1.34444193812782e-05	Lgmn
1.3445565547043e-05	Cst7
1.35615957526673e-05	Ucp2
1.35620012205401e-05	Stat3
1.39326324608607e-05	Tgfbr1
1.40073547998211e-05	Retsat
1.40196350897186e-05	Nfe2l2
1.40615543346817e-05	Cd83
1.40767168473079e-05	Aldh1l2
1.41102814331563e-05	Itih3
1.42254039158901e-05	Cpne3
1.42563588699158e-05	Lamp2
1.4466480937845e-05	Anxa3
1.45602596002536e-05	Tor4a
1.45706032419505e-05	Ggta1
1.45906805853329e-05	Lgals3bp
1.47990947684088e-05	Gdpd3
1.5283434690608e-05	Cxcl13
1.62015159630549e-05	Fes
1.66185606523396e-05	Cd300lb
1.70205624233008e-05	Ms4a6b
1.70769131244511e-05	Prdx6
1.75584315317444e-05	Cmtm3
1.77769077353494e-05	Mt2
1.7796233286332e-05	Tor3a
1.86166333465091e-05	Gadl1
1.8637216552664e-05	Dcxr
1.9401794968758e-05	Cyth4
1.94461155731458e-05	Slc20a2
1.95432387969247e-05	Aldoc
1.97741278640873e-05	Sat1
2.0001878309433e-05	Gns
2.01746380632134e-05	Apobec1
2.06861006180322e-05	Ms4a6d
2.08406241417197e-05	Inpp5d
2.09643442682678e-05	Cd86
2.14859576986321e-05	Capg
2.15413899404957e-05	Pycard
2.17322477205233e-05	Gpnmb
2.20342991679926e-05	Timp1
2.24463209956278e-05	Mgst1
2.25998381750479e-05	Slc43a3
2.32815464832601e-05	Ankrd44
2.37434596399716e-05	Adam17
2.38120415288748e-05	S100a16
2.40139249681612e-05	Pon2
2.40213294845869e-05	Cxcl5
2.41971836642013e-05	S100a1
2.47602056703622e-05	Itga6
2.53703849223392e-05	Timp2
2.5525175137157e-05	Lsp1
2.56347072127875e-05	Naglu
2.70039978282066e-05	Ifi30
2.74374872452241e-05	Dock2
2.76135808236611e-05	Tpm4
2.79013380658191e-05	Phyhd1
2.86227428379272e-05	Icam1
2.89471177894246e-05	Rnh1
2.962419193246e-05	Rin2
2.99088997624486e-05	Vat1
3.01879682482883e-05	Lpxn
3.02798081822293e-05	Csf3r
3.11957551056292e-05	Ncf2
3.14676968888645e-05	Tmem47
3.16463563210281e-05	Tlr13
3.16753665703686e-05	Rgs10
3.31317056911856e-05	Cnksr3
3.35671239325365e-05	Rab32
3.39808016270463e-05	Parp3
3.50063290940861e-05	Lgi4
3.79599036267773e-05	Plcg2
3.81992367473669e-05	Sorbs1
3.82636926468403e-05	Rhoj
3.84837402878351e-05	Npl
3.85717900808267e-05	Hspb6
3.86069560399537e-05	Nckap1l
3.8875840273218e-05	Itpr2
3.92846819880724e-05	Hhex
3.94006582270913e-05	Ptx3
3.97311046046163e-05	Aldh1l1
3.98639067902921e-05	Kcne1l
4.04685983694006e-05	Plxdc2
4.12825929734727e-05	Myd88
4.16086233399447e-05	Sh3pxd2b
4.28891700629626e-05	Ncf1
4.34214528087317e-05	Sash3
4.36003625691415e-05	Tagln2
4.42687946068902e-05	Naip2
4.60245631635549e-05	Rac2
4.61113892562315e-05	Cxcl16
4.63677318337768e-05	Gpsm3
4.65093723867665e-05	Unc93b1
4.88314879010056e-05	Flnc
4.90406601106816e-05	Abca1
4.90516771570943e-05	Lamp1
4.93475432699579e-05	Endou
4.98051104916658e-05	Selenop
5.03086541836152e-05	Casp8
5.03813515222785e-05	Hck
5.05057216780859e-05	Slco2b1
5.08168845990256e-05	Cd81
5.12031375489508e-05	Hmox1
5.12302852487264e-05	Ptpn6
5.12312259157905e-05	Mlxipl
5.13224639247967e-05	Lrrc8a
5.20379717771448e-05	Gsn
5.28372129608277e-05	Ifitm3
5.30205772009687e-05	Ptger4
5.30686324067737e-05	Nxn
5.33691813953543e-05	Ghdc
5.35389198825167e-05	Amotl1
5.42451568480993e-05	Tpp1
5.54961589063935e-05	Ctsb
5.60869589070222e-05	Cd151
5.61225834071254e-05	Adssl1
5.6465444312498e-05	Itgax
5.66499521729469e-05	Fblim1
5.8931665106077e-05	Sdsl
6.08728503552675e-05	Havcr2
6.17986768926952e-05	Pnpla7
6.25399927333073e-05	Serpina3n
6.25524889811566e-05	4931406C07Rik
6.32599857749612e-05	Mt1
6.43462409551907e-05	Txlnb
6.44302823411678e-05	Krcc1
6.5062259274782e-05	Tnfaip8l2
6.6064356059661e-05	Prnp
6.65061657919887e-05	Slc46a3
6.72546883696036e-05	Nfatc1
6.74710779961661e-05	Ctf1
6.77674565929924e-05	Epb41l2
6.77921882610336e-05	Thbs4
6.86776378918649e-05	Clu
6.94724067657291e-05	Siglecf
7.06757378234479e-05	Tspo
7.11796944358584e-05	Necap2
7.13676169819023e-05	Lap3
7.17036924751603e-05	Asb4
7.20826162453219e-05	Ly96
7.22041789979369e-05	Sqrdl
7.27641643019071e-05	Tnfrsf1b
7.33168336601587e-05	Ccl9
7.35201319618561e-05	Tgif1
7.36115273824657e-05	Nedd9
7.37990997767353e-05	Scrg1
7.52318629767176e-05	Plcd4
7.5279667659498e-05	Ctsl
7.55644673801107e-05	Parp4
7.55753239025074e-05	Siglech
7.62452606349382e-05	Cdt1
7.84652000379476e-05	Edem2
7.89607597158737e-05	Pim3
7.93124796378905e-05	Cd44
8.03422834409876e-05	Ctnna1
8.11121195418687e-05	Fcgr1
8.19038022478973e-05	S100a13
8.25772808053431e-05	Sowahc
8.60851474193097e-05	Hadhb
8.61303116462519e-05	Slc22a4
8.63625220314098e-05	Cd22
8.70878696342591e-05	Bmpr1b
8.71955643171711e-05	Cst3
8.78921680269435e-05	Synpo2
8.87320419375464e-05	Sgk1
8.98310443055474e-05	Mtmr11
9.08038808222955e-05	Lgals9
9.08168445768285e-05	Rida
9.14748104765847e-05	Scamp2
9.23184498107066e-05	Gdpd2
9.31497512523351e-05	P2rx4
9.41317700716392e-05	Gmfg
9.49102663897395e-05	Slc4a4
9.66015667374289e-05	1810058I24Rik
9.77777360398483e-05	Cd300a
9.78019934678457e-05	Fam129b
9.86054499218167e-05	Gadd45g
0.000100123515970131	Agt
0.000100279961668233	Naga
0.000100350768968455	Psmb9
0.000101256049655861	Tifa
0.000104522545337732	Icosl
0.000105336698878331	Cebpa
0.000106364992256625	Ppp1r18
0.000107010043516499	Hspb8
0.000107040396152714	Rasa4
0.000108924725781912	Zfp36
0.000109792094661246	Aox1
0.000109824695003769	Atp1b2
0.000110192368645579	Tcirg1
0.000110535483564311	Pdlim5
0.000112994723307461	Serpine2
0.000117641493070242	Lyl1
0.000119158151143168	Postn
0.000119519888370565	Glipr1
0.000120920904313703	Pm20d1
0.000121179288506508	Aldh1a1
0.000122318652889211	Hcls1
0.000123321294731563	Ret
0.000123380378622148	Gm2a
0.000123770864219948	Mapkapk3
0.000124564042919219	Hcar2
0.000130296064600171	Capn2
0.000133211578424289	Slc38a3
0.000133805094035603	Atp6v0e
0.000134036825642516	Lgals1
0.000135382865467209	Ch25h
0.000136669206621657	Ezr
0.000136816936670334	Gbp3
0.000137986734173972	Lhfp
0.000138977894474999	Rhoc
0.00013904166819851	Acot11
0.000141025103449858	Usp18
0.000141640681230784	Syngr2
0.00014204001515072	Htra1
0.000142560547453583	C3
0.000143559474039712	Xdh
0.000144366433722711	Plscr2
0.000144733523020361	Rnf130
0.000144931931045135	Il13ra1
0.000145412851574576	Smox
0.000145667266670563	Olfml3
0.000147147724309413	Rhoq
0.00014729414417838	Gpr65
0.000147799332682941	Klc3
0.000148907986469503	Lrrc34
0.000149258453412644	Soat1
0.000151521129606575	Psma8
0.000152040792742374	Fli1
0.000152942199858072	Acadl
0.000153237467593189	Dhrs3
0.000153655345943511	Tlr7
0.000155618724869773	Synpo
0.000155987355934515	Rela
0.000157626186925329	Ntrk2
0.000158817489278495	Tns3
0.000160203188101968	Ephx1
0.00016054316729068	Slc1a5
0.000161293628418778	Wwtr1
0.00016137623505885	Cybrd1
0.000161805725287223	Lat2
0.000163252737204152	Gstm1
0.000163796018549867	Pnpla2
0.000164631181646417	Ikzf1
0.000167075100062941	Ntsr2
0.000170631712194645	Vsir
0.000172869286704677	Cyp2d22
0.000175580112250532	Plin2
0.000176383522893096	S100b
0.000178366839003542	Sgpl1
0.000179419057654688	F3
0.000182116182909802	Etnppl
0.000183218962390821	Cela1
0.00018373811346392	Socs3
0.000186249912889137	Slc39a1
0.000186779300016774	Elovl5
0.000190357231291996	Hist1h2bc
0.000190398278027834	Plin4
0.000197012133419741	Abi3
0.000198560770535593	Lmo2
0.000203191345878622	Tmem179b
0.000203703443635353	Dock8
0.000204332691238909	Fas
0.000204538979199362	Gal3st4
0.000205265295470355	Ddah1
0.000205474104235443	Ppp1r14b
0.000207854631055154	Ccl4
0.000210817835816606	Ptprz1
0.000212555520213837	Id3
0.000215918288903395	Galnt4
0.000216725807483542	2500002B13Rik
0.000218056676126518	Prodh
0.000221430398825447	Cav1
0.000223270551456179	Arhgap30
0.000225594160834293	Adap2
0.000225679441325224	Abcb1b
0.00023087731806022	Thrsp
0.000240478984307774	Heatr5a
0.000241129061208053	Ebi3
0.000243009715938971	St6gal1
0.000243198904251436	Tnfsf13b
0.00025062369563797	Decr1
0.000251147664010326	Tst
0.000251561106342766	Pnoc
0.000255900392192803	2810459M11Rik
0.00025763090871599	AI467606
0.000257704041632619	Igdcc4
0.000258868395903101	Gna13
0.000259190421093779	Aga
0.000265818589192779	Sema4d
0.000266444449042344	Pdlim2
0.000266626979385177	Maob
0.000268974005070354	Cd300lf
