#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7042
#Annotation contain NAs, 1 out of 41190 removed.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41175
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0156553841148804; Statistic: 4.11874814831093; Expected: 2.04081632653061; Std.dev: 0.746772970311521; #Cov: 41175
### Model test for factor: OrganismPart
#p-value: 2.9788209741179e-25; Statistic: 13.0461683795855; Expected: 2.08226846694715; Std.dev: 0.536607497369164; #Cov: 41175
### Model test for factor: Batch
#p-value: 1.79008172529282e-29; Statistic: 9.67421352859244; Expected: 2.0823728523194; Std.dev: 0.36810970630271; #Cov: 41175
### Model test for factor: Timepoint
#p-value: 5.4080450728744e-08; Statistic: 9.90433587444459; Expected: 2.04081632653061; Std.dev: 0.746772970311522; #Cov: 41175
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE63617.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41175 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
#GSE63617.1_AD11: original input has 41175 probesets; mapped probesets: 29116; probes mapped to multiple genes to be removed (except for insulin): 1248; genes with multiple probesets are BH corrected. New data has 18406 genes.
GSE63617.1_AD11	GeneSymbols
1.96930206533117e-09	H2-Q5
3.91217053771033e-07	Pttg1
1.13370576935872e-06	Pop4
7.12335272351037e-06	BC023719
7.45510686157838e-06	Wbp11
1.54732531995678e-05	Itpr3
2.92669160441014e-05	Nomo1
4.40412261980715e-05	Rpgrip1
4.70100707590642e-05	Txnl4a
6.13515531260727e-05	Irgm2
6.4351888824589e-05	Gdf9
7.1275273915091e-05	Gemin5
9.60229007595192e-05	Pi4k2b
0.000119253161674182	Tmem114
0.000132602873821527	Eya1
0.000135911263727007	Tmem260
0.000164092343686334	Slc26a11
0.000164211346810572	Igtp
0.00016646301215105	Aurkaip1
0.000178133013086975	Lrp6
0.000209786234967339	Vars2
0.000215557619546127	Alad
0.000304149977175291	Rras
0.000309876266194913	Fat4
0.000314537234174405	Polm
0.000319867199462241	Ntn4
0.000344929262174199	Gcg
0.000399678951944011	Notch3
0.000434964762431851	Arhgef3
0.00044799963607243	Sorcs2
0.000473781716241407	Cep97
0.000496032082420417	Pan3
0.000498529993638896	Zfp672
0.000539156964984829	Slc15a2
0.00054495414300738	Lum
0.000562862165653446	Lpp
0.00059226902821735	Col25a1
0.000600113427292432	Dnajb4
0.000610754050916287	Bend4
0.000622067188740576	Myl1
0.00064292833791827	Pold3
0.000673109871822953	2810001G20Rik
0.000686030144303146	Myh11
0.000698494693289113	Pfas
0.000716428122413801	Aff1
0.000718101009201771	Pcdhb12
0.000725884213482361	Obscn
0.000740965844116817	Thbs2
0.000758554358687144	1600014C10Rik
0.000765362346124232	Irs1
0.000811035203068957	Ndufv3
0.000831146121678714	Tlr1
0.000885499859779153	Col2a1
0.000908555780388689	Tfpi
0.000966867613627958	Hdhd3
0.000966990877651689	Nudt19
0.000977940918569355	Fnip2
0.000992926401804876	Rnf169
0.000995015202231513	Gramd3
0.00106454220369779	Man2a1
0.00109496688550365	Wdhd1
0.0010961605239072	Npr3
0.00110474538286823	Bcl2l11
0.00112347965610257	Pcdhb4
0.00113699231034255	Kctd12
0.00114815586636914	Arhgef12
0.0011602934051491	Zfp354c
0.00116349775189132	Atad3aos
0.00118178086582363	Cidec
0.00122042033290796	Coq2
0.00122396942888943	Gins4
0.00123001094968741	Tmem88
0.00124974653662007	Cnn1
0.00129874845732049	Perm1
0.00134347869056694	Nrros
0.00134442659884232	Cherp
0.0013543347434607	Sdc4
0.00143912131282747	Armcx2
0.00151839327818186	Eif2s2
0.00158515168142171	Ang4
0.00160515731588679	Coq6
0.00162121556997193	Car8
0.00172922959215203	Dennd1a
0.00172965575031422	Slc7a8
0.00176404116891232	Aff4
0.0017967057769945	Rcn3
0.00181722504607263	Prdm16
0.00184395080478564	Amfr
0.00187069183805623	Slc2a5
0.00192049191007564	Pus7
0.0019739365991347	Dera
0.00197900577208605	Acta2
0.00198525492284858	Rcsd1
0.00205484118966785	Zfp783
0.00214932552402703	Zcchc8
0.00216473851055441	Gaa
0.00220556001749332	Fasn
0.0022587962897581	Ankrd61
0.0023047403536027	Cpne8
0.00235751637342454	Utp14b
0.00237892182713601	Trip4
0.00239824051270903	Fkbp10
0.00243681202501267	Ecm2
0.00249728371971761	Slc45a2
0.00250515205764026	Coro7
0.00253640868831063	Myl9
0.00256233619135269	Rgs14
0.00256489203296462	Polk
0.00257305400442606	Adcy4
0.00260086542748851	AW112010
0.00274482893361976	Phf20
0.00278173388751715	Iigp1
0.00286743802600413	D3Ertd254e
0.00288521830896666	Colec11
0.00300898104216274	Wiz
0.0030704684155846	Zfp236
0.00310657201733521	Rab9b
0.00311283137252212	Ddr2
0.00312379598564144	Zfp704
0.00314075284147634	Vars
0.00319346936805403	Nedd1
0.00323115311961505	Lmo1
0.00325423856233603	Snx30
0.00326211600990782	Rad51b
0.0032778832860226	Hsbp1l1
0.00340546554245877	Cyp2w1
0.00342803841381697	Cadps
0.00344190003006603	Psmb9
0.00345172639028235	Disc1
0.00348220147408164	Srr
0.00348328351433249	Cdc26
0.00353155536694988	4933408B17Rik
0.00359888567529927	Sapcd1
0.00361759589705349	Cldnd1
0.00362973938070012	Ppic
0.003670605735158	Slc35a5
0.00369212574225297	Rhobtb1
0.00375681820127224	Nup62
0.00376409703891597	Alg9
0.00376660698489786	Gpr12
0.00379427460427886	Lrrn3
0.00379851067300997	Usp3
0.00380025462016255	Slc1a5
0.0038649341756584	Hps6
0.00392500646465112	Ccl17
0.00400707257288523	Zbtb44
0.00402239556097297	Eed
