#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7042
#Annotation contain NAs, 1 out of 41190 removed.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41175
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0156553841148804; Statistic: 4.11874814831093; Expected: 2.04081632653061; Std.dev: 0.746772970311521; #Cov: 41175
### Model test for factor: OrganismPart
#p-value: 2.9788209741179e-25; Statistic: 13.0461683795855; Expected: 2.08226846694715; Std.dev: 0.536607497369164; #Cov: 41175
### Model test for factor: Batch
#p-value: 1.79008172529282e-29; Statistic: 9.67421352859244; Expected: 2.0823728523194; Std.dev: 0.36810970630271; #Cov: 41175
### Model test for factor: Timepoint
#p-value: 5.4080450728744e-08; Statistic: 9.90433587444459; Expected: 2.04081632653061; Std.dev: 0.746772970311522; #Cov: 41175
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE63617.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41175 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
#GSE63617.1_AD11: original input has 41175 probesets; mapped probesets: 29116; probes mapped to multiple genes to be removed (except for insulin): 1248; genes with multiple probesets are BH corrected. New data has 18406 genes.
GSE63617.1_AD11	GeneSymbols
8.34781820941891e-09	Snhg3
1.90226219810186e-07	Mcemp1
5.7232559399589e-07	Cd300lf
1.0563316023804e-06	Itih5
1.2239113452271e-06	Rprd1b
1.29502264762948e-06	Slc15a2
2.46450619682566e-06	Aph1b
3.20995782714238e-06	Fam71e1
3.25771852485393e-06	Wdfy1
3.99335532390839e-06	Zfp414
4.35702612529444e-06	Zfp811
4.38068031675498e-06	Ap1s3
7.7145921989288e-06	Sox2ot
1.25100087582185e-05	Cdkn1b
2.16433605346351e-05	Gm5148
2.58357550953763e-05	Zyg11b
2.79605395017322e-05	Plpp3
3.79950141346361e-05	Nsdhl
5.04243852821636e-05	Agpat5
5.62579916450464e-05	Klhl7
7.48370963228582e-05	Lrrtm4
8.42422326147163e-05	1700024P16Rik
9.5783209845511e-05	Kmt2e
0.000152303626381176	Atg4c
0.000155452617849105	Tbc1d9
0.000172121326769744	2010107G23Rik
0.000201422371261592	Strap
0.000240393355069628	Tbc1d1
0.000312204309837699	Ring1
0.000356043912684447	Cyp4f14
0.000360404425314662	H2afj
0.000362097718045567	C3
0.000365975441123651	Cyp4f15
0.000410762362745915	Hars
0.000483600443209625	Rps18
0.000508962889975426	Stk32c
0.000512881746652168	Klhdc10
0.000514929381447251	Dcun1d1
0.000542494363738782	Rad18
0.000562257463923888	Glyctk
0.000574817239361381	Rgs4
0.000645546471525777	Fabp7
0.000658057656335476	Gm13288
0.000724260471015023	Serinc2
0.00073989068742532	Ndufs6
0.000783762878993203	Pip4k2a
0.00081765339757305	Arhgap4
0.000865992244444521	Scn2b
0.00109641331233488	Dpy19l3
0.00111155195317828	Rasl12
0.00125137314882412	Ncapd2
0.0012771095405827	Cpne1
0.00130535766116492	Atf7ip
0.0013574319369669	Pot1a
0.00136660714656598	Slc26a10
0.00143262831792178	Tspan14
0.00145343514095474	Crk
0.00148246765161406	Gpr83
0.00152817952972497	Lrrc46
0.00162093486523259	Fam76a
0.00163577772979715	S1pr1
0.00170809731494069	Rpp14
0.00171548079783017	Pbp2
0.00182379233789425	Manba
0.00192456740737736	Riok1
0.00201570607303227	Adam18
0.00202207055937329	Col9a1
0.00202778947723637	Urgcp
0.00203804967361375	Map3k5
0.00214501616142727	Gdf15
0.00216587735825073	Pomp
0.00226589664188703	Usmg5
0.00237199053365971	Ankrd2
0.0023783804299398	Zfp422
0.00249161478816759	Cnih4
0.00249994535385226	Rbfox3
0.00255900196616585	Utp14a
0.0026161571648935	Pcyt2
0.00266821898161149	Nckap1
0.0026956515834555	Arl3
0.00276173189411136	Ndufc1
0.00276925683104947	Dis3l2
0.00279509712069178	Cebpg
0.0028421164106083	Ncam1
0.002852009951945	Zbtb12
0.00285717162326336	Fam122b
0.00288564178937736	Dubr
0.00307997666691108	Rint1
0.0031559821022711	Sh3bp5l
0.00316012335275369	Nat8f5
0.00323091631692025	Cdk5rap1
0.00326018981852817	Plcxd2
0.00334724168087	Ppp1r12b
0.0033636882882845	Bcat2
0.00337537231416059	Uqcrq
0.00341343460606201	2810006K23Rik
0.00346380556083721	Nrd1
0.00348332555731905	Tnnt2
0.00349963998758521	Gdi2
0.00350901971375416	Snrpe
0.00351749660748672	Polr3g
0.00353678671521032	Comt
0.00356298893302902	Tbx1
0.00362308984365537	Mylk
0.00378518339314629	Pisd-ps3
0.00382156059892124	Adam19
0.00396545605086076	Gmppa
0.0040037206610044	Zc3h13
0.00401717537236702	Chn2
0.00401740465841611	Tmbim6
0.00403212809865213	Wipi1
0.00407457383846609	Adgrl3
0.00409713905280453	Ppp1r12a
0.00410428097667288	Fcer2a
0.00418743614162052	Romo1
0.00423096550733047	Aftph
0.00426454227509661	Tfb1m
0.00433858248386488	Cacna1c
0.00435589059917174	Ppfia4
0.00438494316657622	Sergef
0.00441633467271768	Nlk
0.00442106845625757	Atp8a1
0.00452332739905993	Tspyl4
0.00459066206716034	Cdkn1a
0.00468031964245266	Lrrtm2
0.00472876057291865	Pcdhb2
0.0048820585891516	Nfic
0.00500953418940886	Cep250
0.00501508113454922	Lrrc55
0.00508869930355841	Tbc1d13
0.00510206674471192	Naa20
0.00511815021420136	Gadd45gip1
0.00513541255624721	Lingo2
0.00514641175285559	Cfap221
0.00528763673612981	Dad1
0.00531471062407054	Rnase1
0.00542096436039033	Znrf1
0.00542577603979062	P3h4
0.00552264571791816	Ldhd
0.0055322451342207	2210016L21Rik
0.00554035152013537	Spag6
