ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
A_52_P152133	3.93860413066234e-09	0.000162172025080022	-0.915899703652049	-20.6910595469126	H2-Q5	histocompatibility 2, Q region locus 5	0.999999998030698	1.96930206533117e-09	0.999999998030698	8.10860125400108e-05
A_52_P596360	1.13734910084823e-08	0.000229147609848549	1.54171797036996	18.4276332258752			5.68674550424117e-09	0.999999994313254	0.000164008442761972	0.999999994313254
A_52_P661071	1.66956364188378e-08	0.000229147609848549	1.19232863796045	17.6681101228843	Snhg3	small nucleolar RNA host gene 3	8.34781820941891e-09	0.999999991652182	0.000164008442761972	0.999999994313254
A_52_P596357	2.38992266319813e-08	0.000246012664142957	1.44052477369596	16.985253364453			1.19496133159906e-08	0.999999988050387	0.000164008442761972	0.999999994313254
A_52_P381009	4.05104989342744e-08	0.00033360395872375	1.71817068782164	16.0256915965575			2.02552494671372e-08	0.999999979744751	0.000208502474202343	0.999999994313254
A_51_P325856	1.90226219810186e-07	0.0013054274334474	1.36706379862587	13.4960746049228	Mcemp1	mast cell expressed membrane protein 1	9.51131099050931e-08	0.99999990488689	0.000783256460068441	0.999999994313254
A_51_P386415	3.17399383313186e-07	0.00186698851541721	0.727825133042436	12.7431102738385			1.58699691656593e-07	0.999999841300308	0.00108907663399337	0.999999994313254
A_52_P422494	5.7232559399589e-07	0.0029456882915976	0.875640689404338	11.923021302299	Cd300lf	CD300 molecule like family member F	2.86162796997945e-07	0.999999713837203	0.00168325045234148	0.999999994313254
A_51_P371190	7.82434107542066e-07	0.00357963604200495	-0.6773259615882	-11.5073920481629	Pttg1	pituitary tumor-transforming gene 1	0.999999608782946	3.91217053771033e-07	0.999999998030698	0.00688983834623131
A_52_P206492	1.13370576935872e-06	0.00423990052075773	-0.800619397749144	-11.0310515771968	Pop4	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)	0.999999433147115	5.66852884679359e-07	0.999999998030698	0.00688983834623131
