#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7042
#Annotation contain NAs, 1 out of 41190 removed.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41175
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0156553841148804; Statistic: 4.11874814831093; Expected: 2.04081632653061; Std.dev: 0.746772970311521; #Cov: 41175
### Model test for factor: OrganismPart
#p-value: 2.9788209741179e-25; Statistic: 13.0461683795855; Expected: 2.08226846694715; Std.dev: 0.536607497369164; #Cov: 41175
### Model test for factor: Batch
#p-value: 1.79008172529282e-29; Statistic: 9.67421352859244; Expected: 2.0823728523194; Std.dev: 0.36810970630271; #Cov: 41175
### Model test for factor: Timepoint
#p-value: 5.4080450728744e-08; Statistic: 9.90433587444459; Expected: 2.04081632653061; Std.dev: 0.746772970311522; #Cov: 41175
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE63617.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41175 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
ProbeName	GeneSymbols	down
A_52_P152133	H2-Q5	1.96930206533117e-09
A_51_P371190	Pttg1	3.91217053771033e-07
A_52_P206492	Pop4	5.66852884679359e-07
A_52_P3865		6.69322486579848e-07
A_52_P355751		1.5909805130388e-06
A_52_P173453		6.31740713231643e-06
A_52_P564827	BC023719	7.12335272351037e-06
A_51_P448987	Wbp11	7.45510686157838e-06
A_52_P477836		1.26894708995146e-05
A_52_P507488	Rpgrip1	1.46804087326905e-05
A_51_P104897	Itpr3	1.54732531995678e-05
A_52_P407145	Txnl4a	1.56700235863547e-05
A_51_P125117	Pop4	1.71001546036675e-05
A_51_P105520	Nomo1	2.92669160441014e-05
A_52_P314923	Gemin5	3.56376369575455e-05
A_52_P1133481		4.68736239967096e-05
A_51_P360836	Txnl4a	4.7227828892735e-05
A_51_P230987	Pi4k2b	4.80114503797596e-05
A_52_P237440		5.2816983667943e-05
A_51_P416295	Irgm2	6.13515531260727e-05
A_51_P220806	Gdf9	6.4351888824589e-05
A_52_P36315	Eya1	6.63014369107636e-05
A_52_P54325	Tmem260	6.79556318635035e-05
A_51_P107039		7.39615557512857e-05
A_51_P306067	Lpp	9.3810360942241e-05
A_52_P590235	Vars2	0.000104893117483669
A_51_P335702	Tmem114	0.000119253161674182
A_52_P675530	Fat4	0.000154938133097457
A_52_P357181	Cep97	0.000157927238747136
A_51_P113403	Slc26a11	0.000164092343686334
A_51_P112355	Igtp	0.000164211346810572
A_51_P192550	Aurkaip1	0.00016646301215105
A_51_P169401	Lrp6	0.000178133013086975
A_52_P876623	Col25a1	0.000197423009405783
A_52_P271244	Pold3	0.000214309445972757
A_51_P512072	Alad	0.000215557619546127
A_51_P380337	Arhgef3	0.000217482381215925
A_52_P130642		0.000220286852310426
A_51_P242634		0.000234724628580453
A_51_P293218	Pan3	0.000248016041210208
A_51_P155174	Zfp672	0.000249264996819448
A_52_P77093	1600014C10Rik	0.000252851452895715
A_51_P267278	Slc15a2	0.000269578482492414
A_51_P140211	Ndufv3	0.000270345067689652
A_52_P559808	Arhgef12	0.000287038966592285
A_52_P55717	Gm20716|Adnp	0.000292400948388443
A_52_P621617	Dnajb4	0.000300056713646216
A_52_P592007	Tfpi	0.00030285192679623
A_52_P635182	Rras	0.000304149977175291
A_51_P416858	Myl1	0.000311033594370288
A_51_P397493	Polm	0.000314537234174405
A_51_P497661	Ntn4	0.000319867199462241
A_52_P619738	Gramd3	0.000331671734077171
A_51_P406253	Gcg	0.000344929262174199
A_52_P599624	Pfas	0.000349247346644557
A_52_P381665	Aff1	0.000358214061206901
A_52_P642453	Obscn	0.00036294210674118
A_51_P247184	Npr3	0.000365386841302399
A_52_P158527	Bcl2l11	0.000368248460956078
A_52_P175242	Irs1	0.000382681173062116
A_51_P220162	Notch3	0.000399678951944011
A_52_P116192	Aff4	0.000441010292228079
A_51_P317141	Col2a1	0.000442749929889576
A_51_P230287	Sorcs2	0.00044799963607243
A_52_P174872		0.000454530094078171
A_51_P322531	Trip4	0.000475784365427201
A_51_P167527	Lum	0.00054495414300738
A_52_P76931	Wdhd1	0.000547483442751824
A_51_P271563		0.00056225524239395
A_51_P371912	Kctd12	0.000568496155171273
A_52_P597277		0.000576952826304229
A_52_P239556	Acta2	0.000581405715604016
A_52_P505038	Bend4	0.000610754050916287
A_51_P322473	Perm1	0.000649374228660243
A_52_P81630	2810001G20Rik	0.000673109871822953
A_52_P93467	Sdc4	0.000677167371730352
A_51_P362429	Myh11	0.000686030144303146
A_52_P500673		0.000713474174900832
A_51_P461761	Zcchc8	0.000716441841342343
A_52_P224485	Pcdhb12	0.000718101009201771
A_51_P461877	Thbs2	0.000740965844116817
A_51_P470724	Eif2s2	0.000759196639090932
A_51_P353056	Fat4	0.000796959918997164
A_51_P392005	Car8	0.000810607784985966
A_51_P495581	Tlr1	0.000831146121678714
A_51_P146449	Dennd1a	0.000864614796076017
A_52_P259258	Phf20	0.000914942977873254
A_51_P398683	Rcn3	0.000932262095094148
A_52_P328597	D3Ertd254e	0.00095581267533471
A_52_P439248	Pus7	0.000960245955037821
A_51_P465582	Hdhd3	0.000966867613627958
A_51_P111952	Nudt19	0.000966990877651689
A_52_P494930	Fnip2	0.000977940918569355
A_52_P210078	Acta2	0.000989502886043025
A_52_P577729	Rnf169	0.000992926401804876
A_52_P644210		0.00101373453562523
A_51_P417321	Zfp236	0.00102348947186153
A_51_P324923	Man2a1	0.00106454220369779
A_52_P353567	Pi4k2b	0.00108785792372865
A_52_P100252	Fasn	0.00110278000874666
A_52_P529195	Pcdhb4	0.00112347965610257
A_52_P195235		0.00113251581854103
A_51_P427563	Cpne8	0.00115237017680135
A_51_P273705	Zfp354c	0.0011602934051491
A_52_P16571	Srr	0.00116073382469388
A_51_P253426		0.00116315526885146
A_51_P167660	Atad3aos	0.00116349775189132
A_51_P490456	Cidec	0.00118178086582363
A_51_P447752	Coq2	0.00122042033290796
A_51_P513085	Gins4	0.00122396942888943
A_52_P209484	Tmem88	0.00123001094968741
A_51_P350817	Cnn1	0.00124974653662007
A_51_P330630	Usp3	0.00126617022433666
A_52_P704340		0.00127030292537774
A_51_P363588	Polk	0.00128244601648231
A_51_P437426	Nrros	0.00134347869056694
A_51_P519837	Cherp	0.00134442659884232
A_52_P380369	Setdb2-phf11c|Phf11d|Phf11c|Phf11a|Phf11b	0.00143799290068196
A_51_P356512	Armcx2	0.00143912131282747
A_51_P129557	Slc35a5	0.00145871340186278
A_52_P250865		0.00148652098642005
A_51_P386069	Rab9b	0.0015532860086676
A_51_P267796	Ddr2	0.00155641568626106
A_51_P399853	Zfp704	0.00156189799282072
A_51_P203501	Vars	0.00157037642073817
A_52_P160057		0.00157192154576476
A_52_P98778	Ang4	0.00158515168142171
A_51_P315634	Nedd1	0.00159673468402702
A_51_P116479	Coq6	0.00160515731588679
A_51_P269792	Rad51b	0.00163105800495391
A_52_P420504	Acta2	0.00163402413001035
A_52_P154710		0.00170849154389211
A_52_P121903	Cadps	0.00171401920690849
A_51_P358872	Disc1	0.00172586319514118
A_51_P112734	Slc7a8	0.00172965575031422
A_51_P256154	Eif2s3x	0.00173956446767931
A_51_P419925	Arhgef40	0.00174420912018898
A_51_P436644		0.00175011173088692
A_52_P606679	Eloa	0.00179166208332236
A_52_P223618	Rcn3	0.0017967057769945
A_52_P70064	Sapcd1	0.00179944283764963
A_52_P473154	Cldnd1	0.00180879794852674
A_51_P514139	Prdm16	0.00181722504607263
A_51_P435809	Amfr	0.00184395080478564
A_51_P146802	Rhobtb1	0.00184606287112649
A_51_P514405	Slc2a5	0.00187069183805623
A_52_P108850	St8sia1	0.0018782980642771
A_51_P269173	Alg9	0.00188204851945799
A_51_P104718	Gpr12	0.00188330349244893
A_51_P392303	Lrrn3	0.00189713730213943
A_51_P383369	Tenm3	0.00190142870089012
A_51_P428708	C4a|C4b	0.0019062933392847
A_52_P560996		0.00192870341713403
A_52_P54274		0.00194535826988857
A_51_P512820	Dera	0.0019739365991347
A_51_P371091	Rcsd1	0.00198525492284858
A_52_P144286	Zbtb44	0.00200353628644261
A_52_P326399	Fkbp11	0.00203687940885691
A_51_P376912	Zfp783	0.00205484118966785
A_52_P647576	Uncx	0.00206268818396747
A_51_P325747	Gm15631	0.00208099678803526
A_52_P684413		0.00209921114793347
A_51_P349888	Ang4|Ang3|Ang2|Ang5	0.00213919835399694
A_52_P679653		0.00214569244427236
A_51_P218895	Gaa	0.00216473851055441
A_51_P386031	Sap18	0.00218177869913297
A_51_P164539	Arvcf	0.00219259054570757
A_51_P274685	Dus1l	0.00220074087877656
A_51_P189704	Ankrd61	0.0022587962897581
A_51_P161413		0.00228451277023733
A_52_P417859	Gid4	0.00229185717720688
A_52_P361066	Zfp788	0.00231711516313582
A_52_P124183		0.00233910654078142
A_51_P153693	Utp14b	0.00235751637342454
A_51_P216965	Fkbp10	0.00239824051270903
A_52_P635776	Ddx39b	0.00242996245266437
A_52_P103101	Ecm2	0.00243681202501267
A_52_P51198	Slc35a5	0.00244707049010534
A_51_P511918		0.00245378050995839
A_51_P508693	Slc45a2	0.00249728371971761
A_51_P424128	Rnaseh2a	0.00249861224263367
A_51_P323878	Coro7	0.00250515205764026
A_52_P270513		0.00253380877672147
A_51_P308298	Myl9	0.00253640868831063
A_52_P647919	Usf2	0.00254896533295181
A_51_P389957	Rgs14	0.00256233619135269
A_51_P229911	Adcy4	0.00257305400442606
A_52_P347248	Zfp362	0.00259239237705132
A_52_P1020860	AW112010	0.00260086542748851
A_52_P87395		0.00261943421829228
A_51_P439452	Insig2	0.00262378356795395
A_52_P401059		0.00268359053352261
A_51_P269663	Itpr1	0.00268573268902858
A_51_P353452		0.00269397801416281
A_51_P264708	Pcdhb13|Pcdhb7	0.00275464337011357
A_51_P387239	Iigp1	0.00278173388751715
A_51_P401797	Mmp9	0.00287490966219587
A_51_P174275	Colec11	0.00288521830896666
A_52_P22365	Cnot1	0.00296630126127531
A_52_P188589	Ccdc149	0.00296828530790092
A_51_P196056	Wiz	0.00300898104216274
A_52_P420792	Txnip	0.00305233069207517
A_51_P112912	Rras2	0.00311893326748633
A_51_P350214	Amz2	0.00314018625992198
A_52_P301085	Dctd	0.00315882452101597
A_51_P355413	Nisch	0.00319549700620975
A_51_P429865	Msh5	0.00319647301025791
A_51_P191865	Lama2	0.00319775795661906
A_51_P466857	Vstm2a	0.00321795909280036
A_52_P331762	Lmo1	0.00323115311961505
A_51_P495767	Map3k4	0.00325229653966035
A_51_P494481	Snx30	0.00325423856233603
A_51_P481569	Ddx42	0.00327007692421131
A_52_P18765	Hsbp1l1	0.0032778832860226
A_52_P956261		0.00330462517369651
A_52_P387189		0.00334717624582764
A_52_P370878	Osbpl8	0.00335830313454458
A_52_P58560	Ccne2	0.00338518213835716
A_52_P567228	Cyp2w1	0.00340546554245877
A_51_P369803	Psmb9	0.00344190003006603
A_51_P451176	Bhlhe41	0.00348285498524057
A_52_P50959	Cdc26	0.00348328351433249
A_52_P453276	Mid1	0.00349005133205019
A_51_P236314		0.00350872975143714
A_51_P194984	4933408B17Rik	0.00353155536694988
A_52_P191681	Sec1	0.00356193421325581
A_51_P500051	Itpr2	0.00360792965457664
A_51_P161086	Ppic	0.00362973938070012
A_51_P468240	Dennd4a	0.00366109590784914
A_52_P257987	Pnkp	0.00367260491707263
A_52_P260897	1110037F02Rik	0.00368636110119711
A_51_P449795	Crip1	0.00373682288444228
A_52_P99807	Dpy19l3	0.00374012070960938
A_51_P190277	Nup62	0.00375681820127224
A_51_P152845	Trim24	0.00377898014773325
A_51_P453475	Slc1a5	0.00380025462016255
A_51_P118763	Ahctf1	0.00380050889446668
A_51_P113274	Hps6	0.0038649341756584
A_51_P209451	Zbtb24	0.00388050912898079
A_52_P649356	Vps11	0.00389570774994797
A_51_P100856	Fn1	0.00392365078841819
A_51_P114462	Ccl17	0.00392500646465112
A_51_P468599	Smchd1	0.00393714935043014
A_52_P490788	Cr2	0.00397626119871872
A_51_P238643	Eed	0.00402239556097297
A_52_P446146		0.00402739226429785
A_52_P283119		0.00403777908660387
A_51_P360165	Ccng2	0.00417132349303443
A_52_P27249	Dynlt1a	0.00422023690750996
A_51_P462286		0.00428595155875515
A_51_P109258	Cys1	0.00429065932048504
A_51_P495700	Ccdc28b	0.00429760811424283
A_51_P506250	Mrpl55	0.00430593858605592
A_51_P258848	Mfsd13b	0.00433911701232178
A_52_P883263		0.00436493835676797
A_51_P465809	Slc30a9	0.00438880281196192
A_51_P450924	Pole4	0.00443045012888666
A_51_P113335		0.00446070802711237
A_51_P185941	Shoc2	0.0044998657385326
A_51_P155294	Ppp1r16b	0.00450205877467581
A_51_P262721	0610009L18Rik	0.00450240025633709
A_51_P138952	Cep97	0.00453083408352818
A_51_P339943	Nid1	0.00453103226942314
A_51_P108190	Rpl23	0.00453567136824848
A_52_P23886		0.00454698591990225
A_51_P348548	Ecsit	0.00455909375789113
A_51_P199354	Lamc1	0.00459895725840579
A_51_P496996	H2-L|H2-D1	0.00461716601790862
A_52_P634829	Trim12a|Trim12c|Trim5	0.0046403067724827
A_51_P178022	Plekhg2	0.0046612859549959
A_52_P343839	Rnd3	0.00466550672388481
A_52_P265051	Sertm1	0.00469450468771251
A_51_P204831	Crip1	0.00470503717428363
A_51_P367772	Mtpap	0.00476613439538188
A_51_P201581	Rln3	0.0047896514834269
A_52_P402705	Kcnj11	0.0047898760432753
A_52_P477286	Rab8b	0.00494187236370854
A_52_P146719	Lrrn3	0.00499049817317931
A_51_P265824	Hhex	0.00501614972147505
A_52_P418477	Tpm2	0.00504581758340366
A_51_P116137	Lrig1	0.00504936995114036
A_51_P144349	Dtx4	0.00505003551560161
A_51_P268884	Slc38a10	0.0050547838332675
A_52_P548202		0.00507358242718662
A_51_P178411	H2-Q6|Gm11127|H2-D1|H2-L|H2-Q4|H2-Q8	0.00508554701462821
A_52_P122891	Npsr1	0.00510724035206526
A_51_P497985	C2	0.00519798739356071
A_52_P517683	Tagln	0.00520617348203401
A_51_P405956		0.00524194461333559
A_51_P292116	Ica1	0.00536640830941263
A_51_P511927	Slc47a1	0.0053792249074848
A_51_P196973	Chaf1a	0.00546610217710683
A_51_P420918		0.00547586955433238
A_52_P444849	Yme1l1	0.00547898070328137
A_51_P487219	Cntrl	0.00549757593469465
A_51_P142021		0.00550626823394829
A_52_P300451	Tcf23	0.00551863382989086
A_52_P306537	Emc1	0.00553268989551138
A_51_P259230	Nup35	0.00553795883804045
A_51_P450561	Tef	0.00554728859252452
A_51_P176425	Txnl1	0.00562473106253574
A_51_P122017	Kdm6b	0.00566793363296366
A_51_P337817	4933434E20Rik	0.00570342657200501
A_51_P240903	Tns1	0.00572538584340363
A_51_P515605	Col3a1	0.00573082068952752
A_51_P416191	Hectd1	0.00578277790517272
A_51_P466773	Zfp646	0.00578636046826297
A_51_P502798	Nxpe4	0.00578702667040684
A_51_P359570	Ifit3|Ifit3b	0.00583860942538532
A_52_P521091	Tmtc4	0.00591708874693413
A_51_P230269	H2-Q10	0.00596607492176698
A_52_P277854	Snrpb	0.00600007187063826
A_51_P124467	Sik3	0.00601365707271877
A_51_P455157	Mybpc2	0.00603951603149857
A_51_P188114	Eps8	0.00605123916515551
