#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7042
#Annotation contain NAs, 1 out of 41190 removed.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.1_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41175
#number of samples: 50
#Factor: Genotype (2 levels): AD11: n=25, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=20, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=10, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=50
#Factor: Timepoint (2 levels): 15_months: n=20, 3_months: n=30
#
#
### Model test for factor: Genotype
#p-value: 0.0156553841148804; Statistic: 4.11874814831093; Expected: 2.04081632653061; Std.dev: 0.746772970311521; #Cov: 41175
### Model test for factor: OrganismPart
#p-value: 2.9788209741179e-25; Statistic: 13.0461683795855; Expected: 2.08226846694715; Std.dev: 0.536607497369164; #Cov: 41175
### Model test for factor: Batch
#p-value: 1.79008172529282e-29; Statistic: 9.67421352859244; Expected: 2.0823728523194; Std.dev: 0.36810970630271; #Cov: 41175
### Model test for factor: Timepoint
#p-value: 5.4080450728744e-08; Statistic: 9.90433587444459; Expected: 2.04081632653061; Std.dev: 0.746772970311522; #Cov: 41175
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: 15m_bfb_AD11_rep3
#Reason for removal: sample correlation outlier
#number of samples after removal: 49
#Factor: Genotype (2 levels): AD11: n=24, WT: n=25
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=10
#Factor: Batch (5 levels): Batch_01_24_11_06: n=9, Batch_02_01_12_06: n=10, Batch_03_31_01_07: n=10, Batch_04_02_02_07: n=10, Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=49
#Factor: Timepoint (2 levels): 15_months: n=19, 3_months: n=30
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 49
#Factor: Genotype (2 levels): AD11: n=5, WT: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE63617.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.1/results/GSE63617.1_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('3_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 10
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_05_09_02_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 3_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.376674023187739; Statistic: 11.3367350860804; Expected: 11.1111111111111; Std.dev: 4.54754350672083; #Cov: 41175
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41175 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 85, up: 60, down: 25
ProbeName	GeneSymbols	up
A_52_P596360		5.68674550424117e-09
A_52_P661071	Snhg3	8.34781820941891e-09
A_52_P596357		1.19496133159906e-08
A_52_P381009		2.02552494671372e-08
A_51_P325856	Mcemp1	9.51131099050931e-08
A_51_P386415		1.58699691656593e-07
A_52_P422494	Cd300lf	2.86162796997945e-07
A_51_P229633	Rprd1b	6.11955672613549e-07
A_52_P426605	Slc15a2	6.4751132381474e-07
A_51_P364250	Itih5	1.0563316023804e-06
A_52_P328825	Wdfy1	1.08590617495131e-06
A_52_P456750	Aph1b	1.23225309841283e-06
A_51_P298716		1.24603440470667e-06
A_51_P503543	Zfp414	1.9966776619542e-06
A_51_P259638		2.02905048735775e-06
A_52_P377576	Ap1s3	2.19034015837749e-06
A_52_P1020847		2.45158121382826e-06
A_51_P390314	Wdfy1	2.53909526426442e-06
A_51_P323531	Fam71e1	3.20995782714238e-06
A_52_P519827		3.29535271094772e-06
A_51_P216387		3.83629781580802e-06
A_51_P510914		3.8488037936855e-06
A_52_P389324	Sox2ot	3.8572960994644e-06
A_52_P632601	Zfp811	4.35702612529444e-06
A_52_P550474		5.08141894943114e-06
A_51_P146126	Cdkn1b	6.25500437910927e-06
A_52_P492284		7.87428311907128e-06
A_51_P432538	H2-T22|H2-T10|H2-T9	7.99415109291069e-06
A_52_P197826	H2-T9|H2-T10|H2-T22	9.1030938206066e-06
A_51_P447966		9.14064655881597e-06
A_52_P598634	1190007I07Rik|1810014B01Rik	1.1963394212322e-05
A_51_P326942	Nsdhl	1.26650047115454e-05
A_52_P14526	Zyg11b	1.29178775476882e-05
A_52_P498208		1.32741805658655e-05
A_52_P474528		1.7027812530012e-05
A_52_P588917		2.01672896012345e-05
A_52_P214408	Gm5148	2.16433605346351e-05
A_52_P651235		2.50085550197446e-05
A_51_P361286	Agpat5	2.52121926410818e-05
A_51_P510916		2.71796860611442e-05
A_51_P503433	Plpp3	2.79605395017322e-05
A_52_P923591		3.047605191104e-05
A_51_P283292		3.68771110451572e-05
A_52_P389235		4.22013655963287e-05
A_51_P222453	Tmem254b|Tmem254c|Tmem254a	4.38250984745154e-05
A_52_P932813		4.50573339216903e-05
A_52_P868210	Kmt2e	4.78916049227555e-05
A_52_P583858		5.00858355282579e-05
A_52_P576208		5.33232612607604e-05
A_51_P423008	Klhl7	5.62579916450464e-05
A_52_P595537		7.28253695657363e-05
A_52_P424206	Lrrtm4	7.48370963228582e-05
A_52_P683728	Atg4c	7.61518131905881e-05
A_52_P683580	Tbc1d9	7.77263089245524e-05
A_52_P319552	1700024P16Rik	8.42422326147163e-05
A_52_P232935	2010107G23Rik	8.60606633848719e-05
A_52_P61243		8.90304974438792e-05
A_51_P255646	Olfr1065|Olfr1058	9.58244224126782e-05
A_52_P1036395		9.7659335968799e-05
A_52_P650379	Strap	0.000100711185630796
A_52_P707535		0.000107529845300628
A_51_P293516	Tbc1d1	0.000120196677534814
A_51_P324768		0.000125433488743337
A_51_P479528	Klhdc10	0.000128220436663042
A_52_P520429		0.000131459263478478
A_52_P715416		0.000139239395129728
A_51_P455266	Ring1	0.000156102154918849
A_51_P325651		0.000168543623511823
A_52_P430934	Dcun1d1	0.000171643127149084
A_51_P110301	C3	0.000181048859022783
A_52_P643851	Snord33|Mir5121	0.000201127580810323
A_51_P125368	Hars	0.000205381181372957
A_52_P685828	Ndufs6	0.000246630229141773
A_52_P588580		0.000247823138460787
A_51_P442359		0.000275003320817878
A_51_P194004	Glyctk	0.000281128731961944
A_52_P43326	Rgs4	0.000287408619680691
A_52_P432715		0.000290556914358818
A_51_P452768	Cyp4f14	0.000356043912684447
A_52_P286488	H2afj	0.000360404425314662
A_52_P237102	Dpy19l3	0.000365471104111627
A_52_P210011		0.000365915529674556
A_51_P136303	Cyp4f15	0.000365975441123651
A_51_P518747	Pip4k2a	0.000391881439496601
A_52_P382754	Ncam1	0.0004060166300869
A_52_P545954	Atf7ip	0.000435119220388307
A_52_P629037	Rps18	0.000483600443209625
A_52_P515840	Crk	0.000484478380318248
A_52_P287692	Stk32c	0.000508962889975426
A_52_P186672	Fam76a	0.000540311621744195
A_51_P480855	Rad18	0.000542494363738782
A_52_P572447	Agpat5	0.00061087368443539
