#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL7202
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE63617.2_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 41267
#number of samples: 69
#Factor: Genotype (2 levels): AD11: n=35, WT: n=34
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=20, Hippocampus: n=30
#Factor: Batch (4 levels): Batch_06_30_05_07: n=20, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=15, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=69
#Factor: Timepoint (3 levels): 1_month: n=30, 15_months: n=10, 6_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0069116100118643; Statistic: 3.44810047875099; Expected: 1.47058823529412; Std.dev: 0.538343288131556; #Cov: 41267
### Model test for factor: OrganismPart
#p-value: 1.08289360705999e-26; Statistic: 12.97824825227; Expected: 1.49216335642119; Std.dev: 0.382860984645648; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.09764164514092e-07; Statistic: 4.74078715958789; Expected: 1.49218061828742; Std.dev: 0.31167307155257; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.39010970244891e-10; Statistic: 8.53426269209353; Expected: 1.49215644915161; Std.dev: 0.40788078202743; #Cov: 41267
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#2 sample(s) removed: 6m_ctx_VH_rep3, 1m_hp_AD11_rep5
#Reason for removal: sample correlation outlier; sample correlation outlier
#number of samples after removal: 67
#Factor: Genotype (2 levels): AD11: n=34, WT: n=33
#Factor: OrganismPart (3 levels): Basal_forebrain: n=19, Cortex: n=19, Hippocampus: n=29
#Factor: Batch (4 levels): Batch_06_30_05_07: n=19, Batch_07_04_07_07: n=19, Batch_08_11_07_07: n=14, Batch_09_19_07_07: n=15
#Factor: Gender (1 levels): F: n=67
#Factor: Timepoint (3 levels): 1_month: n=29, 15_months: n=10, 6_months: n=28
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('6_months', '15_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 20 samples. Original sample size: 67
#Factor: Genotype (2 levels): AD11: n=10, WT: n=10
#Factor: OrganismPart (1 levels): Hippocampus: n=20
#Factor: Batch (2 levels): Batch_06_30_05_07: n=10, Batch_07_04_07_07: n=10
#Factor: Gender (1 levels): F: n=20
#Factor: Timepoint (2 levels): 15_months: n=10, 6_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0736929407089424; Statistic: 8.07034057854891; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
### Model test for factor: Batch
#p-value: 1.28495969420328e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
### Model test for factor: Timepoint
#p-value: 1.28495969420328e-09; Statistic: 23.4410705060223; Expected: 5.26315789473684; Std.dev: 1.86283110405601; #Cov: 41267
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE63617.2
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE63617.2/results/GSE63617.2_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('6_months'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 10 samples. Original sample size: 20
#Factor: Genotype (2 levels): WT: n=5, AD11: n=5
#Factor: OrganismPart (1 levels): Hippocampus: n=10
#Factor: Batch (1 levels): Batch_06_30_05_07: n=10
#Factor: Gender (1 levels): F: n=10
#Factor: Timepoint (1 levels): 6_months: n=10
#
### Model test for factor: Genotype
#p-value: 0.0276771293615857; Statistic: 17.5097621997105; Expected: 11.1111111111111; Std.dev: 3.31274221466378; #Cov: 41267
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#10 samples, 41267 probes
#coefficients: (Intercept), GenotypeAD11
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAD11
#  DE genes: 437, up: 239, down: 198
#GSE63617.2_AD11: original input has 41267 probesets; mapped probesets: 29116; probes mapped to multiple genes to be removed (except for insulin): 1248; genes with multiple probesets are BH corrected. New data has 18406 genes.
GSE63617.2_AD11	GeneSymbols
3.65216915617131e-08	Gm5148
7.18646681699778e-08	Sspn
1.16657590182696e-07	Lrrtm4
2.13707871806936e-07	Rprd1b
3.50931927322172e-07	Ap1s3
3.62338750347566e-07	Sdc4
6.23605230508242e-07	Snhg3
7.52457525133604e-07	Sox2ot
8.33193786126404e-07	Soga1
1.55479586483845e-06	Aph1b
2.02259318886097e-06	Nosip
2.19423744977151e-06	Tbc1d13
3.37899078638884e-06	Wdfy1
3.43135467087621e-06	Adam18
4.80604856637991e-06	Atg4c
5.63040835357294e-06	Slc26a10
5.89368775493692e-06	Rnf41
7.67749255070711e-06	Lrrc46
8.36818833413454e-06	Mcemp1
1.05786615575325e-05	Manba
1.10584424772783e-05	Zyg11b
1.18529632375452e-05	Agpat5
1.24033401612457e-05	Igdcc3
1.27377581008801e-05	Klhl9
1.29633280127989e-05	Zbtb12
1.49533782492965e-05	Pfn1
1.65131351593369e-05	Itih5
1.6698075058331e-05	Ring1
1.77004323594549e-05	Naa20
1.8568109291036e-05	Ttc5
1.90155727380074e-05	Cep250
1.98783148334174e-05	Fam71e1
2.00045577680639e-05	Atp8a1
2.03851453116925e-05	Pcyox1
2.04659137356116e-05	Slc6a16
2.05194791889115e-05	Cdkn1b
2.09466872809359e-05	Rpl21
2.23723286934714e-05	C3
2.44228224688276e-05	Slc15a2
2.48037681607007e-05	Cyp4f15
2.54052918700744e-05	Neurl2
2.97051439691545e-05	Ndrg1
3.34923522595325e-05	Pigz
3.46114650542397e-05	Ccdc80
3.56786670628141e-05	Snx22
3.57817269550925e-05	Zfp871
3.59674406194292e-05	Ncoa3
3.6285878448806e-05	Phyh
3.77654589941003e-05	Aktip
4.12152559015656e-05	Borcs7
4.29547881123197e-05	Rhpn2
4.35009298390696e-05	Strap
4.35669706493553e-05	Pde6h
4.36700165460376e-05	Celsr1
5.10828918328268e-05	Slc12a2
5.33507440353993e-05	2210409D07Rik
5.86743344378005e-05	Myc
5.88513069255478e-05	Gnb1
6.28891642075166e-05	Ehmt2
6.37864026579318e-05	Bcat2
6.61117305434927e-05	Tbc1d1
6.61236324589445e-05	Cyp4f14
6.83459938531743e-05	Hs3st3a1
7.35731040908057e-05	Pacsin3
8.3064206718437e-05	2810002D19Rik
9.41684791339124e-05	Wipf1
9.51282135356182e-05	Cptp
9.81419104585073e-05	Igfbp5
9.84231186531151e-05	Nkd1
0.000101248299609851	Plpp3
0.000101810920947271	Plekhh3
0.000106200843336319	Lypd6b
0.000110703206552306	Sfxn5
0.00011559627771525	Stam
0.000134070021561022	Tep1
0.000135374247859725	Rab3b
0.000140186508605324	Arhgap4
0.000145460902271948	Psmf1
0.000147970430301214	Utp18
0.000148394933202361	Zfp330
0.000159141199823752	Neu1
0.000159919363403729	Rpp14
0.000166741210404079	Gpr160
0.000169081062199653	Trnau1ap
0.000169599806614316	Cldn11
0.00017033454791431	Slc39a1
0.000171361976131877	Zfp811
0.000172801633199168	Dubr
0.00017494649087364	Aph1c
0.000178026064088491	Dcps
0.000194838324067128	Zdhhc9
0.000198161086601777	Dach1
0.000198534470040111	Dhx35
0.000206752046356961	Slc23a2
0.00020938995054747	Plekhg3
0.000210023207164752	Zfyve9
0.000216292951606552	Mboat1
0.000216855004319328	Tirap
0.000222920100126939	Gxylt2
0.000223772980368206	Hapln2
0.00023100566452867	Anapc7
0.000243071794266523	P3h4
0.00024777796593341	Ubr4
0.000259045976212557	Entpd3
0.000267598028860741	Erdr1
0.000274230092038911	Stat3
0.000274929064132912	Ilvbl
0.000281370494763838	Rdh18-ps
0.000288922681066739	1190002N15Rik
0.000293160899736358	Slco4a1
0.000300374702456217	Mri1
0.000312821802493151	Dcun1d1
0.000321937447160994	Otud7b
0.000329714523993823	Gadd45gip1
0.000343843604375121	Etnk1
0.000359165772796864	Pmp22
0.000372167051489663	Ift122
0.000381466396341977	Zfp319
0.000381553951683092	1700109H08Rik
0.000391048765156129	Pbp2
0.000393725452452954	Eml3
0.000398900630694947	1700086L19Rik
0.00041005182900837	Dctn4
0.000413685117966926	Fbxw19
0.000422896164038531	Ift46
0.000435746386716373	Rffl
0.0004432385687626	Aldh5a1
0.000458545926497039	Khnyn
0.000470343040246832	Crnde
0.000470561739830658	Zfp422
0.000471094250964937	Litaf
0.000472612447112796	Cfap69
0.000479002608902043	Nat8f5
0.000484642964117385	Akna
0.000485383809636621	Slc25a41
0.000519924863580047	Zfp365
0.000520151730497552	Rprd2
0.000524674606569902	Glyctk
0.000544694916829019	Laptm4b
0.00054849479163574	Snrpf
0.000549939024388528	C1qbp
0.000564365380629483	Synm
0.000571237840996397	Aqp6
0.000577858841203634	Chrna10
0.000588317952531156	Gstm1
0.000593437933009383	Pls1
0.000593757739708286	Rad21
0.000597740759733454	Zfp39
0.000604811402718806	Smlr1
0.000605350754973068	Trim36
