#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 3694, up: 1832, down: 1862
#GSE64398.1_ho_TASTPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_ho_TASTPM	GeneSymbols
4.05016365858007e-14	Plrg1
2.42564478541949e-08	Entpd4
2.58414368490019e-08	Drd5
4.13112255816154e-08	Arhgap15
1.40100070928434e-07	Tesc
1.60168511164403e-07	Itpka
2.0761604788381e-07	Nat8
2.15653803111679e-07	Nol4
2.54801641675301e-07	Vgf
2.63165715487547e-07	Spink8
2.95566098089549e-07	Naa25
2.98756038117043e-07	Shisa7
3.36128658424573e-07	Enox1
3.46284362387059e-07	Sst
3.56400893597468e-07	Rapgef4
3.80391809802092e-07	Crhbp
4.73543869238579e-07	Npy
5.16844491885267e-07	Kcnip2
6.13368253183097e-07	Dab1
6.21361944450309e-07	Pfkl
6.21807874108309e-07	Ryr1
7.83882550506714e-07	Slc25a16
8.56835829947408e-07	Rem2
8.92923588843466e-07	Dusp4
8.95453258991279e-07	Grhl1
1.11608417021407e-06	Cort
1.30076887152733e-06	Gpc5
1.37055233380787e-06	Rbmx
1.40913708196665e-06	Iqgap2
1.4280683901132e-06	Fam19a1
2.06794115790143e-06	Arf3
2.13843061007654e-06	Rasgrf1
2.36922758399444e-06	Sh3rf1
2.76217386518804e-06	Stau2
2.77256528219549e-06	Trappc2
3.0410807264421e-06	Chrna5
3.09621719488855e-06	Vmp1
3.21225332461693e-06	Yaf2
3.2364899094789e-06	Cttn
3.32836342396362e-06	Lsm14b
3.40198587718917e-06	Fgf13
3.63800750961379e-06	Abr
3.9566703868555e-06	Rgs14
4.01677265705386e-06	Msl3l2
4.02438047587574e-06	Plppr5
4.31538809451283e-06	Ebag9
4.99472821171228e-06	Nrarp
5.14724848068008e-06	Slc24a3
5.22382204718978e-06	Lmo3
5.36329668499116e-06	Jph1
5.38395863223907e-06	Pcmt1
5.50843590774671e-06	Bok
5.57327172785716e-06	Bex2
5.83885118215349e-06	Bzw2
6.51736621099168e-06	Lrrc6
7.28584017720087e-06	Ccno
7.58658365677179e-06	Kcnq3
7.85891594912277e-06	Wdr17
8.12074199128098e-06	Rdh14
8.15716679323272e-06	Vsig8
8.49289448354859e-06	Rbm11
8.63919343462894e-06	Tmem126b
8.74898599708122e-06	Rbm3
8.85939494183296e-06	Mrpl50
8.94354334303358e-06	St8sia3
8.98399499009479e-06	Plppr4
8.99376437492559e-06	Bbs5
9.12012649561558e-06	Ppp1cb
9.26321874852113e-06	Qtrt1
9.35690056778239e-06	Nrn1
1.00443897867368e-05	B230217C12Rik
1.0063288411866e-05	Zfp868
1.03517300350783e-05	Doc2b
1.07130959245134e-05	Krt10
1.1098995335224e-05	Plppr2
1.1555178202228e-05	Epha7
1.20752982773893e-05	Armc8
1.21955646447794e-05	Large1
1.28900001896186e-05	Lurap1l
1.5008662542695e-05	Tpd52l1
1.50311554881267e-05	Camkv
1.52056615801692e-05	Gpr12
1.54902878919036e-05	Eps15
1.59585813452676e-05	Smarca1
1.66761059037934e-05	Frmpd4
1.77847555485493e-05	Ryr3
1.82949084314067e-05	Arpc5l
1.87057150554893e-05	Mcts1
1.92324829177344e-05	Rsl24d1
1.9352533148568e-05	Bloc1s4
2.0719023653495e-05	BC030500
2.0927487952318e-05	Chst9
2.1210877530357e-05	Psme2
2.12999945315271e-05	Cadps2
2.27753024675637e-05	Dsp
2.3001333717285e-05	Tgfb2
2.32352944140775e-05	Nsg1
2.52392928938235e-05	Zfp810
2.58144411904972e-05	Noct
2.61598288045551e-05	Chpf
2.64389903579424e-05	Fam212b
2.67443517375053e-05	Iqcj
2.69564830057391e-05	Prr7
2.8093262975142e-05	Scn3b
2.85825553448169e-05	Adgrb3
2.87988445616058e-05	Elmod1
2.91504175797949e-05	Ppp4r4
2.9718029912981e-05	Cdc37
3.00537735107424e-05	Cyp2e1
3.13476199323476e-05	Rhbdl3
3.21986641642793e-05	Prkag2
3.25850434311968e-05	Rin1
3.39992765001695e-05	Myt1l
3.40422972598235e-05	6030419C18Rik
3.44657729786942e-05	Hsd11b1
3.619638051573e-05	Psmd7
3.71753322099004e-05	Hnrnpll
3.75460655299873e-05	Rasd1
3.77675195499578e-05	Ppp1r9a
3.88563029706434e-05	3110070M22Rik
3.95125634361285e-05	Jsrp1
3.95321900077552e-05	Ppm1e
4.02108008214154e-05	Clip4
4.06806310619577e-05	Cntnap2
4.07931522736572e-05	Dmrtc1a
4.09501605233388e-05	St8sia4
4.13333662043048e-05	Hes5
4.19699001977706e-05	Fgf10
4.40894906159171e-05	Uri1
4.42112311678678e-05	Pex5l
4.47379273874741e-05	C1qbp
4.55562091321032e-05	Arhgef28
4.5648261424506e-05	Pdk3
4.57448160306132e-05	Mbd5
4.62963984991123e-05	Gphn
4.64669430076446e-05	Mrpl22
4.6897776535663e-05	Atp2b1
4.81366200183881e-05	Sdhaf1
4.90499833548976e-05	Msh2
4.97558182508703e-05	Dlgap3
5.00259251036811e-05	Vstm2b
