#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 15, up: 13, down: 2
#GSE64398.1_TAS10: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_TAS10	GeneSymbols
6.12442648177277e-11	Thy1
7.43104277472783e-10	Cst7
2.29333766414967e-08	Ccl3
1.84248291353768e-07	Msmo1
5.54921107334042e-07	Acat2
1.47587388983386e-06	Ccl4
1.73845938206959e-06	Cd68
2.80214351656672e-06	Olfr557
3.44626244065527e-06	Sqle
5.01921787782593e-06	Slc11a1
8.47371406264385e-06	Hsd17b7
8.61423245169983e-05	Tlr2
9.08969635859831e-05	Hmgcs1
9.65551535797348e-05	Cxcl16
0.000109179044720968	Lyz1
0.000134086603038696	Samsn1
0.000166572345025904	Tgm2
0.000180582935665704	Fcrls
0.000181611888922225	Fdps
0.000181833618344053	Stard4
0.000192159697900642	Trem2
0.00021559163704319	C1qtnf6
0.000235533044694931	Pmel
0.000308842643875296	Lrrc10
0.000318605945072535	Fcer1g
0.000398530900435329	Pitx1
0.000428460656681938	Nsdhl
0.000443444993040798	Ascl2
0.000573052487592174	C1qb
0.000577529214423064	Tyrobp
0.000598055963075171	Pomt1
0.000628508168387312	Rnase1
0.000664320361214662	Ch25h
0.000807717191433955	Cd86
0.000818769897402992	Slc15a3
0.000853331967537448	Tmem97
0.000886842196548834	Prdx4
0.00101004590140051	Idh1
0.0010168258090155	Cd52
0.00108847887047037	Lsmem1
0.00109518329714077	Mvd
0.00110796594829437	Fblim1
0.0011421030396595	Peg10
0.00148096706021784	Tnfrsf13c
0.00148280230855138	Gusb
0.00158538698986667	Icam1
0.00166646635691406	Plau
0.00167007026261451	C1qc
0.00170724461129089	Tmem185b
0.00176297527002579	Ifi27l2a
0.00178344301675472	Samd7
0.00185069237063792	H2-Ob
0.00185818086689733	Lrrc3
0.00194192202706293	Necab1
0.00205679125306434	Cyba
0.00206494964437133	Ifitm3
0.00208463939887237	Tkt
0.0020957660217713	Hoxc13
0.00225882555773843	Cenpl
0.00227538712876155	Myocd
0.00229294748868381	Usp18
0.00238823586218126	Aspg
0.00250178143985606	Akap12
0.00254394945190597	Vopp1
0.00254786446424309	Reep1
0.00260893233536805	Nid1
0.00281735185392182	Gpr45
0.00281966060089574	Nceh1
0.00300232786384459	Rgs16
0.00306061879179695	Acly
0.00310618027223536	Klhl6
0.00314771663816918	Vps13a
0.00316685151080986	Cbln4
0.00321757836720447	Cd14
0.00328567548840224	Gnat1
0.00330078533950064	Nos2
0.0034103738992449	5830411N06Rik
0.00349756963078063	Gmfg
0.00379751122971447	Fam221a
0.00380126306232878	Zbtb22
0.00382113638868324	Hmgcs2
0.00384306114842145	Ranbp6
0.00386035191559765	Spp1
0.0038843816644745	Nqo1
0.00390351858786899	Acta2
0.00391544041106149	Grn
0.00392562740048259	Clec4n
0.00393377666651472	Rnd3
0.0040364295051189	Slc6a13
0.00410088173101271	Shc1
0.00411918637998987	Slc22a6
0.00412777568681733	Nup107
0.00414595212045291	Rassf5
0.00416234433549078	Reep4
0.00421932800649813	Mme
0.00422607732827622	Slc22a4
0.00431490300038552	Slamf9
0.00435207920571353	Col9a2
0.00436219863865669	Hvcn1
0.00440144064506776	Cyb561
0.00440743910155564	Rsad2
0.0044383108967443	Rasip1
0.00443950043274879	Ube2c
0.00457694790491579	Gm5105
0.00467803637687084	Klhl42
0.00470890682752273	Ier3
0.00473954540439111	Cish
0.00483885991131188	A2ml1
0.00485102416320105	Fermt1
0.00496087882877837	Reep5
0.0049973640813413	Fcgr2b
0.00502398508829032	Gm382
0.00509894320038246	Tecr
0.00511525564249248	Fam205c
0.00512042646577542	Smim19
0.00514362799525911	Ccl12
0.0053550268313321	Slc41a3
0.00546266860997234	Prkab1
0.00553982718965473	Wwox
0.00565032941259971	Ly6e
0.00565991338419353	Defb14
0.00600035345657473	Insl6
0.00607288714942305	Prkg2
0.00624316207658379	Cyp51
0.00624476646113502	Cxcl10
0.00647963014911299	Rai14
0.00652269949773786	Gpr182
0.00657745861813421	Borcs7
0.00666561967719079	Parp14
0.00670803191108414	H6pd
0.00674421570388881	Lox
0.00676032661389024	Prph
0.00690030087411399	Rabif
0.00691238591204805	Tmem43
0.00691808238017482	Zfp346
0.00693052891227552	Kcnk10
0.00695575749130892	Prcp
0.00702440067245689	C2
0.00720860909551993	Tnni3
0.00725568669667544	Mat1a
0.00732336552415354	Nrsn2
0.00750196777263055	Samd9l
0.00753969964987768	Alg10b
0.00756031751566642	Mad2l1
0.00758047808498862	Ptpn6
0.00767291656335624	Uqcrc2
0.00773300675682411	Ctsh
0.00778565367964898	Sla
0.00782666668619852	Plin2
0.00787057294375242	Aacs
0.00793103436203155	Asb12
0.00795458460540393	Ctgf
0.00798803225332672	Vtn
0.00801724214502794	Wdr93
0.00808310925177112	Eln
0.00816010572017585	Ube2dnl2
0.00820012205470331	Ciart
0.00820404871270681	Spata19
0.00824141278718061	Exosc3
0.00825522383109841	Olfr180
