#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAU
#  DE genes: 2032, up: 1348, down: 684
#GSE64398.1_TAU: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_TAU	GeneSymbols
1.08303807693637e-13	Chil1
3.95993839175527e-13	Gpnmb
8.00570930458027e-13	Cst7
9.31335957545858e-13	Slc11a1
1.96214323840185e-12	Vim
4.97684746025117e-12	Tlr2
8.02896161349939e-12	Ms4a6d
9.08961377272923e-12	Timp1
9.85844374072181e-12	C1qc
1.47305581147411e-11	Serpinf2
1.54967880408091e-11	C1qb
2.14456502311104e-11	Fcrls
2.50398507276027e-11	Cd86
2.76628826062877e-11	H2-Ob
3.51914176487303e-11	Gfap
3.818334114713e-11	Cd68
6.365311518511e-11	Cd84
6.93798220365951e-11	Osmr
7.11829494779493e-11	C1qa
1.05709562244258e-10	P4ha3
1.13213378993159e-10	Cd22
1.25648088265537e-10	Fcer1g
1.30287713158073e-10	Hvcn1
1.34000049634336e-10	Anxa5
1.61419711628006e-10	H2-M2
1.62957114636098e-10	Aspg
1.70248520735547e-10	Cxcl16
1.81517629110739e-10	Myo1f
1.95801553577835e-10	Serpina3n
2.07661227057223e-10	Tnfrsf1a
2.1140360538105e-10	Ptpn6
2.23164546475586e-10	Fblim1
2.85410134583964e-10	Anxa3
3.58329283946965e-10	Lyz1
3.64234673589021e-10	Ptx3
3.65073989581589e-10	Cyba
4.34570596837088e-10	Glycam1
4.38943438043721e-10	Wisp2
4.68997718044172e-10	Cyp4f18
5.12880171143198e-10	Lox
5.65901272380225e-10	Ccl3
8.316640445989e-10	Mmp3
8.71964472749204e-10	Hpse
8.84524962630032e-10	Tnfsf13b
1.08794251004956e-09	Ccl4
1.1097917524781e-09	Ccdc3
1.11209878545402e-09	Rassf4
1.18725286337119e-09	Fcgr3
1.25035140604591e-09	Ncf4
1.29268685231213e-09	Tmem106a
1.30276829218712e-09	Ctsh
1.46501214158898e-09	Tgm2
1.55340159510314e-09	Tyrobp
1.62111760719019e-09	Samsn1
1.66795801112969e-09	Fas
1.86914448100934e-09	Psapl1
2.09588456941284e-09	Aoah
2.20738838106176e-09	Tlr13
2.48727503298223e-09	Trem2
2.49079200620338e-09	Nckap1l
2.65826055981632e-09	Atf3
2.6679472918095e-09	Clec4d
2.72827098746659e-09	Gldn
2.75575343836396e-09	Gpr84
2.9155139648757e-09	Phyhd1
2.975280250922e-09	Msn
3.19260445722326e-09	Fam111a
3.74446245620389e-09	Cd44
4.03325523414386e-09	Sash3
4.34372538265442e-09	Capg
4.48846694075859e-09	Entpd2
4.70054664850103e-09	Csf3r
4.74036234202702e-09	Clec7a
4.77862192167685e-09	Rab7b
4.88241839991003e-09	Arhgap9
4.96026214093335e-09	Fcgr2b
5.74721588780471e-09	Cnr2
6.60930136924679e-09	Tgfbr1
6.89121724080336e-09	Lpxn
7.04582736811426e-09	Bcl3
9.37592403378819e-09	Dhrs1
1.04471033018938e-08	Ly86
1.06432405005421e-08	S100a5
1.09121867933322e-08	Tnfaip2
1.12441049367127e-08	Lrig1
1.14148785515771e-08	Tmem253
1.17628157202092e-08	Arl11
1.27275924321535e-08	Klk6
1.31858005906516e-08	Cd52
1.37206178460969e-08	Kcne1l
1.38214086449445e-08	Pros1
1.52275150352838e-08	Icam1
1.52908604234131e-08	Slc15a3
1.5556783758601e-08	S100a3
1.77131054524755e-08	Osm
2.00001461182834e-08	Klhl6
2.0004701390109e-08	Syngr1
2.02034046770648e-08	Hsd3b7
2.04043983454563e-08	Hexa
2.15650947134455e-08	Tcirg1
2.22953000936492e-08	Gusb
2.31853330592686e-08	Cd180
2.32788616465939e-08	Plcd4
2.4054634401489e-08	Lgmn
2.53639434509837e-08	Pik3cg
2.74760860374772e-08	Cd3d
2.86820836365873e-08	Lag3
2.99087463115174e-08	Grn
2.99373641615006e-08	Apoc4
3.07178554908286e-08	Gngt2
3.17762038740436e-08	Tlr1
3.43651549993837e-08	Vav1
3.64855274931687e-08	Col27a1
3.74443441027558e-08	Rab32
3.81807083360669e-08	Casp4
3.83675630369864e-08	Hcar2
4.00867180880357e-08	Ntrk2
4.0416030235009e-08	Unc93b1
4.13163907732119e-08	Tnfaip8l2
4.21038737059524e-08	Sat1
4.32634334869059e-08	Lrrk1
4.3857166814154e-08	Necap2
4.54918634994979e-08	Igfbp5
4.55794673858428e-08	Ifi30
4.73169058803402e-08	Lat2
4.79365729347278e-08	Cd14
4.83206760789059e-08	Axl
5.22762823679024e-08	Glipr2
5.25117662782723e-08	Cd151
5.34582568704712e-08	Fcgr4
5.71762849400885e-08	Sh3bp2
5.73514676228878e-08	Havcr2
5.8735328222713e-08	Il1a
5.97783462557139e-08	Socs3
5.98878588285674e-08	Ccl5
6.45376238801238e-08	Parp14
6.46845675286653e-08	Il19
6.64431308754885e-08	Ticam2
6.78737487369974e-08	Rfx4
7.02604815293784e-08	Slc14a1
7.41330752626595e-08	Man2b1
7.44653552981761e-08	S100a6
8.04562812892613e-08	Abhd4
8.14806308823819e-08	Pald1
8.17196284478689e-08	Fyb
8.32222337907336e-08	BC048679
9.36058159471911e-08	Ly9
1.03913233076029e-07	Tgm1
1.06339273347257e-07	Pdlim4
1.07609286078774e-07	Slamf9
1.15572093603696e-07	C3
1.18081421017946e-07	Lcn2
1.2570383695378e-07	Slc22a4
1.30875295594558e-07	Tlr7
1.36540415332032e-07	Rcan1
1.4327087910647e-07	Themis2
1.52176868695281e-07	Ahnak2
1.61636798677272e-07	Ifngr1
1.64111349689831e-07	Rasal3
1.66805858914747e-07	Cd83
1.67059897635859e-07	Apobec1
1.69449817935587e-07	Arhgdib
1.71304313747877e-07	Bag3
1.72507860745757e-07	Aif1
1.8165514741123e-07	Endou
1.83936787706775e-07	Rnase1
2.0178494453955e-07	Olfml3
2.08819903872848e-07	Lpcat2
2.12377872346672e-07	Lgi4
2.14895040868355e-07	Cyb5r3
2.18890252342797e-07	Zfp36
2.25506194427115e-07	Parp3
2.29107425902568e-07	Btk
2.30728909540721e-07	P2ry6
2.39219663903925e-07	Pld4
2.39264122069064e-07	Rab29
2.43528136241481e-07	Tgfbr2
2.48351084482074e-07	Il13ra1
2.50093452459792e-07	Tmco4
2.57897379374093e-07	B2m
2.67913675049793e-07	Wfdc17
2.68102569172088e-07	Plcg2
2.80775115863617e-07	S100a11
2.89082297763182e-07	Tnfrsf11b
2.89633408795595e-07	Cd3g
2.94452820871136e-07	Plin4
3.03599449720906e-07	BC026585
3.22129412247063e-07	Fcgr1
3.27596115543284e-07	Ang
3.34154977017794e-07	Gsg1
3.36083953600986e-07	Gbp3
3.4065545695251e-07	Arhgap30
3.82395520898181e-07	Shc1
3.87650566962668e-07	Ifitm3
3.98748818838047e-07	H2-Oa
3.9952799217473e-07	Sh3pxd2b
4.03752228937303e-07	Gfpt2
4.11096995410423e-07	Sucnr1
4.11636509327117e-07	Apoe
4.12178468545242e-07	Elk3
4.22169976917208e-07	Rcsd1
4.28291202879931e-07	Was
4.52022720170928e-07	Gpr37l1
4.65487184399927e-07	Tph2
4.80746979125533e-07	Aldh1l2
5.09283279294631e-07	Gpr34
5.10884044141041e-07	Pdpn
5.13895706239259e-07	H2-M3
5.28935747626491e-07	Cytip
5.51876182713873e-07	Csf1
5.63308907928245e-07	Ggta1
5.65474985082222e-07	Rps6ka1
5.6711986148151e-07	Lif
5.68227096681294e-07	Sparc
5.73753626985779e-07	Rhoj
6.02931030634339e-07	Hcst
6.06503549110859e-07	Cmtm6
6.08226157223704e-07	Ccl9
6.45585300471587e-07	Gmfg
6.52708798833401e-07	Mapkapk3
6.93415489206709e-07	Sdc4
7.15656411251656e-07	Igf1
7.30209899769358e-07	Gm8909
7.47195452143092e-07	Tmem47
7.48608520933122e-07	Fermt3
7.56880799297395e-07	Hcls1
7.60122216141004e-07	Cyp4v3
7.75979912836636e-07	Anxa2
7.83348726742242e-07	Serpina3h
7.94524221662661e-07	Cd8b1
7.99080919939464e-07	Xdh
8.20396570727924e-07	Cd33
8.36807210626218e-07	Nrap
8.41686538649672e-07	Igdcc4
8.58541914459261e-07	Slc8b1
8.91389522377625e-07	Lcp1
8.94700337311365e-07	P2ry13
9.07452137462188e-07	Lilrb4a
9.45936449391095e-07	Samd9l
9.56455642953254e-07	Arhgap45
9.65718441515735e-07	Gpx1
9.71608128422586e-07	Ednrb
9.76084105114302e-07	Ccl8
1.09565578259596e-06	Cchcr1
1.13089646760793e-06	Renbp
1.14362074964215e-06	Il10ra
1.14616729655711e-06	Cxcl10
1.16676396779426e-06	Cd9
1.19717029002634e-06	Abi3
1.25279533180209e-06	Naip5
1.26657887863444e-06	Gldc
1.34520327282024e-06	Lgals9
1.35229910398529e-06	Cmtm7
1.37121456460974e-06	Lamp1
1.38881716227256e-06	Hk2
1.4662440231522e-06	Arpc1b
1.47110765970735e-06	Ahnak
1.52153277677038e-06	Siglec1
1.5394217543575e-06	Ccl12
1.60904236967163e-06	Capzb
1.69776402675809e-06	Cyp2d22
1.71721434095696e-06	Atp1b2
1.72300435215346e-06	Serping1
1.74382324093497e-06	G6pdx
1.76586465773405e-06	Abcc3
1.89634014279752e-06	Angpt1
1.93333454704427e-06	Sh2d2a
1.93904221044874e-06	Rida
1.99501434043155e-06	Tlr6
2.0292857521566e-06	Klrb1b
2.06776861041856e-06	Tcf7l1
2.14499101370747e-06	Hhex
2.14939337554731e-06	Sgpl1
2.16018465028156e-06	Nfkb1
2.18385523699353e-06	Adgre1
2.19421140491281e-06	Apbb1ip
2.20003800376555e-06	Gm2a
2.24986210658028e-06	Lgals3bp
2.25222654165151e-06	Rnase4
2.29973899238478e-06	Add3
2.41005946760371e-06	St8sia2
2.4523159029079e-06	Lmo2
2.49172733899622e-06	Epsti1
2.53403579706232e-06	Fes
2.54986212100999e-06	Myo1g
2.58123481946447e-06	Adgrg5
2.6402858008631e-06	Cxcl13
2.65740550756584e-06	Plekhf2
2.70925250647222e-06	Kcnk6
2.72430903234512e-06	Itpr2
2.75580937465993e-06	Irf8
2.8133265537221e-06	Mfsd7a
2.82941889121723e-06	Uba7
2.93999150841608e-06	Gsta3
3.07891884434527e-06	Mvp
3.2106400816268e-06	Slco2b1
3.24388674951518e-06	Vkorc1
3.27721841716937e-06	Phkg1
3.30383233284014e-06	Tmem43
3.3642761097576e-06	Tsc22d4
3.44544215002421e-06	Hn1l
3.44941903389637e-06	Cd3e
3.50661315293278e-06	Prcp
3.70423477994695e-06	Nupr1
3.70691340890933e-06	Mocos
3.82089905894518e-06	Rgs1
3.82311355380268e-06	Rab31
3.97693414246315e-06	Cxcl1
4.00466037552618e-06	Skap2
4.02765840986368e-06	Spp1
4.23451191841083e-06	Scimp
4.45586812259912e-06	Scrg1
4.5140853662521e-06	Rac2
4.71935419291692e-06	Trp53inp2
4.73204936558373e-06	Apoc1
4.74443750341279e-06	Mx2
4.84673131346749e-06	Gadd45a
4.86457964270063e-06	Ccdc80
4.94036678143303e-06	Mlxipl
4.94742752796681e-06	Pbk
5.18640847549277e-06	Tnfrsf12a
5.21328041243528e-06	H2-DMb1
5.22731613530542e-06	Hpgds
5.34476855736321e-06	Serpinf1
5.35295498508969e-06	Pbxip1
5.58573229260394e-06	Arhgap4
5.69722021689672e-06	Nlrc5
5.75414457886788e-06	Itih3
5.85079081051832e-06	Gnai2
5.887790995084e-06	Rab3il1
5.96998834680803e-06	F9
6.20205477042718e-06	Il3ra
6.27859176243552e-06	Clec5a
6.3710030179544e-06	Acsbg1
6.50136609705139e-06	Ch25h
6.58784169814429e-06	Elovl5
6.62236073568671e-06	S100a9
6.75639005997625e-06	Nuak2
6.77087656289628e-06	Lcat
6.77480926559136e-06	Cxcr4
7.03570181245869e-06	Alox5ap
7.21088235638918e-06	Fam167a
7.21285633024127e-06	Gjb6
7.35960311699498e-06	Micall2
