ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
ILMN_2644350	1.22488529635455e-10	3.1475877460423e-06	0.775576379674119	12.7350289823082	Thy1	thymus cell antigen 1, theta	6.12442648177277e-11	0.999999999938756	1.57379387302115e-06	0.999999999938756
ILMN_1244891	1.48620855494557e-09	1.90955506182181e-05	1.75996498311095	10.950700280129	Cst7	cystatin F (leukocystatin)	7.43104277472783e-10	0.999999999256896	9.54777530910906e-06	0.999999999938756
ILMN_1253919	4.58667532829934e-08	0.00039287931970436	1.57966243592267	8.80738770481795	Ccl3	chemokine (C-C motif) ligand 3	2.29333766414967e-08	0.999999977066623	0.00019643965985218	0.999999999938756
ILMN_2823778	3.68496582707535e-07	0.00236731417145888	0.542241187199503	7.64927878894111	Msmo1	methylsterol monoxygenase 1	1.84248291353768e-07	0.999999815751709	0.00118365708572944	0.999999999938756
ILMN_1253008	1.10984221466808e-06	0.00570392307806515	0.628395634564701	7.0732179236717	Acat2	acetyl-Coenzyme A acetyltransferase 2	5.54921107334042e-07	0.999999445078893	0.00285196153903258	0.999999999938756
ILMN_1223257	1.47587388983386e-06	0.0063209218911768	1.39820398712909	6.92799411920524	Ccl4	chemokine (C-C motif) ligand 4	7.37936944916932e-07	0.999999262063055	0.0031604609455884	0.999999999938756
ILMN_2983516	3.34614525188395e-06	0.00992737572023164	0.590108600959797	6.51874916672763	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1.67307262594198e-06	0.999998326927374	0.00496368786011582	0.999999999938756
ILMN_2737163	3.44626244065527e-06	0.00992737572023164	0.538105600161745	6.50421658786318	Sqle	squalene epoxidase	1.72313122032763e-06	0.99999827686878	0.00496368786011582	0.999999999938756
ILMN_2689785	3.47691876413919e-06	0.00992737572023164	0.826838159557344	6.49985370351789	Cd68	CD68 antigen	1.73845938206959e-06	0.999998261540618	0.00496368786011582	0.999999999938756
ILMN_2733435	5.60428703313344e-06	0.014401336389043	0.254918242117647	6.26648957883163	Olfr557	olfactory receptor 557	2.80214351656672e-06	0.999997197856483	0.0072006681945215	0.999999999938756
ILMN_1252076	8.40075764712557e-06	0.0180690404412485	1.02206134593276	6.07129286007776			4.20037882356279e-06	0.999995799621176	0.00981246678446299	0.999999999938756
ILMN_2731057	8.43789101042852e-06	0.0180690404412485	-0.755866305679453	-6.06917902831742	Psme2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	0.999995781054495	4.21894550521426e-06	0.999995781054495	0.108414242647491
ILMN_1229529	1.69474281252877e-05	0.0334998508104245	0.351161867559246	5.73826931531572	Hsd17b7	hydroxysteroid (17-beta) dehydrogenase 7	8.47371406264385e-06	0.999991526285937	0.0181457525223132	0.999999999938756
ILMN_2749695	2.00417435318612e-05	0.0367866202527312	-0.473377399758224	-5.65963458499459	Enox1	ecto-NOX disulfide-thiol exchanger 1	0.999989979128234	1.00208717659306e-05	0.999995781054495	0.128753170884559
ILMN_2878071	5.45895223604841e-05	0.0935191304064906	0.852662117160588	5.19653529036813	Lyz1	lysozyme 1	2.7294761180242e-05	0.99997270523882	0.053953344465283	0.999999999938756
