#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TPM
#  DE genes: 4, up: 1, down: 3
ProbeName	GeneSymbols	down
ILMN_2608043	Hes6	8.6126288404489e-07
ILMN_2469329	Tnfrsf1a	2.60387525562084e-06
ILMN_2728521	Smpd1	7.60110514718092e-06
ILMN_2815138	Myom1	1.01259294150404e-05
ILMN_2742557	Bcl2l1	1.90993715945652e-05
ILMN_2696749	Rac3	1.91690191340019e-05
ILMN_2700292	H13	2.41741530418599e-05
ILMN_2740494	Ppcs	2.7973210816672e-05
ILMN_2740890	Fam110a	3.66473104609339e-05
ILMN_1228752	Isyna1	4.46695548113183e-05
ILMN_1250582	Slc5a5	5.21322350990278e-05
ILMN_2859254	Haghl	5.7085400793466e-05
ILMN_2823195	Mcoln1	5.93680242313088e-05
ILMN_1238114	Mpv17l2	6.05876304558805e-05
ILMN_3162081	Wdr6	6.26586752987357e-05
ILMN_2639491	Oxr1	6.4414237742158e-05
ILMN_2625058	Kansl2	6.50203956363803e-05
ILMN_2827311	Mtif3|Gtf3a	7.00960313028902e-05
ILMN_2710086	Coro6	7.16862781760619e-05
ILMN_2454788	Wbp1	7.9201753269877e-05
ILMN_2705361	Hsd17b11	9.56077850738466e-05
ILMN_2696537	Tm2d3	9.57226674979151e-05
ILMN_2745954	Get4	9.65539661813207e-05
ILMN_2686183	Map1lc3a	9.85940841010346e-05
ILMN_2711523	Grm8	9.99822261052718e-05
ILMN_2682800	Cox5a	0.000107689787851339
ILMN_2464999	Unc119	0.000115038012771577
ILMN_2932705	Myoc	0.000134241324183035
ILMN_2607926	Kdelr2	0.000137721499599953
ILMN_2686003	Spats2l	0.000148526226969902
ILMN_2611261	Gabpa|Atp5j	0.000150015895613263
ILMN_2594419	Gipc1	0.00015650992336058
ILMN_2724795	Ppp5c	0.000158368632889238
ILMN_2742160	H13	0.000178367505308293
ILMN_2603383	Pkn1	0.000179129075580247
ILMN_2769680	Retsat	0.000179227329615909
ILMN_1255741	Cdk10	0.000184865084688478
ILMN_1253982	Ly6h	0.000187176731990195
ILMN_1251000	Tac1	0.000218883142856842
ILMN_1220632	Psmc5	0.000223664779753471
ILMN_2680463	Hspbp1	0.000232212172671881
ILMN_1226662	Dleu7	0.000235731201723753
ILMN_1227103	Ppp1r35	0.000240080999814945
ILMN_1218602	G6pc3	0.000251877031954855
ILMN_2748897	Ly6h	0.000268777478541895
ILMN_2987834	Adamts16	0.000277462289824329
ILMN_2973024	Vps29|Fam216a	0.000279566388807831
ILMN_2729153	Nos3	0.000281779542398041
ILMN_2705802	Blcap	0.000284152538827113
ILMN_2909346	Mapkapk3	0.000307641618919387
ILMN_2708491	Slc22a6	0.000321440771103639
ILMN_2727273	Swap70	0.000324297657733783
ILMN_2625601	Stard10	0.00032573406492883
ILMN_1225332	Tmsb10	0.000330237899428533
ILMN_2662690	Ptprf	0.000335584739095183
ILMN_2648746	Bckdk	0.000340613055071893
ILMN_2713586	Haghl|Narfl	0.000344093239687987
ILMN_2777416	Slc22a17	0.000344337052981156
ILMN_2592823	Cdc42ep5	0.000358693634625134
ILMN_3061070	Slc25a20	0.00037098942091658
ILMN_2688944	Htra2	0.000376317616646811
ILMN_2690506	Vac14	0.000394752549397274
ILMN_1229161	Eng	0.000400022283276593
ILMN_2630641	Srm	0.000413508131831525
ILMN_1227583	Nxph3	0.000420758342609934
ILMN_1259294	Tmem126b	0.000425808245999582
ILMN_2893471	6430573F11Rik	0.000439595859741431
ILMN_2706231	Syngr2	0.000440028601856229
ILMN_2589312	Entpd4	0.000451355364680717
ILMN_1232601	Cyb561	0.000454626149365328
ILMN_2710802	Rhbdl1	0.000459665541195099
ILMN_2613313	Lsm14b	0.000460593181127325
ILMN_2671794	Rell2	0.00046948797517822
ILMN_2712867	Timp2	0.00047725965956635
ILMN_2437173	Zcchc3	0.000483010371110473
ILMN_1253274	Bsg	0.00049827861327408
ILMN_1224247	Svil	0.000502339676490634
ILMN_1229091	Nr1d1	0.000502860858619231
ILMN_2663015	Abcb8	0.00056789432613957
ILMN_2928560	Tie1	0.000571030008542872
ILMN_2683586	Capn2	0.000578872529527933
ILMN_2664088	Aspscr1	0.000582610157369484
ILMN_2806250	Rab38	0.000588553124731836
ILMN_2632299	Gdi1	0.00059888318143129
ILMN_2450384	Vegfb	0.000616523026382326
ILMN_2734683	Fstl1	0.000635741284342087
ILMN_2655985	Ifna5|Ifna15	0.000654040902413895
ILMN_1241054	Pigc	0.000660376694479797
ILMN_2808472	Hcn3	0.000670177084575026
ILMN_2642148	Pbx3	0.000679871530059305
ILMN_2593676	Ccdc136	0.000699798504606177
ILMN_2633872	Cdk10	0.000702317023147892
ILMN_2667396	Foxf1	0.000710444396252749
