#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('18_months') are kept for analysis. 
#New dataset contains 22 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=7, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=3, TAS10: n=4, TAU: n=1
#Factor: OrganismPart (1 levels): Hippocampus: n=22
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=9, Batch_02_2013-03-04: n=13
#Factor: Gender (1 levels): M: n=22
#Factor: Timepoint (1 levels): 18_months: n=22
#
### Model test for factor: Genotype
#p-value: 0.000376093277232509; Statistic: 8.98052590698039; Expected: 4.98810333807619; Std.dev: 0.859357275474529; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.0229776290128952; Statistic: 9.14311222714264; Expected: 4.76190476190476; Std.dev: 1.74585518123245; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#22 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypeho_TASTPM
#  DE genes: 3694, up: 1832, down: 1862
ProbeName	GeneSymbols	down
ILMN_1244226	Plrg1	4.05016365858007e-14
ILMN_2589312	Entpd4	2.42564478541949e-08
ILMN_2644432	Drd5	2.58414368490019e-08
ILMN_2693868	Arhgap15	4.001613600182e-08
ILMN_2759756	Arhgap15	4.13112255816154e-08
ILMN_2918944	Nol4	7.18846010372262e-08
ILMN_2748222	Tesc	1.40100070928434e-07
ILMN_2752431	Itpka	1.60168511164403e-07
ILMN_2680959	Kcnip2	1.72281497295089e-07
ILMN_1248822	Dab1	2.04456084394366e-07
ILMN_1216539	Nat8	2.0761604788381e-07
ILMN_2925923	Vgf	2.54801641675301e-07
ILMN_1220865	Spink8	2.63165715487547e-07
ILMN_2733073	Ryr1	2.78153296764141e-07
ILMN_2833243	Naa25	2.95566098089549e-07
ILMN_2689731	Dusp4	2.97641196281155e-07
ILMN_2606540	Shisa7	2.98756038117043e-07
ILMN_2871325	Pfkl	3.10680972225155e-07
ILMN_2842357	Ryr1	3.10903937054154e-07
ILMN_2749695	Enox1	3.36128658424573e-07
ILMN_2729826	Sst	3.46284362387059e-07
ILMN_2945940	Rapgef4	3.56400893597468e-07
ILMN_1231710	Crhbp	3.80391809802092e-07
ILMN_1254628	Gpc5	4.33589623842443e-07
ILMN_1246419	Grhl1	4.4772662949564e-07
ILMN_2946520	Npy	4.73543869238579e-07
ILMN_2955725	Cort	5.58042085107036e-07
ILMN_2822071	Slc25a16	7.83882550506714e-07
ILMN_2602597	Sh3rf1	7.89742527998148e-07
ILMN_2695664	Cttn	8.09122477369726e-07
ILMN_1222084	Rem2	8.56835829947408e-07
ILMN_2605311	Abr	9.09501877403447e-07
ILMN_2616768	Vmp1	1.03207239829618e-06
ILMN_3132050	Rasgrf1	1.05944514101922e-06
ILMN_3055230	Rasgrf1	1.06921530503827e-06
ILMN_2730425	Ryr1	1.2840637102561e-06
ILMN_1233065	Rbmx	1.37055233380787e-06
ILMN_1235440	Trappc2	1.38628264109775e-06
ILMN_2908846	Iqgap2	1.40913708196665e-06
ILMN_2618488	Fam19a1	1.4280683901132e-06
ILMN_1226607	Cort	1.58040922558929e-06
ILMN_2782663	Lsm14b	1.66418171198181e-06
ILMN_2717374	Pcmt1	1.79465287741302e-06
ILMN_1257196	Fgf13	1.79955877385827e-06
ILMN_2719860	Gpc5	1.94395813722799e-06
ILMN_2679157	Plppr5	2.01219023793787e-06
ILMN_1252195	Arf3	2.06794115790143e-06
ILMN_1224670	Ebag9	2.15769404725641e-06
ILMN_2745480	Fgf13	2.26799058479278e-06
ILMN_2735080	Armc8	2.41505965547786e-06
ILMN_3062075	Lmo3	2.61191102359489e-06
ILMN_2772077	Bok	2.75421795387335e-06
ILMN_1217723	Stau2	2.76217386518804e-06
ILMN_1232107	Bex2	2.78663586392858e-06
ILMN_1234453	Rbm3	2.91632866569374e-06
ILMN_2644587	Bzw2	2.91942559107674e-06
ILMN_2647628	Ppp1cb	3.04004216520519e-06
ILMN_2735905	Chrna5	3.0410807264421e-06
ILMN_2420095	Yaf2	3.21225332461693e-06
ILMN_3096701		3.53525937956187e-06
ILMN_1228560	Epha7	3.85172606740934e-06
ILMN_1241564	Wdr17	3.92945797456139e-06
ILMN_2604548	Rgs14	3.9566703868555e-06
ILMN_2625654	Msl3l2	4.01677265705386e-06
ILMN_2685477	Rdh14	4.06037099564049e-06
ILMN_2596979	Nrarp	4.99472821171228e-06
ILMN_1228048	Zfp868	5.03164420593302e-06
ILMN_2838501	Slc24a3	5.14724848068008e-06
ILMN_2736478	Doc2b	5.17586501753917e-06
ILMN_1217728	Jph1	5.36329668499116e-06
ILMN_2850073	Plppr2	5.54949766761201e-06
ILMN_2914714	Lrrc6	6.51736621099168e-06
ILMN_1227604	Scn3b	7.02331574378549e-06
ILMN_2736471	Ccno	7.28584017720087e-06
ILMN_1249224	Tpd52l1	7.5043312713475e-06
ILMN_2622771	Kcnq3	7.58658365677179e-06
ILMN_3137154	Gpr12	7.60283079008462e-06
ILMN_2824741	Vsig8	8.15716679323272e-06
ILMN_2870965	Dusp4	8.40214597168847e-06
ILMN_2700338	Rbm11	8.49289448354859e-06
ILMN_3115917	Hsd11b1	8.61644324467356e-06
ILMN_1259294	Tmem126b	8.63919343462894e-06
ILMN_3139548	Lmo3	8.7544671682702e-06
ILMN_2747792	Fam212b	8.81299678598079e-06
ILMN_1247384	Mrpl50	8.85939494183296e-06
ILMN_2740115	St8sia3	8.94354334303358e-06
ILMN_2712316	Plppr4	8.98399499009479e-06
ILMN_3162388	Bbs5	8.99376437492559e-06
ILMN_1217927	Qtrt1	9.26321874852113e-06
ILMN_2699052	Nrn1	9.35690056778239e-06
