#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTAS10
#  DE genes: 23, up: 16, down: 7
#GSE64398.1_TAS10: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_TAS10	GeneSymbols
5.12798681370506e-07	Psme2
9.70729830859465e-06	Enox1
1.22142768734074e-05	Rin2
2.04654903808415e-05	Spsb1
4.40647374866068e-05	Esrra
5.57330029606385e-05	Mkx
6.18843431314137e-05	Hsd11b1
8.28425676614603e-05	G0s2
0.000124171815507202	Pvalb
0.000136856721326795	Ermp1
0.00014854738045638	Hax1
0.000283181105011557	D16Ertd472e
0.000284414945220819	Ecsit
0.000288486765985631	Spg20
0.000288534696187693	Uty
0.00029316548230144	Gprc5b
0.000356274386992986	Arhgef3
0.000358048037180916	Ky
0.000359675647573871	Gng11
0.000411174999160142	Ephb1
0.000425622523276516	Nos1ap
0.00044192007702161	Ctcf
0.000556480469435827	Napa
0.000619134044145185	Asf1a
0.000620180773175887	Lynx1
0.000862111350067035	Hykk
0.000897126094180246	Aph1a
0.000914807207624868	Spink8
0.000941269815954775	Fndc5
0.00102724408758331	Tmem70
0.00106188672043033	Enpp4
0.00109876421935457	Sema5a
0.00114263166898103	Samd5
0.00118340566670354	Tle1
0.00129414137636309	Gfod1
0.00131018063121068	Nck2
0.00136551765647424	Mslnl
0.00139736947183157	Nmb
0.00147014324669087	Unc5b
0.00147813866684717	Cdc42ep4
0.00165012551501007	Fam84a
0.00170180828096582	Slfn2
0.00184318651015806	Acvr1
0.0018897491631164	Slc31a2
0.00192915733093876	Ctsz
0.00194337421599645	Osbpl6
0.00195244553844132	Serinc2
0.00199301836610297	Drd5
0.00200592804250478	Mlx
0.00205349544277598	Bcl6
0.00209563418351747	Rasd1
0.0021756460552452	Mta2
0.00218896872119305	Hist1h2be
0.00220117891665179	Hpdl
0.00220444325920299	Aldh1a1
0.00220686043922361	Rbm14
0.00222271226557962	Nmt1
0.00223985822576986	Klk8
0.0022696406619253	Irak2
0.00239261693998655	Anln
0.0024489093457029	Tmem253
0.00246551471080262	Smug1
0.0024822298875632	5730409E04Rik
0.00268935635473342	Nsmf
0.00275762648540124	Iqgap2
0.00278237770992245	Dusp7
0.00278728714186326	Adcy1
0.0028666510150091	Arl5b
0.00292041266421491	Tspan18
0.0029355324034441	Stac
0.00297121922804973	Smarcd2
0.00300135683147398	Nectin3
0.00309222937351113	Il20rb
0.00311855939929076	Mgll
0.0031275272590476	Inhba
0.00315043689093562	Kcnk1
0.00315602507873618	Lxn
0.00324818718959521	Mipep
0.00326522291030553	Sertad4
0.00326960943455487	Plekha2
0.00330133453634973	Katna1
0.00341920206360942	Piga
0.00342678114974989	Rps14
0.00343469296973623	Kcnab2
0.00345130433658539	Ly86
0.00345709074758775	S100a13
0.00347373367138983	Cldn11
0.00350302507198349	Amer2
0.00351979772114993	Commd2
0.00352369891808981	Tox4
0.00353709434490315	Dnajb5
0.00357753346794681	Ophn1
0.0035975519121031	Scn1a
0.00360396143007891	Gramd1b
0.00362432492527765	Anxa11
0.00366055900126651	Lefty1
0.00366255435342901	Pou3f1
0.00366756856055545	Mylk3
0.00369493525607718	Tmem38b
0.00370406349951339	Nostrin
0.00374212206198892	B3galt5
0.0037482993028664	Ankrd37
0.00380066101025791	Prkd3
0.00382534090302301	Zfp667
0.00383154094103935	Rwdd2b
0.00388850476971096	Ippk
0.0038890391884323	Tor2a
0.00397559479811637	Lsm8
0.00404359447238458	Fbxo32
0.00406341176214654	Scgn
0.00407855556361613	Acer2
0.00409968212785251	Cdca2
0.0041536345523601	St6galnac3
0.00416040823834342	Zfp870
0.00416928494768791	Kif26b
0.00439453531666917	Ece2
0.00442328004744386	Prox1
0.00447017062158018	Zc3h8
0.00450825193318811	Abcc8
0.00457759809039191	Lhfpl2
0.00458478660036013	Rom1
0.00459092699713741	Ndor1
0.00461092591648653	Ugt8a
0.00461747141970734	Slc35f3
0.00461918625443947	Snrnp35
0.00462697177426359	Tph2
0.00467364159667557	Stard3
0.00469904487871325	Ezr
0.00479249178711242	Med4
0.00482763356195901	Igfbp4
0.00483591753984657	Ubtd1
0.00483792137123319	Tyrobp
0.00489061272019418	Ang
0.00494083478711614	Akr1c18
0.00501854313241142	Pon2
0.00506734573421876	Utp6
0.005139078795083	Olfml2b
0.00523788557995218	Lingo3
0.00524585651506246	Wnt2
0.00526987133765241	Zfpm1
0.0053199483056666	Acot5
0.00532166347301095	St6galnac4
0.00533583384571761	Fam126b
0.00534444945231966	Gria1
0.0053557944412354	Sypl2
0.00544060095576931	Luzp1
0.00544726011902996	Tmem63a
0.00554692220983703	Traf2
0.00557680456836707	Bcas1
0.00559453220125175	Iqsec2
0.00567634425193965	Vpreb1
0.00570818665959764	Kansl1l
0.0057107193771605	Vav3
0.00586826906470226	Desi1
0.00591246497388041	Lims2
0.00593278215935372	Snx25
0.00598384682957726	Serpina3n
0.00602048289399025	Carhsp1
0.00603718124756927	Tnfrsf12a
0.00607912808931111	Ppm1e
