#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL6885
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE64398.1_neqc_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 25697
#number of samples: 112
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=15, ho_TASTPM: n=15, TAS10: n=13, TAU: n=15, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=112
#Factor: Batch (3 levels): Batch_01_2012-02-25: n=33, Batch_02_2013-03-04: n=78, Batch_03_2013-06-26: n=1
#Factor: Gender (1 levels): M: n=112
#Factor: Timepoint (4 levels): 18_months: n=24, 2_months: n=32, 4_months: n=27, 8_months: n=29
#
#
### Model test for factor: Genotype
#p-value: 0.0244722851065837; Statistic: 1.44878723355293; Expected: 0.909000791576573; Std.dev: 0.221706554875654; #Cov: 25697
### Model test for factor: Batch
#p-value: 4.20889513975337e-29; Statistic: 19.1481006227809; Expected: 0.908948626581019; Std.dev: 0.454022979505226; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 0.00803129149744232; Statistic: 1.82961689319919; Expected: 0.908992657887118; Std.dev: 0.271350267850959; #Cov: 25697
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#4 sample(s) removed: TPM_2m_Hipp_rep4, TAU_18m_Hipp_rep1, TAU_18m_Hipp_rep2, TAU_2m_Hipp_rep1
#Reason for removal: TPM_2m_Hipp_rep4 is the only one belongs batch3; sample correlation outliers; sample correlation outliers; sample correlation outliers
#number of samples after removal: 108
#Factor: Genotype (6 levels): het_TASTPM: n=16, het_TPM: n=14, ho_TASTPM: n=15, TAS10: n=13, TAU: n=12, WT: n=38
#Factor: OrganismPart (1 levels): Hippocampus: n=108
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=30, Batch_02_2013-03-04: n=78
#Factor: Gender (1 levels): M: n=108
#Factor: Timepoint (4 levels): 18_months: n=22, 2_months: n=30, 4_months: n=27, 8_months: n=29
#
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2018-03-29
#number of rows: 25697
#number of samples: 108
### Model test for factor: Genotype
#p-value: 1.11026000906088e-06; Statistic: 1.93569837117945; Expected: 0.943298789165126; Std.dev: 0.134662287771227; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.99999999995869; Statistic: 0.282013883764099; Expected: 0.934579439252336; Std.dev: 0.291091146623718; #Cov: 25697
### Model test for factor: Timepoint
#p-value: 3.28159146071282e-06; Statistic: 2.04317003911872; Expected: 0.943291613329555; Std.dev: 0.16366871160103; #Cov: 25697
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE64398.1
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE64398.1/results/GSE64398.1_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Timepoint: c('2_months') are kept for analysis. 
#New dataset contains 30 samples. Original sample size: 108
#Factor: Genotype (6 levels): WT: n=12, het_TASTPM: n=4, het_TPM: n=3, ho_TASTPM: n=4, TAS10: n=4, TAU: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=30
#Factor: Batch (2 levels): Batch_01_2012-02-25: n=8, Batch_02_2013-03-04: n=22
#Factor: Gender (1 levels): M: n=30
#Factor: Timepoint (1 levels): 2_months: n=30
#
### Model test for factor: Genotype
#p-value: 0.0178903457907119; Statistic: 4.77253769445988; Expected: 3.56661490754674; Std.dev: 0.499279056171907; #Cov: 25697
### Model test for factor: Batch
#p-value: 0.758893406649396; Statistic: 2.65177481397871; Expected: 3.44827586206897; Std.dev: 1.09666057912493; #Cov: 25697
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#30 samples, 25697 probes
#coefficients: (Intercept), Genotypehet_TASTPM, Genotypehet_TPM, Genotypeho_TASTPM, GenotypeTAS10, GenotypeTAU
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotypehet_TASTPM
#  DE genes: 7, up: 6, down: 1
#GSE64398.1_het_TASTPM: original input has 25697 probesets; mapped probesets: 24643; probes mapped to multiple genes to be removed (except for insulin): 1086; genes with multiple probesets are BH corrected. New data has 16349 genes.
GSE64398.1_het_TASTPM	GeneSymbols
1.00773695986733e-07	Psme2
2.32631212758104e-05	Snrpc
7.12719347711208e-05	Slc12a5
7.44822019594484e-05	Zfas1
7.9857741507457e-05	Hbegf
0.000115719933866689	Wfdc1
0.000117640162264986	Snrpd1
0.000196073203870771	Rapgef4
0.000269753752269718	Cldn5
0.00054436224738901	Mcts1
0.000621076918438948	Enox1
0.000635337467870579	Bcl3
0.000855401608823567	Pdia3
0.0011115002981905	Glul
0.00111611939599121	Chac1
0.00112462596489885	Slc9a3r1
0.00112504449576806	Spta1
0.00118158457789973	Hmox1
0.00128581074000936	Dnase2a
0.00130630717585754	Icam2
0.00137431638592752	Slc7a5
0.00139050859989064	Rgcc
0.00141247478075748	Sec11a
0.00146027753732985	Cxcl9
0.00149304697515845	Gm9
0.00153731773068834	Arpc3
0.00168845332813632	Kcnk1
0.00175903470574499	Crhbp
0.00189405260097003	Ly6a
0.00192300242050042	Csde1
0.00192834188124185	Adgrl4
0.0020356806113363	Rbm3
0.0021010263919502	Fv1
0.00212735399890721	G0s2
0.00214185255234435	Ube2f
0.0021424876703638	Ceacam2
0.00216454224862969	Gnb3
0.00228393483408331	Sash1
0.00268450718762784	Egr3
0.00271625160057407	Osmr
0.00276483123588005	Cox7b
0.00286393024947913	Iqsec2
0.00290121130528214	Fam8a1
0.00300279168152512	Oaf
0.00302334982491533	Hspa5
0.00304827820227324	Ifitm3
0.00321942942503427	Ppp1r9a
0.00333150826679959	Tmem45a
0.00333297983128211	Usp18
0.00336575866741071	Lsm14b
0.00338178602341003	Tex21
0.00340914430585403	Cxcl13
0.00363037475236184	Zc3h8
0.00368895286024982	Dpy19l1
0.00373949829740791	Atf5
0.00378020737265485	Nid1
0.00380474854429227	Fam118b
0.00390501101081624	Gbp3
0.00392754865530209	Rimbp3
0.00399766392990992	Ifi35
0.00400683065242789	4933421I07Rik
0.00403890655833526	Ceacam16
0.00416171163584023	Tmem126a
0.00432490520318043	Abr
0.00447633596595514	Cryba2
0.00471581481854868	Cks2
0.00480132523425544	Rab8b
0.00481853146995386	Emp1
0.00537120601798316	Lgals9
0.00541984261267426	Comp
0.00562272180445527	Kdm4a
0.00562838833973857	Mansc4
0.00568165380489177	Olfr748
0.0056971391733951	Gabra2
0.00583020849485753	Pglyrp1
0.00584756674768926	Zdhhc24
0.00591567373279782	Rbm14
0.00595825516974862	BC028528
0.00601574519886965	Mrpl42
0.00609186313822534	Pdia4
0.0061292757797855	Irf2
0.00617126041763506	Adrb2
0.00637535862309434	B430306N03Rik
0.00642261867162945	Aim2
0.00660629801536519	Pkig
0.00663942356642098	Rps4x
0.00676833353091257	Mkks
0.00686049719976929	Eng
0.00704398130355531	Sult1c1
0.00709148276042226	Nabp2
0.00711214618217535	Olfr125
0.00714900266483165	Defb28
0.00736778425473784	Lcn10
0.00743259555374916	Cdkn2c
0.00745253230311933	Hs6st1
0.00752746876492604	Ostc
0.00772083589547104	Rab8a
0.00772361101100169	Itm2a
0.00780768278141532	Il4
0.00783658194344972	Slc38a5
0.00792507585518221	Uqcrh
0.00792573566465215	Cep19
0.0080061685564783	Tgm2
0.00804589659235385	Fbxo22
0.0080934941755314	Arl6ip5
0.00830322506869165	Pde5a
0.00831737944352549	Bcam
0.00843327935006113	Atp5e
0.008455806841559	Tcf23
0.00850119432250476	Hoxc13
0.00859303659368525	Fam120c
0.00868262066730559	Wfdc17
0.0086932677488433	Klf9
0.00873866859137591	Arpin
0.00877781244324369	Onecut3
0.00884767770698181	Arap3
0.00884997378287888	Tmem167b
0.00891215429733258	Ctnna3
0.00894714663676828	Npc2
0.00895249740162249	Arf3
0.00901995004602184	Vmn1r78
0.00908163747909997	Rps6ka6
0.00910969654141448	Mlx
0.00933338798729217	Olfr1275
0.00935181631304732	Irgm2
0.00952478288540756	Mcidas
0.00954997763996514	Arl16
0.00958916618097881	Hspa9
0.00963886987247313	Brix1
0.0096398756331235	Ccl4
0.00965340282707208	Derl2
0.00968953137683528	Rnf150
0.00971179936307848	Gabrr1
0.00972386172316256	Sult1c2
0.00976298070974461	Zfp384
0.00985624552260053	Hax1
0.0100911150708551	Nupr1
0.0101548635979067	Gm614
0.0103603492783316	Il27ra
0.0104239188488588	Sox18
0.0104503074683521	Lgals1
0.0105026792556531	Teddm3
0.0105842781168489	Cst7
0.0105930786222593	Il17d
0.0107467453554905	Trmt6
0.0108736348168895	Cyp4f18
0.010886130033045	Oit1
0.0109064334620391	Dctn1
0.0109299652586085	Snrpg
0.0111299517302147	Tgfbi
0.0111802036445094	Cdk2ap2
0.0112384803980052	Ywhae
0.0112849938847971	Arf4
0.01139013682499	Mrpl33
0.0113915450823562	Nom1
0.0114507541196593	Rin2
0.011459818822302	Acer2
0.0114627096642979	Vps37a
0.0117173268773944	Pon2
0.0117910614819407	Utp11
